appid,title,contents,date,tags
1172470,Apex Legends: Latest Update 12/17/25,"Hey legends, We are aware that players are currently unable to play Ranked. We are working on a solution and will update you as soon as we have a fix. Thank you for your patience.",1765996902,['patchnotes']
1172470,Latest Update: Apex Legends 12/16/2025,"Hi legends, we have pushed the following changes:We have disabled the Flash Freeze Wildcard upgrade as we identified it was causing game crashes for some players. The dev team will continue to work on a fix and we will update you when we know more.Additionally, we have adjusted the Trident. Players now need to reach an increased minimum speed in order to deal damage to enemies. Damage dealt remains unchanged.",1765933061,['patchnotes']
1172470,Battle Pass and Ranked Reset Dates,"Hey, legends! The Battle Pass and Ranked reset goes live on December 16, 2025. Our mid-season update will follow in early January 2026. This timing is a bit different from our usual schedule, so we wanted to give you an early heads-up.",1765480589,
1172470,Feel the holiday rush in the Merry Mayhem Event,"Merry Mayhem Event Feel the holiday rush in the Merry Mayhem Event!This event is a festive firefight: we’ve got a winter Olympus, Guarded Airdrops full of Mythic loot protected by heavily-armed Spectres and new ice-cold Wild Cards for you.The Merry Mayhem Event runs from December 16 to January 6.WILDCARD: WINTER OLYMPUSOlympus gets the full holiday treatment in Wildcard. Inside this snowglobe is a frozen battlefield stuffed with winter decorations and EVO Orbs that'll make you feel the festive spirit.WILDCARD: GUARDED AIRDROPSGuarded Airdrops turn Wildcard into a holiday free-for-all: each Airdrop hits the ground with a squad of hostile Spectres guarding the best loot. Fight your way through a squad of hostile Spectres (and anyone else who’s crashed the holiday party) to claim powerful Mythic weapons from previous seasons:Kraber: This powerful .50cal bolt-action sniper rifle comes with a variable 6-10x optic, devastating at long range.Power Sword: This special melee weapon is making a comeback! Block attacks and charge the lethal Ultimate.Vermilion R-301: This R-301 is a killing machine, with higher crit chance and it drops a thermite on your enemy on knock. Hornet R-301: This R-301 amps up your speed and mobility, boosting movement, reload speed, and grants a Tactical and Ultimate charge on knock for you and your allies.Grand Slam Bat: This bat packs a huge knockback to send your enemies flying.Road Rage Flatline: This brutal assault rifle turns knocked enemies into time bombs, and every 5th bullet does double damage and unleashes an AOE blast.Clear the guards, crack the crate, and spread the kind of holiday cheer you can only get from high-tier gear.NEW WILD CARDSBundle up, Legends, it's cold out there! These new winter Wild Cards will turn you into an ice-cold killer:Flash Freeze: Silence enemy abilities on shield break Do-Over: Get a free self-revive when teammates score a knockdownSuper Cells: Fully charge your shield with a single Shield CellAnd these Wild Cards are staying in rotation:Personal Space: Melee knockback is increasedHard Hitter: Melee damage is increasedWall Runner: Gain the ability to Wall-Run Extra Ordnance: The player gains the ability to carry +1 OrdnanceDown Bad: Enemies explode when knockedDrain Gain: Recover health when dealing damage to enemiesChain Reaction: Damage is chained to additional enemies within an affected areaWEEKLY CHALLENGESEarn rewards throughout the event by completing weekly event challenges, including an Amped Seasonal Pack, a Holo-Day Pack, and Rare Apex Packs.HOLO-DAY BASH STOREReady for more holiday shopping? The Holo-day Bash Store has some classic winter-themed Legendary skins: become the bear with Gibraltar's Brudda Bear and Pandamonium skins, spread joy with Pathfinder's Joyfinder skin, lead the reindeer slay with Octane’s Dasher skin, and more.UPCOMING KEY DATESBattle Pass Split 2 (starts December 16, 2025)Ranked Split 2 (starts December 16, 2025)Amped Mid-Season Update (January 6, 2026)PATCH NOTES: RECENT UPDATES & FIXESHere are some updates and fixes from our most recent and upcoming patches:Fixed a blue lighting tint issue on World's EdgeRestored several missing ziplines across Broken MoonAdjusted Rampart Package and Mythic Bin map icons to be more visible for the Supersonic EventFixed server crashes when opening packs + entering a matchCorrected a Superglide bug that will now allow you to Mantle Boost over obstacles while crouchedThe Bird of Prey Care Package will now spawn later in-game and less frequentlyThe missile recharge time on the Bird of Prey has been increased to reduce the overall lethality of the weaponEmotes will no longer lock players' gameplay mechanics when are performed with Mythic R-99 Bird of Prey selectedON OUR RADARHere’s a couple of the open issues that we’ve seen some community chatter around that are currently being worked on. Stay up to date with our progress on these issues and more on our public Trello board.High CPU usage: Some players are experiencing unusually high CPU usagePotential fix: For PC players with Nvidia GPUs who are experiencing performance issues, please try updating to the latest hotfix driver version. (This may also be tied to a recent Windows update)Performance issues on new Olympus: Some PC players are reporting various performance issues when standing close to the edge of the map and looking towards the middle of the map.Caustic’s traps: Caustic's traps are triggering his other trapsPlay Apex Legends™ for free* now on PlayStation®4, PlayStation®5, Xbox One, Xbox Series X|S, Nintendo Switch™, and PC via the EA app, Epic, and Steam.Follow Apex Legends™ on X, Instagram, TikTok, subscribe to our YouTube channel, and check out our forums.Sign up for our newsletter today to receive the latest Apex Legends™ news, updates, behind-the-scenes content, exclusive offers, and more (including other EA news, products, events, and promotions) by email.This announcement may change as we listen to community feedback and c...",1765472304,
1172470,[AMA] Let’s talk Legend meta!,"Hey Legends! We’ll be answering as many Legend meta questions as possible this Wednesday, December 10, 2025, at 10 am PT. Drop your questions here ahead of our AMA and tune back for replies when we go live. As always, feedback is also welcome and we’ll be collecting everything to share with the team. Here’s our team on deck:RSPN_Josh, Lead Game DesignerRSPN_Berryhill, Game Designer Reminder: Please keep your questions focused on Legends / Legend meta. Please limit comments to 1-2 related questions - you can always send more replies! If you’ve got off topic questions, let us know which AMA we should host next. Chat soon!",1765303432,
1172470,DEC 2025: ANTI-CHEAT DATA SHARE,"INTROHi legends, welcome to our Anti-Cheat data share following Season 26! Our team is constantly dedicated to maintaining and improving competitive integrity in Apex Legends and this blog exists to provide additional transparency and share the ongoing work we're doing. This data share will not represent all of our team’s work as we are somewhat limited in what we can share as we do not want to tip off cheat-makers; there are always more initiatives happening behind the scenes. WHAT’S NEWIn Season 26, our Anti-Cheat team rolled out a new bot detection model. In collaboration with Easy Anti-Cheat (EAC), we also deployed a new detection that expands on Direct Memory Access (DMA) detections for various cheat vendors. We believe these two additions will help curb the account selling market as we make things more challenging for bad actors to buy pre-levelled accounts. This should lead to a decrease in cheaters found in-game and an increase to the overall health of our game.Additionally, our team made strides in identifying and banning various compromised handheld consoles that were modded to run cheats.Let’s dive into the data! Take a look at the line graph and the table below and then read on as we break down the information.INFECTION RATESMatch Infection Rate (MIR) is the percentage of total matches that includes a cheater and it only takes one cheater in a match of 60 people to mark the match as “infected”. For more information about MIRs, please refer to our Anti-Cheat blog from last season.Let’s look at the MIR on PC first. As you can see from the table above, Season 26’s launch had the lowest MIR since we began measurement at 5.8%. And, while we saw the typical increase during the Split, the S26 Split was still below others measured. On consoles, you will notice a slight uptick at the start of the most recent split. But when looking at the line graph, you’ll see that, despite the increase, the number is still quite low overall. We are also focused on improving our detection models to better identify unauthorized peripherals. This is critical to us as we drive towards continued positive impact on the console MIR, and an overall better experience for console players.Overall, this is a metric where a lower number is always better and we’ll always be chasing further reduction. We still have work to do to bring this number down as much as possible and will continue to communicate our progress. BANSOur team continues to target cheaters with drive and dedication in each and every split. In Season 26 alone we banned over 92,000 accounts for a variety of reasons including botting, cheating or abusing exploits.A quick note about our ban process: Typically, we issue a 24-hour ban as a quick, actionable way to remove a suspicious account from the ecosystem. The Anti-Cheat team then completes a thorough investigation and decides if a more serious (or permanent) ban is warranted. This is why sometimes problematic accounts seemingly only get a short-term ban initially; it’s often a temporary solution while the Anti-Cheat team completes their analysis. A more severe ban may follow, depending on the details. REPORTS PER USERWe’re happy to share that Reports Per User on console in the most recent split are the lowest they’ve been in recent seasons! We are attributing this dip to improvements made to our detection models which have led to more efficient targeting of teaming and bots. Mid-season, we deployed our next-generation bot detection model and banned more than 1,000 accounts in the first 2 weeks. Typically we see an increase in RPU at the split, but because of reduction in bot reports we actually saw a decrease compared to season launch and the lowest split value since we began measurement. PROTECTING YOUR EA ACCOUNTWe've recently seen a few high-profile cases of compromised accounts. Our support team has been able to get these accounts back to their owners. As a reminder, there are a few steps you can take to protect your EA Account.Turn on two-factor authentication (follow the steps here)Never reuse passwords across different websitesBe cautious about the information you share onlineFor more help, read our guide to keeping your EA Account safe. LOOKING TO THE FUTUREWe remain dedicated to sharing Anti-Cheat information as frequently as we can with as much transparency as possible without showing our hand to cheat makers and bad actors. Thank you for reading and we’ll chat more about Anti-Cheat soon! ",1765216878,
1172470,EA Play Weapon Charm,"Give your gear an extra sparkle with the Apex Legends™ Gold Topper Weapon Charm, available with your EA Play Membership! Launch Apex Legends from December 2-January 5, and it will be auto-granted.Apex Legends™ on Steam",1764868814,
1172470,Apex Legends: Latest Update 12/2/2025,"Hey legends, we just pushed a handful of fixes: The Bird of Prey Care Package will now spawn later in-game and less frequentlyThe missile recharge time has been increased to reduce the overall lethality of the weaponEmotes will no longer lock players' gameplay mechanics when are performed with Mythic R-99 Bird of Prey selectedFor players who are experiencing performance issues with Nvidia GPUs please try updating to the hotfix latest driver version. This may help players experiencing performance issues. (This may also be tied to a recent Windows update)",1764726644,['patchnotes']
1172470,Apex Legends: Latest Update 27.0.2,"Heads up, legends. We made the following changes: Map Fixes:World's Edge:Fixed a blue lighting tint issueFixed an issue where certain window bars could be bypassed by crouchingBroken Moon:Restored several missing ziplines across the map Audio & UI:Adjusted Rampart Package and Mythic Bin map icons to be more visible for the Supersonic Event Misc:Fixed server crashes when opening packs + entering a matchCorrected a Superglide bug that will now allow you to Mantle Boost over obstacles while crouched",1764186424,['patchnotes']
1172470,Apex Legends: Latest Update 11/26/25,"Update: This should now be resolved and players should be able to connect as normal.Hey legends, Due to an Epic Online Services outage, PC players are currently unable to access servers. We are hoping to see the issue resolved ASAP and will keep everyone posted on the updates.",1764182421,['patchnotes']
