appid,title,contents,date,tags
1808500,"ARC Raiders gets a huge v1.7.0 free update with a new map condition, new event, skill tree resets and more","Embark Games have been cooking, with ARC Raiders v1.7.0 out now that brings quite a lot to the popular extraction shooter - so time for another run. Read the full article here: https://www.gamingonlinux.com/2025/12/arc-raiders-gets-a-huge-v1-7-0-free-update-with-a-new-map-condition-new-event-skill-tree-resets-and-more/ ",1765888803,
1808500,"Arc Raiders' latest patch adds two of the most requested features, but kills Cred hoarding","Embark has just rolled out patch 1.7.0 for <a href=""https://www.vg247.com/games/arc-raiders"">Arc Raiders</a> players everywhere. This is a significant patch for the extraction shooter for a number of reasons, not least of which because it kicks off a <a href=""https://www.vg247.com/arc-raiders-cold-snap-update-limited-time-events-details"">series of events under the Cold Snap banner</a>, which introduces a new conditions to the game’s maps. <a href=""https://www.vg247.com/arc-raiders-patch-1-7-0-skill-tree-reset-toggle-ads-all-changes"">Read more</a> ",1765881065,
1808500,COLD SNAP,"Frigid winds carve through the valleys of The Blue Gate. Blizzards sweep across the abandoned spaceport while the Red Lakes freeze and crack. Raiders Topside battle on as they shiver and stumble and swear.Due for release on December 16th 2025, the Cold Snap update is the second content update from ARC Raiders since launch, and brings: New Cold Snap Map Condition — Winter variant across Dam Battlegrounds, Buried City, Spaceport and The Blue Gate maps.Cold-Weather Survival Mechanics — Exposure to extreme cold causes frostbite, encouraging new strategies around healing items, loadouts, and indoor shelter.Two Seasonal Challenges + Rewards — Unique loot and rewards available through the Flickering Flames event and Candleberry Banquet project.Second Free Raider Deck Added on December 26 — The Goalie Raider deck will now be included in the base game, bringing players 5 pages of unlockable rewards.COLD SNAP MAP CONDITIONA cold front has swept in with snowfall, and a considerable drop in temperature. The air might feel crisp and brisk at first, but beware of frostbite!The new map conditions are opt-in and will be in rotation on Dam Battlegrounds, Buried City, Spaceport and The Blue Gate maps for a limited period of time, ending in January.The new map condition includes:Unique Loot Assets: Visually distinct Candleberry bushes which drop Candleberries, used for the Candleberry Banquet.Snow and Frost: The inclement weather brings challenges. Raiders may take frostbite damage if they spend too long outside.FLICKERING FLAMES LIVE EVENTThe Flickering Flames event is a personal progression type event. There are 25 levels to unlock and exciting rewards for each, including new gear and customizations, and even some Raider Tokens.Raiders progress through the event by earning Merits. These are automatically converted from your XP earned by playing on any map.Raiders can also earn additional Merits by participating in the Candleberry Banquet event (see below)In order to activate the event, Raiders must first have played 5 rounds in the game.The event starts on Dec 16 at 10.30 CET and ends on Jan 13 at 10.30 CET.CANDLEBERRY BANQUET PROJECTThe Candleberry Banquet is a Project where Raiders can earn rewards for scavenging specific items topside and collecting Candleberries. It runs alongside the Flickering Flames Live event.Unlock 5 project stages, each stage completes a new scene on the banquet table.Completing levels earns you rewards, which include a new cosmetic item and Raider Tokens. Raiders can also earn Merits, which can be used to help complete the Flickering Flames event.The project starts on Dec 16 at 10.30 CET and ends on Jan 13 at 10.30 CET. GOALIE RAIDER DECK (From December 26)The Goalie Raider Deck is a winter hockey-inspired deck which will be permanently added to the base game and is available for free from Dec 26.It features a hockey-inspired Raider outfit in several color variants, along with a hockey stick Raider tool.Players can also unlock 5 pages of rewards including Raider tokens, and gameplay as well as cosmetic items, using their Cred.There’s no time to lose - this event will run from December 16th until January 13th, so put on your warmest gear and get up there. But remember, this cold is no joke.Stay warm. Stay alive.The ARC Raiders team",1765877745,
1808500,COLD SNAP - December Update 1.7.0 Patch Notes,"Raiders, Frigid winds carve through the valleys of Blue Gate. Blizzards sweep across the abandoned spaceport while the Red Lakes freeze and crack. Raiders topside battle on as they shiver and stumble and swear.What’s New? Cold Snap Map ConditionFlickering Flames Event Expedition Departure Window New Free Raider Deck “Goalie”  - coming on December 26 New Quests and ItemsPatch HighlightsAdded Skill Tree Reset functionality.Added an option to toggle Aim Down Sights.Wallet now shows your Cred soft cap.Various festive items to get you into the holiday spirit.Moved the Aphelion blueprint drop from the Matriarch to Stella Montis.Added Raider Tool customization.Fixed various collision issues on maps.Improved Stella Montis spawn distance checks to address the issue of players spawning too close to each other. Balance ChangesWeapons:BettinaDev note: These changes aim to make the Bettina a bit less reliant on bringing a secondary weapon. The weapon should now be a bit more competent in PVP, without tipping the scales too much. Data shows that this weapon is still the highest performing PVE weapon at its rarity (Not counting the Hullcracker). The durability should also feel more in line with our other assault rifles.Durability Burn Rate has been reduced from ~0.43% to ~0.17% per shotIn practice, it used to take about 12 full magazines to fully deplete durability, but now it takes 26 (also accounting for the increased magazine size).Base Magazine Size has been increased from 20 to 22Base Reload Time has been reduced from 5 to 4.5 RattlerDev note: Even though the Rattler isn't intended to compete with the Stitcher or Kettle at close ranges, it is receiving a minor buff to bring its PVP TTK at lower levels a bit closer to the Stitcher and Kettle. The weapon should remain in its intended role as a more deliberate weapon where players are expected to dip in and out of cover, fire in controlled bursts, and manage their reloads.Base Magazine Size has been increased from 10 to 12 ARC:ShredderReduced the amount of knockback applied by weapons. Increased movement speed and turning responsiveness.Increased health of the Shredder's head to prevent cases where its head could be shot off, leading to unintended behavior.Improved Shredder navigation to reduce getting stuck on corners, narrow spaces, and short obstacles.Increased the speed at which the Shredder enters combat when taking damage and when in close proximity to players.Increased the number of parts on the Shredder that can be individually destroyed. Content and Bug Fixes AchievementsAchievements are now enabled in the Epic store.Animation Fixed an issue where picking up a Field Crate with a Trigger ’Nade attached could cause the character to slide or move without input.Fixed an issue where combining Snap Hook with ziplines or ladders could store momentum and propel the player long distances.Fixed an issue where the running animation could appear incorrect after a small drop when over-encumbered.Fixed interaction animations: interactions now end correctly when performing a dodge roll; interacting while holding items or deployables no longer causes arm twisting; updated crouch repair to use the correct animation.Added physical based secondary movement to character skins and equipment.ARCFixed an issue where deployables attached to enemies could cause them to launch or clip out of bounds when shot.Missiles no longer reverse course after passing a target and can correctly track targets at different elevations.SentinelFixed a bug where the Sentinel laser did not reach the targeted player over greater distances.SurveyorDisabled vaulting onto ARC Surveyors to prevent unintended launches when they are moving.Fixed an issue where Bombardier projectiles could shoot through the Matriarch shield from the outside.Audio Fixed an issue where Gas, Stun, and Impulse Mines did not play their trigger sound or switch their light to yellow when triggered by being shot.Increased the number of simultaneous footstep sounds and increased their priority.Fixed an issue where footsteps in metal stairs became very quiet when walking slowly.Improved directional sound for ARC enemies.Added sounds for sending and receiving text chat messages in the main menu.Removed the unsettling ""mom?"" from Speranza cantina ambient sound.Tweaked the loudness of announcements in various Main Menu screens.Number of small audio bugfixes and polish.Maps Fixed an issue with spawning logic which could cause players who were reconnecting at the start of a session to spawn next to other players who had just joined.Various collision, geometry, VFX and texture fixes that address gaps in terrain which made players fall through the map or walk inside geometry, stuck spots, camera clipping through walls, see-through geometry, floating objects, texture overlaps, etc.Fixed an issue with the slope of the Raider Hatch that was too steep for downed raiders to crawl on top of it.Security Lockers are now dynamically spawned across all map...",1765877642,['vo_marketing_message']
1808500,Steam Global Top Sellers for week of 9 Dec — 16 December 2025,"<a href=""https://steamdb.info/topsellers/2025W51/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/1903340/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Clair Obscur: Expedition 33</a>; * <a href=""https://steamdb.info/app/2344520/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Diablo® IV</a>; * <a href=""https://steamdb.info/app/1771300/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Kingdom Come: Deliverance II</a>; * <a href=""https://steamdb.info/app/4124950/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Ashes of Creation</a>; * <a href=""https://steamdb.info/app/252490/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Rust</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/3240220/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Grand Theft Auto V Enhanced</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W51/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1765875600,
1808500,"Arc Raiders' Cold Snap update brings snow storms to most maps, new events and a new Raider Deck","<a href=""https://www.vg247.com/games/arc-raiders"">Arc Raiders</a> is kicking off its last major event of the year. The Cold Snap update arrives moments from now, and it’s perhaps the game’s biggest since its momentous launch in late October. <a href=""https://www.vg247.com/arc-raiders-early-roadmap-new-map-snow-event"">We’ve known about the existence of Cold Snap for a while</a>, of course, but we finally have a solid idea about what to expect. <a href=""https://www.vg247.com/arc-raiders-cold-snap-update-limited-time-events-details"">Read more</a> ",1765874916,
1808500,Arc Raiders takes a turn for the Long Dark with today's Cold Snap update - beware the frostbite,"Today sees the release of the <a href=""https://www.rockpapershotgun.com/arc-raiders-best-guns-tier-list"">Arc Raiders</a> Cold Snap update, which douses the popular sci-fi extraction shooter in glittering snowfall. Ah, how gorgeous the flakes twinkling above the Spaceport gantries. How beautiful the frozen lakes of Dam Battlegrounds. It's definitely a mite nippy all of a sudden, though, isn't it? Best take shelter in that bunker before your fingers and toes turn Uncommon green and Rare blue. Oh dear, there's another player inside that bunker and she won't let you in. Still, perhaps if you start shouting the patch notes through the door she'll relent out of curiosity? Very good, let's begin. <a href=""https://www.rockpapershotgun.com/arc-raiders-takes-a-turn-for-the-long-dark-with-todays-cold-snap-update-beware-the-frostbite"">Read more</a> ",1765873022,
1808500,Arc Raiders gets a few map exploit fixes in latest patch as Embark prepares to slow down how often patches are released,"The time has arrived for another <a href=""https://www.vg247.com/games/arc-raiders"">Arc Raiders</a> update, and Embark has certainly delivered. Today’s patch, version 1.6.0, is among the smallest the game has received so far, focusing almost exclusively on disabling map exploits. <a href=""https://www.vg247.com/arc-raiders-1-6-0-patch-exploit-fixes-slower-cadence"">Read more</a> ",1765449444,
1808500,Patch Notes 1.6.0,"Raiders! We are rolling out an update right now, make sure to restart your client to download.Removed a zipline that allowed players to get out of bounds on Stella Montis. Fixed collision that allowed players to vault and fall through a wall in Blue Gate.Fixed material issues that caused multiple objects to not block bullet fire or ARC vision. Fixed a gap in the collision on Spaceport Launch Tower that allowed players to be shot through the wall.We also want to give you a quick update on the patch cadence in the coming weeks.Since the release, we have been patching every Thursday to catch the most critical issues while the team was in full swing. Our goal is to continue to investigate and fix critical issues as soon as we can, but it will not be on a weekly cadence.From now on, our release window and store rotation will shift to Tuesdays, however, as the winter holiday period approaches, the team will be taking a much needed break so that we can come back in January ready to bring more updates. During this time we will continue to monitor and work on critical issues.In the meantime, we are getting ready for the much larger Cold Snap update coming on Tuesday and it will bring many different fixes we have been working on along with all the new goodies. We really appreciate all your feedback which helps us continue to improve the game.See you Topside,//Ossen",1765445706,
1808500,Maps Feedback Survey [Closed],"Hello Raiders,What a wild six weeks. You have explored every inch of Topside. You’ve climbed, clambered, slid, rolled, fought, collaborated, and boogied across every plain, in every nook, and through every hallway. At Embark HQ, we’ve had an amazing time watching you do it. Our internal channels are full of your wacky adventures across the Rust Belt - we love seeing you at work, and you inspire us to do more!Help us improveNow you’ve become acquainted with the world of ARC Raiders, we want to know what you think of it. We’re proud of the maps we’ve created so far - but we know that YOU, the player, are best placed to offer valuable feedback and suggestions, so we can continue to design immersive worlds you want to be in.By completing our player feedback survey, you’ll help us do just that. We’ll ask you about the maps, playstyles you are encountering, the pacing of action, and a few more aspects of gameplay. To participate in the survey:You must have played all the mapsLogin with your Embark ID through the linkYou’ll see a link to the survey after login Complete the surveyYour feedback helps us make the best games we can - thank you for helping us out!Happy raiding,The ARC Raiders Team",1765386398,"['mod_reviewed', 'ModAct_487176015_1765387612_0', 'mod_require_rereview']"
