appid,title,contents,date,tags
2923300,Advent Calendar Update!,﻿Starting Today﻿ You will be able to start the game and be greeted with a warm holiday welcome...or rather cold in this case ﻿﻿ We got a tiny new easter egg for you to enjoy and new warm music to chill to ﻿﻿ you will also see a new button that once clicked will take you to our in game advent calendar !﻿ You can go there daily and claim an exclusive advent calendar banana ! ﻿ These bananas will only be available during these 24 days﻿ if you miss a day you will NOT be able to claim it afterwards so please be sure to collect them every day ﻿ ﻿ we have something small for the week of Christmas planned as well ﻿﻿ sorry for the delay and happy holidays ﻿﻿,1765067862,"['mod_reviewed', 'ModAct_1598046824_1765069870_0', 'mod_require_rereview']"
2923300,Autumn Season update,We're a bit late but here is the Autumn drop pool update ! We'll be updating this more frequently and have this season overlap with the winter one to make up for it Common Added CleaningbrushnanaAdded Towelracknana Uncommon Added PaintsetnanaAdded MousepadnanaRare Added LicensenanaAdded WhalefinnanaUltrarare Added Bitingabanana Epic Added HappypixelnanaLegendary Added Bluescreennana,1763135990,
2923300,Patch Notes 13-11-2025 - Achievements in Exchange fix,\Fixes issue on exchanges not being counted towards the achievement\Fixes issue on Mood Capsule Collection resulting in an error rather than giving a banana- The Banana Team,1763047460,['patchnotes']
2923300,Patch Notes 05-11-2025 - Inventory w/ Exchange Optimization,"\Changes the animation for the Inventory to hide before the exchange appears.Removes hidden inventory when exchange is visible - This optimizes substantially CPU usage.\Fixes issue on some bananas not being able to be clicked.\NEW In-Game ItemShop]We've added the capsules to be purchasable in-game, where you can select between 1 and 20 to purchase from.\Removes some unnecessary files & folders that were cluttering the game (~250 MB reduction).\We know there's been issues with exchanging, where you try to exchange and then your items don't seem to get used OR there's too many errors on ""Please try again later"", we're working on it!- The Banana Team",1762357042,['patchnotes']
2923300,Patch Notes 31-10-2025 - Exchange Mix Collections & % Fail,"\Added a new theme for halloweenAdded a new background music for halloweenUpdated every UI to match the halloween themeAdded tooltips for every button with a description of what it does, so people can learn what each thing does\Updated the full scene UI for a spooky vibe\Adds a new system that automatically fixes everyone's stacks if they exceed 60k quantityDeveloper Note: Since the Steamworks SDK only allows a ""short"" integer value for the quantity variable, we had unstack the items automatically to prevent some items of having negative values or overall wrong valuesFixes visualization on some bananas & items that would sometimes show a negative value""Show on market"" button now opens within the Steam Overlay\Adds a limit of stacking items to 60 000 per stack. If a user has any item quantity that exceeds this value (more closer to 65 000) some quantities might appear wrong, so a restart in the game should fix it.\Updates the exchange system to utilize a % fail rate as follows:Normal -> Common = 75% Success rate & 25% fail rateCommon -> Uncommon = 80% Success rate & 20% fail rateUncommon -> Rare = 85% Success rate & 15% fail rateRare -> Epic = 90% Success rate & 10% fail rateEpic -> Ultra Rare = 95% Success rate & 5% fail rateUltra Rare -> Legendary = 100% Success rateAdds a new ability of using and mixing collections!!Note: Only bananas that drop can be traded up with other bananas that also drop. You cannot trade up dropped bananas with capsule bananas.\Fixes an issue that caused the drop timer to reset and stay in loop checking every 3 minutes after a person just got a drop.\Added the ability to press ""ESC"" button to go back in the menu's or to close them, to make it easier and faster to move around.\Fixes an issue where the drop pool list would duplicateFixes an issue where the drop pool list would not reopen after closing\Feedback button now opens within the Steam OverlayItem shop button now opens within the Steam Overlay\Workshop button now opens within the Steam Overlay\Adds a new Login Streaks feature (disabled in production)Adds a new Item Shop panel in-game (hidden for now)- The Banana Team",1761959511,['patchnotes']
2923300,Spookfest 2025,"Banana Spookfest 2025!Happy (late) Halloween from everyone at Banana! The spookiest time of the year has returned and so have the cursed bananas... The game has been updated with everything you need to send chills down your spine and make your screen glow in eerie orange and purple.Prepare yourself for the Banana Spookfest 2025!What’s New In-Game?Full Halloween overhaul , dark, moody, and full of haunting details.New music to set the perfect creepy vibe.Spooky animationsA brand new welcome screen to greet you with spooky energy.Limited-Time Halloween BananasThis year, three new haunted bananas join the party!HauntedcemeterynanaDrops alongside your normal bananas for the next week only!HauntsiclenanaEmerging straight from the Well of the Past for a week while exchanging, don’t miss it!AutumnnanaA seasonal special, dropping naturally until the end of November alongside the normal drops!Once time’s up, they vanish like ghosts at dawn. BUT WAIT THERE IS MORE !Banana Carving Contest 2025: Nightmare Before Christmas EditionAlright… we messed up the dates a little, but we’re turning it into something even better. Last year’s carving event started October 1st, this year, we’re fusing Halloween and Christmas into one!Starts: October 31stEnds: December 25thThat’s right, carve your bananas through the spooky season and into the holidays! more info about the carving event can be found in our discordWe are aware that people have been asking for the new season collection and we hear you, we're almost done with the Autumn one and have some new special goodies in place for everyone in the meantime :INFO ABOUT DAILY LOGIN STREAKS AND REWARDS SOON IN GAME! You read that right, daily login streaks and rewards will be added to the game soon, from then on if you log in to banana daily you are able to get free rewards on top of the already free daily drops , and for those who are dedicated there are even more surprises at the end of each week",1761956007,['workshop']
2923300,Bugfixes & Unity Vulnerability Patch (CVE-2025-59489),"- Updated Unity version to the latest, to fix the latest caught vulnerability - More Info - Updates the Collections Tab visuals - Fixes issue on collections tab not opening a second time after opening once - Fixes drop pool list - Fixes issues on closing the game on linux, making the game non-responsive - The Banana Team ",1759607240,['patchnotes']
2923300,Drop pool update,Drop Pool UpdateCommon Added KingnanaRemoved Wrenchnana Uncommon Added PinkmarblenanaRemoved TNTnana Rare Added Weldnana Removed Pillnana EpicAdded GardenanaRemoved LednanaGoodluck,1758628217,
2923300,Patch Notes 08-09-2025,Fixes an issue where calories were being counted at a different rate Added a pack of 8 new skins which will be enalbed later on. Attempt fix on closing button crashing the game instead of closing the game. - The Banana Team,1757368099,"['patchnotes', 'mod_reviewed', 'ModAct_1278681683_1757370363_0', 'mod_require_rereview']"
2923300,Hotfix Builders Issue - Patch Notes 01-09-2025,Fixes overflow issue that prevented players from using the Builders & Other features from the game Is working again! :D Fixes a rare case where some people would not be able to exchange Bananas into Gold Fixes a rare case where some quantities would appear with negative values PS: Sorry for the delay on the Builders fix! - The Banana Team,1756738876,['patchnotes']
