appid,title,contents,date,tags
2358720,Black Myth: Wukong gets a big performance update out now,"Black Myth: Wukong might actually now be playable on the Steam Deck, with the latest update out now that focuses on performance. Read the full article here: https://www.gamingonlinux.com/2025/10/black-myth-wukong-gets-a-big-performance-update-out-now/ ",1760634403,
2358720,Black Myth: Wukong 1.0.20.22023 Patch Notes,"Version: 1.0.20.22023 Update Time: October 16, 2025 16:00 (UTC+8) What to Know Before Patch Installation The patch size is approximately 5.7 GB. However, due to the platform's update mechanism, your computer will need to reserve a certain amount of free disk space (not necessarily on the same disk) for temporary storage of the update files. If you have installed any mods in the game, installing the patch may cause compatibility issues. This could prevent you from launching the game, loading your saved games, or triggering error pop-ups during gameplay. We recommend uninstalling the installed mods and verifying the integrity of the game files before restarting the game. If you encounter unusually large update sizes during patch installation, or if the game gets stuck, crashes, or fails to start after installation, please refer to the Installation/Patch FAQ on our official website. This update may require shader recompilation. If you experience crashes during shader compilation, please try restarting the game until the compilation is complete or skip shader compilation. For more details, please refer to the Game Graphics FAQ. Experience Improvements Bosses Improved the combat experience against Yaoguai King ""Giant Shigandang"". Interaction Journeyer's Chart interface will guide the Destined One to Travel with Keeper's Shrine before any Journeyer's Chart has been obtained. Improved the readability of the ""Cleared"" label in the ""Load Journey"" interface. Performance Integrated AMD FSR4. On compatible hardware, it will be available in the in-game Settings after updating the driver and enabling FSR4 in the driver settings. Improved Compatible Mode. Now, with Compatible Mode enabled, ray tracing, frame generation, and some super-resolution functions will be temporarily disabled to help players avoid game launch failures caused by driver, hardware, or system abnormalities. Adjusted the default graphics settings for certain graphics cards to match the various graphical changes in the current game version. Significantly improved the lighting quality when Global Illumination is set to low, making it closer to the effect when Global Illumination is set to high. Improved CPU and rendering performance in numerous scenarios. Improved memory usage in numerous scenarios. Improved the quality of motion blur to mitigate the aliasing issues that occur when the camera pans. Localization Added language support for Czech. Bug Fixes Bosses Fixed an issue where Yaoguai Chief ""Top Takes Bottom & Bottom Takes Top"" became undefeatable under certain conditions. Fixed an issue where the iron ball failed to display properly during battles against Yaoguai Chief ""Top Takes Bottom & Bottom Takes Top"" under certain conditions. Performance Fixed an issue where XeSS 2.0 failed to enable frame generation on some displays. Fixed an issue where the game might crash on launch when both DLSS 4 frame generation and ray tracing were enabled. Fixed multiple rendering errors in NXSR that caused ghosting and edge flickering, and improved NXSR's rendering quality. Localization Fixed text overlapping in the ""Make Medicine"" interface for certain languages. Fixed voiceover and subtitle errors in certain cutscenes. Fixed an issue where some text in Settings was not properly localized. Corrected translation errors and fixed issues with spelling, capitalization, and terminology consistency in several languages. ",1760601538,
2358720,Разработчики Black Myth: Wukong анонсировали патч с улучшениями производительности,"Студия <strong>Game Science</strong> собирается представить крупное обновление <strong>Black Myth: Wukong</strong>. Патч создаётся с целью улучшения производительности игры на всех платформах. Релиз ожидается завтра, <strong>13 октября</strong>. ",1760304960,
2358720,Сунь Укуна сменил Чжун Куй: Анонсирована Black Myth: Zhong Kui,"В рамках <strong>gamescom Opening Night Live</strong> китайская студия <strong>Game Science</strong> анонсировала <strong>Black Myth: Zhong Kui</strong>. Разработка игры находится на ранней стадии, поэтому дата релиза и целевые платформы пока не раскрываются. ",1755657130,
2358720,Grab excellent action RPG Black Myth Wukong at its cheapest price while you can,"After years of trailers highlighting its visual beauty and intense combat, <strong>Black Myth: Wukong</strong> took the world by storm in 2024. Game Science's debut triple-A game takes iconic elements from the soulslike genre and combines them with the classic Chinese novel, Journey to the West. The result is a brilliant and memorable ARPG - and you can now enjoy it at its cheapest price yet. <a href=""https://www.pcgamesn.com/black-myth-wukong/fanatical-sale-new"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/black-myth-wukong/summer-sale-2025"">Black Myth Wukong gets its first-ever Steam sale ten months after launch</a> <a href=""https://www.pcgamesn.com/black-myth-wukong/fanatical-january-sale"">If you haven't played Black Myth Wukong, it's currently at its lowest price yet</a> <a href=""https://www.pcgamesn.com/black-myth-wukong/bosses"">All Black Myth Wukong bosses in order</a> ",1754396685,
2358720,Black Myth Wukong gets its first-ever Steam sale ten months after launch,"A sprawling journey through one of literature's most storied epics, <b>Black Myth: Wukong</b> was one of 2024's best games. Its bristling action and gorgeous mythic visuals won praise from critics and players alike. Now, you can pick it up for its lowest discount yet on PC's biggest gaming storefront. <a href=""https://www.pcgamesn.com/black-myth-wukong/summer-sale-2025"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/black-myth-wukong/fanatical-january-sale"">If you haven't played Black Myth Wukong, it's currently at its lowest price yet</a> <a href=""https://www.pcgamesn.com/black-myth-wukong/bosses"">All Black Myth Wukong bosses in order</a> <a href=""https://www.pcgamesn.com/black-myth-wukong/boss-update"">Black Myth Wukong's vicious boss update could make it harder than Elden Ring</a> ",1751050970,
2358720,Steam Global Top Sellers for week of 17 Jun — 24 June 2025,"<a href=""https://steamdb.info/topsellers/2025W26/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/2138720/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">REMATCH</a>; * <a href=""https://steamdb.info/app/1172710/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dune: Awakening</a>; * <a href=""https://steamdb.info/app/381210/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dead by Daylight</a>; * <a href=""https://steamdb.info/app/3527290/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">PEAK</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/3489700/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Stellar Blade™</a>; * <a href=""https://steamdb.info/app/2358720/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Black Myth: Wukong</a>; * <a href=""https://steamdb.info/app/1604270/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Broken Arrow</a>; * <a href=""https://steamdb.info/app/3350200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">情感反诈模拟器</a>; * <a href=""https://steamdb.info/app/2622380/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ELDEN RING NIGHTREIGN</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W26/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1750755600,
2358720,Black Myth: Wukong для Xbox Series X|S выйдет 20 августа — через год после релиза на PlayStation 5 и PC,"Студия <strong>Game Science </strong>намеревается перенести <strong>Black Myth: Wukong</strong> на <strong>Xbox Series X|S</strong> в конце августа. Релиз состоится 20 числа, то есть спустя ровно год после выпуска версий для <strong>PlayStation 5 </strong>и <strong>PC</strong>. Предзаказы откроют 18 июня. ",1749234960,
2358720,"""Black Myth: Wukong"" – First-Ever Discount Incoming","Dear Destined Ones, We are pleased to announce that all digital editions of Black Myth: Wukong will be on sale for the first time—20% off across all platforms. On Steam, the discount will run from June 20, 1:00 to July 11, 1:00 (Beijing Time). Please note: the Steam discount begins on June 20, not June 18. Additionally, starting June 27, Black Myth: Wukong will also be featured in the Steam Summer Sale (with the same discount). Feel free to make your purchase whenever it suits you best. We know, we know—you've already finished the game. But surely someone around you hasn't yet, right? {STEAM_CLAN_IMAGE}/44524500/faf4d0f6bc35501645e6828c16efd3f178f795e6.png For more details, check out the official announcement on our website. Here's our wish for summer's delight: Play smart, play light—do keep health in sight!",1749175215,
2358720,Black Myth: Wukong 1.0.16.18901 Patch Notes,"Version: 1.0.16.18901 Update Time: April 17, 2025 16:00 (UTC+8) What to Know Before Patch Installation The patch size is approximately 1.9 GB. However, due to the platform's update mechanism, your computer will need to reserve a certain amount of free disk space (not necessarily on the same disk) for temporary storage of the update files. If you have installed any mods in the game, installing the patch may cause compatibility issues. This could prevent you from launching the game, loading your saved games, or triggering error pop-ups during gameplay. We recommend uninstalling the installed mods and verifying the integrity of the game files before restarting the game. If you encounter unusually large update sizes during patch installation, or if the game gets stuck, crashes, or fails to start after installation, please refer to the Installation/Patch FAQ on our official website. This update may require shaders to be recompiled. If you experience crashes during shader compilation, please try restarting the game until the compilation is complete or skip shader compilation. For more details, please refer to the Game Graphics FAQ. Major Updates Added language support for Thai. Integrated NVIDIA DLSS 4.0, which delivers sharper Super-Resolution Sampling effect on supported hardware, with Multi-Frame Generation now available in Settings. Integrated ​Intel XeSS 2.0, with XeSS Frame Generation now available in Settings on supported hardware. Bug Fixes Fixed an issue where the Destined One could not perform the second move of a Varied Combo if the first move of the Varied Combo was followed by performing Dodge/Perfect Dodge and casting Immobilize or certain Spirit Skills. ",1744876915,
