appid,title,contents,date,tags
3419430,You donated 15.000€,"Finally we can share the total amount that everyone here donated:15.000€It's crazy, if someone had asked me what my year would look like, I would never have imagined something like this happening. At the beginning of the year, I asked Lars (my co-founder and the person who did all the UI ",1765920020,
3419430,Bongo Cat ❄Winter Event & Advent Calendar❄,"❄Winter Event & Advent Calendar❄First of all: You have made my year. It has been and still is crazy. Thank you from the bottom of my heart, I cannot express my gratitude in words. I wish you all a wonderful Christmas and take good care of yourselves. ",1764576396,
3419430,Nominate Bongo Cat!,"If something defined 2025 for me it was definitely Bongo Cat! And what a year it was! Millions of you had the cute little companion guiding you through your day. We had cats with sunglasses, a zombie with a tiny cowboy hat, squirrels with ice cream cones and strawberries with top hats. Truly an infinite amount of cozy little typing creatures. Thank you for that wonderful time! You are truly amazing! ",1764087526,"['steam_award_nomination_request', 'mod_hide_library_overview']"
3419430,Bongo Cat x Indie Demos,First of all THANK YOU to everyone who supported the charity! I will do a more elaborate post later on that ,1763401965,"['mod_reviewed', 'ModAct_1803566692_1763416401_0', 'ModAct_1301790999_1763478748_4', 'ModAct_405742472_1763928398_4', 'ModAct_1607812438_1764001049_4', 'mod_require_rereview']"
3419430,Animal Shelter - Charity Event,"🐈Animal Shelter - Charity Event🐈To celebrate the Steam Animal Fest, we introduce you to these 6 cuties: Bobby, Jerry, Luna Teddy, Tommy and Vinci You can adopt Luna (ingame) for free by updating your game, following the giftbox and claiming your free Luna! You can grab the other five in the ingame supporter section. 100% of the net proceedings will be donated to the animal shelter in Munich.But not just ingame, if you are actually interested into adopting one of those cuties, feel free to checkout the website of the animal shelter (German only): https://tierschutzverein-muenchen.de/tiervermittlung/tierheim/katzen All of the skins will only be purchasable until the 17th of November. So feel free to grab a second one and gifting it to your loved ones ",1762792528,
3419430,Free Halloween Treat,"🎃Free Halloween Treat🎃Claim your free Halloween costume for the next 7 days (until the 5th of November). You can pick one of the three items: Zombie, Nosfergato, FrankittysteinUpdate your game, follow the giftbox and claim your free costume! We have more content and requested features planned for November so stay tuned ",1761816187,
3419430,Small fixes,"Fixes the exchange mixing things up with emojis and non emojisFixes the emote wheel, it should pop up more consistentFixes gaming mode not working with the transparency fix enabled",1760431127,['patchnotes']
3419430,Fixes,Fixes exchange icon while no exchange can happenFixes collection item count being wrong,1759950476,['patchnotes']
3419430,Bongo Cat 🍂Autumn Event🍂,"🍂Autumn Event Starts 🍂We will now run a limited event to celebrate Autumn for the next 3 weeks (until the 31st of October). During this time you can drop 20 exclusive autumn items! There will be 4 for each rarity. The chances to drop event items are also significantly higher than before :) so everyone should get some! To be clear, if you drop an uncommon item it is now higher that the item is an event item, we didn't adjust the overall drop chances.After October 31th the items will no longer be dropable. So exchange, exchange, exchange and open your chests! New supporter items: the SQUIRRELS 🐿️🐿️🐿️This contains 3 skins and 3 hats (their wings). Calabrian Black Squirrel, Eastern Grey Squirrel and the Eurasian Red Squirrel! This helps us to support the ongoing development and cosmetics creation, we want to Bongo as long as possible!Get them each, or get the 33% discount if you grab all them. 🐿️🐿️🐿️Squirrel Pack StoreI have some super cool stuff planned for winter, so stay tuned and don't forget to update your game!Patch notes:Adds an emoji exchange (emojis will trade up to other emojis)Fixes the interaction area for the emotesSorts the collection a bit better",1759910596,
3419430,Emote 2.0 and bug fixes,"The emote update is finally live and you get a second chest!Should fix a bug that can make your cat disappear on auto startFixes the auto start toggle not working correctlyRemoves the dragable area in the emote wheelAdds a second chest, just for emojis (exchanges are WIP)Adds emotes as their own category in the collectionEmotes now don't spawn if players are hiddenFixes a bug if a player gets kicked that they are stuck in a join loopRemoves a Steam integration that should fix any inventories that showed 0 entriesThank you all for your feedback again!",1759751034,['patchnotes']
