appid,title,contents,date,tags
285800,Knights of Braveland is available now!,"{STEAM_CLAN_IMAGE}/40483356/4f9ee6c61bd6d6b93e22359b9e91571774277e99.png Knights of Braveland is available now! Heroes Guild awaits you. Only you can defeat all the infamous villains threatening the kingdom. Knights of Braveland is a cooperative beat'em up action game with a generated story. Join the Heroes Guild and travel the path from a rookie to the hero of the kingdom. Head on a hunt for the vicious boss solo or with your friends. Your adventure will be randomly generated from hundreds of different events. You will hack, slash, and smash your way to victory. And with your friends it is much more fun. Play local or online. https://store.steampowered.com/app/1253610/Knights_of_Braveland/ Keep up with the latest news We share updates on several different platforms. To hear about every tidbit as soon the info drops, you should join our other communities! Discord - Twitter - Newsletter",1676575977,
285800,Check out Spaceland - Out Now,"Greetings everyone! Today we would like to share some exciting news with you: our new story based strategy Spaceland has been released! {STEAM_CLAN_IMAGE}/5779506/3897e043e7194aa8ea8d90cb8573364fac3f360d.gif Spaceland is an incredibly dynamic turn-based strategy, reviving the traditions of XCOM, Incubation and Laser Squad. Lead a team of the most desperate fighters, destroy alien monsters and uncover the secrets of the lost planet. Top Features: The game is inspired by the best turn-based strategies of the old school - XCOM, Incubation, Laser Squad A unique blend of dynamic turn-based battles lasting 10-15 minutes Make a squad from 7 space rangers, each with a unique fighting style The story of the mysterious planet in the spirit of the «golden age» of science fiction Support our new game with story in Braveland style and start the space adventure! https://store.steampowered.com/app/1021070/Spaceland/",1569864938,
285800,Spaceland - a new game announced!,"https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/5779506/3bcbfcd2184e8c5549ebab6fed1aba1774402ad7.jpg After 2 years of radio silence we are ready to emerge from hyperspace with a new announcement. Spaceland - our new tactical sci-fi adventure inspired by XCOM, Incubation and old-school sci-fi novels is coming to Steam this year. https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/5779506/6d947f2213e9ecab85e4fe9f4e37fa696c33188e.gif Wishlist on Steam: https://store.steampowered.com/app/1021070/Spaceland/",1554398659,
285800,Braveland Heroes released!,"https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/5779506/082f884d3cdad6078658842b21efc78f02f83365.png A new game in the Braveland universe was released to Steam today. We made it free and collected all the creatures and heroes of the previous parts, and also added a lot of new ones! All in order to create the perfect old school turn-based strategy with Online Duels. The game has become larger and more difficult, the storyline will not give in so easily, and to collect all the creatures you will have to try hard. But now you can challenge any player in real online Duels and Cooperative Battles. And a small fee for royal chests with creatures will help us maintain game servers and develop Braveland Heroes. So, go ahead and start your quest in search of the stolen royal scepter. Gather your friends, create your clan and fight for glory in the vastness of Braveland! https://store.steampowered.com/app/931650/Braveland_Heroes/",1546533091,
285800,"Maelstrom, Braveland Pirate & Shadowhand join the Pirate bundle!","https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/10135204/fbdb6b01d96ca491f9bff66930ed8ca4b77c14eb.jpg Ahoy, captain! We’ve got some great news for you since our Pirate ‘AAAAR!’ bundle has been updated with two more incredible titles that will expand your virtual buccaneering experience like never before! Whether it is fast-paced swordplay with thrilling sea battles or tactical strategy game — don’t worry, we've got you covered. By purchasing this bundle you will be able to fulfill your thirst for all of the privateer-related activities you wish could be done in real life* and many more! *But seriously, don’t. The bundle contains the following games: Tempest Windward Sid Meier's Pirates! Maelstrom Braveland Pirate Shadowhand And remember - if you already own any of the titles above, buying the Pirate ‘AAAAR!’ bundle saves you money on the rest of those wonderful games! See you soon! https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/11019625/d6a6dfd4275d45519cc6f099fbbb48daa51024b0.png ",1542817610,
285800,Italian language!,"Hi, Bravelanders. Good news everyone. We've add italian language. Thanks to our fan and translator Peats. He is responsible for adding his native language. Now you can play all three braveland games in 9 languages! In the future we have plans to add gamepad support. How it sounds? Say to us in the comments. Have a nice day!",1531422939,
285800,Update: fast battles and two new languages,"Hi, Bravelanders! Spanish and Simplified Chinese added! New languages appeared - Simplified Chinese and Spanish. Great work of translators. Hope it helps more people to become real Bravelanders. Fast animations mode We've added fast battle mode that speeds up all animations! So you can play the game at your own pace. We've tested new mode and it's gorgeous. Almost faster than light. :) Grind issues in Braveland Wizard fixed This week we've fixed grind issues in Braveland Wizard. Hurray! No more repetitive battles. Dungeons give you more gold to hire new troops. Start of the game is easier. That fixes affects all three difficulties so you can try it and say us is it ok or not. In case you forgot what Braveland Wizard is: http://store.steampowered.com/app/333880/Braveland_Wizard/ Thanks for reading this post to the end. Have a nice day!",1517848590,
285800,Update: fast battles and two new languages,"Hi, Bravelanders! Spanish and Simplified Chinese added! New languages appeared - Simplified Chinese and Spanish. Great work of translators. Hope it helps more people to become real Bravelanders. Fast animations mode We've added fast battle mode that speeds up all animations! So you can play the game at your own pace. We've tested new mode and it's gorgeous. Almost faster than light. :) Grind issues in Braveland Wizard fixed This week we've fixed grind issues in Braveland Wizard. Hurray! No more repetitive battles. Dungeons give you more gold to hire new troops. Start of the game is easier. That fixes affects all three difficulties so you can try it and say us is it ok or not. In case you forgot what Braveland Wizard is: http://store.steampowered.com/app/333880/Braveland_Wizard/ Thanks for reading this post to the end. Have a nice day!",1517848590,"['patchnotes', 'patchnotes', 'patchnotes', 'patchnotes', 'auto_migrated', 'hide_library_overview', 'hide_library_detail']"
285800,Polish and Portuguese now available!,"Hi, Bravelanders! Our friends helped us make Polish and Portuguese localization! Just give it a try and write to us if everything is ok or not. We've tested both languages, but there can be some typos. :)",1445892591,
285800,Polish and Portuguese now available!,"Hi, Bravelanders! Our friends helped us make Polish and Portuguese localization! Just give it a try and write to us if everything is ok or not. We've tested both languages, but there can be some typos. :)",1445892591,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
