appid,title,contents,date,tags
1938090,Call of Duty: Black Ops 7 and Warzone - Season 1 - Live,"Call of Duty: Black Ops 7 and Warzone Season 1 is now available.Lock in for a behind-the-scenes developer briefing on the mission ahead and how we made our biggest Season 01 yet 🔥 💥 Multiplayer: New maps, modes, weapons, Scorestreak + more 🧟‍♂️ Zombies: Astra Malorum and Exit 115 arrive day one 🏆 Endgame: World Events & new Exotic Skills 🪂 Call of Duty: Warzone: All-new map Haven’s Hollow, Verdansk updates, Meta shifts, and more 📈 Global Progression: New ways to earn rewards across every mode Learn more about everything new in Season 1 of Call of Duty in the patch notes for Black Ops 7 and Warzone!",1764874778,['workshop']
1938090,Call of Duty: Black Ops 7 and Warzone Season 1 - All You Need to Know - Part 2,"Call of Duty: Warzone: Season 01 Content CALL OF DUTY: WARZONE SUMMARYNew Gameplay Features: Get details on the changes coming to movement, Loadouts, Perks, Equipment, and more with the Season 01 integration with Black Ops 7.New Resurgence Map – Haven’s Hollow: Deploy to Haven’s Hollow, a brand-new Resurgence map tucked away in the Appalachian Mountains and replete with old school American charm.New Verdansk POIs: Explore the new Signal Station featuring an interactive element that rewards worthy squads with a view of their enemies. Loot up in the remastered Factory, returning since its first appearance in Verdansk ’84.Modes: Across Battle Royale and Resurgence, get a look at the modes coming in Season 01, including a special CODMAS LTM you don’t want to miss.  New Gameplay Features (Launch)  With the integration of Black Ops 7, Season 01 brings major updates to Call of Duty: Warzone. Expect the following at launch on December 4:·     Player Level reset, allowing you to level up and optionally Prestige across Co-Op Campaign, Multiplayer, Zombies, and Call of Duty: Warzone.·     Access to all 30 Black Ops 7 launch weapons, plus the additional armaments coming to Season 01, each with specific Call of Duty: Warzone Camos to unlock.·     All Weapons with access to Weapon Prestige and Prestige Attachments.·     Weapon Build Sharing has been enabled for Black Ops 7 weapons.·     Season 01 Operators.·     Daily and Weekly Challenges.·     Battle Pass and BlackCell progress.  Additionally, Call of Duty: Warzone features some gameplay adjustments and updates, including:·      Movement: Tac Sprint is now part of the Sprinter Perk. Base movement speed has been increased to compensate. Players equipped with the Mountaineer Perk can also perform the new Combat Roll for added mobility. Test out Wall Jump and the Grapple Hook Tactical in Limited-Time Modes.·      Loadout: Overkill is now a default advantage when you access your Loadout. There are no Wildcards. Your weapons now have a maximum of five attachments.·      Equipment: Expect an updated selection of Tacticals, Lethals, and in-match Field Upgrades, including the Needle Drone Lethal, Pinpoint Grenade Tactical, Phantom Signal Tactical and Echo Unit Field Upgrade, some of which are ground loot only.·      Equipment Interactions: New equipment interactions have been introduced, including:·      Smoke Grenades now douse Molotov fire.·      Stim Shots now remove the effects of Flash and Concussion Grenades.·      Perks: The three Perk Slots have been restructured and updated, as detailed below, along with the addition of a new Adaptive Perk.·      Expect further Comms and Patch Notes from Raven Software that go into more detail on all these updates and features. Call of Duty: Warzone: Legacy Weapons Weapons > Loadouts > Custom Loadouts > Primary/Secondary/Melee Weapon > Legacy Armaments from Call of Duty: Modern Warfare® II, Call of Duty: Modern Warfare III, and Call of Duty: Black Ops 6 are still accessible and usable in Call of Duty: Warzone. They can be found by cycling through your Primary Weapon (or Secondary Weapon or Melee) slot in the Weapons Menu, all the way to the right, and “Legacy” Menu. Though accessible in Call of Duty: Warzone (only), Legacy Weapons will not support the following Black Ops 7 features:·      Weapon Prestige and Weapon Prestige Camos.·      Black Ops 7 Weapon and Call of Duty: Warzone Mastery Camos.·      New Black Ops 7 Reticle Challenges.·      Access to Black Ops 7 Weapon Customization items.·      Build Sharing and Build Codes. Call of Duty: Warzone ArmoryCareer > Challenges > ArmoryAny weapons you’ve yet to unlock from current or past games can be accessed after completing a Challenge in the Armory. Call of Duty: Warzone OperatorsAccess every Operator you’ve accessed or unlocked across Modern Warfare II, Modern Warfare III, Black Ops 6, and now Black Ops 7 in the Operators menu, along with notes on how many Skins you’ve unlocked for the Operator, and their Finishing Move. Call of Duty: Warzone: Available EquipmentWeapons > Loadouts > Custom Loadouts > Tacticals/LethalsExpect to be able to choose the following Tacticals and Lethals in your Loadout, prior to securing additional Equipment and Field Upgrades during a match:·      Tacticals·      Concussion·      Smoke Grenade·      Psych Grenade·      Decoy·      Stim Shot·      Heartbeat Sensor·      Lethals·      Frag·      Sticky Grenade·      C4·      Claymore·      Molotov·      Combat Axe  Call of Duty: Warzone: New Offensive Equipment Let’s dive a little deeper into the capabilities of the new Equipment coming to Call of Duty: Warzone at Season 01: Tactical: Pinpoint Grenade (Ground Loot Only): Unlike the Snapshot Grenade, which offers a quick burst of intel, the Pinpoint Grenade provides sustained reconnaissance for a short duration. When active, it deploys tracking darts at enemies entering its radius, marking their positions for you and your squad. Each pulse can tag multiple t...",1764787872,['workshop']
1938090,Call of Duty: Black Ops 7 and Warzone Season 1 - All You Need to Know - Part 1,"Defeat All Adversaries: Black Ops Season 01 is Here! The Story So Far In what could be best described as a hostile takeover, General Alden Dorne completes his power grab with a definitive move against Kagan, and forces Mason along for the ride, trapping him in his own mind. When Mason wakes from his hallucinatory hell, Dorne has “invited” Mason to the beginning of a new empire for The Guild, high atop the balcony overlooking the futuristic metropolis of Utopia. Welcome to Project Synapse. As tThe Guild claws its way back from the ashes of defeat at the hands of David Mason, Alden Dorne, once the trusted right hand of CEO Emma Kagan, seizes his moment. In a ruthless coup, Dorne casts Kagan aside forever, claiming the throne and reshaping tThe Guild’s destiny. His vision is merciless: capture David Mason at all costs and unlock the secrets buried within the C-Link, the cutting-edge neural tech possessed only by JSOC’s elite. This is more than revenge. It’s the dawn of a new era, forged in blood and ambition. Season 01 RoadmapGet ready for the biggest Season 01 ever, including new free and premium content when Call of Duty®: Black Ops 7 Season 01 goes live on Thursday, December 4 at 9AM PT across all platforms.  Black Ops 7: Season 01 Endgame Content  ENDGAME CONTENT SUMMARYEndgame is Open: Endgame and the vast Avalon map is now instantly accessible to all Black Ops 7 players as of November 21! New Word Events: Take on multiple new Endgame World Events across Avalon. Face down a giant Zombies-inspired robot, fight off hallucinations near a neurotoxin outbreak, and in the Mid-Season, engage in combat with an advanced VTOL manifested by fear. New Skills: Power up with eight new Exotic Skills earned by completing World Events; choose to strike with a deadly melee punch, resurrect yourself, or deal devastating critical damage in a variety of ways! Then during the Mid-Season, obtain access to the all-new Phantom Skill Track. CODMAS in Endgame: Avalon gets festive with the arrival of CODMAS in Endgame, bringing snowballs and giftwrapped Supply Boxes into play.   Endgame Intensifies: New World Events and More With Endgame now instantly accessible and available to all Black Ops 7 players, it’s time to team up, drop into Avalon, and explore this massive new landscape, complete objectives, increase your power, unlock unique Weapon Camos, and take on new threats! Keep pushing into escalating zones of difficulty, calling on other squads to assist if the challenges are too great. Then be sure to exfil safely to maintain your Combat Rating and live another day. Avalon Rampage: Four Endgame World Events (Launch, In-Season, Mid-Season)You’ll need to face down threats and build up your Operators’ Combat Rating, Skills, and Abilities, as Season 01 brings four multi-stage Events into the mix to challenge players. You’re advised to be at least Combat Rating 45, call up your squad, and bring your highest Rarity Weapons to the fight. Exotic Weapons will certainly help to turn the tide of battle!  World Event: Colossus of Avalon (Launch Window)Recommended CR: 45 or higher A giant mechanical contraption towers over the Avalon terrain, leaving a bloody path in its wake. Expect an emergency announcement breaking into your comms to alert all Operators within the Avalon combat zones to converge on this massive metal threat. Consult your Tac-map for the expected arrival area, and once certain criteria are met, you can watch the terrifying titan fall from the skies, visible across most of the map. To claim the bounty of rewards on offer for defeating this behemoth, you may need reinforcements outside of your own squad. Tool up, study the giant for weaknesses, expose its core, and take it out! Fail, and the Colossus will blast off into orbit, so don’t delay in your aggression. Operator Advice: Toppling this colossus will be tough, and smaller robotic enemies are likely to be encountered, so you may wish to think about equipping Black Hat (Minor Ability) or Abilities that assist in your evasion or movement capabilities. As always, Crash Cart (Major Ability) will be an excellent choice to keep you and your squad upright in the battle to come! World Event: Toxic Tyrant (In-Season)Recommended CR: 45 or higher Initial Comms suggest a second major threat to Operators within the Avalon theater of combat: In an event codenamed “Toxic Tyrant,” the emergency alert system breaks into your usual combat chatter to warn you of a severe neurotoxin outbreak occurring in Avalon. Stemming the outbreak requires your top-tier team talent and weaponry, as the enemies spilling out of these fear-based summoning anomalies are powerful and unrelenting. With time running out, you’ll need to focus on finding the source of this terror and try not to lose your mind entirely when facing the final, large-scale threat let loose by this hallucinatory biological weapon.  Additional World Events: Wraith Wing (Mid-Season)Recommended CR: 45 or higher The challenges in Endgame ...",1764787768,['workshop']
1938090,Nuketown 2025 Trailer | Call of Duty: Black Ops 7,Welcome to the neighborhood 🏘️ Step into the Black Ops 7 reimagining of this chaotic classic and experience it for yourself when in Nuketown 2025!,1763750501,"['mod_reviewed', 'ModAct_873083815_1763751225_0', 'mod_require_rereview']"
1938090,Call of Duty: Black Ops 7 Live Now!,"Call of Duty: Black Ops 7 is available now and live!Call of Duty®: Black Ops 7 is now live worldwide! Join David Mason and his JSOC team in the mind-bending Co-Op Campaign as they face the return of Raul Menendez while investigating the true motives behind The Guild, a global tech conglomerate promising peace through high-tech security. Deploy across 18 Multiplayer maps, including new features like the Overclock system and new modes Overload and Skirmish, and squad up for the continuation of Round-Based Zombies taking place in the Dark Aether itself with some help from new incarnations of the original crew.",1763193682,['workshop']
1938090,Call of Duty: Black Ops 7 is Live Worldwide — Play Now!,"Call of Duty®: Black Ops 7 is now live worldwide! Join David Mason and his JSOC team in the mind-bending Co-Op Campaign as they face the return of Raul Menendez while investigating the true motives behind The Guild, a global tech conglomerate promising peace through high-tech security. Deploy across 18 Multiplayer maps, including new features like the Overclock system and new modes Overload and Skirmish, and squad up for the continuation of Round-Based Zombies taking place in the Dark Aether itself with some help from new incarnations of the original crew. Get up to speed on the latest Black Ops 7 launch content and more, so that you’re fully equipped to face the epic challenges ahead. Here’s the latest:  Black Ops 7 Launch Comms  Get your intel straight with these Black Ops 7 Ready for Launch articles on the following topics: The Story So Far and Endgame in Black Ops 7Weapons Hot: All Weapons and EquipmentMultiplayer Maps & ModesZombies: Complete Equipment, Enhancements, Augments, GobbleGums, and a Second Look at Ashes of the DamnedFull Progression and Prestige Intel BlastPC Trailer, Specs, Preloading, and Handheld Systems  Get Ahead with Official Black Ops 7 Guides  From maps to modes and more, get the intel you need with our official Black Ops 7 Guides. Visit and bookmark the main Guides page here for tips and tricks related to Multiplayer, Zombies, and more at launch! Keep our Guides open while you play to explore interactive Tac Maps between matches and get winning strategies for even the toughest battles. For new and returning players, check out our COD 101 guide to get started with the most essential info for the Co-Op Campaign, Multiplayer, and Zombies.  Unlock More with the Black Ops 7 Vault Edition Offering incredible value and a selection of premium Black Ops 7 rewards, the Vault Edition is the preferred choice for those seeking the digital game alongside a wealth of exclusive in-game content. The Black Ops 7 Vault Edition is digital-only, and available for $99.99 U.S. (Suggested Retail Price) or your regional equivalent. Purchase the Call of Duty: Black Ops 7 Vault Edition and get access to: ·       Call of Duty: Black Ops 7 Digital Edition·       BlackCell (One Season): Jump start your journey with BlackCell benefits including access to BlackCell-exclusive content, the current Battle Pass, and 20 Tier Skips.·       Operator Collection: Deploy with Operator Skins for Karma, Harper, T.E.D.D., and Reaper EWR-3.·       Mastercraft Weapon Collection: Flex your Loadout with the Mastercraft Collection, featuring five different Mastercraft weapons.·       Ultra GobbleGum Pack for Zombies: Get the Ultra GobbleGum Pack for Zombies, including 8 GobbleGums of Ultra rarity.·        Permanent Unlock Token: Permanently unlock any Black Ops 7 Loadout or Scorestreak Level Unlock  NEW: Call of Duty Shop Gear up on the latest Black Ops 7 collection featuring Call of Duty icons like Ol' Tessie, T.E.D.D. and more! Shop now and receive the exclusive Black Ops 7 T.E.D.D. Head in-game weapon charm.  Zombies Ol’ Tessie Grey T-Shirt Prepare to roll into battle with the grime-and-gear aesthetic of the classic zeds-buster truck from the Call of Duty Zombies universe. This Ol’ Tessie Fully Equipped Grey Tee is built for fans who want to wear their ride-and-survive attitude on their sleeve. It’s subtle enough to wear daily, detailed enough to show you’re in the know.·       100% Cotton·       Unisex·       Regular Fit·       Digitally Printed·       Officially Licensed   Zombies Ol’ Tessie Sweatshirt Gear up in comfort and style with the Ol' Tessie Crewneck Sweatshirt, a must-have for any Call of Duty fan. Made from soft, midweight fabric, this sweatshirt delivers cozy warmth whether you're on a mission, at a gaming marathon, or just showing off your fandom. Featuring a bold graphic of Ol' Tessie across the back with subtle distressed detailing, this crewneck captures that rugged energy. The regular fit and ribbed cuffs and hem ensure all-day comfort while keeping you looking sharp. Perfect for layering or rocking on its own, it's casual and iconic.·       80% Cotton, 20% Polyester·       Digitally Printed·       Printed Sleeve Details·       Regular Fit·       Officially Licensed  T.E.D.D. White T-Shirt  Step into the wild world of the Call of Duty Zombies lore with this striking T-shirt inspired by the iconic character T.E.D.D. — the bus-driver-turned-legend from the TranZit mode. The front boldly features T.E.D.D. in all his glory printed in crisp contrast against a clean white backdrop, a perfect nod to his unsettling yet unforgettable presence. Whether you’re a veteran of the Zombies mode or just love the rich universe of Call of Duty, the T.E.D.D. White T-Shirt makes a bold statement. Wear the legend.·       100% Cotton·       Unisex·       Regular Fit·       Digitally Printed·       Officially Licensed Call of Duty: Black Ops 7 Camo Snapback Hat Blend stealth and style with this Call of Duty: Black Ops 7 Camo Snapbac...",1763154196,['workshop']
1938090,Call of Duty: Black Ops 7 Live Now!,Call of Duty: Black Ops 7 is available now and live!,1763107631,['workshop']
1938090,Ready for Launch: Black Ops 7 Co-op Campaign Endgame,"Yesterday, we walked you through the Story So Far. Today, it’s time to dig into Co-Op Campaign Endgame, the replayable Campaign Mode that’s much more than an epilogue; filled with challenges where JSOC continues their incursions into Avalon following the conclusion of the first 11 missions. Let’s begin with a Dev Talk on the subject:  Campaign Endgame: Initial Access After completing the first 11 Co-op Campaign missions, players will unlock Endgame, tasking JSOC with exploring the vast landscapes of Avalon, exploring The Guild’s remaining Command Centers while battling exposure zones leaking a mysterious toxin into the city. Designed for 1–32 players in squads of up to four, Endgame offers near-endless replayability as players fight through escalating zones across this massive map, level up unique Skill Tracks and Combat Ratings, complete dynamic Assignments and escape to preserve hard-earned progress. All the while, continuing the main Player Progression and Weapon Leveling, as well as unlocking specific Camos for all 30 launch weapons. In it Together: How Endgame PvE Works  In Endgame, every player works together during their deployment in Avalon. Squads can split off to pursue their own objectives or fight alongside others to improve the odds in tough fights, an especially useful tactic when approaching the area’s more dangerous zones, as shown above in the Avalon Tac-Map. In short, you choose an Operator, customize your Loadout and then drop into Avalon using a wingsuit for navigation, exploring the vast landscape on foot or in vehicle, face down threats across Avalon, then ideally exfil after completion a variety of missions. Before you Drop: The Endgame Journey Begins Your C-Link operating system unlocks full Loadout customization in the Endgame, giving each Operator the ability to choose their preferred tools for the fights ahead. Your ultimate goal is to gain enough power to reach the higher exposure zones, where something is leaking massive amounts of toxin into Avalon from there, and it’s waiting for you. Loadout Weapons and Acquisitions  You begin by choosing one of the four available Operator Slots, selecting your Operator (from up to 24 of the available Operators). Each slot (shown in the top-right corner of the above menu image) represents a character on a unique power journey. Next, you choose a Loadout. Endgame Loadouts (seen along the left of this menu) consist of a Main Weapon, a Melee Weapon, a Field Acquisition (a weapon you’ve found in a previous Endgame match and exfilled with), and a piece of Field Equipment. Explore further into Avalon to uncover Workbenches found across the province to upgrade your weapon’s rarity, which boosts its damage.  Essential Endgame Planning: Choosing Abilities Once you select an Operator for your slot and customize your Loadout, you make perhaps the most important decision of all: Your Major and a Minor ability.·       These abilities are vital to your survival in the Endgame, and you can make a concise choice of how you want to play Endgame, including the way you fight, support your teammates, and explore the landscape of Avalon.·       For example, players selecting the “Active Camo” ability are likely to favor approaching combat environments with a degree of stealth or deem it most important to easily extricate themselves from combat. Conversely, players picking “War Machine” are likely to lean into destruction and assault playstyles when battling the enemy. The choice is entirely up to you. Power up in-game to level your Combat Rating, earning new Skills and Power Upgrades across Health, Armor, Speed, and Damage, but be warned: If you’re killed in action, you lose it all. As detailed above, when creating a Loadout, players choose one Major and one Minor Ability for their Operator. The importance of these abilities cannot be understated: These grant new moves, allow the use of powerful weapons, also give unique tactical advantages, have a brief cooldown between charges, and define each Operator’s unique playstyle. As you progress through Endgame, it’s worth considering the Major and Minor Abilities available to you: Major Abilities ·       Ballistic Shell: Deploy an energy shield that blocks incoming enemy fire.·       Active Camo: Become nearly invisible for a short duration. Gunfire temporarily reveals your position.·       Hand Cannon: Powerful high-damage handgun. Accurate at range.·       Crash Cart: Instantly revive downed squadmates within range and provide temporary invulnerability. Can be used to self-revive when downed.·       Vision Pulse: Send out a pulse which visually tags enemies through walls for your squad. Tagged enemies take increased damage.·       War Machine: Powerful single shot grenade launcher. Large explosion radius.·       Shadow Break: Create an energy warping field that teleports and damages enemies.·       Drone Pod: Deployable device that launches aerial drones. Drones seek out enemies and explode. Minor Abilities ·       ...",1762884486,
1938090,Ready for Launch: Call of Duty: Black Ops 7 PC Info,"Call of Duty®: Black Ops 7 is just around the corner, with a November 14 PC launch. In partnership with Treyarch, Call of Duty PC lead developer Beenox is working hard to create the best experience possible for PC players. Before we dig in, get a taste of what’s coming with the PC trailer:Engineered for PC Working in parallel with Treyarch throughout the game’s development, Beenox presents Call of Duty®: Black Ops 7 on PC, tailormade to give players complete control over their experience while bringing all the features and performance that players have come to expect from robust PC games: ·       Player choice: players can easily optimize for visual fidelity or highest possible FPS·       Wide range of hardware support: Call of Duty runs on most hardware while also seamlessly scaling up to crisp graphics and ultra-smooth, high FPS gameplay on higher-end setups·       Deep customization: 800+ options for players to customize graphics, gameplay, input devices, interface, and more·       Display optimization: from 4K to 1440p to 1080p, from standard to Ultrawide, we support a vast array of displays in all shapes and sizes·       Cutting-edge upscaling: AMD FSR 4 and a range of other upscaling and frame generation technologies are supported·       Call of Duty PC Benchmark Tool: a built-in, in-game testing tool to analyze your PC’s hardware performance·       Ricochet Anti-Cheat: enhanced with new requirements\ for increased security for both the player and the community around TPM 2.0 and Secure Boot·       Sub-frame mouse polling: increased mouse precision for aiming·       RGB iCUE: dynamic RGB integration for supported Corsair devices PC Preloading, System Requirements Preloading — Official Launch Times Players who pre-purchase Black Ops 7 digitally on PC can preload the game ahead of time so it’s ready to go at launch. Preloading, including Co-Op Campaign, Multiplayer, and Zombies, begins on November 10 at 9AM PT, with the full title going live on November 14 at midnight local time. Official PC System Requirements MinimumMinimum specifications needed to play Call of Duty: Black Ops 7. OS: Windows 10 64 Bit (latest update)CPU: AMD Ryzen 5 1400 or Intel Core i5-6600RAM: 8 GBVideo Card: AMD Radeon RX 470 or NVIDIA GeForce GTX 970 / 1060 or Intel Arc A580Video Memory: 3 GBStorage Space: SSD with 115 GB available space at launch RecommendedRecommended specs to run at 60FPS in most situations with all options set to high. OS: Windows 11 64 Bit (latest update)CPU: AMD Ryzen 5 1600X or Intel Core i7-6700KRAM: 12 GBVideo Card: AMD Radeon RX 6600XT or NVIDIA GeForce RTX 3060 or Intel Arc B580Video Memory: 8 GBStorage Space: SSD with 115 GB available space at launch Competitive / Ultra 4kCompetitive specs to run at a high FPS for use with a high refresh monitor, and Ultra specs to run the game at a high FPS in 4K resolution. OS: Windows 11 64 Bit (latest update)CPU: AMD Ryzen 5 5600X or Intel Core i7-10700KRAM: 16 GBVideo Card: AMD Radeon RX 9070XT or NVIDIA GeForce RTX 4080 / 5070Video Memory: 16 GBStorage Space: SSD with 115 GB available space at launch Recommended Drivers AMD: 25.9.2NVIDIA: 581.42INTEL: 32.0.101.8132 Required For All Specs All specifications require a broadband internet connection and DirectX12 compatibility.Additional storage space may be required for mandatory game updates.Specs are valid for product launch and may be updated in the future. Additional Notes TPM 2.0 and Secure Boot are required to play Call of Duty: Black Ops 7. Other security measures may be enforced. Learn more at https://support.activision.com/tpm.Intel ARC GPUs require Resizable Bar (https://www.intel.com/content/www/us/en/support/articles/000090831/graphics.html)Only Intel/AMD processors (with AVX instruction set) are supported at this time.  Download the Latest Drivers Get your system game ready for Black Ops 7 by downloading the latest drivers through the AMD Software: Adrenalin Edition™ Application, designed to provide players with a clean, modern and easy-to-use interface where you can quickly access the latest software features, game stats, performance reports, driver updates, and more. Experience next-level responsiveness and visual fidelity in Call of Duty®: Black Ops 7 with AMD FSRTM technologies. By combining cutting-edge, analytical frame generation and advanced upscaling techniques to deliver smoother, faster framerates and a more immersive gameplay experience.  Runs on most Windows-based Handhelds Black Ops 7 ships fully tuned for supported PC handhelds, including the ROG Xbox Ally and ROG Xbox Ally X. The developers enhanced UI legibility, scaled every screen for smaller displays, and optimized the game to deliver smooth performance without sacrificing image quality. With native control support, it’s easy to drop in and start playing right away.  Beenox is committed to handheld support and pushing quality, performance, and usability. Grab an Xbox Ally or your favorite supported handheld, hit Start, and take your...",1762540925,
1938090,Call of Duty: Black Ops 7 | PC Trailer,The biggest Black Ops ever launches November 14 💪 Preorder now and preload on 11/10 to be ready the moment #BlackOps7 drops 🚀 ,1762278868,"['workshop', 'mod_reviewed', 'ModAct_1301790999_1762279588_0']"
