appid,title,contents,date,tags
1515950,Popular titles are now on sale at unbeatable prices!,"Tokyo Game Show 2025 is just around the corner and Capcom TGS Deals is a chance to grab titles in the legendary Devil May Cry and Ace Attorney series at great prices. Whether it's your first time trying these series or you want to enjoy them all over again, don’t miss this opportunity! https://clan.fastly.steamstatic.com/images/44225443/75098ad40ab4bd2de3d83acc48745935fd1ccc56.jpg https://store.steampowered.com/app/601150/Devil_May_Cry_5/ https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/1515950/Capcom_Arcade_Stadium/ https://store.steampowered.com/sub/1045545/ https://store.steampowered.com/sub/1186209/",1758679159,
1515950,Capcom Summer Sale! Get up to 87% off on popular titles!,Want to join the hunt? Get Monster Hunter Wilds on sale for the first time at 20% off in the Capcom Summer Sale! But that's not all! The highly anticipated ninth title in the mainline Resident Evil series has been announced! Jump (back) into the series with the Resident Evil Remake Trilogy now on sale at 55% off! Play three games in one pack! Don’t miss this chance to grab some of Capcom's most beloved titles at a incredible prices! https://clan.fastly.steamstatic.com/images/43107541/fc16f298aca766eeef47574371571cbb82cf6807.jpg https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds/ https://store.steampowered.com/app/1196590/BIOHAZARD_VILLAGE/ https://store.steampowered.com/sub/1142889/ https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/787480/_123/ https://store.steampowered.com/app/1515950/Capcom_Arcade_Stadium/,1750989716,
1515950,Huge sale in this publisher sale! Get up to 87% off on popular titles!,"Get a deal on Resident Evil Village at 75% off in this publisher sale! Whether you're new to the story or eager to relive the experience, now is the perfect time to dive into the world of Resident Evil. But that's not all—Dragon's Dogma 2 is also available for a great offer! Finally, get popular series like ""Monster Hunter"" and ""Devil May Cry"" series at unbeatable prices. Don’t miss this chance to grab some of Capcom's most beloved titles at a incredible discounts! https://clan.fastly.steamstatic.com/images/33038843/8d8891851e54f266d550eefbdecd454f78b9be20.jpg https://store.steampowered.com/app/1196590/ https://store.steampowered.com/app/2050650/　https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/582010/Monster_Hunter_World/ https://store.steampowered.com/app/601150/Devil_May_Cry_5/ https://store.steampowered.com/sub/1045545/ https://store.steampowered.com/sub/1257696/",1749174652,
1515950,Spend Golden Week with Capcom’s hottest titles!,"Get ready to level up your library! Fan-favorite franchises like Resident Evil, Monster Hunter, Street Fighter, Mega Man, and more are on sale now—up to 87% off! Don’t miss the Monster Hunter Series Pack, a value-packed bundle featuring multiple iconic titles from the Monster Hunter series. It’s the ultimate way to dive into the hunt! Act fast—these unbeatable deals won’t last forever. https://clan.fastly.steamstatic.com/images/42506953/7006e5123a1c0377d939da5c13604fe31f299bd8.png https://store.steampowered.com/bundle/39039/ Note: The Monster Hunter Series Pack includes the same content as the previously released Monster Hunter 20th Anniversary Series Pack. https://store.steampowered.com/app/582010/Monster_Hunter_World/ https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/ https://store.steampowered.com/app/2356560/_/ https://store.steampowered.com/app/1277400/2/ https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/2050650/BIOHAZARD_RE4/ https://store.steampowered.com/sub/1257696/",1745457696,
1515950,Capcom Mid-Year Deals Now Live,"■Capcom Discount Sale: Up to 84% Off Popular Titles! Grab Capcom's fan-favorite games at unbeatable prices during our exciting discount sale! For the first time ever, ""Apollo Justice: Ace Attorney Trilogy"" is available at 20% off. Plus, to celebrate the release of the complete ""Ace Attorney Anthology,"" you can get it at an initial 25% off. Don't miss this chance to own these timeless masterpieces at incredible prices. Dive into the world of Capcom and enjoy these great deals while they last! https://clan.akamai.steamstatic.com/images/44643874/016e580f502f2fab9bdbddb375d42c960ca0252f.jpg https://store.steampowered.com/app/2187220/456/ https://store.steampowered.com/sub/1045545/ https://store.steampowered.com/app/1286320/EXOPRIMAL/ https://store.steampowered.com/app/2050650/BIOHAZARD_RE4/ https://store.steampowered.com/bundle/32602/Capcom_Arcade_Stadium_Complete_Pack/",1717988237,
1515950,Capcom 40th Anniversary Sale!,"■40th Anniversary Pack and digital discount taking place! We are offering a ""Capcom 40th Anniversary Pack"" for limited time! Make sure to grab it while it's still available! https://store.steampowered.com/developer/capcom/sale/40thanniversary https://store.steampowered.com/bundle/32572/CAPCOM_40TH_ANNIVERSARY_PACK/ https://store.steampowered.com/app/787480/_123/ https://store.steampowered.com/app/999020/_/ https://store.steampowered.com/app/601150/Devil_May_Cry_5/ ■The “Capcom Arcade Stadium Complete Pack” that features all 64 titles is now on sale! All the titles available for “Capcom Arcade Stadium” and “Capcom Arcade 2nd Stadium” have been bundled up in the attractively priced “Capcom Arcade Stadium Complete Pack” and is on sale now! Relive the excitement of the arcade just like you remember it! If you’ve already purchased some titles included in “Capcom Arcade Stadium” and “Capcom Arcade 2nd Stadium” there’s no need to worry. You’ll be able to purchase only the titles you don’t own yet at a reduced price! Purchase the “Capcom Arcade Stadium Complete Pack” and complete your arcade collection! https://store.steampowered.com/bundle/32602/Capcom_Arcade_Stadium_Complete_Pack/",1686549691,
1515950,Free game & DLC sale!,"■ Hit the streets of Metro City for free! https://store.steampowered.com/app/1556712/Capcom_Arcade_Stadium/ Celebrate the start of pre-orders for Street Fighter(TM) 6 with a free game! Metro City is the setting of the original Final Fight, and is also featured in the new World Tour mode in Street Fighter 6. You can download Capcom Arcade Stadium: Final Fight for free until December 12, 2022. ■ Street Fighter 6 Pre-order now! On sale June 2, 2023 https://store.steampowered.com/app/1364780/Street_Fighter_6/ ■ Capcom Arcade 2nd Stadium Don't miss out on a 50% discount for individual titles in this game. TGA sale: https://store.steampowered.com/developer/capcom/sale/tga https://store.steampowered.com/app/1879140/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842989/Capcom_Arcade_2nd_StadiumII__The_Anniversary_Edition/?curator_clanid=42506953 https://store.steampowered.com/app/1842988/Capcom_Arcade_2nd_Stadium_ZERO3/?curator_clanid=42506953 https://store.steampowered.com/app/1842987/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842986/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842985/Capcom_Arcade_2nd_Stadium__The_Lord_of_Vampire/?curator_clanid=42506953 https://store.steampowered.com/app/1842984/Capcom_Arcade_2nd_Stadium_2/?curator_clanid=42506953 https://store.steampowered.com/app/1842983/Capcom_Arcade_2nd_StadiumIIX/?curator_clanid=42506953 https://store.steampowered.com/app/1842982/Capcom_Arcade_2nd_Stadium__DARKSTALKERS_REVENGE/?curator_clanid=42506953 https://store.steampowered.com/app/1842981/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842980/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842979/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842978/Capcom_Arcade_2nd_StadiumRally_2011_LED_STORM/?curator_clanid=42506953 https://store.steampowered.com/app/1842977/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842976/Capcom_Arcade_2nd_Stadium1943/?curator_clanid=42506953 https://store.steampowered.com/app/1842975/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842974/Capcom_Arcade_2nd_Stadium_ZERO2/?curator_clanid=42506953 https://store.steampowered.com/app/1842973/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842972/Capcom_Arcade_2nd_Stadium_ZERO/?curator_clanid=42506953 https://store.steampowered.com/app/1842971/Capcom_Arcade_2nd_Stadium__The_Night_Warriors/?curator_clanid=42506953 https://store.steampowered.com/app/1842970/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842969/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842968/Capcom_Arcade_2nd_Stadium__THE_BODY_EXPLOSION/?curator_clanid=42506953 https://store.steampowered.com/app/1842967/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842966/Capcom_Arcade_2nd_Stadium3/?curator_clanid=42506953 https://store.steampowered.com/app/1842965/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842963/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842962/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842961/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953 https://store.steampowered.com/app/1842960/Capcom_Arcade_2nd_Stadium/?curator_clanid=42506953"" ",1670562784,
1515950,A second blast of nostalgia arrives with Capcom Arcade 2nd Stadium!,"Travel back in time to a retro wonderland featuring Capcom arcade hits spanning two decades between 1984 and 2004! Official website: https://www.capcom-arcade-stadium.com/2/ Available starting today, the Capcom Arcade 2nd Stadium base game is free to download and includes the 1984 arcade game SONSON, allowing you to check out all the cool features this collection offers. https://store.steampowered.com/app/1755910/Capcom_Arcade_2nd_Stadium/ A value bundle of 30 additional games is available (which also includes the extra bonus game Gan Sumoku), or you can pick and choose the ones you want to purchase individually. The games span a variety of genres from shoot 'em up and action to fighting, sports and puzzle. Owners of the previous Capcom Arcade Stadium are in for a treat: if you have save data from that game, you can use new colors and music for menu screens, and on top of that, if you have previously bought at least one of the DLC games for Capcom Arcade Stadium, you'll receive backgrounds themed on the arcade games' instruction cards!",1658464223,
1515950,"Pre-order Capcom Arcade 2nd Stadium! Also, get a free game for a limited time!","Capcom Arcade 2nd Stadium, the second project within the series is coming soon with a total of 32 classic arcade titles! Website: https://www.capcom-arcade-stadium.com/2/ Pre-Order Now! Pre-orders for Capcom Arcade 2nd Stadium: Bundle 1, which features all 32 titles is now available! Pre-order now to also get the Capcom Arcade 2nd Stadium: Display Frames Set 1. https://store.steampowered.com/app/1755910/Capcom_Arcade_2nd_Stadium/ Download """"Street Fighter II - The World Warrior -"""" for Capcom Arcade Stadium, for free! This is available for a limited time until 7/21 16:59 PT. https://store.steampowered.com/sub/733011/ Capcom Fighting Collection is out on 6/24, and early purchasers or pre-ordered players will get access to """"THREE WONDERS"""" for Capcom Arcade 2nd Stadium! *Please note, this can be purchased as DLC for Capcom Arcade 2nd Stadium at a discount through the bundle, or purchased individually. https://store.steampowered.com/app/1685750/_/",1654821044,
1515950,Street Fighter 2 is free on Steam to celebrate a new trove of Capcom reissues,"Before there was Street Fighter 6, 5, 4, and 3, there was Street Fighter 2. It was an astonishing success on its arcade release in 1991, and is arguably the reason the series still exists today. If you&apos;re not among the millions who have played it, here&apos;s good news: the original arcade version of Street Fighter 2 is free on Steam right now... <a href=""https://www.pcgamer.com/street-fighter-2-is-free-on-steam-to-celebrate-a-new-trove-of-capcom-reissues?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1654817906,
