appid,title,contents,date,tags
2881650,Patch notes 1.20.2 hotfix,Patch notes 1.20.2 hotfixFixed some missing colliders on the railings in the factoryThe UI should adjust correctly now when changing resolutionThe camera should no longer get stuck in place after being picked up when it was still recordingMore SFX sounds should now be properly adjustedLasers SFX now on the correct locationText on the player customizer should now be visible in all languagesSnatcho no longer invincibleEyeGuy should now properly attack you when lit upMonsters shouldn’t teleport as oftenFixed extraction text overlap when extracting multiple clipsAdded a placeholder counter for users to see how many videos are left before extraction beginsRescue hook now properly rescuesSteam invites (hopefully) works completely as expected,1763482013,['patchnotes']
2881650,Patch notes 1.20.1 hotfix,Patch notes 1.20.1 hotfixConfirm quit before leaving or closing the game.You can now do more than one sponsorship per save filePlayers can now disable shadows.Reduced extraction loading timeLegacy version for Content Warning added to guarantee the old mods still work & for those who do not have AVX support on their CPUs (find among properties - betas),1763395135,['patchnotes']
2881650,"Small update with Achievements, lobby codes, optimisation and bug fixes!","We're very grateful to you all for playing Content Warning, even if there haven't been many updates since launch! 🙏 It's been great seeing the mods come in from the mod support update last year! Thank you to all the modders for making such cool stuff for the community ❤️We just updated the game with a bunch of achievements, lobby codes and fixes/improvements/optimisations! Read more below:PATCH NOTESChanges/UpdatesAdded lobby codesBetter (Full?) controller supportCatchya Machine no longer spawns in single player/offline mode.Catchya Machine can now be solved with controllers.Sketchpad can now also be used with a controller.Muting players. Added achievementsUpdated to a secure Unity version.Bug fixesMonsters shouldn’t fall out of the map anymore.Monsters shouldn’t get stuck walking up ramps as often.Items that fall off the map in the surface level now respawn. (We noticed people complaining that the drone sometimes doesn’t drop items or they fall through the ground, they should now respawn on the drop-site eventually).Extraction of videos now properly does not start until all players have loaded all the videos.OptimizationsHigher overall FPSOptimised Surface considerablyOptimised the top of the Factory levelBuild size about 400MB smallerLower VRAM usageFaster loading timesEven though we did an update today, we want to manage expectations going forward regarding the future: Content Warning is not a live-service or early access game, which means that we can't promise updates with more content. The game contains what it says on the Steam store, and any additional updates are a bonus. The CW team is made up of 5 developers, all of whom have been working non-stop on several projects for the last couple of years. We've explained a bit why there haven't been many updates here, but for those of you who missed it: the CW team took a break from a longer project called HASTE to make Content Warning. Once CW was more stable after its launch, they had promised to come back to HASTE to finish it together with that team, which they did. After that the CW team have all been working on different projects, and at the moment, there are no plans to return to CW. If this changes, we will let you all know!Finding players: If you’re having issues finding other players, we recommend checking out the CW Discord, where you can find others to play with!Ports:We’re working with a porting studio to get the game onto other platforms, so we hope to have more news about that soon! They're also the ones who've worked to make this patch possible, as the original CW developers are busy with other projects. Re the video extraction issues:In the last couple of patches, we, with your help, solved several issues that led to videos failing to extract. We want to thank everyone who sent in logs and other information to help us fix as many of these bugs as possible. In this latest patch, we also did some fixes that may help. There are sadly a million things that can lead to extraction issues for the videos, some of which we have no control over on our end (like one teammate having a weird file structure on their computer), but we have done our best to fix the most common ones. If you are still having issues, please check out our troubleshooting page.Support:You can find help in our Content Warning FAQ for the most common issues. If you still need help, you can also reach out to support@landfall.se for troubleshooting or to ask questions about the game.",1763366117,
2881650,New co-op climbing game! PEAK,"Hello all SpöökTubers! We know you're all eager for more news about Content Warning, at the moment the game is getting ported to console and we hope to launch those versions this winter, with that launch we will also be adding achievements to the Steam version. We spoke about CW's future back in April over here.Some of the Landfall team, once again, took a break from our main game HASTE to go to a game-jam - this time with Another Crab's Treasure devs Aggro Crab and the result was PEAK! We think some of you who love Content Warning would also like this game, and if now feel free to ignore this!PEAK is a co-op climbing game where the slightest mistake can spell your doom. Either solo or as a group of lost nature scouts, your only hope of rescue from a mysterious island is to scale the mountain at its center. Do you have what it takes to reach the PEAK?Check out PEAK ",1750170756,
2881650,New game HASTE and some other info!,"Hello everyone! First off, happy 1 year anniversary to Content Warning - this time a year ago we launched CW with no idea how many people would play the game! We're very grateful to you all for playing Content Warning even if there haven't been many updates since launch! 🙏 It's been great seeing the mods come in from the mod support update in December. Thank you to all the modders for making such cool stuff for the community! We've explained a bit why here, but for those of you who missed it: the CW team took a break from a longer project called HASTE to make Content Warning. Once CW was more stable after its launch, they had promised to come back to HASTE to finish it together with that team, which they did. HASTE is now released on Steam! With that said, we want to manage expectations going forward regarding updates. Content Warning is not a live-service or early access game, which means that we can't promise updates with more content. The game contains what it says on the Steam store and any additional updates are a bonus. The CW team is made up of 5 developers, all of whom have been working non-stop on several projects for the last couple of years. At the moment, they don't know when/if they will come back to working on Content Warning, but if they do, they will have to take a break first. If they do decide to come back and make updates for the game, we will keep you in the loop! Finding games: If you’re having issues finding other players, we recommend checking out the CW Discord, where you can find others to play with! Ports: We’re working with a porting studio to get the game onto other platforms, so we hope to have more news about that this year. Porting also means we will add achievements for PC! Re the video extraction issues: In the last couple of patches, we, with your help, solved several issues that led to videos failing to extract. We want to thank everyone who sent in logs and other information to help us fix as many of these bugs as possible. There are sadly a million things that can lead to extraction issues for the videos, some of which we have no control over on our end (like one teammate having a weird file structure on their computer) but we have done our best to fix the most common ones. If you are still having issues, please check out our troubleshooting page. Support: You can find help in our Content Warning FAQ for the most common issues. If you still need help, you can also reach out to support@landfall.se for troubleshooting or to ask questions about the game. {STEAM_CLAN_IMAGE}/44957545/1046dc05685564812cfde19bbb11b3f9e74f0570.gif ",1743512816,
2881650,Hotfix for the latest update!,Hello everyone! Thanks to all of you who reported issues with videos failing to extract following the latest patch. We've released some more fixes for this bug. Patch Notes: Fixed: More fixes for extraction failure when trying to get your video {STEAM_CLAN_IMAGE}/44957545/5b479d9ea81bb8519b14ae684bde4eff2c8119b6.png ,1734101833,['patchnotes']
2881650,Small update! Mod support and fixes 👻,"Hello SpöökTubers and welcome to a small update! In this patch, we have some fixes but most importantly we have added mod support via the Steam Workshop! Patch Notes: Added Controller support (rebindable using SteamInput) Steam Workshop support for mods Fixes A bunch of defibrillator fixes, for example not being able to speak after being rezzed Fixes related to the extraction failing when you try to get your video Expanded shadow settings allow for higher-quality shadows Made tooltips correctly display rebindable keys Made select items 1-3 rebindable Matchmaking now prioritises lower ping matches Why mod support? When we launched CW there were immediately a bunch of really cool mods being made, so we're super happy to make it possible for those mods to be on the Steam workshop! The CW team is small and doesn’t have enough capacity for continuous updates alongside their other work, so having mod support is a great way to empower the community to create cool new stuff! We had hoped to have this up and running earlier but it took a little longer than expected. If you are a modder, here is the current documentation for creating and uploading mods: https://github.com/landfallgames/ExampleCWPlugin There’s also an unofficial modding Discord you can join to find out more about Content Warning mods. We can’t wait to see what kind of mods you all create! Re the video extraction issues: In the last couple of patches we, with your help, solved several issues that led to videos failing to extract. We want to thank everyone who sent in logs and other information to help us fix as many of these bugs as possible. There are sadly a million things that can lead to extraction issues for the videos, some of which we have no control over on our end (like one team-mate having a weird file structure on their computer) but we have done our best to fix the most common ones. If you are still having issues after this update please reach out to our support at support@landfall.se so we can help troubleshoot. Future updates: As we spoke about in our last patch, the dev-team is made up of five developers who took some time off from their main project to work on Content Warning. The other project has been in the works since 2021 together with a bigger team, so it’s important to the devs that they come back to finish it. As we explained in our latest post, they won’t work more on CW during this time. Therefore, we don’t know when or if there will be more Content Warning updates. That said we’re very happy with what Content Warning has become! It’s been a wild ride for a six-week project that blew all of our expectations out of the water. We’re thankful to you all who have been on this journey down to the old world with us so far, and we can’t wait to see what mod support brings! Finding games: If you’re having issues finding other players, we recommend checking out our Discord where you can find others to play with https://discord.gg/contentwarning Ports: We’re working with a porting studio to get the game onto other platforms, so we hope to have more news about that next year. Porting also means we will add achievements for PC! Support: You can find help in our Content Warning FAQ for the most common issues if you still need help you can also reach out to support@landfall.se for help troubleshooting or to ask questions about the game. ",1733905810,
2881650,"Patch: Language match-making, a new item and fixes!","Hello everyone! Here’s a new patch adding language matchmaking for those of you who want to play in your native language, a new purchasable item, infinite loading fixes and more solutions to the video extraction problems. {STEAM_CLAN_IMAGE}/44957545/c8bb5aca81f53c735c2830d139baa33e9b85230b.png Patch Notes: Added: 🛠️ Added a new purchasable item, ""Sketch Pad"" 🛠️ Added new matchmaking options for spoken languages 🛠️ Additional LODs for slightly better GPU performance on older GPUs Fixed: 🪲 Fixed issues with infinite loading 🪲 Fixed additional issues with video extraction failing (please send us logs when this happens) 🪲 Fixed issue with ""hold the bomb"" contract not being able to be fulfilled This will be the last patch for a while since ThePetHen, Skog, Zorro, Wilnyl and Philip have prior commitments to another project that they have been working on with another team since 2021. In the meantime, we are looking into getting the game onto other platforms! We hope to have more news about that and the future of Content Warning before the end of the year. We also want to shout out the amazing modders working on fun mods and improvements for the game. You can find more information about modding on the unofficial modding discord here: https://discord.gg/vEG7FZGsdk {STEAM_CLAN_IMAGE}/44957545/da8d06897a425ba5357e3de5a6f96342e65d8173.png ",1722254590,['patchnotes']
2881650,Content Warning Small Patch fixing various issues,"Hello everyone! The devs are back from a short break and working on bug fixes, thank you all for reporting issues and sending us detailed information and logs - if you experience more issues after this update please send us new logs and reports to support@landfall.se so we can take a look! Patch Notes: 🪲 Fixed issue where recording player's voice would be too low 🪲Localization Fixes 🪲 Fixed some issues with video extraction failing - we are still looking into this 🛠️ Added more logging to help us figure out the video extraction issue Please send us your logs if video extraction fails with the new update! This will help us figure out why it is happening so we can fix it! The player log contains information on your latest game session which can help us track down bugs. Recreate the bug you’re experiencing in the game before getting the log here: Press and hold the Windows key and the letter R on your keyboard Type appdata into the prompt that appears Then navigate to LocalLow\Landfall Games\Content Warning> locate the file called “Player” and send it to support@landfall.se We know a lot of you are wondering about content updates, we're currently focusing on fixes and quality-of-life features. As we've spoken about in the past we don't do estimates for updates as it leads to crunch for the team but we will let you know when and if a new update is on the way! :) {STEAM_CLAN_IMAGE}/44957545/1046dc05685564812cfde19bbb11b3f9e74f0570.gif",1718196909,['patchnotes']
2881650,You can finally kick people when hosting! 🙏,Heey SpöökTubers! You can finally kick people when hosting a game in Content Warning now! 🙏 Thank you for your patience as we implement more hosting features 🫶 {STEAM_CLAN_IMAGE}/44957545/ca012edbfceec31b295b37b1ae0cdbfcacad4fc9.jpg ,1715775014,['patchnotes']
