appid,title,contents,date,tags
1085660,The Dawning 2025,"The Dawning is here!Celebrate the season in Destiny 2 now until January 6, 2026. Snowball Fight Arrives in CrucibleJump into the new Snowball Fight activity: an all-out battle of frosty fun. No weapons, no abilities, just snowballs. Charge up for a powerful snowball Super and take down your rivals in the ultimate winter showdown.Bake Treats, Earn RewardsEva Levante returns with her festive cookie quest. Gather ingredients, collect Essence of Dawning, and bake treats for your favorite Guardians. Deliver your creations across the solar system to unlock exclusive Dawning-themed rewards including new weapons and their holofoil variants. Snowfall Across the SystemWe've got reports of snowfall in multiple locations. Craft and throw snowballs to slow, freeze, and shatter enemies. Plus, the Snowstorm modifier is active in Portal activities, spawning snowballs when you defeat combatants.",1765904420,
1085660,The Dawning 2025,"The Dawning is here!Celebrate the season in Destiny 2 now until January 6, 2026. Snowball Fight Arrives in CrucibleJump into the new Snowball Fight activity: an all-out battle of frosty fun. No weapons, no abilities, just snowballs. Charge up for a powerful snowball Super and take down your rivals in the ultimate winter showdown.Bake Treats, Earn RewardsEva Levante returns with her festive cookie quest. Gather ingredients, collect Essence of Dawning, and bake treats for your favorite Guardians. Deliver your creations across the solar system to unlock exclusive Dawning-themed rewards including new weapons and their holofoil variants. Snowfall Across the SystemWe've got reports of snowfall in multiple locations. Craft and throw snowballs to slow, freeze, and shatter enemies. Plus, the Snowstorm modifier is active in Portal activities, spawning snowballs when you defeat combatants.",1765904420,['vo_marketing_message']
1085660,"Destiny 2 Equilibrium loot table: All weapons, armor, and what drops where","Taking a look at an <strong>Equilibrium loot table</strong> for <a href=""https://www.pcgamer.com/destiny-2/""> Destiny 2 </a>'s new dungeon won't change what you get, but it will help you work out which encounter to farm if you're looking for a particular god roll on one of its weapons. There are seven new weapons in the dungeon, including an exotic combat bow inspired by Chewbacca's bowcaster from Star Wars... <a href=""https://www.pcgamer.com/games/fps/destiny-2-equilibrium-loot-table/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765814297,
1085660,This Week in Destiny - 12/11/2025,"This Week in Destiny, we are getting ready for our next dungeon race. Read on for all the info about Equilibrium's Contest Mode before it launches Saturday morning. We also have content creators fighting for their favorite Syndicates in Renegades' Lawless Frontier. Hopefully next week's The Dawning event brings them together after their ""friendly"" exchanges of banter and bullets...Equilibrium Dungeon Race this WeekendThe Dawning is Almost HereRefreshing the New Player GuideNew Dungeon, New Bungie RewardsCosplay Cosmodrome Moves to the Lawless FrontierHunt Down the System's Most WantedJoin Creators in Oath of the RenegadesLet's get started before The Dawning snow begins to fall: https://www.bungie.net/7/en/News/Article/twid_12_11_2025",1765479625,
1085660,Destiny 2: Equilibrium Dungeon,"Prepare to face deadly defenses while hunting down the acolytes of Dredgen Bael. The Equilibrium Dungeon opens on Saturday, December 13 at 9 AM PT. Register your fireteam to compete for the World First Race.🏰 bung.ie/equilibrium",1765389623,
1085660,This Week In Destiny - 12/04/2025,"This Week in Destiny, we’re celebrating the launch of Renegades! Whether you’ve dived straight into the story or are already preparing for the Dungeon Race coming up soon, we hope you’ve enjoyed the journey so far.•     Cosplay Cosmodrome has landed!•     Twitch Drops and a Discord Quest•     Streaming overlays for everyone•     Check out the upcoming Renegades Bungie Rewards•     ... and some new details as we prepare for the Dungeon Race!Welcome to Renegades.",1764970209,
1085660,Destiny 2: Renegades,"The Lawless Frontier calls in Destiny 2: Renegades. Every choice carries risk, and every alliance comes at a price. Navigate a world of shadows and syndicates, shape your legend through influence, and become the force that tips the balance. The Lawless FrontierThe crime syndicates of Tharsis battle for control. Take on high-risk assignments and use powerful new abilities to turn the tide.New Story MissionsStep into the next chapter of the Fate Saga and forge uneasy alliances that pull you deeper into a hidden world of shifting loyalties and escalating conflict.New DungeonInfiltrate a Barant Imperium warship and hunt down the acolytes of Dredgen Bael.",1764694858,
1085660,Destiny 2: Open Access Week,"Celebrate the launch of Destiny 2: Renegades with Open Access Week from December 2 at 9:00AM PT to December 16 at 9:59AM PT. All currently available Destiny 2 expansions, including The Edge of Fate, in addition to raids, dungeons, and content packs, will be playable at no additional cost on all platforms. All currencies, weapons, armor, Titles, Triumphs and cosmetics that players earn during this week will be theirs to keep.",1764694857,"['mod_reviewed', 'ModAct_487176015_1764698844_0', 'mod_require_rereview']"
1085660,Renegades Cinematic Trailer,"Forge uneasy alliances, take on high-risk assignments, and build your notoriety notoriety in the next chapter of the Fate saga.",1764604802,
1085660,Lucasfilm пытается спасти Bungie: Представлен релизный трейлер Destiny 2: Renegades,Студия <strong>Bungie</strong> опубликовала релизный трейлер дополнения Renegades для условно-бесплатного шутера <strong>Destiny 2</strong>. Выход дополнения состоится 2 декабря. ,1764266352,
