appid,title,contents,date,tags
2592160,DisPatch 1.0.16598 - 12/16/2025,"DisPatch 1.0.16598 - 12/16/2025Fixed softlock when pausing during the completion of a hacking levelFixes for incorrect hero power behaviors includingWaterboy ""Eager Sponge"" auto assign, Punch Up ""Squeeze In"", Invisigal's ""Ear on the Ground"", and Prism's ""Doppelganger Illusion""Fixes for softlock behaviors in episode 8 gameplay shifts including heroes in perpetual waiting status and inability to interact withthe convoyFix forhero injury and hero down behavior in episode 8 gameplay shiftsFix for UI in hacking levels in episode 8 gameplay shiftsFix issue to heroes being assignable in waiting modeImprovements to analytics performanceMinor audio, visual, subtitle and localization fixes across the season",1765905766,['patchnotes']
2592160,Steam Global Top Sellers for week of 25 Nov — 2 December 2025,"<a href=""https://steamdb.info/topsellers/2025W49/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/261550/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Mount & Blade II: Bannerlord</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/1091500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Cyberpunk 2077</a>; * <a href=""https://steamdb.info/app/2927200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Mount & Blade II: Bannerlord - War Sails</a>; * <a href=""https://steamdb.info/app/227300/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Euro Truck Simulator 2</a>; * <a href=""https://steamdb.info/app/2592160/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dispatch</a>; * <a href=""https://steamdb.info/app/2183900/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Warhammer 40,000: Space Marine 2</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W49/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1764666000,
2592160,Супергероям нужен ментор: Обзор Dispatch,"Подходящий к концу осенний период оказался довольно увлекательным с точки зрения наблюдения за индустрией. Мы стали свидетелями краха <strong>Call of Duty</strong>, очередной серии промахов от <strong>Microsoft</strong>, воскрешения <strong>Battlefield</strong>, становления<strong> ARC Raiders </strong>и так далее. Однако даже на этом фоне <strong>Dispatch</strong> не только не затерялась, но и стала ярким событием. ",1764298740,
2592160,Steam Global Top Sellers for week of 18 Nov — 25 November 2025,"<a href=""https://steamdb.info/topsellers/2025W48/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/632360/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Risk of Rain 2</a>; * <a href=""https://steamdb.info/app/2781620/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Risk of Rain 2: Alloyed Collective</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/2592160/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dispatch</a>; * <a href=""https://steamdb.info/app/394360/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Hearts of Iron IV</a>; * <a href=""https://steamdb.info/app/3606480/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Call of Duty®: Black Ops 7</a>; * <a href=""https://steamdb.info/app/2215430/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Ghost of Tsushima DIRECTOR'S CUT</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W48/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1764061200,
2592160,Dispatch - Steam Awards!,"Seven years after we started AdHoc, Dispatch finally launched with a story we always hoped to tell -- one rooted in flawed heroes, messy relationships, and the quiet moments that define who they really are.If Dispatch resonated with you, if you connected with Robert, Blonde Blazer, Visi, or any of our deeply imperfect heroes trying to do the right thing, we would be incredibly grateful for your consideration in this year’s Steam Awards under Outstanding Story-Rich Game.From day one, our goal wasn’t scale or spectacle -- it was to make something human. Something where choices mattered not just because of their branching consequences, but because they revealed a bit of who you are under pressure. If that experience meant something to you, your nomination would mean the world to our team.We’re spotlighting Outstanding Story-Rich Game here, but you’re encouraged to nominate Dispatch in any category you think we’ve earned: Best Soundtrack, Outstanding Visual Style, Game of the Year, and others!There are so many incredible games deserving of your vote, and we’re deeply grateful you gave ours a chance. Thank you for playing, and for helping this weird little superhero game find the audience it has today.",1764017773,"['steam_award_nomination_request', 'mod_hide_library_overview', 'mod_reviewed', 'ModAct_1803566692_1764018352_0', 'mod_require_rereview']"
2592160,DisPatch 1.0.16409 - 11/19/2025,"H4ck3d by R0b3rt achievement unlock fixed so those who should have already unlocked it, will receive it upon starting the game or switching to the save slot with that data. Fix for issues unlocking Min Max achievement when upgrading a hero's stat to 10 with a random point Conditional outcome tuning to balance character relationships in episodes 7 & 8 The first time ""Tailor Your Experience"" menus will now only appear when no save slots have save data Potential fix for low level crashes and Fatal Error! on launch Added safeguards for overwriting save data when save files fail to load Fixed crash related to antivirus in Hacking levels Fixed softlock in the first gameplay shift of episode 8 Fixes to Flight School Hero Training scenario issues when heroes had already upgraded powers Improvements made to waveform matching display in certain Hacking levels Minor audio, visual, and localization fixes across the season ",1763581012,['patchnotes']
2592160,I have finished Dispatch and now I'm at a loss so I'm going to play it again,"Last night I finished my first run in the new episodic superhero adventure Dispatch from AdHoc Studio, and now I don't know what to do with myself. Read the full article here: https://www.gamingonlinux.com/2025/11/i-have-finished-dispatch-and-now-im-at-a-loss-so-im-going-to-play-it-again/ ",1763557007,
2592160,Steam Global Top Sellers for week of 11 Nov — 18 November 2025,"<a href=""https://steamdb.info/topsellers/2025W47/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/3274580/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Anno 117: Pax Romana</a>; * <a href=""https://steamdb.info/app/3606480/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Call of Duty®: Black Ops 7</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/2592160/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dispatch</a>; * <a href=""https://steamdb.info/app/3932890/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Escape from Tarkov</a>; * <a href=""https://steamdb.info/app/2799860/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">INAZUMA ELEVEN: Victory Road</a>; * <a href=""https://steamdb.info/app/3917090/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Assetto Corsa Rally</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W47/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1763456400,
2592160,DisPatch 1.0.16338 - 11/17/2025,"Fix for H4ck3d by R0b3rt achievement unlock Fixed scenarios not progressing after hero assignment in episode 8 shifts Fixed heroes not returning when activating Malevola's ""Portal Ritual"" power Fixed issues when using Phoenix Up to revive downed heroes in episode 8 shifts Localization and Analytics improvements across the season Minor audio, VO, and hero art fixes across the season ",1763401979,"['patchnotes', 'mod_reviewed', 'ModAct_1803566692_1763416495_0', 'mod_require_rereview']"
2592160,DisPatch 1.0.16254 - 11/13/2025,Fixed progression blockers in episode 8 shifts Fixed Hero Downed and revive bugs in episode 8 shifts Hero VO implementations across shifts Fixed discrepancies with bouncing ball display on scenario completions ,1763053172,['patchnotes']
