appid,title,contents,date,tags
570,"Dota 2 patch 7.40 adds new hero Largo, whose ultimate has one of the coolest mechanics I've seen in ages","In a surprise to absolutely no one, my favorite Dungeons and Dragons class is Bard. As both a musician and support main, it's the perfect blend of buffs and damage, with a dash of charisma on the side. <strong>Dota 2</strong> has always kept itself pretty close to its fantasy roots, with characters like Dragon Knight, Drow Ranger, and Enchantress, but now it's got Largo, who may as well be 'Frog Bard.' Performing (pun intended) exactly as expected, his focus is on buffing allies and bestowin' mighty fine curses on his foes, while his adorable little froglings help to deal damage. As someone who's just got back into League of Legends, I can feel Valve's <a href=""https://www.pcgamesn.com/which-best-moba"">MOBA</a> calling to me. <a href=""https://www.pcgamesn.com/dota-2/largo-patch-7-40"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dota-2/monster-hunter-collab"">I never thought I'd see Dota 2 and Monster Hunter in the same sentence, but the MOBA's biggest collab ever just dropped out of nowhere</a> <a href=""https://www.pcgamesn.com/dota-2/gabe-newell-ti-2025-speech"">People ""talk s**t"" to Gabe Newell when he plays Dota 2, but he's okay with it</a> <a href=""https://www.pcgamesn.com/dota-2/system-requirements"">Dota 2 system requirements</a> ",1765879060,
570,Introducing Largo and Patch 7.40,"{STEAM_CLAN_IMAGE}/3703047/c09b13cda87a548b83b626fb33a32efd7895c634.png Dota is an ensemble cast, but keen observers looking through the collection of rogues, wizards, druids, and knights (not to mention two characters named ""ranger"") may have noticed the absence of that most maligned of hero classes: the bard. At least, up until now. Introducing Dota's newest hero: Largo, the bard. Unlike bards with your traditional bard powers (singing about current events and chord changes), Largo is the shamanic head of the bardmonk order. He tailors every song to his exact circumstances, raising his allies' spirits or, if necessary, their foot speed as they run toward battle (or away). As a frog, his prehensile tongue has, shall we say, all kinds of tricks. You can read a little about his past, or you can help explore his future in Dota right now. Today's update also includes gameplay patch 7.40. (As is tradition, the patch notes are too long to fit in this blog, so we made a whole site to hold them and show some highlights.) Largo is taking over the main menu in Dota for a bit, but the Monster Hunter event is still ongoing and there's plenty of time left to craft whatever you're working towards. Since it's the holidays, we're putting the Dota 2 x Monster Hunter Expedition Pack on sale and granting everyone who owned it already a special early-purchase voucher material bundle. On top of that, we're giving everyone who logs in over the holidays a free bundle of crafting materials. Happy hunting! Speaking of holiday festivities, some of the usual shenanigans have made their reappearance, reminding us all of the true spirit of the holidays: pelting your enemies in the face with snowballs. We hope everybody in the Dota community has a safe and happy holiday, and we'll see you next year.",1765843654,
570,The International 2026 Live Event Broadcast RFP and Broadcast License Requests,"The International returns to Shanghai, China in August 2026, and we’d like to invite all companies interested in producing and distributing regional language broadcasts of The International 2026 to apply now. For the Live Event Broadcast Production of this year's show, we’ll be accepting proposals for Russian and Spanish language broadcast partners. The RFP (Request For Proposal) documentation and instructions for submissions can be found here. For those seeking additional licenses and feeds, please fill out the form below that pertains to the correct request: Production companies seeking a commercial license to produce a regional language broadcast of The International 2026 without additional access to the event can apply here. Streaming platforms interested in restreaming the official broadcast feeds to their platform can apply here. Fans interested in trying their own hands at casting are welcome to create strictly noncommercial casts from DotaTV that follow the Dota 2 Community Streaming License, and do not need to make an official request. Please reach out to theinternationalrfp@valvesoftware.com with any additional questions. Thanks in advance to everyone interested in working with us to bring The International 2026 to life.",1765574894,"['hide_store', 'hide_library_overview', 'hide_library_detail']"
570,"I never thought I'd see Dota 2 and Monster Hunter in the same sentence, but the MOBA's biggest collab ever just dropped out of nowhere","<strong>Dota 2</strong> used to be an absolute fiend for a good crossover. From Final Fantasy to Fallout, Deus Ex to Darkest Dungeon, Valve's hit <a href=""https://www.pcgamesn.com/which-best-moba"">MOBA</a> has been inundated with cosmetic goods and iconic announcer packs over the years. Hearing Morty crash out over a Rampage never gets old, but after seven years without a third-party peep, it's certainly time for some new blood in the collab arena. The good news, if you're a Monster Hunter fan, is that Valve and Capcom have banded together to create some pretty sweet in-game goodies for you to craft up. Oh, and it's live right now. <a href=""https://www.pcgamesn.com/dota-2/monster-hunter-collab"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dota-2/gabe-newell-ti-2025-speech"">People ""talk s**t"" to Gabe Newell when he plays Dota 2, but he's okay with it</a> <a href=""https://www.pcgamesn.com/dota-2/system-requirements"">Dota 2 system requirements</a> <a href=""https://www.pcgamesn.com/dota-2/7-39-patch-notes-spring-forward-2025"">The Dota 2 7.39 patch brings hero reworks and a serious quality-of-life upgrade</a> ",1762868535,
570,Dota x Monster Hunter,"It's open season on the world's most dangerous heroes, and you're just the hero we need to track them all down. We're happy to announce a massive Dota/Monster Hunter crossover with new sets, new pets, a new in-game hunt and crafting system, and of course monsters. (For everyone who thinks Dragon Knight turning into a dragon is awesome but would be more awesome if he turned into Rathalos instead, great news: Capcom was just as excited as we were to make this happen). There are six Monster Hunter-themed item sets to collect in all, each bringing a classic Monster Hunter armor set into the Dota world, and each with three craftable alternate versions. There's also a new Palico courier with craftable costumes, and even your very own pet Poogie with craftable outfits. Your Poogie will hang out in your base, waiting to give you love whenever you return (and, assuming he is house trained, not pooping on your base). The core version of each hero set is available to all Dota players for free, and can be crafted once you've harvested the necessary materials from hero hunts. In addition, the Hero Atlas will help you track your progress, explore hero lore, and gather dispatches from the farthest realms, penned by Axe's loyal scribe Goodkind. For those that want more, the Expedition Pack includes more of everything: usable Monster Hunter monsters (Rathalos for Dragon Knight and the Bullfango for Beastmaster), a Monster Hunter music pack and seasonal spray collection, and a bundle of crafting materials to get you started. Expedition Pack holders can also craft exclusive Poogie, Palico, and hero set variants with custom ambient and Immortal effects. The hunt is on, and will run for the next three months. Get in the game, vanquish your enemies, and transform your victories into new items. Oh, and look out for monsters.",1762812389,
570,Dota 2 Update - 10/09/2025,"Since the 7.39e gameplay patch, we've addressed the following issues:Items on trade cooldown can no longer be listed on the Steam MarketRemoved separate ""Market Cooldown"" timer from item tooltips as it is no longer relevantFixed people being able to find the server id of non-friends playing matchesFixed relic progress displaying for the enemy teamFixed server crash involving Helm of the DominatorFixed various interactions with ethereal state and debuff immunityFixed an issue where the number of charges for an ability could be displayed as ""...""Fixed Kez base agility being unintentionally decreasedFixed Kez's Falcon Rush removing ParryFixed various issues for Kez's Aghanim's ScepterAbility Draft FixesShadow Demon: Shadow Servant no longer spawns illusions from clones created with Wukong's CommandIo: Spirits Aghanim's Scepter no longer passively creates spirits around clones created with Wukong's CommandFixed a number of visual issues with the following Collector's Cache Vote setsPudge's ""Pudgette""Arc Warden's ""Splinter of the Primordial Origin""Centaur Warrunner's ""Knight of the Lilies""",1760033899,['patchnotes']
570,Collector's Cache Voting Open Now,"No matter what else is happening in the world of Dota, the Community Workshop artists never stop dreaming up cool new item sets for all their favorite heroes. Which of course means the workshop is near-to-bursting with game-worthy sets, and — you guessed it by cleverly reading the title above — we'd love your help choosing which of those awesome sets next make their way into the game. If that sounds fun, it's easy to chime in. Just jump on into the Dota 2 dashboard, click the Collector's Cache Voting button, and then upvote or downvote the sets as you see fit. Voting is open from now until October 22, so make sure you dig through all the offerings before then. You'll soon see the most popular sets strutting, slithering, and skittering through your lanes. So many of our updates, ranging from treasures like Collector's Caches and Heroes' Hoards all the way to events like Crownfall, include amazing contributions from our community artists who first and foremost are Dota fans just like you. In this and countless other ways, Dota fans don't just play the game we all love, they help shape it. We hope you'll jump into the voting queue and have your say.",1759874536,
570,7.39e Gameplay Patch,Patch 7.39e is out now and you can check out the patch notes here. ,1759443858,['patchnotes']
570,The International 2025 Grand Champions,"{STEAM_CLAN_IMAGE}/3703047/4ba13ce440c2d97294b14560cfcf46a3f1b113be.pngCongratulations to Team Falcons, Grand Champions at The International 2025. After a year of mixed results, Team Falcons finally soared to the Aegis of Champions in Hamburg — by clawing, scrapping, and grinding through one of the grittiest marathons The International has ever seen. Of their ten series, only three were sweeps. Every other battle went the distance, including a five-game Grand Final. Falcons established themselves early with 2-1 wins over Nemesis and Tundra. Their first stumble came against Xtreme Gaming in a three-hour slugfest. Falcons ultimately fell, but their resilience was on full display. Next, they wiped away Team Liquid 2-0, but the following series against Tidebound was much more turbulent. Falcons lost, and suddenly elimination was looming. Their opponent in the elimination round? Team Spirit, the tournament favorites. The Result? A 2-0 statement from Falcons that sent the perennial powerhouse packing. Team Falcons had found their wings just in time for the main stage. They opened in Barclays Arena with a vengeance: a 2-0 sweep over Tidebound. Against BB Team, Falcons dropped the first match. Instead of playing it safe, they leaned into an aggressive draft to win game two. In game three, Falcons quickly put BB into a chokehold. PVISION was next. Falcons absorbed a painful stomp in game one, but rolled away with game two to even the set. To cap it off in game three, Falcons punched their ticket to the Grand Final by delivering an hour-long triumph that had the crowd roaring at the events on stage. To claim the Aegis of Champions on the final day, Team Falcons would need to defeat the only other team that had beaten them. Xtreme Gaming had survived an intense lower bracket final to set up a fitting rematch. In the first game, Xtreme carved Falcons apart. Falcons answered right back with a stunning beatdown in the next one. Game three seemed evenly matched — until a game-turning team wipe pushed Falcons into a 1-2 series hole. They clawed back in game four to stave off elimination and force a decisive game five. In the decider, a strong draft from Falcons unleashed a disruptive combo into the fray, and from minute 15 onward they took control of the map. Xtreme Gaming made a valiant effort at defense, but in the end Team Falcons tore into the enemy heroes and smashed down the Ancient — and the Aegis of Champions was theirs to claim. As bearers of the ultimate symbol of victory, these names shall forever be inscribed upon the Aegis of Champions: 2025 - Team Falcons Oliver ""skiter"" Lepko Stanislav ""Malr1ne"" Potorak Ammar ""AMMAR_THE_F"" Alassaf Andreas ""Cr1t-"" Nielsen Jingjun ""Sneyking"" Wu Looking Back Like Dota itself, The International is an awe-inspiring mixture of countless moving parts. Every fan cheering in the arena, every fantasy roster and prediction made around the world, all the strategy proclamations made from the safety of your own home, the production staff that builds the show, and of course the players competing in the booths — it all adds up to an incredibly special event that we're honored to take part in. As always, we would like to thank all of the players, talent, and everyone in the Dota community for helping bring this global celebration to life. If you missed any of the tournament, or just want to rewatch the amazing plays, head over to the Dota 2 YouTube channel, where you can find replays of the entire show. You can also find a trove of photos from the event over on the Dota 2 Instagram and Dota 2 flickr. Celebrate the Champions Special Champion edition sticker capsules are now available for purchase for Team Falcons. Each capsule contains one sticker featuring skiter, Malr1ne, AMMAR_THE_F, Cr1t-, Sneyking, or Team Falcons. 50% of all sales will go directly to Team Falcons. Unwrap Your Rewards As everyone's brackets may have noticed, the outcome of The International this year was a touch...unpredictable. So it's a good thing Fantasy Rewards are graded on a curve. Whether you're in the Top 100 with an astonishing 31560+ points, or ""just"" someone in the Top 15% with your hard-earned 8280+, you can head into the client to claim your prizes this Thursday, September 18. New Cosmic Heroes' Hoard Treasure {STEAM_CLAN_IMAGE}/3703047/2b1c4ca00864f50bcfab09a102a256edf4f1ddff.png The International may be over, but the cosmic trappings of this year's event need never end, because we've got 17 all-new special-themed item sets — featuring Immortals, Personas, and more — to wrap your favorite heroes in. Each treasure contains a set for Spirit Breaker, Enigma, Void Spirit, Ancient Apparition, Mirana, Zeus, Phoenix, Sven, Crystal Maiden, Faceless Void, Marci, Phantom Assassin, or Lina, as well as the chance to add a rare Tinker, Ogre Magi, Luna, or Earthshaker set into the mix. The Earthshaker set even includes the hero's Planetfall Arcana, returning for the first time. Jump into the game to check out the full sp...",1758062560,
570,"People ""talk s**t"" to Gabe Newell when he plays Dota 2, but he's okay with it","I consider myself pretty good at <a href=""https://www.pcgamesn.com/which-best-moba"">MOBAs</a>. While my primary choice will always be League of Legends, I've played (and lost) a few <strong>Dota 2</strong> games in my time, piloting heroes like Queen of Pain, Muerta, and Crystal Maiden to somewhat mixed success. Despite the fact that most people believe that Valve has left the once-iconic multiplayer heavyweight to rot, when The International rolls around I can't help but get excited. What I didn't expect, however, was a message from company president Gabe Newell saying that people still ""talk shit"" to him when he plays, and in some ways, it's made me feel better about feeding my lane. <a href=""https://www.pcgamesn.com/dota-2/gabe-newell-ti-2025-speech"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dota-2/system-requirements"">Dota 2 system requirements</a> <a href=""https://www.pcgamesn.com/dota-2/7-39-patch-notes-spring-forward-2025"">The Dota 2 7.39 patch brings hero reworks and a serious quality-of-life upgrade</a> <a href=""https://www.pcgamesn.com/dota-2/update-kez-crownfall-act-four"">New Dota 2 hero Kez brings two full skill sets to the Valve MOBA</a> ",1757614506,
