appid,title,contents,date,tags
2054970,A message of thanks,"{STEAM_CLAN_IMAGE}/44225443/77299cb0fdd3af70325360c22de341910a60ec7e.jpg Thank you to the 4 million Arisen around the world! We’re grateful to share the immersive fantasy world of Dragon’s Dogma 2 with you all, where freedom and adventure await. - The Dragon's Dogma 2 Team *As of Nov 5, 2025. ",1763529542,
2054970,Popular titles are now on sale at unbeatable prices!,"Step into the spotlight with our latest sale! Kunitsu-Gami: Path of the Goddess—a stunning journey through Japanese-inspired mythology—is now 25% off for the first time ever. And don’t miss the acclaimed mystery adventure Ghost Trick: Phantom Detective, now available at its deepest discount yet: 67% off. Grab these Capcom favorites at unbeatable prices while the deals last!! https://clan.fastly.steamstatic.com/images/44225443/42785005c1824b34c51214000bbdd93bb4d9d832.jpg https://store.steampowered.com/app/2054970/Dragons_Dogma_2/ https://store.steampowered.com/app/2510710/Path_of_the_Goddess/ https://store.steampowered.com/sub/1186209/ https://store.steampowered.com/app/2401970/12/ https://store.steampowered.com/app/1967430/_/",1763520706,
2054970,"If you're lucky, you could get Dragon's Dogma 2 and five other games for just $13","For all its performance woes at launch, <strong>Dragon's Dogma 2</strong> holds a special place in my heart - even if a dragon did eat it. It's one of the <a href=""https://www.pcgamesn.com/15-best-rpgs-pc"">best RPGs</a>, allowing you to engage with a brutal, challenging world, with fast-paced and brilliant combat that sees you scaling monsters that tower over you with ease. If you're looking to sink your teeth into this overlooked gem, there's a chance to grab it and five other games for just $13 / £13 - that's just $2.16 / £2.16 per game for the lucky few who get it. <a href=""https://www.pcgamesn.com/dragons-dogma-2/mystery-showcase-bundle"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dragons-dogma-2/under-30"">At under $30, Dragon's Dogma 2 is now at its lowest price ever</a> <a href=""https://www.pcgamesn.com/humble-bundle/rpg-sale"">Get Dragon's Dogma 2, Metaphor Refantazio, and more RPG hits at up to 90% off</a> <a href=""https://www.pcgamesn.com/dragons-dogma-2/system-requirements"">Dragon's Dogma 2 system requirements</a> ",1762968095,
2054970,"""Я не Nintendo, не пытался понравиться всем"": Создатель Dragon's Dogma 2 Хидеаки Ицуно ответил на критику игры","Ветеран <strong>Capcom Хидеаки Ицуно </strong>впервые отреагировал на критику <strong>Dragon's Dogma 2</strong>. Он признался, что гордится своей игрой, но в то же время не удивлен смешанным отзывам от покупателей . ",1756327320,
2054970,"At under $30, Dragon's Dogma 2 is now at its lowest price ever","<strong>Dragon's Dogma 2</strong> is just over a year old now, but boy oh boy, it's still worth sinking countless hours into. Since its debut, Capcom has released many patches to improve the overall game experience, so throw any negative day one reviews in the bin, because Dragon's Dogma 2 is a monsterpiece. If you've not played it yet, Humble Bundle has it at a nice 58% discount, and if you're really lucky, you might even be able to get it for 64% off in a Fanatical flash sale (though the deal is only available for 24 hours). <a href=""https://www.pcgamesn.com/dragons-dogma-2/under-30"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/humble-bundle/rpg-sale"">Get Dragon's Dogma 2, Metaphor Refantazio, and more RPG hits at up to 90% off</a> <a href=""https://www.pcgamesn.com/dragons-dogma-2/system-requirements"">Dragon's Dogma 2 system requirements</a> <a href=""https://www.pcgamesn.com/dragons-dogma-2/fanatical-lowest-price-sale"">Dragon's Dogma 2 hits its lowest price yet, and it's absolutely worth playing</a> ",1750703203,
2054970,"Get Dragon's Dogma 2, Metaphor Refantazio, and more RPG hits at up to 90% off","RPG fans: you do not want to miss this latest deal from Humble Bundle . Right now, Humble has discounted up to 90% off loads of brilliant RPGs, meaning you can save big on some of the biggest hits of the last few years, like Metaphor: ReFantazio and <strong>Dragon's Dogma 2</strong>. <a href=""https://www.pcgamesn.com/humble-bundle/rpg-sale"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dragons-dogma-2/system-requirements"">Dragon's Dogma 2 system requirements</a> <a href=""https://www.pcgamesn.com/dragons-dogma-2/fanatical-lowest-price-sale"">Dragon's Dogma 2 hits its lowest price yet, and it's absolutely worth playing</a> <a href=""https://www.pcgamesn.com/dragons-dogma-2/friction"">2024 was the year of videogame friction, for better and for worse</a> ",1748025190,
2054970,To all Dragon's Dogma 2 players on Steam - Title Update,We have released an update including the following modifications and fixes. ・Fixing issue where sometimes items can't be selected correctly on the item selection menu if a very large number of items are possessed.,1744161685,
2054970,Создатель Devil May Cry 5 Хидэаки Ицуно объявил о работе над новым ААА-экшеном — игроков ждет уникальный проект,"Ветеран <strong>Capcom Хидэаки Ицуно</strong>, возглавивший в прошлом году студию <strong>LightSpeed Japan Studio </strong>под крылом китайского гиганта <strong>Tencent</strong>, сообщил о разработке <strong>масштабного ААА-экшена в японском стиле</strong>. ",1742565600,
2054970,"Dragon's Dogma 2 разошлась тиражом в 3,5 миллиона копий","<strong>Capcom</strong> обновила «платиновый» список продаж, а вместе с ним данные о тираже <strong>Dragon's Dogma 2</strong>. Так, по состоянию на 31 декабря 2024 года компании удалось реализовать <strong>3,5 миллиона копий</strong> экшен-RPG, релиз которой состоялся 22 марта на <strong>PlayStation 5</strong>, <strong>Xbox Series X|S</strong> и <strong>PC</strong>. ",1738691820,
2054970,To all Dragon's Dogma 2 players on Steam - Title Update,We have released an update including the following modifications and fixes. ・Fixing issue where some enemies wouldn't respawn until the game was restarted. ・Fixing issue where the resistance index of some enemies and NPCs towards some status anomalies wasn't reflected correctly. ・Fixing issue where Pawns would sometimes lead to previously activated forgotten riftstones if there were open slots for support Pawns. ・Fixing issue where Pawns of other players would sometimes not appear in riftstones when the Arisen is above level 998. ・Fixing issue where sometimes Pawns would speak lines that don't correspond to their specialization.,1738123223,
