appid,title,contents,date,tags
534380,The Steam Awards 2025: We Need You!,"Pilgrims, we’re well into 2025, and before the year moves on, we’d love for you to consider nominating Dying Light 2: Stay Human for the ‘Labor of Love’ award at this year’s Steam Awards.We continue to support the game with new updates - expanding Tower Raids, introducing fresh themed events, and creating more experiences for our community. Your passion for Dying Light 2 drives us to keep improving and delivering exciting content. Thank you for being part of our journey - we couldn’t do it without you! ",1764007256,"['steam_award_nomination_request', 'mod_hide_library_overview']"
534380,Hotfix 1.25.2,"Survivors! Hotfix 1.25.2 just rolled onto the servers, so make sure to update the game! Here’s the list of the fixes: Fixed the FPS spikes in Tower Raid Fixed the crash that sometimes occurred when returning to Teresa after completing Dodger`s challenge Fixed the inconsistency in Aiden’s shadow and body when having certain Halloween weapons equipped Fixed the shoulder pad sometimes clipping through the shoulder Fixed the issue when the Player fails to switch to the right tab when clicking on it in the Player menu Fixed the issue with the Bad Office Day Outfit being assigned to the CONSUMABLES / ACCESSORIES vendor category Fixed the issue with Van Aiden not being able to craft bolts Fixed the issue where the Phantom of Death Paraglider can be purchased multiple times Fixed the issue when the Player is not rewarded for having the highest score in Status Effects Applied Fixed the issue with Ultraviolence & Cutthroat Cutlass starting with a Level 3 upgrade Fixed the issue with the Scarecrow Charm's effect about cutting off limbs not affecting blunt weapons Fixed the issue with the Volatile Hunter bounty not counting Pumpkintiles properly Fixed the Elite Rooftop objective description mentioning killing the Volatiles when we have to kill Tyrant Fixed the issue with the Player being stuck when jumping on a desk wall from a certain angle on Floor 14 Fixed the issue with Candies collected on a UGC map not being counted towards the Collect Candies bounty ",1762451362,['patchnotes']
534380,VOLKAN BUNDLE,"Step into the post-apocalyptic world equipped with Volkan Corporation’s cutting-edge space gear. Blast through hordes and pave the way for humanity’s next great leap in survival. Grab it from the in-game store now!This bundle contains:Volkan Exosuit — Tested in hostile environments, approved for cosmic deployment. Don this spacesuit to explore dangerous habitats on Earth before setting your sights on the stars.Pulsecaster Hybrid — Blow the head off any threat, even those unfathomable to mankind. Comes with two unique modes, allowing you to switch between an assault rifle and anti-gravity bursts at will.Phase Shard + Blueprint — Even the finest soldier needs a close-quarters edge. Strike fast with this compact yet deadly dagger that leaves enemies extra vulnerable to firearms.Memory of Space Charm — A reminder of humanity’s aspirations, now lost to the madness of the world. This charm increases your chances of sending enemies hurtling into the air.Aeroflux Paraglider — Whether escaping hordes or diving from orbit, sometimes it’s the simplest tech that saves the day. ",1762334543,
534380,CYBERRAIDER BUNDLE,"The city’s rotting from the inside out as the zombie population grows by the day. It’s every punk for themselves now. Gear up with the new CyberRaider Bundle and fight to survive the madness. Snatch it from the store now! This offer is time-limited, available for purchase only until December 1st 12:00 CET This bundle contains:Tower Raid Unlock — Instantly unlock CyberRaider as a playable character for Tower Raid! CyberRaider Outfit — Pieced together from scavenging raids deep within the city’s underbelly, this futuristic protective gear has survived more than a few close calls. UltraViolence + Blueprint — Powered by plasma tech, this glowing blade slices through enemies, emits UV radiation and unleashes a UV blast with every power attack after a 30-second cooldown. Its built-in systems allow you to throw it and recall it at any moment. Null Barrier + Blueprint — Turn defense into rebellion. This high-frequency manica emits bursts of ultraviolet energy strong enough to repel zombies and shatter their illusion of dominance. UV Tank Charm — This energy tank radiates enough power to amplify the damage of your weapon thrown at an enemy.  Cyber Vulture — Glide above the chaos in the streets with this slick paraglider, perfect for those who live on the edge at night and don’t fear the fall. ",1761910190,
534380,Halloween Showdown is here!,"Halloween returns to Villedor - bigger, creepier, and full of treats! 🎃 🍬 Join Halloween Showdown, a three-week face-off where factions clash for glory and rewards. Earn new Halloween Candies, back your side, unlock themed weapons, and claim exclusive charms. 🍬 The Tower Raid gets its own haunted twist - new floors, a rooftop boss, and the debut of CyberRaider! 🍬 Pick your side, earn your treats, and survive the spook. {STEAM_CLAN_IMAGE}/35210443/6b0d49785c7c34694df48a861df1170d922940cf.jpg",1761855290,
534380,Update 1.25 - Halloween Patch (1.25),"Halloween returns to Villedor with a blend of familiar scares and new surprises. This year’s event combines the open-world experience with the Tower Raid: Halloween Run format introduced last year. Over three weeks, the event will evolve with new challenges, global goals, and rewards. Halloween Showdown Halloween returns to Villedor, and this year, it’s bigger, creepier, and packed with plenty of treats! The Halloween-themed decor can be found in various parts of the City once again. Pumpkintiles and seasonal infected roam the streets, dropping Halloween Candies when defeated. This year’s Halloween event spans three weeks, each built around head-to-head faction contests that challenge players to pick a side and contribute to their faction’s success. Baka the Unfortunate once again serves as the event vendor and guide, distributing bounties, handling trades, and rewarding survivors who embrace the Halloween spirit. The event runs over three consecutive week-long competitions. Each week presents a new pair of rival factions led by themed characters: Week 1: Plague vs. Scarecrow Week 2: Van Aiden vs. Count Skull Week 3: CyberRaider vs. Cursed Pirate By completing event activities across Villedor and in the Tower Raid mode, players earn a special event currency: a new type of Halloween Candy. These candies function similarly to previous years’ event tokens, but earning them may vary between weeks: Week 1: you earn them by killing Halloween enemies across Villedor Week 2: you earn them by playing Tower Raid Week 3: you earn them by doing bounties on our Community Maps Players can exchange these candies with Baka to contribute points toward a chosen faction’s goal. Both factions work toward milestones, and once the target is reached, all participants receive themed weapons corresponding to that matchup. However, the competition continues until the end of the week, encouraging players to keep contributing for a shot at an additional reward. At the conclusion of each weekly competition, the faction that accrues the most points unlocks an exclusive character-themed charm for all players. These charms are visible in-game through the faction selection screen, allowing everyone to see the competing rewards and decide which team to support. Throughout the event, players can continue to earn candies and reputation by completing bounties, defeating seasonal enemies, exploring the City, and conquering Tower Raid’s haunted variant. Speaking of Tower Raid, this Halloween features new layout variations, random modifiers, and a specially decorated rooftop arena culminating in a boss fight unique to this event. Long-time favorites Scarecrow, Plague, Van Aiden, and Cursed Pirate (who you will be able to keep after the event ends) return as playable characters. The new competitor, CyberRaider, joins the lineup with a futuristic, high-mobility combat style. To spice things up, each week we’ll be updating weapons and some items of those characters, so each playthrough will be a little different. But that’s not all! Once the Tower’s doors open for Halloween scares, it will become permanently accessible as part of an update to the game, introducing the CyberRaider as a new playable character, alongside fresh floor layouts, rebalanced modifiers, and an expanded reward track. These additions deepen replayability while retaining the high challenge that defines the Tower Raid experience. Game Updates On top of all the Update 1.25 additions listed above, we’ve introduced the following fixes and improvements: Co-Op Fixed the issue with ropes being improperly attached when another player is using them Fixed the issue when adding a Steam player to favorites on Epic marks them as offline Fixed the issue with the “Hope Sprouts” quest, where enemies respawn again after killing them when one of the players comes to the quest location Tower Raid Fixed the issue with “Faulty Provisions” modifier making medkits (military and crafted) heal for nothing Fixed the issue with zombies spawning in front of players after opening various doors Gameplay Fixed the issue with combat sometimes not consuming stamina Fixed the issue with stamina requirements still being visible for some activities Fixed the issue with Slide Jump still consuming stamina Fixed the issue when, under some conditions, stamina was still consumed while climbing Fixed the issue with Dash and Dart skills not using stamina Fixed the issue with the objective marker in the Prologue failing to load if the player jumps over the fence and gets to the house before Spike Fixed the issue where the interacting prompt appears delayed while searching the roof groves Fixed the issue with the malfunctioning PK cannon in the Colonel’s bunker Fixed the difficulty level of a Quarantine Standoff challenge, where weapon scaling with low level players makes the challenge almost impossible to complete on Hard difficulty Fixed the issue with the flashlight turning off when the Player starts various conversatio...",1761849049,
534380,"New Dying Light The Beast update makes your enemies value their lives more, but you don't have to accept their surrender","A new <strong>Dying Light The Beast</strong> update has made its human enemies smarter and more self-preserving than ever, and you'll even be able to cause them to surrender if you've got a clear advantage in a fight. Dying Light The Beast patch 1.3 also includes the latest set of community challenges, extra weapon finishers, and various other stability improvements. On top of that, there's a crossover event with PUBG, and developer Techland even has some Halloween happenings on the go in Dying Light 2, for good measure. <a href=""https://www.pcgamesn.com/dying-light-the-beast/update-1-3-enemy-surrender"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/fanatical/dying-light-2-over-60-off"">Before Dying Light The Beast, grab its prequel at over 60% off</a> <a href=""https://www.pcgamesn.com/dying-light-2/balatro-crossover"">Dying Light 2 gets a new Balatro collab, and it's absolutely horrifying</a> <a href=""https://www.pcgamesn.com/dying-light-2/continued-support"">Despite Dying Light The Beast, Techland promises it won't abandon Dying Light 2</a> ",1761843158,
534380,Double XP is here!,"Double XP Alert! Until October 27, earn 2x XP in Tower Raid! It’s the perfect time to complete your Sola’s reward track. Don’t miss out - make every run count! {STEAM_CLAN_IMAGE}/35210443/ef389afc31f53ed81a10e717630edc7fd7c5983c.png",1760715737,
534380,Watch: Dying Light: The Beast — Accolades Trailer,"The reviews are in! See what the critics and players are saying about Dying Light: The Beast. From ""heart-pounding action"" to ""gritty survival horror"", here are their reasons you should join them in the excitement. Start your quest for revenge as Kyle Crane and face the horrors of Castor Woods today. Dying Light: The Beast pushes what you know and love about the series to the extreme. The combat - more physical and brutal. The parkour - more grounded and realistic. The night - more tense and claustrophobic. Everything has been dialed up to eleven to create the best Dying Light experience to date!UNLEASH THE BEAST",1758898901,
534380,Unleash the Beast - Dying Light: The Beast Is Out Now!,"Dying Light: The Beast is finally here! It’s time for you to UNLEASH THE BEAST!Dying Light: The Beast pushes what you know and love about the series to the extreme. The combat - more physical and brutal. The parkour - more grounded and realistic. The night - more tense and claustrophobic. Everything has been dialed up to eleven to create the best Dying Light experience to date!You are Kyle Crane and your quest for revenge begins now. Revel in the physical combat as you crush the skulls and spill the guts of those who stand in your way. Ramp up the brutality by unleashing the Beast running through your veins and rip enemies apart with your bare hands. Create a glorious spectacle of violence. Be Physical. Be Creative. Be Brutal.Lose yourself in the stunning Castor Woods, brought to life with the next-gen visuals and immersive technical advancements. As you explore the valley, feel the rush of the grounded first-person perspective parkour or put the pedal to the metal in the 4x4 vehicles you find. Become engrossed in the most beautiful zombie apocalypse.But beneath the surface lies something darker. Secrets. Blood. Horror waiting to be uncovered. So, enjoy the relative safety of the day because when the sun sets, safety dies… Then it’s time to face the night, where Volatiles roam and fear takes over.Now get out there, Castor Woods is waiting for you to…UNLEASH THE BEASTBuy Now",1758704130,
