appid,title,contents,date,tags
2622380,Release Note for 2025/12/16,"To address the security vulnerability announced by Unity Technologies on October 3, 2025, an update to some pre-order bonuses, as well as the artwork & soundtrack application was distributed.The main game is not impacted by the security vulnerability and the update.Thank you for your understanding.",1765869057,['patchnotes']
2622380,Steam Global Top Sellers for week of 2 Dec — 9 December 2025,"<a href=""https://steamdb.info/topsellers/2025W50/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/1142710/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Total War: WARHAMMER III</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/2622380/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ELDEN RING NIGHTREIGN</a>; * <a href=""https://steamdb.info/app/1361210/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Warhammer 40,000: Darktide</a>; * <a href=""https://steamdb.info/app/3531720/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ELDEN RING NIGHTREIGN The Forsaken Hollows</a>; * <a href=""https://steamdb.info/app/1091500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Cyberpunk 2077</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/553850/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">HELLDIVERS™ 2</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W50/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1765270800,
2622380,ELDEN RING NIGHTREIGN The Forsaken Hollows - 2 Million Nightfarers,"In the deepest recesses of Limveld, valour shall prevail. For every Nightfarer who joined the hunt against the Dreglord, we offer our immense gratitude.ELDEN RING NIGHTREIGN The Forsaken Hollows is available now!",1765190274,
2622380,Compensation for Deluxe Upgrade Pack issue,"Nightfarers,Due to the issue making the Deluxe Upgrade pack unpurchasable on December 3rd,  there was a window of time where the digital apps of the DLC could not be obtained.To compensate, the digital apps will be distributed to players who purchased the Steam version of the DLC during the following period:December 4th (Thu) 8:00 AM JST/ 0:00 UTC- December 11th (Thu) 7:59 AM JST/ December 10th 23:59 UTC.  ",1764975602,
2622380,Разработчики Elden Ring Nightreign выпустили дополнение The Forsaken Hollows с новыми героями,"4 декабря <strong>Bandai Namco</strong> представила масштабное обновление <strong>Elden Ring Nightreign</strong>. Одновременно с выходом патча 1.3 на консолях и ПК появилось дополнение<strong> The Forsaken Hollows</strong>, включающее новых героев, боссов и локации. ",1764874080,
2622380,Grab Elden Ring Nightreign and its new DLC for cheap in the co-op soulslike's first major sale,"While we had to wait over two years to finally get our hands on Shadow of the Erdtree, we roguelike enthusiasts are already eating well with the launch of <strong>Elden Ring Nightreign</strong>'s first major DLC. With <strong>The Forsaken Hollows</strong> now here, the spinoff of the <a href=""https://www.pcgamesn.com/best-soulslike-games"">best soulslike</a> is better than ever, and you can celebrate by buying the entire experience so far in its first post-launch sale. <a href=""https://www.pcgamesn.com/elden-ring-nightreign/dlc-release-discount"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/elden-ring-nightreign/everdark-sovereign"">Elden Ring Nightreign Everdark Sovereign schedule</a> <a href=""https://www.pcgamesn.com/elden-ring-nightreign/deep-of-night-challenge-mode"">If you thought your Elden Ring Nightreign suffering was over, think again</a> <a href=""https://www.pcgamesn.com/elden-ring-nightreign/everdark-sovereign-equilibrious-beast"">The new Elden Ring Nightreign boss looks like all my nightmares come to life</a> ",1764864305,
2622380,ELDEN RING NIGHTREIGN The Forsaken Hollows - How to unlock the DLC content,"The DLC The Forsaken Hollows will add two Nightfarers, two new bosses, and one new Shifting Earth. Learn how to access the content of The Forsaken Hollows HERE:The official release schedule is now available.ELDEN RING NIGHTREIGN The Forsaken Hollows launches on December 4, 2025.",1764774465,
2622380,"Elden Ring Nightreign's pre-Forsaken Hollows DLC patch is out now, boosting melee attacks and fixing misbehaving churches","<a href=""https://www.rockpapershotgun.com/games/elden-ring-nightreign"">Elden Ring Nightreign</a>'s <a href=""https://www.rockpapershotgun.com/elden-ring-nightreigns-the-forsaken-hollows-dlc-drops-next-month-brings-back-a-beloved-dark-souls-bumkicker"">Forsaken Hollows expansion</a> arrives tomorrow, December 4th. Ahead of letting folks dive into Limveld's big hole and try out the <a href=""https://www.rockpapershotgun.com/elden-ring-nightreign-dlcs-first-new-class-looks-great-for-book-nerds-and-grubby-old-men-lovers"">new nightfarer classes</a>, FromSoft have lobbed out the customary big patch. <a href=""https://www.rockpapershotgun.com/elden-ring-nightreigns-pre-forsaken-hollows-dlc-patch-is-out-now-boosting-melee-attacks-and-fixing-misbehaving-churches"">Read more</a> ",1764765950,
2622380,ELDEN RING NIGHTREIGN - Patch Notes 1.03,"New featuresAdded support for The Forsaken Hollows.If you own the DLC The Forsaken Hollows, it will be displayed in the lower right corner of the title screen.Added a display of the currently equipped relics in the Character Selection menu.You can check the effects of equipped relics by toggling the display.Added a feature to set names when registering Relics presets in the Relic Rites menu.Set names can be changed in the All Presets section.The order of presets for each character can now be changed in the All Presets section of the Relic Rites menu.In the Relic Rites menu, you can change the order of presets (but not the order of the character themselves) in the All Relics section.Added Deep Large Scenic Flatstone to the Collector Signboard shop.The map's layer display can now be toggled in the Results menu.The relics equipped by each player can now be displayed in the Results menu.Relics can only be displayed for sessions played in version 1.02 or later. Players with a Personal Objective that requires defeating a specific target while Reliving a Remembrance can now embark on Expeditions with players whose Personal Objective does not require defeating a specific target.Personal Objectives that do not require destroying the target will only appear for one player per Expedition.The flask count will now be highlighted in the following situations:When the flask count is at the maximum capacity,When an enemy-induced effect that influences the flask is triggered.The vertical position of the compass’ rune icon will now be displayed if the runes dropped upon death are significantly above or below the player character.You can now highlight specific events that occur on a map layer that is on a different level from the character’s location in the map menu.Adjusted the Dormant Power selection screen so that the HP gauge and other UI elements remain visible while the screen is displayed.Adjusted the weapon lineup in Limveld's shops.Added Fire Pots to the shop inventory inside the Spirit Shetler.The target-lock on enemies that are behind when the tombstone summoned by Raider's Ultimate Art appears no longer gets released.Balance AdjustmentsIn general, the trigger conditions of Relic effects that trigger with low HP, equipment passive effects, and special effects have been broadened. ▼   Changes to Passive Effects and Special EffectsAdded new Passive Effects:Improved Melee Attack PowerImproved Dash AttacksImproved Rolling AttacksIncreased the effect of the Passive Effect Improved Attack Power when Two-Handing.Increased the effect of the Passive Effect Attack Up when Wielding Two Armaments.Increased the effect of the Passive Effect Improved Chain Attack Finishers.Increased the effect of the Passive Effect Improved Charge Attacks.Increased the effect of the Passive Effect Improved Jump Attacks.Increased the effect of the Passive Effect Improved Guard Counters.Increased the effect of the Passive Effect Improved Skill Attack Power.Increased the effect of the Passive Effect Physical Attack Up.Broadened the trigger conditions and decreased the effectiveness of the Passive Effect Improved Damage Negation at Low HP.Broadened the trigger conditions and decreased the effectiveness of the Talisman Blue-Feathered Branchsword. ▼   Changes to Relic EffectsIncreased the effect of Physical Attack Up.Increased the effect of Improved Initial Standard Attack.Increased the effect of Improved Critical Hits.Increased the effect of Improved Guard Counters.Increased the effect of Improved XXX Damage (excluding bow weapon types).Increased the effect of Improved Attack Power with 3+ XX Equipped (excluding bow weapon types).Broadened the trigger conditions and decreased the effectiveness of Improved Damage Negation at Low HP. ▼   Other ChangesReduced the FP consumption and increased the power of the Wrath of Gold Incantation.  Bug Fixes & ImprovementsFixed a　bug in the Augur invasion event where the character would not be properly teleported to the battle area against Augur if the player was performing a critical hit at the time of the teleportation trigger.Mitigated an issue where Sites of Grace or Churches would not activate and Leveling Up and Adding Charges to Flask could not be performed under some conditions.Fixed a bug where the range of Night's Tide differed from other players upon rejoining a session under some conditions.Fixed a bug where Hammer weapons with the Prayerful Strike skill would not appear.Fixed a bug where effects that heal or enhance allies did not apply to characters dodging or performing their Ultimate Art.Fixed an issue where the weak points created by Ironeye's skill Marking would appear for some players and not others under some conditions.Fixed a bug where Raider’s Retaliate skill would be canceled and the character would flinch when receiving some enemy attacks that deal no damage while the skill was active.Fixed a bug where affinity residues spawned by Recluse's Elemental Defense passive ability would not appear wh...",1764759722,
2622380,Cast your vote,Our journey together continues. We are deeply honored by the nomination of ELDEN RING NIGHTREIGN at The Game Awards. Cast your vote today: {STEAM_CLAN_IMAGE}/45343478/58fb5e388a4b577f585b1edca20ed221d4d051b8.png {STEAM_CLAN_IMAGE}/45343478/27f40c008e70bc75ac050b6aa31e45b606939dab.png,1764753322,
