appid,title,contents,date,tags
377160,Fallout 4 December Patch - now available,"With our December patch we’re addressing the following fixes listed below. Your feedback and reports have been greatly appreciated and have helped us sort through a few key pain points for players. It was a goal of ours to launch storage expansion on console this year, knowing it's been one of the top requests from players. While the team has made progress, we need a little more time to roll this out for console players and will need to wait until the new year.  Thank you for your continued feedback with our support and community team. Please keep an eye on our channels for updates on future patches and new creation content coming in the new year.  Save/Load and Content Handling Fixed issues with the missing Creations Bundle add-on for SteamGame now recognizes Creation Club content upon loading a save file from an older build. Correct warning dialogue is shown when Creations are disabled but not deleted.   General UI/UX Improvements Improved visibility and interaction in the Category List, fixed overlapping boxes, and ensured button prompts display correctly on all platforms (including ROG Ally and Steam Deck). Fixed issues with missing or broken UI elements, such as missing button layouts, gallery image enlargement, and empty titles in “My Library”. Improved sort menu transparency and restored the 'Best Results' sort option. Addressed keyboard input loss and cursor visibility issues in the Creations menu. Fixed prompt and navigation issues when rapidly re-entering the Creations Store or using the PS Store overlay. Creations removed from the storefront can now be individually deleted from the Load Order. Banner carousel/category rows no longer endlessly scroll when opening the Purchase Credits menu.  Crash & Stability Fixes Addressed crashes related to downloading all Creations, data reloads, idling in menus, profile sign-out, and leaving the Creations menu (especially on PS4/PS5). Fixed rare crashes after store purchases, during scrolling/viewing in the Creations menu, and when starting a new game with Creations enabled. Improved error handling for rapid menu actions and ensured the game no longer hangs on quit.   Ultrawide, Steam Deck, and Platform-Specific Fixes Workshop menus and reset screens are now optimized for ultrawide and super ultrawide monitors. Fixed performance hitches and UI alignment issues on ultrawide Addressed platform-specific issues such as button prompts, misplaced UI   Text, Localization, and Miscellaneous Apostrophes and other special characters now display correctly in the in-game Creations menu. Prompt for Anniversary Upgrade now fits correctly in German, French, and Spanish localizations. ",1765902930,
377160,Fallout 4 was initially set in New York because it's 'something grand and American' and Nick Valentine capped-off the very first design document: 'I think the photo was of Humphrey Bogart',"PC Gamer's latest issue is a Fallout bonanza, going over the entire history of one of the greatest gaming series with many of the key figures behind it. Among the topics covered are why Todd Howard wouldn't let the usual ""<a href=""https://www.pcgamer.com/movies-tv/senior-bethesda-dev-says-the-fallout-show-works-because-todd-howard-wouldnt-let-the-usual-videogame-directors-touch-it-we-want-the-best-director-the-best-showrunner-possible/"" target=""_blank"">videogame directors</a>"" touch the series, the disquiet of New Vegas' lead writer about <a href=""https://www.pcgamer.com/movies-tv/fallout-new-vegas-lead-writer-inconveniently-points-out-that-fallout-season-2-is-all-about-new-vegas-but-theres-no-credit-for-that-theres-no-residuals-for-that/"" target=""_blank"">the lack of credit and residuals</a> in the Amazon TV show, <a href=""https://www.pcgamer.com/games/fallout/its-kind-of-like-a-blind-date-fallout-76s-creative-director-discusses-the-shaky-beginnings-of-life-in-appalachia-i-view-the-initial-launch-as-really-the-prelude/"" target=""_blank"">the shaky launch of Fallout 76</a>, and the early concept for Fallout 4 and its most-beloved character... <a href=""https://www.pcgamer.com/movies-tv/fallout-4-was-initially-set-in-new-york-because-its-something-grand-and-american-and-nick-valentine-capped-off-the-very-first-design-document-i-think-the-photo-was-of-humphrey-bogart/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765478988,
377160,"Another Fallout 4 update fixes performance issues while leaving modders angry, but it doesn't have to be this way","Bethesda is celebrating a decade of Fallout 4<a href=""https://www.pcgamer.com/games/rpg/fallout/""> </a>this month, and, as is Toddly tradition, has released yet another version of the Sole Survivor's wasteland journey. The<a href=""https://www.pcgamer.com/fallout-4-anniversary-quest-list-all-items-companions/""> Fallout 4: Anniversary Edition</a> launched on November 10 as an all-encompassing collection of DLC and add-ons, but a related update to Fallout 4's Creation Club menu rolled out for everyone who owns the game and caused issues with certain existing mods... <a href=""https://www.pcgamer.com/games/fallout/another-fallout-4-update-fixes-performance-issues-while-leaving-modders-angry-but-it-doesnt-have-to-be-this-way/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764087989,
377160,Fallout 4 - November Patch Now Available,"Thank you for your continued communication with us on your current Fallout 4 experience. The team is focused on DLC installation issues, occasional crashing, and general user experience in Patch 1, and of course, continued preparation for mod storage expansion for consoles. While we initially hoped to release the storage expansion in our November patch, we will need a little extra time to roll out this heavily requested feature from the community.  We'll share more details on the December Patch 2 in the coming weeks. In the meantime, to help prepare for mod storage expansion, console players may want to ensure their mod load order is protected. Please see the following steps to help preserve your mod load orders as a console player.  We’re also excited to share ""The Varmint Rifle"", the first of several free Fallout 4 Creations coming to players, will be available next week! Fall down a manhole, discover a unique rifle, solve an elaborate set of puzzles, but in true wasteland fashion, you're not the only thing trapped down here.Patch NotesCrash and Stability Fixes Fixed crash when starting a new game with Creations installed on PS4. Fixed crash when quitting after exiting an interior with Pip-Boy open (PS4/PS5). Guest/local users can no longer access the Creations menu, which resulted in an inoperable state Addressed rare crashes when choosing to use the save data load order, especially when loading saves with missing Creations. Fixed a crash that could occur when selecting 'Purchase Credits' on PC Fixed a crash when selecting ""Download all owned Creation Club Creations""  Save/Load & Profile Exit saves are now correctly created when exiting to the main menu Fixed infinite loading when downloading missing Creation Club content from a save made on a different platform. Switching Xbox user profiles no longer causes softlocks or loss of controls. Fixed an issue where loading a save file with different creations enabled did not prompt a load order warning Downloading a creation and disabling it immediately, will no longer cause content that relies on it to become permanently disabled UI & User Experience Performance improvements in the Creations menu across platforms. Fixed softlocking when entering/exiting the Creations menu repeatedly. Fixed infinite loading/hang when loading a save file that requires creations.  Bundle prices now update immediately after purchasing individual items in the bundle. Bundles now show correct file sizes for included creations. Localization improvements. In-game Creations menu now respects the load order set by the player, not alphabetical order. Players can now like/unlike creations in the Load Order menu as intended. Guest/local users can no longer access the Creations menu; option is now greyed out as on PS4. Downloaded Creations will now remain visible in your Load Order after deletion from BethesdaNet Please note, PS5 players with low internet speeds or latency may encounter a potential issue that causes the Creations Menu to be grayed out. If encountered, please try refreshing your connection",1763752421,"['mod_reviewed', 'ModAct_1294976491_1763754290_0', 'mod_require_rereview', 'ModAct_1301790999_1764090901_4']"
377160,"Fallout 4's anniversary update ""didn’t quite land with the impact many hoped for"", so Nexus Mods have assembled their own","It's fair to say <a href=""https://www.rockpapershotgun.com/games/fallout-4"">Fallout 4</a>'s anniversary update's earned some stick due to effect it had on PC mods, just like the RPG's next-gen update did before it. Lots of works needed updating, and while that happened <a href=""https://www.rockpapershotgun.com/fallout-4s-script-extender-has-already-gotten-its-anniversary-update-as-bethesda-battle-creation-issues"">pretty quickly in a number of cases</a>, there was still disruption for some additions that generally feel a lot more necessary over on console. Enter modding platform Nexus Mods, who've decided to follow-up the update by putting together their own ""anniversary collection"" of Fallout 4 mods from the works they host, with hopes it'll serve as a free alternative aimed at celebrating ten years of the RPG being modded. <a href=""https://www.rockpapershotgun.com/fallout-4s-anniversary-update-didnt-quite-land-with-the-impact-many-hoped-for-so-nexus-mods-have-assembled-their-own"">Read more</a> ",1763727825,
377160,Fallout 4 - November 17th Hotfix,"Today’s Fallout 4 hotfix addresses the following: Resolved an issue preventing users from enabling Creations that rely on DLC. Improved stability in the Creation menu, particularly on PS4/XB1. Identified an issue causing DLC to become uninstalled on PlayStation. For players still experiencing this issue, we recommend the following: Please enable any of your Creations after your DLC is completely installed.  We’re continuing to collect everyone’s feedback and encountered issues, so if you’ve submitted a ticket with our support team or provided details to our team in Discord, thank you. It’s been extremely helpful.  For next steps, the team is focused on additional fixes in our first November Patch. We’ll share those details as soon as we can. ",1763396709,['patchnotes']
377160,Bethesda is 'actively investigating' the Fallout 4 problems that Bethesda caused with its latest Fallout 4 update,"<a href=""https://www.pcgamer.com/fallout-4/"">Fallout 4</a>'s overall rating on Steam is ""very positive"" but its recent rating is ""mixed,"" with user reviews languishing well under 50% positive. If you're wondering why, you can thank the recent <a href=""https://store.steampowered.com/news/app/377160/view/814714767715337533"" target=""_blank"">Fallout 4 Creations Menu update</a>... <a href=""https://www.pcgamer.com/games/rpg/bethesda-is-actively-investigating-the-fallout-4-problems-that-bethesda-caused-with-its-latest-fallout-4-update/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1763052897,
377160,Watch the Fallout Season 2 Official Trailer,"Just about a month before you’re back in the Wasteland. Until then, please enjoy the official trailer for Fallout Season Two. Starring Ella Purnell, Aaron Moten, Walton Goggins, and more. Arriving December 17 only on Prime.",1763048810,
377160,"As the Fallout 4 Anniversary Edition causes chaos, Bethesda promises two patches, but you'll be waiting a while","<strong>Fallout 4 Anniversary Edition</strong> hasn't had the start Bethesda probably hoped for. Its launch was quickly met with a flood of negative reviews as the update broke many of the <a href=""https://www.pcgamesn.com/fallout-4/best-fallout-4-mods"">best Fallout 4 mods</a>. Even some players who cleared out their addon list have been reporting fresh issues with their playthroughs, and of the more than 4,500 reviews submitted in the last 30 days, just 41% give it the Vault Boy thumbs up. It's a far cry from the usual praise for one of Bethesda's <a href=""https://www.pcgamesn.com/15-best-rpgs-pc"">best RPGs</a>. The good news is that patches are in the works; the bad news is that we're going to be waiting a while. <a href=""https://www.pcgamesn.com/fallout-4/anniversary-edition-update-roadmap"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/fallout-4/did-not-resonate-todd-howard"">Todd Howard says Fallout 4 ""did not resonate"" in one key way, but Bethesda has ""hundreds"" working on the series right now</a> <a href=""https://www.pcgamesn.com/fallout-4/best-fallout-4-mods"">Best Fallout 4 mods 2025</a> <a href=""https://www.pcgamesn.com/best-games-like-fallout-pc"">The best games like Fallout on PC 2025</a> ",1763038662,
377160,"Maybe hold off a bit longer on reinstalling your Fallout 4 mods, as Bethesda have two anniversary update patches planned","Ah, it's gotten a bit worse. Bethesda are planning to release two patches to <a href=""https://www.rockpapershotgun.com/games/fallout-4"">Fallout 4</a> in order to rectify issues with its anniversary edition, meaning that the potential's there for more havoc to be played with mods. Though, outside of fixes for issues with the revamped Creations menu, it looks like a lot of the contents of these patches may end up being console-specific fixes, so there's a chance any extra PC disruption's relatively minimal. I'd certainly hope it's less of a palaver than the <a href=""https://www.rockpapershotgun.com/fallout-4s-script-extender-has-already-gotten-its-anniversary-update-as-bethesda-battle-creation-issues"">update's initial arrival</a>, which many modders have been quick to get on top of and push updates for their works. <a href=""https://www.rockpapershotgun.com/maybe-hold-off-a-bit-longer-on-reinstalling-your-fallout-4-mods-as-bethesda-have-two-anniversary-update-patches-planned"">Read more</a> ",1763031597,
377160,Fallout 4 Upcoming Hotfixes and Creation Storage Increase,"We’re actively investigating issues you’re encountering with the latest Fallout 4 update and Anniversary Edition launch. You should now see faster load times of the Creations menu, game menu, and redemption of Creation Club items. We plan to publish a hot fix early next week to address the following:Hot Fix: Fixing stability problems particularly on XB1/PS4.Hot Fix: Fixing an issue causing creations that rely on DLC to not work.Hot Fix: Fixing an issue causing DLCs to become uninstalled after updating the game on PlayStation.The hotfix will be followed by two patches. The first patch will be the week of Nov 24th, and the second, in the first half of December. We’ll provide an overview of these patches soon. Thank you for your continued updates and support tickets, it’s helped us to pinpoint issues. We’ll work to address these as quick as we can.Notably, in the November patch, Xbox Series X/S players will see Creations local storage limit increased substantially. Growable up to 100GB to match your needs. We are also looking into increasing storage on PlayStation.",1762987282,['patchnotes']
377160,"How to get all Anniversary Edition quests, companions, and items in Fallout 4","The wait for Fallout 5 just keeps getting longer (heck, <a href=""https://www.pcgamer.com/elder-scrolls-6-what-we-know/"">The Elder Scrolls 6</a> is still a long ways off and it's coming first), so Bethesda has released Fallout 4 once more to tide us over. Fallout 4 Anniversary Edition comes with all the DLC included in the Game of the Year Edition, plus a few extra bells and whistles in the form of the Creations Bundle... <a href=""https://www.pcgamer.com/fallout-4-anniversary-quest-list-all-items-companions/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762898634,
377160,"Fallout 4's Creations Bundle stumbles from the Vault to Mostly Negative reviews, as players lament the pack 'does not work' and 'made the game buggier'","Bethesda released a Creations Bundle for<a href=""https://www.pcgamer.com/uk/fallout-4/""> Fallout 4</a> yesterday as part of its tenth anniversary celebrations, adding 150 player-created items for the not-so-low price of £17.99. Unfortunately, Bethesda appears to have dropped the birthday cake on its way to the party, as players report some pretty serious issues with the Creation Bundle and its contents... <a href=""https://www.pcgamer.com/games/rpg/fallout-4s-creations-bundle-stumbles-from-the-vault-to-mostly-negative-reviews-as-players-lament-the-pack-does-not-work-and-made-the-game-buggier/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762861552,
377160,"Fallout 4: Anniversary Edition and Creations, Now Available!","It has been a decade since we first stepped out of Vault 111 and into the sprawling, chaotic world of Fallout 4. Over the years, millions of vault dwellers have built settlements, battled Super Mutants, discovered hidden stories and forged their paths in the ruins of Boston. Now, the definitive Fallout 4 experience is available with the launch of the Anniversary Edition.Fallout 4: Anniversary Edition includes the base game, the six official add-ons, and over 150 pieces of Creation Club content, curated for the ultimate post-apocalyptic adventure (see the full list of items in the Creations Bundle in the FAQ below). Whether you’re revisiting old haunts or wandering the wasteland for the first time, you’ll discover a host of new quests, weapons and customization options that make every playthrough unique. FAQWhich add-ons are included in the Anniversary Edition?Fallout 4: Anniversary Edition includes the Far Harbor, Automatron and Nuka-World story expansions, as well as Contraptions Workshop, Vault-Tec Workshop and Wasteland Workshop.What if I already own a previous edition of Fallout 4? Can I still get the Creation Club content? If you own the standard edition of Fallout 4, you can pick up the Anniversary Edition Upgrade to receive the 6 expansions and the 150+ pieces of Creation Club content. If you own the Fallout 4: Game of the Year Edition and just want to get the Creation Club content, you can get the Creations Bundle separately. Browse all the available content (including the individual items in the Creations Bundle) through the new in-game Creations menu.Visit Fallout.com for the full pricing breakdown.Is the in-game Creations menu exclusive to the Anniversary Edition? No. On November 10, an update will go live that will add the Creations menu to all versions of Fallout 4.What are the Creation Club items included in the Anniversary Edition? The Anniversary Edition comes with over 150 pieces of Creation Club content, including some previously unreleased items. The following 9 Creation Club items are making their debut with the Fallout 4 Anniversary Edition and Creations bundle:Institute Plasma Weapons (new)In ramshackle apartments, lonely diners, and beggar's bowls, the operatives of the Institute conduct their trade. Included in their dealings are several high-grade plasma weapons, experimental guns to be tested in the field. Altogether, Institute Plasma Weapons features three unique weapon types and special legendary versions!Ion Gun (new) Developed by Poseidon Energy and passed on to unlisted clientele, the Ion Gun harvests concentrated plasma and channels it into a beam of pure incineration. Barbecue your foes to a laser-fried crisp with this experimental hand cannon.Bunker Home Pack (new) Whether it's a modest private bunker, the contemporary stylings of the Juniper Cove Resort, the classical architecture in the Wilmingdon Estates, or the technological marvels of the Vault-Tec Showcase, there's a home for every Wastelander in this one-of-a-kind pack. Cyber Dog (new) Half dog, half machine, part bark and all byte, the Cyberdog is the ultimate in good boy technology. Ever versatile, this loyal companion can be programmed to respond to over a hundred different names.Sea Scavengers (new) Across the trenches of the Glowing Sea, shadows tread silently through the Wasteland. Follow their tracks through waves of irradiated desert, and learn the story of those caught in their clutches. Comes with a fully customizable outfit with multiple variants, and a brand new 12.7mm Sub-Machine Gun!Brahmin Armor (new) Adopt your own beefy two-headed sentinel to help guard your settlement and boost its defenses! Choose from over a hundred unique names to give your bovine bruiser a personalized touch.Railroad’s Clandestine Couture (new) Not every friend is someone you know. Play the role of a secret agent and help deliver a package to the Railroad, or side with the Institute and eliminate the agents working against. Just remember, when trying to distinguish friend from foe, pay attention to the signs. Includes five new Railroad themed outfits.Repurposed Power Armor Helmets (new) Discarded by the wastes, these erstwhile Power Armor helmets have found a new home in the piecemeal workshops of Tribal mechanics. Altered to function as standard helmets, these helmets provide heavy duty protection without the need for bulky Power Armor frames.Power Armor Paint Job – Pitt RaiderPower Armor Paint Job – Air ForcePower Armor Paint Job – Scorched SierraPower Armor Paint Job – Inferno All other Creation Club items included: • Anti-Materiel Rifle • Arcade Workshop Pack • Armor Paint Job (Color variants: Army, Atom Cats, Bats, Brotherhood of Steel, Children of Atom, Desert Camo, Enclave, Gunners, Hot Rod Pink, Hot Rod Shark, Institute, Jack O'Lantern, Minutemen, Nuka Cherry, Pickman, Railroad, Red Flames, Reillys Rangers, Shi, Swamp Camo, Tunnel Snakes, Vault-Tec, and Aquatic Camo) • Black Labrador Retriever • Border Collie • Boxer • C...",1762793645,"['mod_reviewed', 'ModAct_1415716708_1762794243_0', 'ModAct_1803566692_1762800303_4', 'mod_require_rereview']"
377160,"Todd Howard says Fallout 4 ""did not resonate"" in one key way, but Bethesda has ""hundreds"" working on the series right now","The Fallout series has been through a bit of a rollercoaster over the past two decades. From the highs of Fallout 3 and New Vegas, it fell back towards the radiation-soaked earth with the solid but far less beloved <strong>Fallout 4</strong>. That plummet took the series subterranean with the rocky launch of Fallout 76, but the MMO has rehabilitated itself in the years since. With a successful TV show and a redemption arc for its first crack at live-service, I'm hopeful for the series' future. Now, Bethesda executive producer Todd Howard has gone on record to say that there are ""hundreds"" of staff working on Fallout right now, and it's not just 76 in development. <a href=""https://www.pcgamesn.com/fallout-4/did-not-resonate-todd-howard"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/fallout-4/anniversary-edition-update-roadmap"">As the Fallout 4 Anniversary Edition causes chaos, Bethesda promises two patches, but you'll be waiting a while</a> <a href=""https://www.pcgamesn.com/fallout-4/best-fallout-4-mods"">Best Fallout 4 mods 2025</a> <a href=""https://www.pcgamesn.com/best-games-like-fallout-pc"">The best games like Fallout on PC 2025</a> ",1762792008,
377160,"Todd Howard says that Fallout 4's cinematic dialogue system 'really did not resonate' with players, even though Bethesda 'spent forever' working on it","It's been a whole dang decade since<a href=""https://www.pcgamer.com/uk/fallout-4/""> Fallout 4</a> launched, so long that the world has slipped<a href=""https://thebulletin.org/2025/01/press-release-doomsday-clock-set-at-89-seconds-to-midnight-closest-ever-to-human-extinction/"" target=""_blank""> significantly closer to nuclear Armageddon</a> than was the case when Bethesda's post-apocalyptic RPG stepped out from Vault 111. The anniversary has got Bethesda creative chief Todd Howard in a reflective mood, and he's revealed some interesting details about the creation of the game and what the RPG maestros learned from it... <a href=""https://www.pcgamer.com/games/rpg/todd-howard-says-that-fallout-4s-cinematic-dialogue-system-really-did-not-resonate-with-players-even-though-bethesda-spent-forever-working-on-it/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762791218,
