appid,title,contents,date,tags
1100600,At least 45% off FM21 across all platforms,"{STEAM_CLAN_IMAGE}/38803033/375c42ddadb3785acce51a1dbdaef69cf50bf5fe.png Secure the perfect companion for this summer of football with all versions of Football Manager 2021 now at least 45% off across a wide range of digital retailers. The sale period runs until 6pm on July 12th but timings vary by platform and region (see table below for full details). Game Discount Sale End Date FM21 (PC/Mac) 50% 6pm BST, 12/07/2021 FM21 (Windows Store) 50% 6pm BST, 12/07/2021 FM21 Touch (Epic/Steam) 50% 6pm BST, 12/07/2021 FM21 Touch (Windows Store) 50% 6pm BST, 12/07/2021 FM21 Touch (iOS/Android) 45% 11:59pm BST, 17/06/2021 FM21 Touch (Switch™) 50% 11:59pm BST, 10/07/2021* FM21 Xbox 50% 11am BST, 13/07/2021** FM21 Mobile (iOS/Android) 45% 11:59pm BST, 17/06/2021 Purchasing FM21 on the Epic Games Store or Steam also gets you a free copy of FM21 Touch (PC/Mac), the streamlined alternative to our desktop classic that allows you to speed through the seasons without getting bogged down in the detail, on the same store you’ve purchased it from. To better understand which of our games suits your style, head over to our Game Comparison page. Make the decisions that matter in FM21 and lead your team to glory this summer and beyond. Will you take a club to domestic glory or secure international honours with your nation? It’s up to you to create the future. *11:59pm BST on July 10th is the end of the sale in the European region. The sale ends in the Americas region at 7:59am BST on July 1st and in Asia at 3:59pm on July 8th. Full details on each region are available on the Nintendo eShop. **Between June 15th and June 21st, the discount on FM21 Xbox is only available for Gold Xbox Live subscribers. Before and after that period, the game will be 50% off for all customers. ",1623345871,
1100600,WELCOME TO THE CLUB – WHAT IS FMFC?,"{STEAM_CLAN_IMAGE}/35719545/e3ce4d3f58939a9c3da7c0f99345ccbf6b57bdae.png FMFC is the latest club to make its mark on the modern game and gives Football Manager fans the first chance to get their eyes on game and studio news, feature drops and gameplay inspiration, before anybody else. By joining FMFC, you will also get access to members-only incentives and competitions – think of these as contract bonuses, and our way of saying thanks for your commitment to the club. Sign up now to join the club.",1604511920,
1100600,The best football games on PC in 2020,"What are the best football games on PC in 2020? It can often feel like there are only two or three football games you can dive into (studs raised and all) on PC. FM is the king of football <a href=""https://www.pcgamesn.com/best-management-games"">management games</a>. It can't hold a candle to FIFA's player-controlled realism and multiplayer modes but, where sports <a href=""https://www.pcgamesn.com/best-pc-simulation-games"">simulation games</a> are concerned, it's the top dog. Sports Interactive's long-running franchise will always be our go-to football PC title, but there are a heap of soccer games available on PC, all boasting their own style, gameplay mechanics, and surrealness that deserve your time and attention. Whether they're an under-the-radar studio game, an indie title, or a mash-up on different sports, there's a football game for every fan... unless you're a <a href=""https://www.pcgamesn.com/fifa-20/juventus"">Juventus superfan and considering picking up a copy of FIFA 20</a>. In order to shine a light on these underappreciated classics we've compiled our favourites all in this handy list. So throw on your favourite retro football shirt and drawstring bag these FM alternatives for yourself. For the record, our favourite retro kit is the PCGN-brand Dutch national team jersey from 1976 - all comparisons to Johan Cruyff's footballing career are welcome. <a href=""https://www.pcgamesn.com/best-football-games-pc"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/football-manager-2020/sales"">Football Manager 2020 has been claimed for free by one million people on the Epic Store so far</a> <a href=""https://www.pcgamesn.com/humble/racial-justice-bundle"">Humble's Racial Justice bundle includes $1,200 worth of games and literature</a> <a href=""https://www.pcgamesn.com/football-manager-2020/old-games"">Here's why you can't buy old versions of Football Manager</a> ",1602602399,
1100600,Football Manager 2020 20.4.4 Hotfix Out Now!,"{STEAM_CLAN_IMAGE}/35719545/d47bee27dba151237986a492d4eb84aa5378d2ef.jpg Following some further feedback from within the community we've just released Hotfix 20.4.4. As always this is save game compatible and will automatically be downloaded and installed via Steam. If you have problems updating, we very much recommend restarting Steam. Football Manager 2020 20.4.4 Hotfix -------------------------------- - Addressed users encountering occasional freezes during network game play If you find you're having any problems with any technical aspect of the game, please contact help@sega.co.uk for support.",1601046420,['patchnotes']
1100600,Football Manager 2021 - Out November 24th,"{STEAM_CLAN_IMAGE}/35719545/a485da54ca37a609cf28ff02f7c5f0f7aadf4566.png We’re delighted to reveal that Football Manager 2021 (PC/Mac) will launch on Steam and the Epic Games Store on November 24th. Fans who pre-order FM21 from a participating digital retailer* will receive a 10% discount and access to the pre-release Early Access version of the game, which will be available approximately two weeks before full release. As in previous years, those who buy the game through Steam (and now Epic Games) will also receive Football Manager 2021 Touch (PC/Mac) for free. Football Manager also returns to Xbox for the first time since 2007 with Football Manager 2021 Xbox Edition. The game has been tailored for the best console experience and can also be played on any Windows 10 PC thanks to Microsoft’s Play Anywhere technology. Full release details for Football Manager 2021 Touch (iOS and Android) and Football Manager 2021 Mobile (iOS and Android) are coming soon, while Football Manager 2021 Touch for Nintendo Switch is expected to complete the line-up in December. Check back here for the latest news and follow our social media channels for further updates and feature information for all platforms. * Early Access is available from SEGA approved digital retailers only. Please check to see if the store you’re purchasing from is participating in the offer. ",1600967508,
1100600,Football Manager 20.4.3 Hotfix Out Now!,"{STEAM_CLAN_IMAGE}/35719545/de693574da1d0502bcb135cfaeb5a2eff747d2c3.jpg Following some feedback from within the community we're pleased to announce the release of Hotfix 20.4.3. As always this is save game compatible and will automatically be downloaded and installed via Steam. If you have problems updating, we very much recommend restarting Steam. Football Manager 2020 20.4.3 Hotfix -------------------------------- - Adjustments to allow network game servers to appear within connection lobby - Improved the friends invite option for network games - Addressed saves sometimes not appearing under 'Load Last Game' and rare problems related to loading/saving and Cloud saves",1600887603,['patchnotes']
1100600,Football Manager 2020 has been claimed for free by one million people on the Epic Store so far,"<a href=""https://www.pcgamesn.com/football-manager-2020"">Football Manager 2020</a> is one of the latest <a href=""https://www.pcgamesn.com/100-best-free-pc-games"">free games</a> on the <a href=""https://www.pcgamesn.com/stick-it-to-the-man/free-game-epic"">Epic Games Store</a>, and being part of the offer has done wonders for the <a href=""https://www.pcgamesn.com/best-football-games-pc"">football game</a>'s player count. The <a href=""https://www.pcgamesn.com/best-pc-simulation-games"">simulation game</a>'s been downloaded a million times so far, dwarfing players from other platforms. Series director Miles Jacobson <a href=""https://twitter.com/milesSI"">broke the news on Twitter</a>. ""We were told to expect big numbers, but am amazed with what we're seeing,"" he wrote. ""Over 500,000 players of Football Manager 2020 on the platform in 24 hours, and over 120,000 currently playing on the platform."" As usual, Epic's weekly free games changed over on Thursday. <a href=""https://www.pcgamesn.com/football-manager-2020/review"">Football Manager 2020</a>'s regular price is $60, so free is quite the heavy discount that, obviously, many decided to take advantage of. Jacobson then updated that it had become one million, which is several times as many that tried it on a free fortnight on Steam. Players are still stretching their managerial talents on Valve's platform, mind, with over 80,000 currently playing according to <a href=""https://steamcharts.com/app/1100600"">Steam Charts</a>, at time of writing, with a peak of over 93,000, and an all-time peak of over 180,000. Epic doesn't yet have a Steam Charts or SteamDb equivalent to verify sales or player stats. <a href=""https://www.pcgamesn.com/football-manager-2020/sales"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/humble/racial-justice-bundle"">Humble's Racial Justice bundle includes $1,200 worth of games and literature</a> <a href=""https://www.pcgamesn.com/best-football-games-pc"">The best football games on PC in 2020</a> <a href=""https://www.pcgamesn.com/football-manager-2020/old-games"">Here's why you can't buy old versions of Football Manager</a> ",1600617207,
1100600,Football Manager 2020 20.4.2 Hotfix Out Now!,"{STEAM_CLAN_IMAGE}/35719545/de693574da1d0502bcb135cfaeb5a2eff747d2c3.jpg We've released a hotfix for Football Manager 2020 update 20.4.2 to address some of the issues mentioned in the changelist below. This hotfix will be downloaded automatically, however if you have difficulties in doing so we'd recommend restarting Steam. 20.4.2 Hotfix Changelist ------------------------------------- - Addressed issues related to save games seemingly not appearing (if 'load last game' is blank they can be found via the Load Game option on the main menu) - Number of fixes related to network games allowing users to connect via lobby (users must use entire server name to find specific servers) and invites across Steam and Epic - Fixed issue related to In-Game Editor not appearing for some Mac users - Fixed rare issue where launching FM through Steam could open the Epic Launcher We'd like to take this opportunity to apologise to players who experienced problems following yesterday's update. With FM20 now being available across both Epic and Steam it gave us a fantastic opportunity to bring players across both platforms together in online game modes. Unfortunately, it caused some unexpected problems which only became apparent to us when so many of you logged on to play the game simultaneously. We believe we've now been able to address the issues noted above with this hotfix and hope you can all get back to winning ways with your FM careers. Well not all of you in network games, as you can't all win the league. But you get the idea...",1600461800,['patchnotes']
1100600,Football Manager 2020 Update 20.4.2 Out Now!,"{STEAM_CLAN_IMAGE}/35719545/ef7c21b85c2634111d0f7c4fc1cc92ae0b6fac8b.jpg We’re pleased to announce the release of Update 20.4.2 for Football Manager 2020. The update should now be automatically available to download via Steam and is save game compatible, allowing you to continue your current career. 20.4.2 Changelist -------------------------- - Introduction of Network Game cross-play with Epic",1600355054,['patchnotes']
1100600,"FIFA's greatest obstacles? Thomas Müller, ugly football, and you","As of last Sunday the 2019/20 football season, pickled and zombified beyond its natural expiry, finally came to an end. Off the back of some alarmingly frantic games in the latter stages, the Champions League final promised box-to-box drama and defensive chaos, but ultimately played out exactly as all Champions League finals often do: two hours of nervy, methodical human chess, resulting in Bayern Munich's cranking mechanical stiflement of the gold-plated Paris Saint-Germain. The talisman of that great Bavarian mechanism was inevitable, at least to those who follow football. Thomas Müller, despite being an attacker and despite not scoring, was central to Bayern's plan, harrying and nibbling at PSG when out of possession and tugging and twisting their defence when his team had it. Now 30, Müller is emblematic of Bayern Munich and the German national team's near-perpetual success over the past decade. He's also, famously, a bit of a footballing enigma. A contradiction of a player who seems to scuff his way impossibly through games, all elbows and knees and loose-fitting shin pads. His success at the weekend, being a success of the most Thomas Müller kind, reminded me of <a href=""https://www.espn.co.uk/football/blog/espn-fc-united/68/post/2959703/fifa-17-player-ratings-system-blends-advanced-stats-and-subjective-scouting"" target=""_blank"">an article in ESPN</a> about the great obstacle his awkwardness tends to propose for a particular football game: by FIFA's standards, one of the best players in one of the world's best teams is, technically, not very good. <a href=""https://www.eurogamer.net/articles/2020-08-24-fifas-greatest-obstacles-thomas-muller-ugly-football-and-you"">Read more</a> ",1598286670,
