appid,title,contents,date,tags
1568590,v4.05 - The Return of Gifting,"Gifting is back in Goose Goose Duck! You are now able to send gifts directly to your friends!Sending a Gift:Gifts can be sent to your friends through two methods:Directly through your Friends List.ORThe Gifting section from your Gaggle.Fun Dashboard.Don't forget to make your gift extra special by customizing the card. Opening Gifts:If you have a gift waiting, you can open it from the Gifts section found on the Main Screen.Collection Filtering AdditionShow only FavoritesWhen enabled, the collection view displays only cosmetics you have marked as favorites, letting you select or randomize from that curated set.Bug Fixes and Optimizations:Various bug fixes and optimizations.Encounter a bug or unintended feature? Be sure to submit an in-game report or contact the support team with full details.",1764785746,
1568590,Holiday Cheer Claw Machine,"🎁❄️ The Holiday Cheer Claw Machine Is Here! ❄️🎁The Holiday Cheer Claw Machine is now available for a limited time, featuring a delightful assortment of seasonal cosmetics. From sweet and sugary holiday treats, to cozy winter bundles, frosty royalty, and festive feathered friends, you’ll be ready for this holiday season.Note: The Holiday Cheer Claw Machine has a Play Meter. Every 10 plays, your prize is guaranteed to be an item not already in your collection from the Holiday lineup above! Waddle over to the Peck & Claw and grab some holiday magic before it melts away!Happy Holidays! 🦆✨",1764272463,
1568590,Holiday Flight Pass - Yuletide,"🛩️❄️ The Yuletide Flight Pass Has Arrived! ❄️🛩️Celebrate the season with the brand-new Yuletide Flight Pass! Earn Flight Points by playing Goose Goose Duck and completing tasks to unlock exclusive festive rewards!Whether you’re full of holiday cheer or feeling a little frosty, this limited-time Flight Pass has something for every goose (or duck).With the Yuletide Premium Pass, you unlock:No Expiration - Premium Passes do not expire, at the end of the event they can be found in your Archives to be able to be activated after an event ends.Premium Rewards - access to all the premium flight rewards!",1764272454,
1568590,v4.04 - Chat Translations,"Introducing Chat Translations!We’re excited to roll out a brand-new feature in Goose Goose Duck: Chat Translations!Now you can play and communicate seamlessly with players from all around the world, less language barriers, more chaos, more teamwork, and more fowl play! Goose Goose Duck just got a lot more global!How does it work?Enable Chat Translations when creating a public lobby, or join any public lobby that already has it turned on. From that moment on, all messages in your text chat channels will be automatically translated into your selected language. Simple, fast, and perfect for connecting with geese everywhere.Speech to Text!We're also introducing a new way to send chat messages in public lobbies with Speech to Text!You can record your voice messages and have them transcribed into chat messages. Want to be able to check and edit your messages before sending? Be sure to disable Auto Send Speech to Text under gameplay settings. Auto Send Speech to Text ON:Auto Send Speech to Text OFF:Trouble with Translations?This is the first version of our Chat Translations feature, and we’re continuing to improve it. If you encounter incorrect translations or notice something that seems off, please let us know! Use the in-game reporting tools or submit details through our online ticket form so the team can investigate and refine this feature.",1763406181,
1568590,v4.03.04 Hotpatch,"Hotpatch 4.03.04Added: Arcade tasks (e.g. Mad Quacks) now use the same key bindings as Move Up, Down, Left, RightFixed: Issue where a player's goose colour changed when interacting with the closetFixed: Fire Sabotage visuals not resetting after a meeting in Goosechapel, Mallard Manor, and SS MothergooseFixed: Meeting music not playing when Lights Sabotage is activeFixed: Sniper’s reticle showing after being eaten by the PelicanFixed: Revive countdown not showing when reviving as a ThrallThanks again as always for the reports! Again, if you experience any bugs or unintended features please be sure to use the reporting tools with all the details either in-game or the online ticket form to let the team know!",1760561423,['patchnotes']
1568590,v4.03.01 Hotpatch,"Hotpatch 4.03.01Experience a bug or unintended feature in Goose Goose Duck? Please report them using the in-game bug report section found in Settings panel or fill out an online ticket form with as much detail as possible. The team continuously monitors and acts on reports based on priority. Here are the quick notes for Hotpatch 4.03.01:Added: Notification to the Peck & Claw tab if a pull is available. Fixed: Vision resetting after calling a meeting when the lights sabotage is active.Fixed: Certain sabotages being disabled after a sabotage was called and fixed. Fixed: Fire sabotage visuals resetting early in Ancient Sands. Fixed: Turducken's Monster - eye cosmetic not being disabled.Fixed: Hitman - black screen after a meeting ends if target left the game.Fixed: Bodyguard - black screen after a meeting ends if target left the game.Fixed: Adventurer - being killed to environment kills if they were in the Pelican's stomach.Thanks again as always for the reports! Again, if you experience any bugs or unintended features please be sure to use the reporting tools with all the details either in-game or the online ticket form to let the team know!",1759443402,['patchnotes']
1568590,Halloween Flight Pass - Turducken's Revenge,"Turducken's Revenge Flight PassActivate the Turducken's Revenge Flight Pass and earn Flight Points by playing Goose Goose Duck and completing tasks to unlock exclusive rewards! With the Turducken's Revenge Premium Pass, you can unlock:No Expiration - Premium Passes do not expire, at the end of the event they can be found in your Archives to be able to be activated after an event ends.Premium Rewards - have access to all the premium flight rewards!",1759348831,
1568590,Halloween Claw Machine,New Halloween Claw MachineTry out the Halloween Claw machine located at the Peck & Claw to unlock exclusive cosmetics! Available for a limited time! *Note: The Halloween Claw Machine has a play meter. Every 10 plays your prize is guaranteed to be an item not already in your collection from the above Halloween lineup!,1759348831,
1568590,v4.03 - Trick or Treat - Dr. Turducken,"This Halloween season we are introducing a New Trick or Treat Duo! Dr. Turducken and Turducken's Monster! These two characters will always appear with each other and work together as a pair, trying to rid of the Villagers. New Trick or Treat Roles:Dr. TurduckenKill all the villagers to win. Your abilities power up the Thralls and Turducken's Monster.Ability: Mark- An ability that Dr. Turducken can use on Villagers and Thralls.- This marker provides an indicator for Turducken's Monster to help Turducken's Monster locate other players. Red for Villagers, Green for Thralls.- Mark disappears if Thrall or Villager are killed or a meeting is called.Notes:Dr. Turducken and Dr. Turducken's Monster lose if Dr. Turducken is voted out during the meeting.There is no limit to the number of marks Dr. Turducken can place.Turducken's MonsterKill all the villagers to win. You win with Dr. Turducken.Ability: Charge- Grants Turducken's Monster a brief and temporary speed boost.- Limits steering.- Charging into walls or other objects temporarily stuns Turducken's Monster.Notes:Dr. Turducken's Monster cannot be voted out during meetings.Dr. Turducken's Monster cannot kill Dr. Turducken.Dr. Turducken's Monster has lower vision and lower speed.If Dr. Turduken's Monster kills a Thrall or Villager, they gain a temporary vision boost that resets after using the Charge ability.Trick or Treat Game Mode Adjustments:Thralls (and Dr. Turducken's Monster) can now communicate with each other during meetings while the villagers try to figure out who the Monster is.Mummy received a slight speed boost.Limited Time Halloween Fun!Look out for tricks and treats throughout the map. Some will give you a boost, while others will slow you down. Happy Halloween everyone!*Available on all maps and game modes excluding Corruption and Task Race.Custom Keybinds:Custom Keybinds have been reset. This is to accommodate and support different IMEs or keyboard types.Classic/Draft Role Updates:Ninja Kill Cooldown2x faster cooldown while in forbidden passage fog. 0x cooldown during meeting.Bug Fixes and Optimizations:Various bug fixes and optimizations.Encounter a bug or unintended feature? Be sure to submit an in-game report or contact the support team with full details.",1759341502,
1568590,Last Chance Notice: Godzilla Forever,"Flight PassThe Godzilla Forever Flight Pass will be coming to an end soon! Activate the Godzilla Forever Flight to earn Flight Points to unlock rewards by playing, including: BattraKing GhidorahGrenchikoWilsonEmmy KanoAvoid running out of time on flight rewards by purchasing the Premium Pass! Benefits of the Premium Pass: Premium Passes do not expire! Grants access to Premium Rewards. Allows progression through the Flight anytime after the event ends. Claw MachineLast Chance to try out the Godzilla Claw machine to unlock exclusive cosmetics including: M.O.G.U.E.R.A.Monster XSpaceGodzillaGiganBiollanteDorat petSuper X petStar Falcon pet *Note: The Godzilla Claw Machine has a play meter. Every 10 plays your prize is guaranteed to be an item not already in your collection from the above Godzilla lineup!",1758585633,
1568590,Last Chance - Dozing Dodo Plushie,⏰ Only ONE WEEK left to pre-order your Dozing Dodo Plushie from Youtooz!Don’t snooze on this chance to bring this sleepy bird home. 💤🦤👇 Pre-order closes soon:https://youtooz.com/products/dozing-dodo-plush-9-inch,1758308442,
1568590,v4.02.02 Hotpatch,Hotpatch 4.02.02 Here are the quick notes for Hotpatch 4.02.02:Added: Chat notification indicator for Raven while using ability.Adjusted: Chat window more responsive.Fixed: Role Tutorial page sorting.Experience a bug or unintended feature? Please report them using the in-game bug report section found in Settings panel or fill out an online ticket form. The team is continuously monitoring and implementing fixes based off priority.,1757433514,['patchnotes']
1568590,GGD x Youtooz Dozing Dodo Plush,"🎉 Plush Found! The Dozing Dodo Plush has arrived! It’s here! The Goose Goose Duck x Youtooz Dozing Dodo Plush is officially live!Soft, cozy, and available now for preorder for 4 weeks only! 💤👉 Get yours!",1756494035,
1568590,v4.02.01 Hotpatch,Hotpatch 4.02.01Experience a bug or unintended feature? Please report them using the in-game bug report section found in Settings panel or fill out an online ticket form. The team is continuously monitoring and implementing fixes based off priority. Here are the quick notes for Hotpatch 4.02.01:Added: Raven now has the ability to use text chat while roaming the maps during meetings. This is based off community feedback.Various bug fixes and optimizations.,1756317244,['patchnotes']
1568590,GGD x Youtooz Plush Giveaway!,"Goose Goose Duck is teaming up with Youtooz to bring this limited time Dozing Dodo to your bedside!Release Details:Friday August 29, 2025 at 3PM EDT Pre-orders will be available on the Youtooz website.Giveaway Details:Have a chance to win 1 of 3 Dozing Dodos Plush by entering below.Enter to Win! *Winners will be selected and contacted by the Youtooz Team shortly after the official launch. Terms and Conditions apply.",1756141219,
1568590,v4.02 - The Raven,"The Raven:Win as the last survivor. You can temporarily leave meetings to kill specific roles. You gain the ability to kill outside of meetings if all ducks are dead. Ability:During the voting phase, leave the meeting to hunt a designated target:Success: Target is eliminated in the meeting.Fail: Return to the meeting empty-handed.If all Ducks are eliminated, the Raven gains the ability to kill outside of meetings. The Raven HuntIf the Raven reaches the final 3 players:Transforms into an astral-like form and becomes invincible.A timer begins. Raven is tasked to kill all remaining players before it runs out.Success: Raven wins. Fail: Raven is eliminated; other win conditions are checked. Special NotesImmune to Assassin’s meeting kills.Can still hear and speak in meetings while exploring.Can track bodies to call meetings or gather intel.Can traverse through walls at a reduced speed. UI Improvements / AdjustmentsInfo panel now defaults to the Role tab while in-game for faster access.Stalker Arrow is now white for visibility.Navigation Arrows:Task arrows now use optimal pathing.Role arrows (e.g., Stalker, Serial Killer, Dueling Dodo, Vulture) keep direct pathing. Bug Fixes & OptimizationsMeeting Screen:Fixed issue where two bodies could be flagged as reported.Fixed bug where dead players’ banners appeared yellow as if talking. Now correctly darkened.",1755710004,
1568590,PAX West 2025,"We're heading to PAX West 2025! Come by the booth, meet some of the team, and see what we’ve been working on.PAX West 2025 takes place August 29 – September 1 at the Seattle Convention Center. We will be located at booth 341!",1755277207,
1568590,v4.01.02 - Meeting Revamp Based on Community Feedback,"Hello everyone,Over the past few days, we've seen extensive discussion about the latest meeting revamp. Your thoughtful feedback, passionate discussions, and creative suggestions haven't gone unnoticed. At Gaggle Studios, community input has always been the cornerstone of our development philosophy.Immediate ChangesWe're thrilled to announce that we've already implemented several changes based directly on your feedback:Reverted Player Position: Players now stand within their player banner, similar to how they were before the revamp.Corpse Found: Reduced the amount of caution tape placed on reported corpses. Corresponding with the Reporter's Megaphone.Default Player Banners: Players without banners are assigned a blank banner based on the theme of the map rather than based off the players colour.""Hide Vote Banners"" Setting: Shows all players with default player banners.X Marks the Spot (less): X indicating dead players has been darkened and made smaller.No more ghosts: Reverted back to dead players being greyed out with a red X. This is to preserve outfits to help identify someone you may have encountered during the round.Voted... Check!: Repositioned and enhanced the checkmark indicating player has voted over the player banner for quickly identifying who voted and who hasn't.Bug Fixes and Optimizations:Fixed: Issues surrounding Jungle Temple and the calling of meetings.Fixed: Spy misidentifying Mimic as a Duck. If the Spy uses their ability on the Mimic, the Mimic will be identified as a Mimic in the next meeting to the Spy.Fixed: Serial Killer target arrow. Serial Killer's target arrow no longer disappear during a (Pelican/Falcon) hunt.Why This MattersGoose Goose Duck is built off the community that has helped shape it to what it is today. Our goal is to make Goose Goose Duck enjoyable for experienced players while also being inviting to newer players. Your feedback helps us strike that perfect balance, and we're committed to continuing this iterative process together.Thank You!Your passion for our game drives us to constantly improve. This community continues to amaze us with its creativity, thoughtfulness, and dedication. We're listening, we're implementing, and we're excited for what comes next.Keep the feedback coming!— The Gaggle Studios Team Join our Discord to engage with the community and to continue the conversation!",1754615056,
1568590,Godzilla Forever!,"Godzilla Forever Flight PassActivate the Godzilla Returns Flight Pass and earn Flight Points by playing Goose Goose Duck and completing tasks to unlock exclusive rewards including:BattraKing GhidorahGrenchikoWilsonEmmy Kano With the Godzilla Forever Premium Pass, you can unlock:No Expiration - Premium Passes do not expire, at the end of the event they can be found in your Archives to be able to be activated after an event ends.Premium Rewards - have access to all the premium flight rewards!Godzilla Forever Claw MachineFor a limited time, try out the Godzilla Claw machine located at the Peck & Claw to unlock exclusive cosmetics including:M.O.G.U.E.R.A.Monster XSpaceGodzillaGiganBiollanteDorat petSuper X petStar Falcon pet *Note: The Godzilla Claw Machine has a play meter. Every 10 plays your prize is guaranteed to be an item not already in your collection from the above Godzilla lineup!",1754416837,
1568590,v4.01 - Meeting Revamp,"""We Need to Talk!"", ""Avian Corpse Reported!""Whether you're reporting a corpse or just calling a meeting because you've missed seeing everyone's beak, meetings play a vital role in discovering who's good, who's bad, and who just wants to be voted out! Over the lifetime of Goose Goose Duck, more and more information has been added to the meeting screen, such as:Assassin: Taking out another avian (or themselves) during the meeting.Clown: Making players POP during the meeting.Party/Clown, Silencer, Fortune Teller: Displaying their mark(s) in the meeting.Various ability trackers such as the Lobbyist vote counter.To help track all this information, the meeting screen has been completely revamped to not only display all existing information in a more readable fashion but also prepare for any new features we may add in the future! Meeting Screens RevampChat ToggleTired of repeatedly opening and closing the text conversation? NO MORE! Now the chat button acts as a toggle between two different meeting layouts:Full View: Shows the complete meeting interface with player information.Chat View: Expands the chat window for those intense discussions.Full View:Chat View:*Note: In a 16 Player lobby, the chat window is shortened and you are placed above (layout shift to accommodate).Additional Notes:New Player Found Indicator: Removed the generic ""Found"" text and made it visually obvious which corpse is being reported.At-a-glance Information: Updated megaphone icon to identify who called the meeting.Added clear icons indicating marked targets and effects (party, silenced, etc.).Dead players appear as ghosts.Reported corpse appears as a corpse in meeting.Any corpses that are created during the meeting also appear as corpses.In-Meeting Animations:Intro crime scene tape indicating which corpse is being reported.Players that meet their end during the meeting are shown the body drop animation, continuing the meeting as a corpse on the meeting screen.Assassin Shot.Clown ""POP"".ThemingUpdated Themed Appearance: When loading into a map, the loading screens, lobby chats, and meeting screens reflect the map's theme including the splash art for each map.Visual Consistency: Enjoy a more cohesive visual experience throughout the game.Upgraded Navigation SystemBefore: Navigation arrow pointed towards the task in a straight path (as the crow flies).After: Navigation arrow provides guidance towards the selected task through the optimal path.Revamped Game Info PanelEnhanced Room and Game Info: Game info panel now displays comprehensive room and game information.Complete Role Information: Roles section now allows you to read about all possible roles in a match.Quick Reference: Access information when you need it most. This includes copying the room code in-game!Bug Fixes and OptimizationsFixed - Godzilla Map: Adjusted controller support for the clear rubble task.Fixed - Map Changing: Resolved an issue that would cause players to be locked in the collections when changing maps.Fixed - Trick or Treat: Trick or treat properly ends at 0 seconds. Meetings would interfere with the countdown, causing it to continue running past 0 seconds.Various Bug Fixes and Optimizations.Experience a bug or unintended feature? Please let us know by providing as much detail as possible including: Description of what happened.Steps that may have led to the unintended behavior.Ways to let us know! In-game Bug Report: Open Settings -> Bug Reports and fill out the information there.Contact the support team through email at support@gaggle.fun or submit a report through the Online Form.As always, be sure to join our Discord community and share feedback and connect with other players!",1754406922,
