appid,title,contents,date,tags
271590,GTA Online: A Safehouse in the Hills Now Available,"Status is everything, and in GTA Online: A Safehouse in the Hills you can now revel in your rightful position amongst the city's elite with a lavish new mansion property. Plus, cruise the streets in a fleet of new upscale vehicles that complement your new palace, disrupt plans for an autonomous surveillance state in a set of exciting new missions, or create your own adventures with the new Rockstar Mission Creator, and so much more. {STEAM_CLAN_IMAGE}/6144970/0ce50ee9bb7710275496bc923c24e70ead3d6885.jpg IMPECCABLE MANORS Prix Luxury Real Estate spared no expense on these modern architectural marvels, combining tasteful design and cutting-edge technology to elevate every touchpoint. Choose from three distinct locations in the most exclusive neighborhoods — each erected on a spacious plot with ample accommodations. {STEAM_CLAN_IMAGE}/6144970/a2d20abb8a8a853147b39bd2527a5e07af478dce.jpg NEW VEHICLES A Safehouse in the Hills introduces a slate of new top-of-the-line vehicles to GTA Online, including the futuristic new Pfister X-treme (Super), the throwback-inspired Übermacht Sentinel XS4 (Sedan), and the retro-styled Grotti GT750 (Sports Classic). {STEAM_CLAN_IMAGE}/6144970/3b288aa49752d38ad82818e8ca28eacdac916802.jpg KNOWAY OUT Avi Schwartzman might be paranoid, but it looks like he’s genuinely onto something this time. Self-driving vehicle start-up KnoWay is using a fleet of autonomous SUVs to build a shadowy surveillance network. Help Avi put a stop to it by any means necessary in KnoWay Out. See full details at the Rockstar Newswire. ",1765461671,
271590,GTA Online's remarkable new mission creator feels like a glimpse at what's to come in GTA 6,"We still don't know exactly how <strong>GTA 6</strong> will shake things up when it comes to the <strong>GTA Online</strong> experience, but we've had some early clues. The biggest is <a href=""https://www.pcgamesn.com/grand-theft-auto-v/fivem-redm-rockstar-games"">Rockstar's acquisition of FiveM</a>, the biggest Grand Theft Auto roleplaying community - a bigger, more integrated focus on the RP side of things seems inevitable for the new game. The mission creator tool that just went live with the latest GTA Online update is yet another breadcrumb. This feels to me like the biggest, most public warm-up for GTA 6's multiplayer component so far, and you can start messing around with it right now. <a href=""https://www.pcgamesn.com/grand-theft-auto-v/gta-online-mission-creator-out-now"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/grand-theft-auto-5/mansions-prices-locations"">GTA Online mansions prices and locations</a> <a href=""https://www.pcgamesn.com/grand-theft-auto-5/mansions-update-release-time-safehouse-hills"">GTA Online mansions update release time and all new cars</a> <a href=""https://www.pcgamesn.com/grand-theft-auto-v/the-best-grand-theft-auto-v-mods"">The best GTA 5 mods</a> ",1765382757,
271590,"Forget the GTA 6 delay, one modder is quietly building an entire Grand Theft Auto multiverse inside GTA 5","While Rockstar takes its time polishing GTA 6 into a neon sunbeam, one hobbyist modder has apparently decided to just make their own Grand Theft Multiverse instead. FV Mods, who evidently runs on a diet of caffeine and pure willpower, has now released a trilogy of giant map add-ons for GTA 5—effectively turning San Andreas into the world’s least coherent tourist atlas... <a href=""https://www.pcgamer.com/games/grand-theft-auto/forget-the-gta-6-delay-one-modder-is-quietly-building-an-entire-grand-theft-auto-multiverse-inside-gta-5/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765130400,
271590,GTA Online: A Safehouse in the Hills Coming December 10,"Prime luxury real estate comes to GTA Online in A Safehouse in the Hills, the monumental new update arriving December 10. For those who have reached the highest rungs of the criminal ladder, celebrate your triumph with a painstakingly crafted palace in one of Los Santos’ most exclusive neighborhoods, complete with breathtaking views, the finest amenities, and countless ways to customize and make it your own. Plus, stop the development of a mass surveillance network in an all-new action packed adventure — along with exquisite new vehicles to collect, the return of a familiar face, and much more. See full details at the Rockstar Newswire.",1764950232,
271590,Live A Superyacht Life with Lavish Rewards,"Float towards the horizon and chart a course for the next era of Los Santos luxury like a real mogul. Set sail in A Superyacht Life this week and be rewarded handsomely with 5X GTA$ and RP. Go to the bridge of your Galaxy Super Yacht or dial up Captain Darcy to get under way or begin your nautical adventures with a 40% discount on any Galaxy model at DockTease. Completing three A Superyacht Life Missions will accomplish the Weekly Challenge, landing you the Vibrant Check Smoking Jacket in addition to GTA$100,000. Speaking of moguls, Ray Trotman is posing as an art connoisseur after stealing a priceless piece from the San Andreas Gallery of Modern Art. Use a chopper, EMPs, and retinal scans to take it back, and get 4X GTA$ for completing The Fine Art File, this week’s FIB Priority File. Garment Factory owners can launch FIB Files using the Darnell Inc. app. {STEAM_CLAN_IMAGE}/6144970/a6a8e6020c8a76c976be99660df70e12bf4966be.jpg AQUARIUS UPGRADE Upgrade your buoyant home away from home. Current Orion or Pisces owners can graduate to the luxurious Aquarius Super Yacht, the most expensive and luxurious Galaxy model available, for a nominal fee of GTA$1. If you don’t own one yet, get in on the fun by taking GTA$2,000,000 off the price of the Aquarius, plus an additional 40% off on top of that, when shopping for Galaxy Super Yachts on the DockTease website. Any Upgrades and Modifications you make from there will also be 40% off. Seek out less fortunate vessels and locate Shipwrecks to collect 2X GTA$ and RP from all chests. SPECIAL BLACK FRIDAY DISCOUNTS Chase your holiday meal down with a veritable buffet of Black Friday desserts, including some of the highest discounts ever offered on select vehicles below, along with 50% off a portfolio of hot properties — available from November 27 through December 3: — Mammoth Avenger – 70% off — Benefactor Terrorbyte – 50% off — Mammoth F-160 Raiju (Plane) – 40% off — Imponte Deluxo (Sports Classic) – 40% off — And more See full event details at the Rockstar Newswire.",1764260621,['hide_store']
271590,Double Down on Luxury at The Diamond Casino & Resort,"For those looking to elevate their status to aid their quest for upcoming luxury real estate opportunities, the deck is stacked in your favor at The Diamond Casino & Resort this week. Claim a free Casino Master Penthouse to take advantage of The Diamond’s amenities, including Double Rewards on Casino Story and Casino Work Missions, plus get double daily Casino Chips. Anyone with an Arcade (30% off this week) can raid the vault for 2X Rewards in the Diamond Casino Heist Finale. Once you’ve mined those opportunities, there’s more to be made on the racetrack, with 2X GTA$ and RP on a new Community Race Series and 3X GTA$ and RP in the high stakes world of Open Wheel Races. See full event details at the Rockstar Newswire ",1763736290,
271590,Lay a Proper Foundation in New Listings,"There's a new entrant in the Los Santos high-end real estate scene, and they're making moves into some of the most exclusive neighborhoods. Prix Luxury Real Estate has ambitious plans, bringing new unrivaled mansion properties to this lucrative market in December. As part of the consortium overseeing these new developments, Mr. Faber sees the opportunity to strengthen his own bottom line, and he knows just the right person to advance his plans. Clear out squatters, procure construction materials, and motivate contractors in New Listings — three new missions now available in GTA Online that bestow double GTA$ and RP. Help transform the face of Los Santos luxury real estate by completing all three, and you’ll be granted their preferred rate — a GTA$2,000,000 discount — when these properties hit the market in December. This week also brings executive bonuses to aid in the acquisition of capital resources, and look for additional opportunities throughout the month to take advantage of special bonuses and offers as you pursue your future palatial estate. {STEAM_CLAN_IMAGE}/6144970/becfabf2c4c15e7b153fb53d5c9042805e9ed046.jpg VERY IMPORTANT PRIX In preparation for their arrival on the Los Santos luxury property scene, Prix Luxury Real Estate is rolling out their new VIP program to welcome upwardly mobile homeowners into the elite. Complete all three New Listings missions by December 7 to ascend into the Gold Tier, rewarding you with a GTA$1,000,000 bonus (within 72 hours of completion), the Black Rockstar Varsity Crewneck, and a preferred rate (GTA$2,000,000 off) all Prix Luxury Real Estate listings arriving in December. Those who play GTA Online between November 13 and December 7 will qualify as a Black Tier VIP. Claim a FREE Übermacht Revolter (Sports) wrapped with the chic Sessanta Nove Monogram livery at the Luxury Autos showroom in Rockford Hills, and receive a collection of high-end fashion items befitting your elevated status. FREE EXECUTIVE OFFICE Don’t let perfectly good office space sit idle — put it to good use by claiming the Lombank West Executive Office for free this week. Become a wheeling-dealing, limousine-riding, jet-flying CEO with access to the SecuroServ network, VIP Work and Challenges, and more. Prefer another location? All other Executive Office Properties are 50% off, as are their Upgrades, Modifications, and Garage expansions through November 19. See full event details at the Rockstar Newswire. ",1763137052,['hide_store']
271590,"Grand Theft Auto 5 has now sold an incredible 220 million copies, with roughly 20 million in the last year alone","Following yet another delay to Grand Theft Auto 6, CEO of Take Two Strauss Zelnick has casually mentioned one reason why his company's shareholders shouldn't be too worried: Grand Theft Auto 5, which obviously includes the massively successful <a href=""https://www.pcgamer.com/gta-online/"" target=""_blank"">GTA Online</a>, has now sold over 220 million copies since its release in 2013... <a href=""https://www.pcgamer.com/games/grand-theft-auto/grand-theft-auto-5-has-now-sold-an-incredible-220-million-copies/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762799047,
271590,"Modder hero makes GTA 5 NPCs commit insurance fraud, ends up getting taken to court where he has to play 'Shag, marry, avoid' for his freedom","Insurance Fraud was arguably the best activity to come out of the Saints Row series—what that says about me, I don’t know—but I never considered what would happen if the NPCs were scamming <em>you</em>. Now you can find out, as Blurbs' latest 'modsperiment' answers the call with floppy NPCs, paperwork, and courtroom intrigue... <a href=""https://www.pcgamer.com/games/grand-theft-auto/modder-hero-makes-gta-5-npcs-commit-insurance-fraud-ends-up-getting-taken-to-court-where-he-has-to-play-shag-marry-avoid-for-his-freedom/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762788136,
271590,"Rockstar finally teases one of GTA Online's most requested additions, and it could be the ultimate way to spend your heist payout","You can already spend your hard-earned (see: hard-heisted) money on some pretty lavish properties in <strong>GTA Online</strong>. But fans have always longed for the ultimate wealth statement to call home: a mansion. A datamine earlier in the year suggested that this long-requested addition was in the pipeline, and today Rockstar has teased that a GTA Online mansion update could be arriving soon. As well as this exciting hint, it's also confirmed that GTA Online is being rolled into its GTA+ subscription service. <a href=""https://www.pcgamesn.com/grand-theft-auto-v/gta-online-mansions-teaser-rockstar"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/grand-theft-auto-v/the-best-grand-theft-auto-v-mods"">The best GTA 5 mods</a> <a href=""https://www.pcgamesn.com/grand-theft-auto-v/gta-rp-how-to-download"">What is GTA RP? GTA 5 RP best servers and how to play</a> <a href=""https://www.pcgamesn.com/grand-theft-auto-v/fastest-car-gta-5"">GTA 5 fastest car and bike 2025</a> ",1762450233,
