appid,title,contents,date,tags
990080,ПК-геймеры могут получить Hogwarts Legacy бесплатно — предложение ограничено по времени,"В <strong>Epic Games Store</strong> проходит раздача популярной ролевой игры <strong>Hogwarts Legacy</strong>, дебютировавшей в феврале 2023 года. ",1765677180,
990080,Hogwarts Legacy PC Hotfix Patch – 12/03/2025,"Hogwarts Legacy Build Version – 1613387 (Steam, EGS), 1614419 (Windows PC)Hotfix Patch Overview:Resolved an issue which prevented more than 20 favorited or uploaded mods from appearing despite having more. HL-24118 ",1764781228,['patchnotes']
990080,Hogwarts Legacy is on Sale Now!,Save on Hogwarts Legacy during the Warner Bros. Games Black Friday Sale! Click Here for Great Savings,1764180139,
990080,Steam Global Top Sellers for week of 14 Oct — 21 October 2025,"<a href=""https://steamdb.info/topsellers/2025W43/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/2352620/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Fellowship</a>; * <a href=""https://steamdb.info/app/3167020/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Escape From Duckov</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/1984270/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Digimon Story Time Stranger</a>; * <a href=""https://steamdb.info/app/2062430/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">BALL x PIT</a>; * <a href=""https://steamdb.info/app/990080/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Hogwarts Legacy</a>; * <a href=""https://steamdb.info/app/381210/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dead by Daylight</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W43/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1761037200,
990080,Hogwarts Legacy Game Patch Notes - 10/15/2025 (PC Version),"Hogwarts Legacy Build Version – 1569535 Developer notes – Added support for the ROG Xbox Ally X and ROG Xbox Ally Handhelds with full handheld compatibility. Several general performance improvements and Mod fixes for PC have also been added. Patch Overview: Modding fixes Resolved issue causing “installation stalled” to appear incorrectly when updating mods Resolved incorrect sorting when using the Highest Rated filter Resolved “Load Game” UI in the mod menu being clipped at certain resolutions Resolved issue which prevented the report mod button from working, if it was previously clicked Resolved an issue which sometimes prevented the player from accessing the “Load Games” menu screen from the Enabled Mods menu Resolved “Copy Save” button for mods not working as intended when using a controller Stability/Performance Resolved incorrect graphics profiles being applied to some handheld devices AMD configuration changes to improve overall stability for PCs using that chipset Miscellaneous Xbox ROG Ally and Xbox ROG Ally X support added Intel XeSS and XeFG improvements added to lower end PCs XeLL optimization improvements ",1760543223,['patchnotes']
990080,Steam Global Top Sellers for week of 26 Aug — 2 September 2025,"<a href=""https://steamdb.info/topsellers/2025W36/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/553850/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">HELLDIVERS™ 2</a>; * <a href=""https://steamdb.info/app/2417610/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">METAL GEAR SOLID Δ: SNAKE EATER</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/2694490/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Path of Exile 2</a>; * <a href=""https://steamdb.info/app/1285190/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Borderlands 4</a>; * <a href=""https://steamdb.info/app/3472040/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">NBA 2K26</a>; * <a href=""https://steamdb.info/app/275850/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">No Man's Sky</a>; * <a href=""https://steamdb.info/app/990080/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Hogwarts Legacy</a>; * <a href=""https://steamdb.info/app/1174180/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Red Dead Redemption 2</a>; * <a href=""https://steamdb.info/app/3527290/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">PEAK</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W36/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1756803600,
990080,Back to Hogwarts Celebration!,"Celebrate Back to Hogwarts with great savings through September 2nd on Hogwarts Legacy, LEGO Harry Potter Collection and Harry Potter: Quidditch Champions! Save 80% on Hogwarts Legacy! Save 80% on LEGO Harry Potter Collection! Save 80% on Harry Potter: Quidditch Champions! ",1756171101,
990080,Hogwarts Legacy Mod Spotlight,"The latest magical mods in Hogwarts Legacy have arrived — From Azkaban skirmishes to your very own battle pet, discover the spellbinding new ways to play!",1750960741,
990080,Ветер перемен: WB Games разделят на четыре ключевые направления,Руководство <strong>WB Games</strong> приступило к новому этапу реструктуризации на фоне провальных показателей. Об этом сообщает издание <strong>Variety</strong>. ,1750214725,
990080,Hogwarts Legacy Game and Creator Kit Patch Notes - 6/10/2025,"Hogwarts Legacy Build Version – 1420267Developer notes – This patch provides updates necessary to support the most recent Creator Kit build Patch Overview:Changed default display options to prevent Low Latency settings from being applied to older unsupported cards Hogwarts Legacy Creator Kit Build Version – 1404437Developer notes – This patch provides additional modding options, enhancements and bug fixes for the Creator Kit. Patch Overview: Updated Localization Text Editor dialog box to support creating text for multiple languages, including the current ""default"" languageAdded support for adding and modifying Spell and Spell Talent videos, as well as spell minigames Added support for creating new SQL tables from the Database Text Entry toolRemoved excess plugins to reduce Kit sizeAdded new Broom, Costume, and Gameplay mod templatesAdded a ""reset mod link"" button to the kit when uploading to allow for easier custom template creationAdded a dropdown menu for Create Mod, Create Template, and Select Active ModMade a new section for Mod specific functions on the toolbar and file menuDisabled minidumps on ensure failures for the Creator Kit that were causing large log files to accumulateAdded ability to set custom loot in containers and not rely on random spawningFixed issue where the upload Button in the Mod Upload Window wasn’t interactable when first relaunching the Creator Kit ",1749569675,['patchnotes']
