appid,title,contents,date,tags
370910,Kathy Rain 2: Soothsayer is Now Available!,"You can now start the hunt for a dangerous killer as Kathy Rain 2: Soothsayer is now on sale right here on Steam with a 10% discount for the next week! New to the series and want to start from the beginning? No prob, we got you: The Kathy Rain Saga bundle contains the Director’s Cut of the first game and the new Soothsayer release at a big discount! In this long-awaited sequel, we have taken an ambitious step from a small-town mystery to a dark urban thriller. This chapter of the Kathy Rain saga takes place in 1998 in the metropolitan city of Kassidy, at a time when it’s been brought to its knees through a string of murders by the notorious serial killer nicknamed the “Soothsayer”. When a big cash reward is announced, struggling private eye Kathy Rain is quick to get on the case! Hop on Kathy’s trusty bike, the Katmobile, explore the city to gather clues, interrogate persons of interest, track down the killer and finally put an end to Kassidy’s horror! https://store.steampowered.com/app/1466390/Kathy_Rain_2_Soothsayer/ A little of what you’ll get in Kathy Rain 2: Investigate a rash of serial murders, each killing seemingly unconnected… or are they? Reconnect with characters from the first game and meet a cast of new ones to help you along your way Use your notebook to connect gathered clues both from your inventory and on location surrounding Kathy’s city of Kassidy Enjoy stunning, hand-crafted cinematics; gorgeous backgrounds; and 90s inspired character design Enjoy a story that will have you guessing until the end! So slip on your trench coat, grab your trusty taser, and hit the pavement, Gumshoe! ",1747749030,
370910,Kathy Rain 2: Soothsayer launches May 20th! 🔎,"Greetings, Detectives! We’ve got exciting news: Kathy Rain 2: Soothsayer is launching on May 20th! 🎉 In less than a month, we’ll be diving into Kathy’s most challenging case yet. A murderer is on the loose, and it’s up to you to use your wits to solve the mystery. Ready to crack the case? 🔎 While you can jump straight into Kathy Rain 2 without playing the first game (in fact, there is a summary of the first game right off the top of the second), we highly recommend checking out Kathy Rain: Director’s Cut for the full experience! This is just the beginning of an incredible adventure, and none of it would be possible without your amazing support. We can’t thank you enough for being with us on this journey! Don’t forget to add Kathy Rain 2: Soothsayer to your wishlist to stay in the loop and get all the updates when the game drops on May 20th! See you soon, Gumshoes! https://store.steampowered.com/app/1466390/Kathy_Rain_2_Soothsayer/",1746021827,
370910,Play the Kathy Rain 2: Soothsayer - demo now!,"Hello, Gumshoes! Our demo, refined from our previous Kathy Rain 2: Soothsayer version, is out now to try during Steam Next Fest! If you need a little help getting on your investigative hats, there is a spoiler-free walkthrough HERE to access and get you moving again! For those worrying that you'll be lost in the sequel - worry not! Before you begin you can get a recap of the first game and/or watch our new BRIDGING THE GAP video for a brief rundown! Happy hunting and remember to keep one eye to the shadows - a killer could be lurking around the corner! Don't forget to wishlist, it's super helpful for getting the word out! https://store.steampowered.com/app/1466390/Kathy_Rain_2_Soothsayer/ Sincerely, Your favorite informants ;)",1740420006,
370910,Kathy Rain 2: Soothsayer Unveiled — Demo Available!,"Eight long years after launching the original Kathy Rain, we couldn’t be more excited to give you a first glimpse of Kathy Rain 2: Soothsayer! Check out the demo on Steam NOW: https://store.steampowered.com/app/1466390/ If you enjoyed this brief foray into the new world of Kathy Rain, don’t forget to wishlist the full game! We'd love to keep you updated on the road to launch next year. In this long-awaited sequel, we have taken an ambitious step from the original small-town mystery to a dark urban thriller. This chapter of the Kathy Rain saga takes place in 1998 in the metropolitan city of Kassidy, at a time when it’s been brought to its knees through a string of murders by the notorious serial killer nicknamed the “Soothsayer”. When a big cash reward is announced, struggling private eye Kathy Rain is quick to get on the case! Hop on Kathy’s trusty bike, the Katmobile, explore the city to gather clues, interrogate persons of interest, track down the killer and finally put an end to Kassidy’s horror... Soothsayer is a direct sequel to Kathy Rain, so you can count on seeing some familiar faces! Our ambition is to create the ultimate sequel, a bigger and better experience that draws from what made the first game truly special whilst still innovating in new and exciting ways! More will be revealed over the next few months, so stay tuned right here on Steam! ~ Clifftop Games and Raw Fury",1732209012,
370910,Liked Kathy Rain? Check out award winning NORCO!,Last week one of the games in our Raw Fury family just won the A.MAZE 2022 Festival award for worldbuilding and immersive storytelling - that game is NORCO! {STEAM_CLAN_IMAGE}/32967998/abc9170755d0cf6ec50bd3838c64e3483365ac03.gif We thought you'd want to know since NORCO and Kathy Rain have a lot in common - they both feature beautiful pixel art guided by a point & click mystery that has a deep narrative you can sink into and one that sinks into you whilst staying with you for a long time. Check out what people are saying about NORCO here 👇 Thanks for your support for Kathy Rain and we hope you'll enjoy NORCO! - Raw Fury Team,1653578307,
370910,Kathy Rain: Director’s Cut plays great on the Steam Deck or with a controller!,"Hello, detectives! Since the Steam deck is launching today, we wanted to emphasize to you all that Kathy Rain: Director’s Cut features full controller support, including Steam Deck compatibility! We’ve had first-hand experience with this new handheld, and you’re in for a treat — the Director’s Cut plays AMAZINGLY on it! As you may know, the Director’s Cut’s introduces, alongside the new 16:9 aspect ratio, an extended storyline with a more fleshed-out ending, additional puzzles, a remixed soundtrack, and new game environments. For a more relaxed playthrough, plug in, sit back, seamlessly take control of Kathy and crack the case, either on your Steam Deck or with any other controller! {STEAM_CLAN_IMAGE}/11113042/5d67405d4ea858dffdca16612e1b1fd3515e62e7.jpg Owners of the classic version can purchase the Director’s cut at a -50% discount below: https://store.steampowered.com/bundle/22677/Kathy_Rain_Loyal_Detective_Bundle/ Note: This discount can be used alongside other offers or discounts. ",1645829210,
370910,Original KR owners get the Director's Cut for -70% in the Steam Winter Sale!,"Happy Holidays! Before the year concludes, we wanted to let you know that all owners of the original Kathy Rain can exclusively purchase Kathy Rain: Director’s cut for –70% off during the annual Winter Sale! {STEAM_CLAN_IMAGE}/11113042/654cf757a6006a00bdf8ccdf18e5ed3dc3b540b0.png You can access your special loyalty discount by purchasing the Loyal Detective bundle here: https://store.steampowered.com/bundle/22677/Kathy_Rain_Loyal_Detective_Bundle/ Kathy Rain: Director’s Cut is an enhanced Kathy Rain experience that introduces, alongside the new 16:9 aspect ratio, an extended storyline with 700+ new lines of dialogue. {STEAM_CLAN_IMAGE}/11113042/e29c6fcb28e66ebc1dac950c9e0a8194a0288271.png Don’t look down... {STEAM_CLAN_IMAGE}/11113042/b7ae1d0a2859289bf3d35b0be5777588374b439b.png How long’s that been here? {STEAM_CLAN_IMAGE}/11113042/effd6b30c5279be2331b1a5eb0afc3ea61f840b5.png I swear that eye is following me around the room... There’s never been a better time to return to Conwell Springs, detective.",1640196381,
370910,Kathy Rain: Director's Cut Loyalty Discount,"Calling all Kathy Rain lovers! Don't forget that we recently released Kathy Rain: Director's Cut, a re-vamped Kathy Rain experience that introduces, alongside the new 16:9 aspect ratio, an extended story line with 700+ new lines of dialogue. And when we say re-vamped, we mean re-vamped. The Director's Cut doesn't just add more lines and moments that expand upon the story. It also adds depth to original scenes with new puzzles and visuals. Kathy Rain {STEAM_CLAN_IMAGE}/11113042/5d877b1a4626eba932fc364d10f531c238292844.gif Kathy Rain: Director's Cut {STEAM_CLAN_IMAGE}/11113042/10255920a473e9c5bda17b11ad901b498755f5c2.gif If I know anything about videogames, it's that the potted plant and coffee pot aren't just there for my enjoyment... What's more, is that owners of the original Kathy Rain game on Steam can purchase Kathy Rain: Director's Cut for -50% off! How's that for a sign to get back on the Katmobile? You can access your -50% discount by purchasing the Loyal Detective bundle here! Note: This discount can be used alongside other offers or discounts.",1637949018,
370910,Kathy Rain: Director’s Cut is Live!,"It’s been 5 years since we released Kathy Rain, and launch day for the Director’s Cut is finally upon us! We couldn’t be more excited to share our third game with you all — the definite version of Kathy Rain. We believe that KR: DC elevates Kathy’s journey to a whole new level, opening many doors for the future of Kathy Rain! Grab Kathy Rain: Director's Cut on Steam! While you wait for the download to start, enjoy our launch trailer below, and as always — thank you for being here. We wouldn’t be able to do this if it wasn’t for all of you, and we sincerely hope that Kathy will bring you some joy in this spooky season! {STEAM_CLAN_IMAGE}/11113042/33be185537d8dde85045332dc2183185f99255f8.jpg - Clifftop Games ",1635260476,
370910,Kathy Rain Costume Contest,"Halloween is around the corner and so is Kathy Rain: Director's Cut! Right now you have a chance to win a copy of the game for free by dressing up as any character from Kathy Rain! To help with your entry, we've put together a cosplay guide for the star of our show: {STEAM_CLAN_IMAGE}/11113042/749eb94bec8d6bba226df163d534b6d5f8955267.jpg Check out all the details and enter your submission on our Twitter page!",1634579612,
370910,Kathy Rain: Director's Cut - October 26th,"It's official - Kathy Rain: Director's Cut will be launching on October 26th! Now is the time to wishlist this new and improved version of Kathy Rain so you don't miss out on the new locations, puzzles, and extended ending. Returning players who finished Kathy Rain will know that it is a great game for the spooky season, but for the rest of you: Let's just say that there's plenty of creepy to go around! ;) To celebrate, we've got a special message from Arielle (the voice of Kathy) to talk about the features of this new version: - Clifftop Games",1633614629,
370910,Director’s Cut Highlights,"Welcome to our TED talk, highlighting the changes and upgrades to Kathy Rain in its Director’s Cut. A lot of people have been asking us what the differences are between the original and the upcoming version, so we wanted to highlight some of the major reasons that it's worth returning to Conwell Springs! Added Locations: {STEAM_CLAN_IMAGE}/39248613/cc1994ff204e98557a5214fa2b22af41c8eb91ed.jpg {STEAM_CLAN_IMAGE}/39248613/787fc3fad15bf231476482caa2ae770222080f12.jpg There is more to love in Conwell Springs as new and returning players will have the chance to explore brand new areas of Kathy’s hometown. Each new location features stunning backgrounds as seen in the examples above! Added Puzzles: {STEAM_CLAN_IMAGE}/39248613/f126b38ca70735a79180b91d10fb1e7c5d64118d.jpg {STEAM_CLAN_IMAGE}/39248613/4590650930200ffe6cad65fb9fb8f503a583f28f.jpg What’s a good point-and-click mystery without its challenging puzzles? Kathy Rain had some doozies and the Director’s Cut is bringing more of those challenges that will tease your brain. Extended Ending: {STEAM_CLAN_IMAGE}/39248613/363e30ef173e32c65df01a87a9bbe8689f1e2eca.jpg OK, the above image is a bit of a tease and we don’t want to spoil anything, but players returning to Kathy Rain can expect some new twists and turns to the ending that help flesh out Kathy’s character and the story as a whole. Aspect Ratio: {STEAM_CLAN_IMAGE}/39248613/a9969ae9baf3c7b24c57d40ac635b66d90096d8f.jpg Kathy Rain is expanding from 4:3 to 16:9. This means that there will be more details to explore as the Director’s Cut will fill up your screen! Kathy Rain: Director’s Cut is launching in October of this year — make sure it’s on your wishlist on the Director's Cut Steam Page as we will be taking a deep dive into the game right here on Steam. - Clifftop Games ",1632507384,
370910,New Trailer and Loyalty Discount Announcement,"Today we announced our plans for the Loyalty Discount for all original game owners! Everyone with the original Kathy Rain in their Steam library will get a -50% Discount on the purchase of the Director’s Cut. This Loyalty Discount has no expiration date and will multiply with any other price reductions on the Director’s Cut, including a likely launch discount. You can rest assured that at any given moment, you can upgrade your classic version to the Director’s Cut for the cheapest price available! You’ll notice that this is the first time we’ve shown one of the new locations and the bike designs — just a small slice of the new content coming in the Director’s Cut, so be sure to jam that wishlist button like it was a bike throttle! ",1624453484,
