appid,title,contents,date,tags
343710,From Poland With Love ❤️,"Hello Players! Our game is a part of an unique Steam Sale that offers the best gaming experiences filled with action, mystery, and fun brought to you straight from Poland - From Poland With Love ❤️, running August 12-19! This is a wonderful occasion to dive into some incredible indie games and discover the creativity that Polish people bring to the gaming world! Cheers!",1723741661,['workshop']
343710,The best Steam games that have literally zero players,"It's the year 2123. Half-Life 3 still isn't out yet. In a dark, dusty server farm, two explorers finally break through the wall to the inner chamber. Flashlights dance across strange hieroglyphics, ancient messages etched into the whiteboard - ""Dead Space Remake is fire,"" ""I totally ship Astarion and Gale,"" ""lol how mid is Starfield?"" Buried amid these decrepit slabs of black plastic and SSD trays, forgotten, forsaken videogames of a bygone empire. Once, they were adored by millions of people. Now, they are abandoned, left to rot in the Steam libraries of gamers past. It might be hard to imagine, a world where Baldur's Gate 3 and Counter-Strike 2 have become but relics. Time, however, is a brutal monarch. Even the best games are eventually left with zero players. <a href=""https://www.pcgamesn.com/steam-games-with-zero-players"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/twitch-prime-free-games-july-2020"">Twitch Prime's next five free games are available now</a> <a href=""https://www.pcgamesn.com/dear-esther/the-chinese-room-digital-refunds"">Dear Esther devs The Chinese Room aren't happy about the current digital refund system</a> <a href=""https://www.pcgamesn.com/dear-esther/dear-esther-landmark-edition-release-time"">Dear Esther: Landmark Edition is out tomorrow on PC, and it's free for owners of the original</a> ",1703794697,
343710,Kholat for Nintendo Switch is out now!,"Kholat for Nintendo Switch is out now and to celebrate it we're making 33% discount for PC version! Kholat Nintendo Switch port was a complete in-house process for our studio, which took us about 10 months, with a team of 3 individuals - a programmer, technical artist and a tester. So if you're Nintendo Switch player you can grab our awesome game on Nintendo Store! ",1589465782,
343710,"Daily Deal - Kholat, 80% Off","Today's Deal: Save 80% on <a href='http://store.steampowered.com/app/343710/'>Kholat</a>!* Look for the deals each day on the front page of Steam. Or follow us on <a href='http://twitter.com/steam_games'>twitter</a> or <a href='http://www.facebook.com/Steam'>Facebook</a> for instant notifications wherever you are! *Offer ends August 19 at 10AM Pacific Time <a href=""http://store.steampowered.com/app/343710/""> </a>",1565629920,
343710,Seven: Enhanced Edition with 75% discount coupon for all Kholat users!,"Hey all Kholat users out there! We have great gift for you. If you own our game on Steam, at this moment you should check your inventory. Right now you should find there special coupon with 75% discount to buy Seven: Enhanced Edition! Seven: Enhanced Edition is an open-world, isometric stealth and action role-playing game, in which you play as Teriel, a master thief sent on a mission that will shake the foundations of the Vetrall Empire. Free roam across the vibrant prison island of Peh and explore the sea depths on board of a submarine in the Drowned Past expansion. It's second game from IMGN.PRO dev studio and first co-developed with Fool's Theory. We poured a lot of effort into that game and it would be great if you would check it out! https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/8825612/c860da84666dc11ffec0cdfce242cc5a3b749c9c.jpg Features: SEVEN HOURS OF NEW GAMEPLAY IN DROWNED PAST EXPANSION 30+ hours of base game and 7+ in Drowned Past Expansion! Continue exploration as serial thief Teriel, who runs into ‘the Enclave’, a ragtag group of mysterious vagabonds . EXPLORE A VIBRANT OPEN WORLD FROM AN ISOMETRIC PERSPECTIVE From the moment you set foot on Peh, the island is open to you. Sneak, run, climb, and fight your way across a colourful array of environments. CHOOSE YOUR PLAYSTYLE As a master thief, Teriel is well versed in the art of stealth. Get the jump on enemies from behind and above, but there’s nothing to stop you from letting loose with an array of devastating weapons, and unleashing deadly magical skills. ENCOUNTER A MYRIAD OF COLOURFUL CHARACTERS Encounter an array of people, from despondent slaves and prisoners through to rich socialites UNCOVER AN EPIC STORY OF DECEIT AND TREACHERY On Peh, everyone has an agenda, and often there’s more than meets the eye. Dive into a world teeming with distrust, and crushed between the machinations of mighty powers. Have a great adventure! IMGN.PRO Team",1558718864,
343710,"Kholat has more than 3,5 million users but only one unit sold in Nepal","https://steamcdn-a.akamaihd.net/steamcommunity/public/images/clans/8825612/fb7cb580533d8a7cf9468674914f323944e52060.jpg Recently we did a summary of Kholat life cycle since its launch in 2015, and we’re excited to announce that more than 3,5 million people now own the game on PC and consoles all together. These numbers feel even more amazing because of the fact that it was our debut title, that helped us to establish IMGN.PRO reputation as development studio. While we were digging the numbers one peculiar fact draw our attention – there was a country where Kholat sold one single unit on Steam – Nepal. We couldn’t help ourselves but wonder who is that person. Whoever is that guy or gal, that one person in 29 million people country, we would like to express our gratitude for the support and grant him or her a lifetime voucher for all past and future games developed and published by IMGN.PRO on Steam. If that’s you and you’re reading it now - please reach out to us on cooperation@imgn.pro We would actually love to visit Nepal and meet you in person soon. To all our community out there – we would really appreciate sharing this info. Cheers! IMGN.PRO Team",1554892624,
343710,Kholat has received official Chinese localization,"Dear Chinese Players! We’re excited to finally announce that Kholat has received official Chinese localization! It was one of the most requested features of our game and at the same time we saw that many Chinese players play and enjoy Kholat, despite lack of support for their language. Starting from now you can experience our interpretation of the terrifiying Dyatlov Pass Incident in your native language. Stay tuned for more news and Happy New Year! EDIT 4 Feburary 2019 - we have fixed the problem with Japanese translations accidentally present during some cutscenes. Regards IMGN.PRO Team",1548345946,['patchnotes']
343710,Untitled,,1548331711,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
343710,The story continues in Kholat: Aftermath Part 1 comic book,"Hey, Kholat: Aftermath Part 1 is a compilation of four seemingly unrelated stories: a mysterious interrogation referring to one of the hidden notes in the game, Grazeniuk’s letter to his fiancée, a call for help from the Section 22 prisoner and the investigation beginning overseen by two Moscow militiamen. What will happen next to Kholat’s personalities? Is all what happened nothing but the product of Grazeniuk’s sick imagination? Or maybe somebody’s trying to hide the fact that unexplained experiments taking place in Section 22 got out of control? Will Anton’s identity be finally revealed? Answers to all those questions await in Kholat: Aftermath Part 1! Available now as DLC on Steam: http://store.steampowered.com/app/768730/Kholat_Aftermath_Part_1__Comic_Book/ Cheers IMGN.PRO team",1513333227,
343710,The story continues in Kholat: Aftermath Part 1 comic book,"Hey, Kholat: Aftermath Part 1 is a compilation of four seemingly unrelated stories: a mysterious interrogation referring to one of the hidden notes in the game, Grazeniuk’s letter to his fiancée, a call for help from the Section 22 prisoner and the investigation beginning overseen by two Moscow militiamen. What will happen next to Kholat’s personalities? Is all what happened nothing but the product of Grazeniuk’s sick imagination? Or maybe somebody’s trying to hide the fact that unexplained experiments taking place in Section 22 got out of control? Will Anton’s identity be finally revealed? Answers to all those questions await in Kholat: Aftermath Part 1! Available now as DLC on Steam: http://store.steampowered.com/app/768730/Kholat_Aftermath_Part_1__Comic_Book/ Cheers IMGN.PRO team",1513333227,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
343710,New comic book coming soon!,"Dear players, It's been over 2 years already since Kholat was released. So far we have received countless questions from our community about a possible continuation of the story known from our game. Luckily, today we can announce that the new member of our family will be born in a little while. This time it won't be a video game though... Kholat: Aftermath Part 1 is a comic book made by Marcin Jedrzejek (drawings) and Lukasz Kubiak (story) and it will be a direct sequel to the already known adventure. Soon we will share more about it. Stay tuned! Take care! IMGN.PRO Team http://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/8825612/cdc3152a1bdd66175153925ac7a18d803c218f01.jpg",1497129929,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
343710,New comic book coming soon!,"Dear players, It's been over 2 years already since Kholat was released. So far we have received countless questions from our community about a possible continuation of the story known from our game. Luckily, today we can announce that the new member of our family will be born in a little while. This time it won't be a video game though... Kholat: Aftermath Part 1 is a comic book made by Marcin Jedrzejek (drawings) and Lukasz Kubiak (story) and it will be a direct sequel to the already known adventure. Soon we will share more about it. Stay tuned! Take care! IMGN.PRO Team http://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/8825612/cdc3152a1bdd66175153925ac7a18d803c218f01.jpg",1497129929,
343710,Kholat on Xbox One is out now!,"Hello gamers around the world, The wait is finally over and we can proudly announce that Kholat found its way to Microsoft's newest console. To mark our fantastic cooperation with BlitWorks, which held the responsibility of porting the game, we prepared a new trailer, especially for Xbox One version. https://www.youtube.com/watch?v=BsPA2HzMQ8s If you would like to play our game on Xbox One, simply follow this linkand it will take you directly to your local store. Have a great time discovering the secrets of the story based on real-life events that took place on the Diatlov Pass over 58 years ago. Don't forget to share your feedback with us. We can't wait to read your opinions :) Best wishes! IMGN.PRO Team",1497010484,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
343710,Kholat on Xbox One is out now!,"Hello gamers around the world, The wait is finally over and we can proudly announce that Kholat found its way to Microsoft's newest console. To mark our fantastic cooperation with BlitWorks, which held the responsibility of porting the game, we prepared a new trailer, especially for Xbox One version. https://www.youtube.com/watch?v=BsPA2HzMQ8s If you would like to play our game on Xbox One, simply follow this linkand it will take you directly to your local store. Have a great time discovering the secrets of the story based on real-life events that took place on the Diatlov Pass over 58 years ago. Don't forget to share your feedback with us. We can't wait to read your opinions :) Best wishes! IMGN.PRO Team",1497010484,
343710,You can pre-order Kholat for Xbox One already!,"Dear Xbox players, The waiting is almost over. On June 9th, 2017 full version of Kholat will launch on Xbox One. We are very excited that the audience of our horror can grow even bigger. That will happen in a week from now, but you can already place a preorder. All you need to do is to follow this link and it will take you directly to your local store. https://youtu.be/CDT8RcTBPlU Take care! IMGN.PRO Team",1496452648,"['auto_migrated', 'hide_library_overview', 'hide_library_detail']"
