appid,title,contents,date,tags
1771300,Fancy some cool wallpapers?,"{STEAM_CLAN_IMAGE}/44983656/1ccf763f75b018a233c1b5344b7e68ab7f338ca0.png You asked. We listened. Some of your favourite Kingdom Come: Deliverance II loading screens are now available as downloadable wallpapers - ready for desktop, mobile, and ultrawide setups. Whether you want something peaceful, fiery, or a little whimsical (yes, we're looking at you, under-the-tree knight), we've got you covered. Get them here: https://www.deepsilver.com/games/kingdom-come-deliverance-ii/media https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1765972630,
1771300,PC Gamer’s Game of the Year 2025: Kingdom Come: Deliverance II,"{STEAM_CLAN_IMAGE}/44983656/208c364a020dde74ec6b36d90dbbe021724d0807.png We’re honoured, proud - and honestly still taking it in. Kingdom Come: Deliverance II has been named Game of the Year 2025 by PC Gamer. From the whole team at Warhorse Studios and Deep Silver, thank you. To PC Gamer for the recognition, to our players for the support, and to everyone who joined us on the road back to Bohemia. It means the world to us. Read the full article here. https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1765895858,
1771300,Steam Global Top Sellers for week of 9 Dec — 16 December 2025,"<a href=""https://steamdb.info/topsellers/2025W51/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/1903340/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Clair Obscur: Expedition 33</a>; * <a href=""https://steamdb.info/app/2344520/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Diablo® IV</a>; * <a href=""https://steamdb.info/app/1771300/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Kingdom Come: Deliverance II</a>; * <a href=""https://steamdb.info/app/4124950/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Ashes of Creation</a>; * <a href=""https://steamdb.info/app/252490/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Rust</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/3240220/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Grand Theft Auto V Enhanced</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W51/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1765875600,
1771300,KCD II makes it to Top 10 in The Game Awards' Players' Voice - VOTE NOW!,"{STEAM_CLAN_IMAGE}/44983656/0fcb29b1b40674a22ee374290ced6198cfa8c7a6.png We did it! Thanks to your incredible support, Kingdom Come: Deliverance II has advanced to Round 2 of the Players' Voice award at The Game Awards. That means we're officially in the Top 10 fan-voted games of the year - and we couldn’t have done it without you. But now it’s time for the next step: voting for Round 2 is now open and will determine which 5 games make it to the final round! 📅 Deadline: December 6 at 9PM ET / 6PM PT 🗳️ Vote here: https://thegameawards.com/brackets/players-voice Let's keep the momentum going - cast your votes, and help us charge into the final round! https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1764925252,
1771300,Hotfix 1.5.2 is now Live - stability & quest fixes,"{STEAM_CLAN_IMAGE}/44983656/69991d4c1bf996abae2150d1d07664a873989044.png Hotfix 1.5.2 is now live for Kingdom Come: Deliverance II. This update focuses on improving stability, fixing quest blockers, resolving visual and audio bugs, and addressing various issues reported by the community. Here are just a few of the highlights: 🔹 Fixed rain being heard in interiors, 🔹 Resolved crashes during certain cutscenes, 🔹 NPCs no longer sleep through the day in Peter of Pisek’s house, 🔹 Improved inventory logic to prevent disappearing items, 🔹 Addressed multiple quest-related bugs in both the base game and DLCs, 🔹 Fixed map and graphics issues on PC and Xbox, 🔹 Implemented SteamLink controller support. You can read the full patch notes here. https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1764691258,['patchnotes']
1771300,Vote for KCD2 in The Game Awards - Players’ Voice Voting ends today!,"{STEAM_CLAN_IMAGE}/44983656/0fcb29b1b40674a22ee374290ced6198cfa8c7a6.png Kingdom Come: Deliverance II has been nominated for Players’ Voice at The Game Awards 2025 - and we need your support! This is a 100% fan-voted category, and only the top 10 games will move forward to the next round. 🗳️ Voting closes TODAY – December 2 at 6pm PT / December 3 at 3am CET. If you’d like to support KCD2, cast your vote now: https://www.thegameawards.com/brackets/players-voice Thank you for being part of our journey! https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1764665748,
1771300,BAFTA Documentary: Behind the Scenes of KCD II,{STEAM_CLAN_IMAGE}/44983656/578e41b71bf1c657588987b9829f126563779fb5.png BAFTA stopped by Warhorse Studios to explore how we built the world of Kingdom Come: Deliverance II - from immersion and storytelling to Henry’s journey. Watch the full documentary here! Kingdom Come: Deliverance II Royal Edition is here. https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube,1764165783,
1771300,KCD II is running for GOTY on Steam!,"{STEAM_CLAN_IMAGE}/44983656/f7e2bc70e64fafef649d3506ce486195bcaffc82.jpg Steam Award nominations are open, and we’re going all-in for Game of the Year. If you believe KCD II deserves that spot, we’d be incredibly grateful for your support. Your nomination helps us reach even more players, and the whole team appreciates every single one! Thank you for backing us. Let’s make Steam’s GOTY happen! https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1764007321,"['steam_award_nomination_request', 'mod_hide_library_overview', 'mod_reviewed', 'ModAct_1294976491_1764010903_0', 'mod_require_rereview']"
1771300,Warhorse Studios хочет стать одним из лидеров RPG-рынка — фанатов ждут новые игры в духе Kingdom Come: Deliverance,<strong>Warhorse Studios</strong> продолжит создавать новые ролевые игры в духе дилогии <strong>Kingdom Come: Deliverance</strong>. Соответствующее заявление сделал комьюнити-менеджер чешской студии <strong>Тобиас Штольц-Цвиллинг</strong> в рамках прошедшей недавно прямой трансляции. ,1763667420,
1771300,Support Kingdom Come: Deliverance II at The Game Awards 🏆,"{STEAM_CLAN_IMAGE}/44983656/c54eabc05af84ac46f583bbdaf35e66b459f01c9.png Now THIS is something. Kingdom Come: Deliverance II has ridden its way into three The Game Awards nominations! ⭐️ Game of the Year ⭐️ Best Narrative ⭐️ Best RPG If you’ve enjoyed roaming Bohemia, getting lost in side quests, or arguing with NPCs - this is your moment to help us claim a little glory. Fan voting is open until Wednesday, 10 December, 6pm PT (Thursday, 11 December, 3am CET). Cast your vote here: thegameawards.com/nominees. Your vote is authenticated through Google, Twitch, Facebook or X, and players in China can vote via Bilibili, Douyin, WeChat, and Xiaohongshu. Audentes Fortuna Iuvat! https://store.steampowered.com/sub/1109733/ Follow Kingdom Come: Deliverance II on social media: 🔸 X/Twitter 🔸 TikTok 🔸 Instagram 🔸 Facebook 🔸 YouTube",1763552649,
