appid,title,contents,date,tags
1599340,Kazeros The First After Race Update,"Heroes of Arkesia,There have been exciting moments on the battlefield in the race against Kazeros, along with dramatic moments off of the battlefield, but the time to open The First Mode to a wider group of players has arrived. We previously announced that after the top 10 teams in each region have been identified, the next weekly maintenance will unlock the First After Race, an ongoing mode where players can compete for class-based leaderboards based around clear time. Unfortunately, due to our version of Lost Ark having multiple regions, we cannot open the after race separately in the regions, it needs to be done at the same time.We’ve seen many requests from players who want to experience The First Mode, but want the damage increase that Ark Grid provides to help ease the difficulty slightly. While North America has the Top 10 locked in, there are still a few slots open in Europe. We will be giving the European region until the next maintenance to vie for the remaining leaderboard spots. The race will officially end, regardless of the number of eligible teams who have cleared, when weekly maintenance begins on December 24.During that maintenance, we will enable the First After Race, along with the ability for the Ark Grid system to be used in Kazeros The First. This will allow a wider range of players to attempt this special difficulty, and we’re also excited to see the beginning of the in-game leaderboards. Heroes at the top of leaderboard each week will earn temporary cosmetics, and those at the top when The First Mode ends (date to be determined) will earn the cosmetics (such as an insignia and class symbol) in perpetuity. The Ark Grid will become enabled for this mode.As a reminder, disqualifications are based solely on violations of the five conditions we set forth for the race as well as our Code of Conduct and Terms of Service, not player reports or leaderboard positioning. Our review process involves multiple independent team members examining account behavior, transaction patterns, and gameplay data. We do not discuss specific cases publicly, but all disqualifications are supported by clear evidence of policy violations.Congratulations to those who have participated in an eligible clear, and good luck players in the European Region this week! We have the cosmetic items ready for 1st - 6th place winners in North America, along with 1st - 5th place winners in Europe, and we will be distributing them this week. The rest of the custom rewards will be prepared in the coming weeks as we await the final week of clears in Europe, and will be distributed in early to mid January.Thanks for your support, and we’ll see you in Arkesia.",1765996251,
1599340,Winter's Wrath Release Notes,"Heroes of Arkesia,New solo challenges and a variety of progression updates arrive to help adventurers prepare for the battle at Diaspero against the Lord of the Abyss and his forces.Downtime will begin on December 17 at 12AM PT (8AM UTC) and is expected to last 8 hours. With new permanent system changes to help progression for all players, and the latest round of super-charged progression events, a journey to challenge the latest raids is open for all. Read on for the full list of new content, events, store offerings, and other changes here.",1765904497,
1599340,Eye on Arkesia: December 2025,"The holidays are coming to Arkesia. Tis the season for the new Steaming Hot Spring event, new Solo challenges, progression updates, and more alongside winter festivities. Join Roxx and Matt for a look at what’s coming soon in the Winter’s Wrath monthly update, plus when to expect our next roadmap video. For those interested in a new pet, Bread Dog cannot wait for your companionship.It’s been another wonderful year in Arkesia, from exploring Rimeria, to joining the battlefield as the Valkyrie, and finally facing Kazeros. As always, thank you for your continued support and feedback. Have a happy holidays!",1765386620,
1599340,Kazeros The First Update,"Heroes of Arkesia,Race to clear Kazeros the First for prestigious rewards, check out the Monarch skins showcase, and more. Downtime will begin on December 3 at 12AM PT (8AM UTC), and last approximately 4 hours. May the best group win this special event!The race to clear the most difficult version of Kazeros Raid Denouement: Final Day will begin on December 3 at 10AM PT (6PM UTC). Vanquishing Kazeros in this special version will pose quite a challenge, even for the best raiders in Lost Ark.Leaderboards will celebrate the top 10 teams from each in-game region (North America and Europe) throughout the race and beyond. It may take some time for groups to be added to the leaderboard, as each group will need to be reviewed to ensure they meet the conditions. For more details on the rules and requirements, view the event announcement article.Regional RewardsPlayers in North America and Europe will compete against other players in their region for the following rewards:First Place in each region - Portal StatueSpecial Animated TitlesTop 1 – Kazeros The FirstTop 2 – Kazeros The SecondTop 3 – Kazeros The ThirdTop 4 - 10 – Kazeros Top 10Stronghold StructureWill have the players names etched into it along side their clear time. Users can see the information when interacting with the Stronghold Structure.Rank 1 - Unique 1st place StructureRank 2 & 3 - Structure unique to places 2 & 3Rank 4 - 10 - Structure unique to places 4 - 10Adventure BannerRank 1 - UniqueRank 2 & 3 - Banner unique to places 2 & 3Rank 4 - 10 - Banner unique to places 4 - 10Please note that it will take several weeks to receive the top 10 rewards. However, upon clear, all players who vanquish the special difficulty will receive a chest titled “Clear: Kazeros The First"". It contains the following:Title ""Lord of the Abyss""MVP Background: Final DayMount: Brilliant WingsLounge: Fortress of DestructionInsignia ""Conqueror: Kazeros The First Difficulty""100,000 GoldThe First Mode General NotesTo enter, players much reach Item Level 1740 or higher and clear Act 4: Fortress of Destruction – Hard Difficulty (Gate 1 & 2). The First difficulty is treated separately from Normal/Hard in terms of entry count and rewards. Entry is limited to once per week per character. Rewards can be obtained once per roster during the entire event period.The Ark Grid effect is disabled during the Kazeros The First event. It will be re-enabled after the event ends. The First difficulty does not have revives. Extreme coordination and survival are required.Monarch Skins ShowcaseOne armor darker than the depths of Kazeros’ malice. Another brighter than the brilliance of the heroes’ ambition. Which will you wear to usher in a new age of Arkesia?We can’t wait to watch everyone face Kazeros The First and look forward to your triumphs!",1764702596,
1599340,Day of Prophecy Release Notes,"Heroes of Arkesia,The Day of Prophecy is upon us. Only you can determine the fate of Arkesia.This update introduces the Kazeros Raid Act 4: Fortress of Destruction, Kazeros Raid Denouement - Final Day, the Ark Grid system, Paradise Season 2, the Kazeros Challenge event, Diaspero Clear event, and more. Downtime will begin on November 19 at 12AM PT (8AM UTC) and is expected to last 7 hours. Read on for the full list of new content, events, store offerings, and other changes here.",1763487469,
1599340,Kazeros First Clear Race Details,"Heroes of Arkesia,Kazeros The First is a special event where players can race to clear the most difficult version of Kazeros Raid Denouement: Final Day. Vanquishing Kazeros in this special version will pose quite a challenge, even for the best raiders in Lost Ark. But with extreme challenge comes prestige, and we have a variety of prestigious rewards planned for those who can vanquish Kazeros in his most powerful form. The race for Kazeros The First will begin on December 3 at 10AM PT (6PM UTC). Learn about the rewards, details regarding the competition, and the conditions needed to enter below.The First Mode General NotesTo enter, players much reach Item Level 1740 or higher and clear Act 4: Fortress of Destruction – Hard Difficulty (Gate 1 & 2). The First difficulty is treated separately from Normal/Hard in terms of entry count and rewards. Entry is limited to once per week per character. Rewards can be obtained once per roster during the entire event period.The Ark Grid effect is disabled during the Kazeros The First event. It will be re-enabled after the event ends. The First difficulty does not have revives. Extreme coordination and survival are required.LeaderboardsThe race to clear Kazeros The First will feature a leaderboard for the fastest groups to clear, with spots to celebrate the top 10 teams from each in-game region (North America and Europe). The leaderboards will first release alongside the The First Mode on December 3, and available for players to view throughout the race and beyond. These teams’ victory will stay showcased on the leaderboard, and each team will also earn a suite of in-game rewards. It may take some time for groups to be added to the leaderboard, as each group will need to be reviewed to ensure they meet the conditions. Please read the ‘Conditions’ section for the rules and conditions that parties must meet to be eligible for feature on the leaderboards.RewardsSimilar to the Kazeros Race Leaderboard, the in-game rewards will be rewarded on a per-region basis. This means that players in North America and Europe will each compete against the other players in their region for the following rewards contained within a Rank Box including:First Place in each region - Portal StatueSpecial Animated TitlesTop 1 – Kazeros The FirstTop 2 – Kazeros The SecondTop 3 – Kazeros The ThirdTop 4 - 10 – Kazeros Top 10Stronghold StructureWill have the players names etched into it along side their clear time. Users can see the information when interacting with the Stronghold Structure.Rank 1 - Unique 1st place StructureRank 2 & 3 - Structure unique to places 2 & 3Rank 4- 10 - Structure unique to places 4 - 10Adventure BannerRank 1 - UniqueRank 2 & 3 - Banner unique to places 2 & 3Rank 4 - 10 - Banner unique to places 4 - 10Please note that it will take several weeks to receive the top 10 rewards. However, upon clear and regardless of placement, all players who vanquish the special difficulty will receive a chest titled “Clear: Kazeros The First"". It contains the following:Title ""Lord of the Abyss""MVP Background: Final DayMount: Brilliant WingsLounge: Fortress of DestructionInsignia ""Conqueror: Kazeros The First Difficulty""100,000 GoldConditionsCondition 1All participants must not engage in any actions that violate Amazon Game Studios’ policy (Amazon's Code of Conduct and Terms of Service), such as using illegal programs, exploiting bugs, RMT, Piloting, using apps that modify the game and/or interacts with it in a way that provides information that is otherwise not available to players, or engaging in any other actions that Amazon Games deems inappropriate. Players participating in the first clear race event will be investigated, and clears will not be official until uploaded onto the Leaderboard Website. Penalties for breaking the Code of Conduct or Terms of Service will range from disqualification up to a permanent ban.A player that has been previously penalized for RMT or other forms of cheating (such as using illegal programs, botting, exploiting bugs, piloting/account sharing, using apps that modify the game) in Lost Ark will be ineligible to compete in the first clear race, no matter when they received it (from launch until the race). Players with previous penalties (and their raid group) will still be able to complete the First Mode for the general rewards, but will not be eligible for leaderboard placement and Top 10 event rewards.Actions may be taken against offending players, and the entire party, such as invalidating the raid clear record, or removing achieved ranking records and event rewards. There are two exceptions to this policy:Players who were penalized for the Ignite Stronghold bug. Players who severely exploited this bug were perma-banned. Some other players received the rewards and opened without understanding that it was unintended, and for that reason we are allowing eligibility as long as there are no other disqualifying offenses logged or discovered in the account review.P...",1763143654,
1599340,Eye on Arkesia: November 2025,"This month introduces one of our most anticipated releases yet — the climactic battle against Kazeros himself. November’s Day of Prophecy brings not just one, but two major raids that will test the limits of even our most seasoned raiders. Let's jump right in, starting with Paradise before going into the raids, new endgame activities, the Ark Grid System, and The First Race.Looking ahead, we'll reveal our plans for 2026 and beyond in December, and can't wait to share what's coming next. Until then, we hope you're preparing for Kazeros. Once these raids release, don't forget to share your victories with us on social media. We love seeing our heroes succeed.Thanks for your support and we’ll see you in Arkesia!",1762967211,
1599340,Team Update - Progression Events,"Heroes of Arkesia,We’re making a few updates and changes to the plan surrounding progression events that were previously discussed in our last roadmap. Key, upcoming changes to improve player progression were recently shared through a Director Livestream in Korea, and we view these changes as extremely important to the player experience in the West. Some examples include improving the experience for Advanced Honing stages 1-2, removing Elixirs/Transcendence (and moving the effects elsewhere). These are changes that our team and community have been championing for, as they are important to the overall player experience in Lost Ark. We’re excited to collaborate with Smilegate RPG on bringing these changes to the West as soon as possible, and are delaying our planned progression events from November to December to accompany the release of as many of the changes as we’re able to.November will be about celebrating the endgame and the hardcore players eagerly awaiting their chance to challenge The Lord of the Abyss, and December will be focused on helping provide a better new and returning player experience. We have worked to extend the current Event Powerpass that was going to end in November for one month (until the December Update), as we didn’t want a month long gap while we wait for the changes. This should help any players who return or are looking to build out their roster in the meantime.November will include the Kazeros Challenge event, built to help players reach the endgame levels required to challenge Act 4 and Denouement: Final Day. This system will release as it did in Korea. Players will be able to complete endgame progression related missions, such as clearing raid gates and reaching item level thresholds, to earn valuable rewards that continue to help progression. It will help with systems such as Karma, Advanced Honing 3-4, and include a variety of honing, progression, and Ark Grid materials. We saw some concerns about needing to progress through both raids and maybe missing out on some Ark Grid materials or Gold week 1, so we’ve also added a little bonus event to give a few extra Ark Grid materials and 70K Gold for every player who completes some missions.However, we saw feedback that players wanted additional help, so you won’t have to wait long. Another event will release in December built to help increase progression (details are still being developed), alongside a new Powerpass and an Express event. Combined with our push to include progression updates, this should help all adventurers in Arkesia reach endgame, whether that’s a main character for a new or returning player, or existing players wanting to raise an alternate character.Mokoko Bootcamp will still return this month, and run until February with some changes. The Mokoko Bootcamp has been expanded to include players below Item Level 1700, Act 2 HM, Act 3 NM, and include a variety of new rewards. We anticipate Veteran players’ time to be more occupied at the beginning as they learn the two new endgame raids arriving; Act 4 and Denouement: Final Day, and will hopefully have more time to help Mokokos when the fresh wave of progression updates and events arrive in December. While there may not be as many Mokokos in November, players will still be able to help them through raids for event tokens if they have the time.While we know that some players were looking forward to creating a new character, we think that this update will be a large positive overall for players in different stages of their journey through Arkesia, letting Veterans challenge Kazeros before we welcome fresh waves of reinforcements in December. There will be more news of what you can expect in the November update in Eye on Arkesia later this week, and the full release notes next week.In the meantime, we wish you luck in your preparation for the Day of Prophecy, and we’ll see you in Arkesia.",1762884452,
1599340,"Despite mass Amazon Games layoffs, its Lost Ark studio is ""turning our eye toward the future"" with plans into 2026","The <strong>Lost Ark</strong> team reassures players that it's got plenty on the horizon moving into 2026 as publisher Amazon Games shuts down development on some of its other <a href=""https://www.pcgamesn.com/10-best-pc-mmos"">MMORPGs</a>. Mass layoffs of approximately 14,000 jobs at the company have resulted in ""significant role reductions"" for its Irvine and San Diego studios, halting much of its first-party triple-A and MMO development, including the end of content updates for New World: Aeternum. That has naturally led to questions about Lost Ark's future. <a href=""https://www.pcgamesn.com/lost-ark/future-plans-2026-roadmap-amazon-games-layoffs"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/lost-ark/roadmap-2025"">Lost Ark is getting a huge quality of life update, but there's a nasty catch</a> <a href=""https://www.pcgamesn.com/lost-ark/july-update-paradise-mode"">Free-to-play MMO Lost Ark totally reworks the grind with bold new Paradise mode</a> <a href=""https://www.pcgamesn.com/lost-ark/paradise-mode-roadmap"">Lost Ark's revolutionary Paradise mode headlines the free MMO's new roadmap</a> ",1761741599,
1599340,Team Update - 10/28,"Heroes of Arkesia,We wanted to provide a quick update to confirm our plan ahead with the region merge, and touch on a few other topics that our team is still working on.Region Merge StatusIt’s been nearly a week since the region merge, and our team has loved witnessing the new relationships forming and increased opportunities for players to adventure throughout Arkesia together. We've been monitoring data, reviewing player feedback, and after many of hours of sleep post-merge, have been hopping in-game to test the new network structure ourselves. We're happy to see that it's been holding up well, and are excited to announce that we will be keeping this structure (so no need for the back-up plan we announced before the merge). The only update we plan to make is regarding Party-Finder and Matchmaking rulesets. In case you missed the first announcement, we have improved logic planned that will arrive in the November Update:Party-Finder: Instance will be created in the world of the lobby leader.Matchmaking:A full group of players from the original NA West worlds will have an instance created in NA West.A full group of players from the original NA East worlds will have an instance created in NA East.A mixed group of players will default to NA East. For players that rely on ping to NA West (such as those connecting from Oceania) we recommend using the party-finder tool to ensure they can find or create a lobby that best meets their needs.Tracking Future ProjectsWith the merge completed and the October Update featuring the Kazeros Prelude finalized, our team is now working to finish some upcoming plans. In the coming weeks, you can expect team updates on the following topics, and for players who missed some of our recent communications, here’s a few reminders.Kazeros ReleaseWe recently announced an updated plan and shared the dates for the release of Act 4, Kazeros, and the race to clear the First Mode. If you haven’t read through it, you can find it here: Team Update - Kazeros Release Plans.While the race was pushed back until December 3rd, we are working to finalize the race guidelines and plan to share them in the near future for the full details of what participants can expect from the competition.December Content Plans & 2026 RoadmapAfter locking in everything for Kazeros, we’ll be turning our eye toward the future of Arkesia, and preparing the roadmap for 2026 featuring Matt, Henry, and Roxx, which we plan to share in December. We’re working to finalize the content plan for the end of this year, along with the next chapter for adventurers. We’re extremely excited for the upcoming journey and for players to learn about what’s next.In the meantime, we wish you luck as you prepare for the war against Kazeros, starting with the Prelude available in the October update, followed by Act 4 and the Final Day raid against Kazeros himself— both arriving next month.",1761693732,
