appid,title,contents,date,tags
2767030,Marvel Rivals Version 20251212 Patch Notes: Season 5.5 Arrives,"Greetings, Rivals! Season 5.5 is here! After absorbing with the mysterious power of Chronovium, Rogue is on a quest for her missing love! The update begins on December 12th, 2025, at 09 : 00 : 00 (UTC), with estimated maintenance lasting 2 hours. All-New ContentNew HeroRogue charms her way into Marvel Rivals! New Story1. New Rogue Lore - Forever Alone New Event: Seeds Of The GardenerComplete missions to earn a FREE costume: Iron Man - Mark I! Other rewards include Iron Fist's Shenloong Champion costume, Captain America's Capwolf costume, and more. New Systems & New Content1. Spectator System Improvements: Added toggles for always displaying both teams' banned heroes. Added option to disable first-person spectator UI.2. New Emote Additions: Added Rogue, Storm, Iron Man, Ultron, Mister Fantastic, and Spider-Man to the ""Take a Seat"" emote. New In Store1. Rogue - Savage South Bundle 2. Rocket Raccoon - Rocket of the Rafters Bundle 3. Rogue - Savage South Emoji Bundle 4. Rogue - Searing HeartAvailable From: December 12th, 2025 at 09 : 00 : 00 (UTC) Anniversary Events & Limited-Time Shop AdjustmentsTo celebrate the upcoming holidays and New Year, we're extending the availability period for select anniversary events and store items: 1. Events:    a. Jeff's Break Time    b. Van Dyne's: Grand Opening The above events are now available until January 1st, 2026, at 09 : 00 : 00 (UTC). 2. Store:    a. Magik - New Millennia Might Bundle    b. Doctor Strange - Bleeker Street Strut Bundle    c. Venom - Gummy Surprise Bundle    d. Blade - Restful Recovery Bundle The above bundles are now available until January 2nd, 2026, at 02 : 00 : 00 (UTC). Twitch DropsAs Season 5.5 kicks off, get ready for a new round of Twitch Drops. Simply accumulate the required viewing time to claim your rewards. This round's drops include the Iron Fist - Will of Galacta costume along with related bundle content. Drops Period: December 12th, 2025, at 12 : 00 : 00 (UTC) to January 9th, 2026, at 09 : 00 : 00 (UTC)  Rank AdjustmentsRank RewardsNew Gold Tier Rank Reward: Rogue - Queen's Defense Costume Fixes and OptimizationsAll Platforms1. MVP Mayhem Stats Showdown: Squashed a bug in 18 VS. 18 Annihilation where MVPs in Career - History stats and in-match results didn't always see eye-to-eye. The real champions now shine through, no illusions, just glory!  2. Voice Modulator Mishap: Corrected abnormal voice changer intensity values in certain indoor locations. Your heroic banter is now as it should be!   Heroes1. Grounded Flyers: Fixed a bug where, under certain special circumstances, flying heroes could sometimes be grounded for good after being shot down. Now, our airborne heroes and villains are cleared for takeoff!  2. Baton Blitz: Daredevil's Devil's Throw was dealing more bounces than even Matt Murdock could sense when targeting tightly-packed enemies. We've put a cap on his ricochets, now justice strikes the right number of times!  3. Gamma Glitches: In unstable network conditions, Hulk's Incredible Leap could cause hit sounds to play without smashing out any damage. Now, Hulk's leaps land with the force of a true Avenger; puny bugs no more!  4. Tempest Transparency: Occasionally, under special circumstances, after unleashing a Jeff-Nado, Storm's view would lose some of its electrifying effects. The weather's clear again; Storm's vision is now as sharp as her lightning!   Console1. Fixed frame rate drops caused by Galacta's ""Heart Hand"" emote on the anniversary event main screen. 2. Fixed an issue where console users switching to PC could overwrite their voice chat settings.   The Marvel Rivals universe is ever-evolving, and we have plenty more surprises and updates on the horizon. Stay tuned to our official announcements for more!",1765423775,
2767030,"Marvel Rivals is turning up the heat with a new busted hero who can steal powers from her enemies to create shields, heal, and turn invisible","Just as was promised, Rogue is being teased as the new hero for <a href=""https://www.pcgamer.com/marvel-rivals/"">Marvel Rivals</a> season 5.5. This follows on from her partner Gambit being introduced at the start of the season and scenes of their wedding kicking off the narrative turmoil... <a href=""https://www.pcgamer.com/games/third-person-shooter/marvel-rivals-is-turning-up-the-heat-with-a-new-busted-hero-who-can-steal-powers-from-her-enemies-to-create-shields-heal-and-turn-invisible/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765359803,
2767030,Marvel Rivals: Season 5.5 Update // Dev Vision Vol. 12,"With Season 5.5 on the horizon, our Creative Director is back with Dev Vision Vol. 12 - and there's a LOT to unpack. This new update dives into fresh lore, upcoming tweaks, and a first look at what's landing on December 12 UTC.",1765336895,
2767030,Marvel Rivals Version 20251212 Balance Post,"Season 5's saga continues! Some heroes are beefing up, others are feeling the sting, and new team-up tweaks promise fresh combos and wild crossovers. Ready to see which legends are leveling up, and who's getting a dose of humble pie? Let's dive into the details! VANGUARDEmma FrostDiamond-hard and ready for more! With her Team-Up Anchor gone, Emma gets a slight durability upgrade to compensate. - Increase Base Health from 550 to 600. Remove the Team-Up Anchor 100 Bonus Health. Peni ParkerSP//dr's pilot faces a slight durability downgrade; better stay nimble, Peni! - Reduce Base Health from 750 to 700. The ThingBen Grimm's punches hit harder, and his crowd control lasts longer. It's clobberin' time! - Increase Stone Haymaker Bonus Damage equal to enemies' max Health per hit from 8% to 10%. - Increase the duration of the lingering anti-mobility field after Yancy Street Charge from 3s to 5s. ThorThor takes some lessons from his battles against the Zombies to heart. The God of Thunder is ready to take control of his lightning with increased flexibility! - During Storm Surge, instead of being unable to change the direction of movement, Thor can now freely adjust it while dashing and move in any direction. DUELISTBladeThe Daywalker slightly sharpens his edge and his resilience! - Increase Ancestral Sword single-hit Damage from 24 to 26 and Whirlwind Slash single-hit Damage from 15 to 16. - Reduce Bloodline Awakening Reduced Healing from 35% to 25%. DaredevilThe Man Without Fear loses a bit of his grit. - Remove the Team-Up Anchor 25 Bonus health. Human TorchJohnny Storm slightly turns up the heat! - Fire Cluster: Slightly reduce projectile spread. Increase single-cast projectile Damage from 5 to 5.5. Adjust maximum falloff from 60% at 30m to 60% at 20m. - Blazing Blast: Reduce single charge speed from 3s to 2.5s. Increase hit Damage from 40 to 45. PhoenixJean Grey's fiery spirit gets a slight summon boost! - During Endsong Inferno (Ultimate Ability), increase Phoenix summon Health from 400 to 500. PsylockePsylocke's Ultimate is a little harder to unleash; time to earn those butterfly blades! - Increase the energy cost of Dance of the Butterfly (Ultimate Ability) from 2800 to 3400. Scarlet WitchWanda's chaos magic is more explosive! - Increase the charge to Chthonian Burst by Chaos Control hits from 0.08 to 0.1. - Increase Dark Seal Projectile Speed from 40m/s to 60m/s and remove Spell Field generation delay. - Increase Reality Erasure (Ultimate Ability) enemy pull speed during cast from 2.4m/s to 3m/s. The PunisherFrank Castle's got a little more firepower; watch your six! - Increase Adjudication damage per hit from 19 to 20. WolverineLogan's Ultimate just got a whole lot more freedom to leap, slash, and surprise his foes from every angle! Last Stand (Ultimate Ability) can now target walls for its landing point. STRATEGISTGambitThe Ace of Spades can't tell you about how much he 'never folds' as often! - Increase the energy cost of Ragin' Royal Flush (Ultimate Ability) from 4300 to 4500. Invisible WomanSusan Storm's invisibility trick is now a little more precious. - Increase the energy cost of Invisible Boundary (Ultimate Ability) from 4300 to 4500. LokiThe Trickster God's illusions are even more potent! - Increase Damage and Healing Ratio of Loki's Doppelgängers from 80% to 90%. Luna SnowLuna cools down her foes even faster and gets a brand-new ability! (She's never beating the allegations, is she?) - Reduce Absolute Zero start-up time and increase Projectile Speed from 60m/s to 80m/s. - New Ability: Luna can apply Number One Idol to herself (separate from Share the Stage). When Number One Idol is active, 10% of Healing to allies is converted into healing for Luna herself, and she gains a 10% Healing Boost and a 10% Damage Boost. Rocket RaccoonRocket's Ultimate takes a little more juice to fire off! - Increase the energy cost of C.Y.A. (Ultimate Ability) from 4000 to 4300. UltronUltron's battlefield coverage and utility are evolving! - Imperative: Patch can now deploy up to 2 drones, allowing support for two allies at once. - Imperative: Firewall now requires a target with Imperative: Patch to use. After use, Ultron gains 65 Bonus Health, the target and nearby allies get 50 Bonus Health, plus the selected ally gains a 20% Movement Speed and 10% Damage boost. - Increase the energy cost of Rage of Ultron (Ultimate Ability) from 3700 to 4000. TEAM-UP ABILITIESADJUSTED OR REMOVEDChilling Assault (Luna Snow- Iron Fist/Emma Frost)The iced-out Emma Frost is joining the icy fray! - Emma Frost unlocks the new Iced Out Diamond ability through her Team-Up with Luna Snow. Explosive Entanglement (Gambit - Magneto/Rogue)Rogue's got a new trick up her sleeve! - Rogue receives the Hearts As One ability through her team-up with Gambit. Mental Projection (Emma Frost - Psylocke)The psychic link is broken! - Mental Projection Team-Up is now just a memory. - Emma Frost loses the 100 Health Bonus previously gained as the Team-Up Ancho...",1765335536,
2767030,Marvel Rivals Version 20251204 Patch Notes,"Greetings, Rivals! We're thrilled to announce the upcoming patch drops on December 4th, 2025, at 09 : 00 : 00 (UTC)! This update will be deployed seamlessly, with no server downtime required! Simply log in after the update and jump right back into the action. Here's what's coming in this patch: Marvel Rivals Anniversary Celebration - Rivals' Day 2025Phase 2 of the festivities kicks off on December 4th at 09 : 00 : 00 (UTC). Don't miss out! Event 1 - Van Dyne's: Grand OpeningLimited Feature: Psylocke - Daring Daifuku Costume & Psylocke - Daring Daifuku Emoji! Grand Opening Deal: You could get it all for just 100 Units; or, if you're really unlucky, it will still cost no more than 2,400 Units (was 2,500). Sale Period: December 4th, 2025, 09 : 00 : 00 to December 18th, 2025, 09 : 00 : 00 (UTC) Event 2 - Rivals' Day Times Square Countdown!Join the countdown to midnight on December 6th, 2025 (UTC) and celebrate with a spectacular fireworks display. Also earn 200 Units and the epic title Rivals' Day 2025. Note: Entering Times Square within 72 hours after the countdown ends will also allow you to claim these rewards. Event 3 - Your Marvel Rivals Year in Review!Relive your epic journey over the past year with your exclusive Rivals Rewind report. Available starting 00:00 on December 6th, 2025 (UTC). Share your report to receive 200 Units! Marvel ZombiesWe've seen many rivals still challenging the Queen of the Dead day and night! Due to the mode's popularity, Marvel Zombies will now end on January 16th, 2026 at 09 : 00 : 00 (UTC). Keep the fight going, heroes! New In Store1. Luna Snow - Cherry Delight Bundle 2. Psylocke - Daring Daifuku Custom Colors and Ultimate Ability VFX Limited Time: December 5th, 2025, at 02 : 00 : 00 to January 2nd, 2026, at 02 : 00 : 00 (UTC)1. Luna Snow - Cherry Delight Emoji Combo Bundle Available From: December 5th, 2025, at 02 : 00 :00 (UTC)  Fixes and Optimizations1. Anniversary Event – Rivals Assemble: We've made a few tweaks to help you rally your crew and complete the event more smoothly: - You can now open the Rivals Assemble event interface directly from Times Square. - Added a Quick Copy Friend UID option in the friend list's menu, making it faster than ever to connect, coordinate, and collect rewards! FixesHeroes1. Portal Perplexity Problem: On rare occasions, some heroes firing at certain special angles when near portals could cause the attacks to mysteriously deal no damage. We've patched the loophole, no more phantom bullets slipping into the multiverse void!  2. Doctor Strange's Sideways Shield: In rare cases, the Sorcerer Supreme's Shield of the Seraphim decided to face the wrong direction, as if defending the wrong dimension entirely. We've restored its mystical bearings, now it guards exactly where the Master of the Mystic Arts intends.  3. Adam Warlock's Replay Riddle: During a respawn at Rocket Raccoon's B.R.B., if the beacon was destroyed mid-process, Adam sometimes found himself watching his own Past Lives KO replay… again. We've fixed the cosmic glitch, no more déjà vu from the edge of eternity.  4. Angela's Standstill Stumble: Under unstable network conditions, Assassin's Charge could leave her frozen in place, as if mid-battle meditation. We've unleashed her stride, the Asgardian huntress now sweeps across the battlefield without missing a beat, no matter the connection.  The Marvel Rivals universe is ever-evolving, and we have plenty more surprises and updates on the horizon. Stay tuned to our official announcements for more!",1764830411,
2767030,Marvel Rivals Version 20251127 Patch Notes,"Greetings, Rivals!We're thrilled to announce the upcoming patch drops on November 27th, 2025, at 09 : 00 : 00 (UTC)! This update will be deployed seamlessly, with no server downtime required! Simply log in after the update and jump right back into the action.Here's what's coming in this patch: Marvel Rivals Anniversary Celebration - Rivals' Day 2025Time flies when you're saving the entangled universe! Marvel Rivals is turning ONE, and we're ready to celebrate with you. From epic victories to those ""Well, you can't expect to win 'em all."" moments, it's been an unforgettable year alongside all of you, our Rivals. As we mark this milestone, we want to thank you for every heroic memory and promise even more legendary battles ahead. We hope Marvel Rivals will continue to be your companion in the days to come, as we create even more thrilling stories and forge new friendships. Our story is just beginning!Phase 1 of the festivities kicks off on November 27th at 09:00 (UTC). Don't miss out! Event 1 - Log In RewardsLog in during the event to collect a total of 1,500 Units (Limited Time). Event 2 - Rivals Assemble!Invite new or veteran rivals to join you to earn up to 600 Units plus the exclusive Bright Future emote! (You can assemble with any player, regardless of their account age, and you don't need to team up for matches.) Event 3 - Times Square CountdownJoin the Times Square countdown to Rivals' Day to snag 200 Units and the epic title ""Rivals' Day 2025"". (Logging in within 72 hours after the countdown ends can also claim the reward.) Event 4 - Jeff's Break TimeJump into battles to unlock Jeff the Land Shark - Business Shark costume and custom interchangeable parts for FREE. Plus, unlock Invisible Woman's Disappearing Dessert costume, Mister Fantastic's Dad-tastic Reed costume, and more in the premium upgrade. Phase Two launches on December 4th, offering more rewards, including 200 units. Stay tuned!So, during this event, you can earn a total of 2,500 Units, including: • 1,500 Limited-Time Units from logging in • 600 Units from the ""Rivals Assemble!"" event • 200 Units from the Rivals' Day Countdown • 200 Units from sharing your Rivals Rewind report (Phase 2) New Mode: 18 VS. 18 AnnihilationBattle on the brand-new map, Grand Garden, in a massive 18v18 Domination showdown! Will you rise above the chaos and claim victory? Season 1 Battle Pass ReturnThe season 1 Battle Pass makes a limited-time comeback! If you missed out before, now's your chance. Head to the Battle Pass interface and hit Nexus in the top right corner to open the Reality Link Point, then purchase the S1 Battle Pass - Darkhold to join the fray. Available From: November 27th, 2025, 09 : 00 : 00 to December 11th, 2025, 09 : 00 : 00 (UTC) Black Friday Blowout - Store Discounts!Our first Black Friday sale is here! Score an initial 20% off select items. Every eligible purchase earns you a discount coupon. Use your coupon and get another that offers a bigger discount than the last. Stack those savings like Infinity Stones! Eligible Items: All Season 3 and earlier items that are available to purchase. Sale Period: November 28th, 2025, 02 : 00 : 00 to December 2nd, 2025, 00 : 00 : 00 (UTC) New In Store1. Venom - Gummy Surprise Bundle 2. Blade - Restful Recovery Bundle Limited Time: November 28th, 2025, 02 : 00 : 00 to December 26th, 2025, 02 : 00 : 00 (UTC)3. Marvel Unlimited Bundle Available From: November 28th, 2025 at 02 : 00 : 00 (UTC) FixesAll Platforms1. Times Square Identity Crisis: Fixed an issue where players and nameplates might not match during Times Square interactions.   Heroes1. Gambit's Wild Deck: Fixed an issue where the Ragin' Cajun's Healing Hearts deck detection range could misselect targets. Now, every card is a winning hand!  2. Cloak & Dagger's Dimensional Dilemma: Fixed a quirky issue where Cloak & Dagger could find themselves in a sticky situation during their Ultimate Ability, becoming unmovable in certain scenarios. Light and Dark are back in sync!  3. Peni Parker's Web Domain: Restored the unexpectedly lost speed boost to Peni's Ultimate Ability and her Team-Up Ability's Armored Spider-Nests. Her webs are back to web-slinging warp speed!  4. Mister Fantastic's Elastic Oddity: Fixed a bug causing Reed's arms to occasionally not retract after using Distended Grip. Now, he always springs back ready for action. No more arm-stretching mishaps!  5. Rocket Raccoon's Beacon Bloopers: Corrected B.R.B. beacon throws that were instantly destroyed when tossed at certain angles and locations. Rocket's gadgets now stick the landing!  6. Jeff the Land Shark Overhealed Encore: Fixed an issue where healing sound effects would play even after teammates were fully healed by Joyful Splash. No more over-the-top encores!  7. Peni Parker's Trap Trouble: Fixed a bug where deploying Arachno-Mines flush against a wall could make them disappear into the scenery. Mines now stay visible, no sneaky surprises!  8. Doctor Strange's Cloak Choas: Fixed some specia...",1764224057,
2767030,Marvel Rivals Version 20251120 Patch Notes,"Greetings, Rivals!We're thrilled to announce the upcoming patch drops on November 20th, 2025, at 09:00:00 (UTC)! This update will be deployed seamlessly, with no server downtime required! Simply log in after the update and jump right back into the action. Here's what's coming in this patch: New In Store1. Magik - New Millenia Might Bundle 2. Doctor Strange - Bleeker Street Strut Bundle Available from: November 21st, 2025, 02:00:00 - December 19th, 2025, 02:00:00 (UTC) 3. Marvel's Deadpool VR Spray Available from: November 21st, 2025, at 02:00:00 (UTC) FixesAll Platforms1. Times Square Signal Jam: Times Square now only displays signal markers from squadmates. 2. Custom Game Channel Chaos: Fixed an issue where custom games could sometimes lack a Match channel. 3. Leaderboard Ghosting: Fixed an issue where the leaderboard could sometimes appear empty under special circumstances. Heroes1. Loki's Divine Domain: Heroes entering Loki's Regeneration Domain were, in rare cases, still taking damage. The God of Mischief now keeps his realm safe! 2. Blade's Moonblade Mayhem: In Marvel Zombies mode, Blade's Moonblades sometimes wouldn't target Ankhs to bounce. Now, Blade's got his edge back; no undead escape! 3. Jeff's Bubble Trouble: In Marvel Zombies mode, equipping Jeff the Land Shark with Fusion Bubble ability could lead to some... unexpected bubble behavior. The bubbles are now sticking to the script, no more misplaced spheres! The Marvel Rivals universe is ever-evolving, and we have plenty more surprises and updates on the horizon. Stay tuned to our official announcements for more!",1763639170,
2767030,Art Vision Vol. 05 // Worldbuilding: Scene Design and Map Implementation,"Greeting Rivals!From concept to cosmos — every world begins with a vision.Step inside Art Vision Vol. 05: Worldbuilding and see how the Marvel Rivals universe comes alive through art, design, and imagination.Watch now and see how imagination becomes power.",1763447797,
2767030,Marvel Rivals Version 20251114 Patch Notes - Season 5 Begins!,"Greetings, Rivals!Season 5 is about to launch! Gambit and Rogue embark on a honeymoon full of surprises in the cosmic paradise created by the Elders of the Universe!Gambit is the first to play his hand!The update begins on November 14th, 2025, at 09 : 00 : 00 (UTC), with estimated maintenance lasting 2 hours. All-New ContentNew HeroGambit goes all in on Marvel Rivals! New MapTimes Square: A non-combat map where players can interact, hang out, and enjoy various activities. New Stories1. New Serial - Love is a Battlefield2. New Gambit Lore - Deal of a Lifetime New Systems1. Home background can now be set to randomly rotate.2. Added All-New Interactive Emotes: Now you can join other heroes in performing interactive emotes and engage together on the battlefield! Some existing dance emotes have been upgraded to interactive versions.3. Cross-progression account linking is now fully available.  4. Xbox: Added new Discord linking and cross-platform chat.  5. Xbox & PC: Added an option to hide unlinked Discord friends in-game.   New In Store1. Gambit - Thieves Guildmaster Bundle2. Magneto - Temporal Tyrant Bundle3. Gambit - Thieves Guildmaster Emoji Bundle4. Gambit - Crimson HeartAvailable from: November 14th, 2025, at 09 : 00 : 00 (UTC) S5 Battle PassEnjoy a Grand Garden Adventure with the new Battle Pass featuring 10 all-new sets of heroic costumes! We hope you enjoy it! Season EventLeave your mark in the season event, Elders' Chessboard. Complete missions to earn a FREE costume: Spider-Man - Iron Spider! CompetitiveTo ease competitive pressure, we've adjusted ranked rewards:1. Gold-tier rewards remain the same; one costume per half-season. Season 5.0 Gold-tier costume reward is Gambit - Sacrificial Pawn.2. Crests of Honor (inc. Top 500) and Nameplate Frame rewards are now granted once per season at the season's end.Competitive Team Limit Adjustments:1. Bronze to Grandmaster: Team up with any party size except five-stack.2. Celestial/Eternity/One Above All: Only solo or duo queue allowed. Placement MatchesFrom Season 5 onward, your first 10 ranked matches are Placement Matches. Your performance determines your starting tier.Placement Rules 1.1 Predicted vs. Actual Rank• During placement matches, you will receive a predicted rank reflecting your estimated skill level. This predicted rank is used for matchmaking and team formation during placement matches.• Predicted rank is not your final rank. After completing all 10 placement matches, you will be assigned your actual rank, which may differ from your predicted rank. • If you don't finish all placement matches this season, you will not receive any season rewards.• If you complete placement matches in the first half of the season, you'll keep that rank in the second half. If you don't finish placements in the first half, you must complete them in the second half to be eligible for ranked rewards. Reward Rules:• To earn the Gold tier costume reward for a half-season, you must complete 10 ranked matches in that season's half and finish at Gold rank or higher at the end of the half-season.• To receive season-end rewards, you must complete placement matches and meet the required rank at season's end. Example:If you finish 9 placement matches in the first half of the season with an estimated rank of Platinum III, but don't complete the 10th match, you won't get the Gold costume reward. If you complete your 10th placement match in the second half of the season, you'll be eligible for season-end rewards but not both halves' Gold costumes.If you play 10 ranked matches in both halves of the season, you'll be eligible for both Gold costumes and the season-end rewards.Additionally, if you don't finish 10 placement matches in Season 5, your Season 6 initial estimated rank for placement matches will be Platinum III. 1.2 First-Time PlacementWhen doing placements for the first time (regardless of season), your initial estimated rank is determined by two criteria:• Initial Estimated Rank A: If you played 10 or more ranked matches in Season 4, your Season 5 placement matches estimated starting rank is your Season 4 final rank minus 3 divisions. Please note that players ranked in the Celestial II, Celestial I, Eternity, and One Above All in Season 4 will be uniformly reset to Grandmaster II as their initial estimated rank for the new season. Players in Bronze III, Bronze II, Bronze I, and Silver III will start at Bronze III as their initial estimated rank. • Initial Estimated Rank B: We'll also check your highest historical rank from any previous season with 10+ matches, subtract some sub-tiers, and set this as your historical initial rank for placement matches (capped at Platinum II). Your higher result from A or B becomes your initial predicted rank.Example: If A gives Gold I and B gives Platinum III, you start placement matches at Platinum III.If you do not complete 10 placement matches in Season 5, the same rules will apply the next time you do placements. 1.3 Subsequent Placemen...",1763010309,
2767030,《漫威争锋》20251114版本平衡性公告,"Season 5 is here, and the Marvel Rivals universe is more dynamic than ever! With new powers awakening, alliances shifting, and rivalries burning hotter than a Phoenix's flame, every hero faces a new challenge. Will you rise to the occasion or feel the heat of the nerf hammer? Let's break down who's getting powered up and who needs to recalibrate their strategy! ADJUSTMENTS VANGUARD AngelaThe Hand of Heven sharpens her edge, bringing even (slightly) greater threat to the battlefield.Increase Movement Speed of Assassin's Charge accelerated dash state from 16m/s to 18m/s.Increase Heven's Retribution (Ultimate Ability) spear Health from 600 to 800. Captain AmericaSteve Rogers steps up as the ultimate team player!Freedom Charge (Ultimate Ability) New Effect: Allies within its path gain a 30% boost to Ultimate Energy charge efficiency. GrootThe gentle giant gets tougher!Ironwood Wall New Effect: Gain Unstoppable status when within 15m of Awakened Ironwood Walls. HulkThe Green Goliath's protection game goes gamma!Gamma Burst New Effect: Each direct hit reduces Indestructible Guard cooldown by 1s. MagnetoMax amplifies his shielding frequency for both self and allies.Separate the cooldowns of Metal Bulwark and Iron Bulwark. Now, activating one won't send the other on cooldown.Reduce Metal Bulwark and Iron Bulwark shield value from 250 to 200. Peni ParkerSP//dr's pilot takes teamwork to the next level!Allies in Peni's Cyber-Webs now receive the same Healing Over Time and a Movement Boost effects as her. Movement Boost for allies is 25%, Healing is 15/s. Ally excess healing converts into Bonus Health, up to 25. The ThingBen Grimm doubles down on defense and offense.Embattled Leap: Remove Damage Reduction from single leap target, now grants 20% Damage Reduction to all allies within 5m of his landing point. Reduce Damage Reduction to self from 25% to 20%.Battle Blitz: Remove Damage Reduction from self. Now applies 20% Vulnerability to all enemies within 5m of his landing point.Reduce Stone Haymaker base Damage from 90 to 55 and remove 50 Bonus Health gained during ability activation. New Effects: Deal bonus Damage equal to 8% of enemies' max Health per hit. Gain Bonus Health equal to damage dealt (up to 100).   DUELIST HawkeyeClint's precision packs a slightly bigger punch!Increase Archer's Focus maximum Bonus Damage from 75 to 90. Mister FantasticReed Richards gets even stretchier and tougher.Reflexive Rubber can now be used during Inflated state after reaching 100 Elasticity.Remove the 350 Bonus Health on entering Inflated state; now gain 350 Maximum Health and a one-time heal of 350, which is removed upon exiting the Inflated state. PhoenixJean Grey's cosmic fire burns brighter:Adjust Cosmic Flames maximum falloff at 30m from 60% to 75%. Spider-ManPeter Parker's web-slinging offense gets a slight lift.Reduce Web-Cluster energize time from 2.5s to 2s.Increase Amazing Combo Damage from 60 to 70. Squirrel GirlDoreen's nutty offense gets a boost.Increase Burst Acorn Damage from 100 to 110. StormOroro empowers her allies with even greater force.Increase Weather Control - Thunder's Damage Boost to allies from 10% to 12%.Increase Goddess Boost - Thunder's Damage Boost to allies from 12% to 15%. The PunisherFrank Castle loses his Team-Up Anchor bonus, but gains raw power.Increase base health from 275 to 300.Adjust Adjudication maximum falloff at 40m from 70% to 85%.Increase pellets fired per Deliverance round from 14 to 16. WolverineLogan's claws get deadlier, especially against Vanguards.Increase Savage Claw's Percentage Damage for each point of Rage from 0.045% to 0.057%.Increase Vicious Rampage's Percentage Damage for each point of Rage from 0.045% to 0.057%.Reduce Feral Leap cooldown from 15s to 12s.   STRATEGIST Adam WarlockAdam's cosmic control and ultimate impact are enhanced.Increase soul flight speed from 6m/s to 12m/s.Reduce Karmic Revival (Ultimate Ability) Energy cost from 4700 to 4500 and increase ally detection radius from 30m to 35m. Cloak & DaggerThe dynamic duo's durability increases.Increase base health from 250 to 275. Invisible WomanSusan Storm's power and survivability are up.Increase Orb Projection hit damage from 25 to 30; projectile maximum range from 30m to 35m, and projectile speed from 120m/s to 150m/s.Increase Force Physics length from 30m to 35m.Guardian Shield New Effect: If no Guardian Shield is present, pressing the recall key now deploys a shield in front of Invisible Woman. LokiThe Trickster God gets trickier and tougher.Increase base health from 250 to 275.Adjust Mystical Missile's damage falloff at 3m from 50% to 80%. New Effect: Now heals directly hit allies for an extra 10 Health. Rocket RaccoonRocket's support and firepower are slightly tuned up.Reduce B.R.B. cooldown from 45s to 40s.Increase Repair Mode maximum count from 5 to 7 and projectile speed from 60m/s to 80m/s.Increase Bombard Mode Projectile Speed from 150m/s to 180m/s.  TEAM-UP ABILITIES NEW Blade of Khonshu (Moon Knight - B...",1763010298,
