appid,title,contents,date,tags
2246340,Update Summary (Ver.1.040.01.00),"You must install the latest version of Monster Hunter Wilds in order to play online multiplayer and access downloadable content. Release Date Wednesday, December 17, 2025 Note: Release date and time are subject to change without prior notice. Video Driver Version Please update to the following driver versions to ensure the most stable experience possible. – NVIDIA GeForce: 581.57 or newer – AMD Radeon: 25.9.1 or 25.9.2 Note: Some issues have been identified with AMD Radeon drivers versions 25.10.2 and higher. Note: This information is subject to change at any time due to factors such as NVIDIA and AMD support availability. Bug Fixes and Balance Adjustments Fixed an issue where Fabius and some Support Hunters would continue to run into the wall when failing to weaken Gogmazios's special attack. Fixed an issue where the game could crash after applying the update when accessing the Meld Relics or Artian Materials Box options from the Melding Pot menu, if a specific sort order had been previously set. Fixed an issue where the game would sometimes crash during fade out transitions when moving between locales, or when withdrawing from the Gogmazios quest. Fixed an issue where the names of some Gogma Materials were not displayed when the text language was set to Polish. ",1765971361,['patchnotes']
2246340,Preparation for Update & A Message on Mods,"Title Update 4 will be released soon, as such, we're sharing the following details to help you prepare for the update, including an important message on the use of Mods for the PC version of the game. Release Date and Time Monday 15, 8pm PT / Tuesday 16, 4am GMT Maintenance Period Monday, Dec 15, 3:50pm – 8:00pm PT Monday, Dec 15, 11:50pm – Tuesday, December 16, 4am GMT During this time, online gameplay will not be available, however you will still be able to play offline. Additionally, after the maintenance is complete, you will need to apply the update to connect online. Required Free Storage Space (For This Update Only) Approximately 12GB maximum (High-Resolution Texture Pack: Approximately +9GB) *Please ensure you have sufficient free storage space. For detailed update information, please check the following page. https://info.monsterhunter.com/wilds/update/en-us/Ver.1.040.00.00.html Once the update has been applied, please confirm that the version displayed on the title screen is 'Ver. 1.040.00.00'. Notification regarding the availability of paid DLC We will simultaneously make several paid DLC items available in this update, but it may take some time for all products to show up on the store. We apologize for any inconvenience this may cause. For Steam Players To ensure a more stable play environment, we recommend the following graphics driver versions: - NVIDIA GeForce: 581.57 or higher - AMD Radeon: 25.9.1 or higher *Please note that some issues have been confirmed with AMD Radeon versions “25.10.2 or higher”. For driver update instructions, please refer to the following page: https://store.steampowered.com/news/app/2246340/view/534357354429284375 Title Update 4 includes various improvements, primarily CPU/GPU optimizations, involving significant internal processing changes. Our Commitment to Improving Stability and Performance If you have installed unofficial programs, such as Mods, these are not guaranteed to work and could cause compatibility issues, preventing you from launching the game or triggering game crashes. If you encounter problems, please completely uninstall any Mods, recheck the integrity of the game files, and then start the game. Thank you.",1765844426,
2246340,Update Summary (Ver.1.040),"You must install the latest version of Monster Hunter Wilds in order to play online multiplayer and access downloadable content. Release Date Tuesday December 16, 2025 4:00 a.m. UTC (Monday December 15, 2025 8:00 p.m. PT) Note: Release date and time are subject to change without prior notice. Required Space Approx. 12.0 GB (With High Resolution Texture Pack: Approx. 9.0 GB total) Note: Make sure to have enough additional storage to allow for slight differences in final size. Video Driver Version Please update to the following driver versions to ensure the most stable experience possible. – NVIDIA GeForce: 581.57 or newer – AMD Radeon: 25.9.1 or newer Note: Some issues have been identified with AMD Radeon drivers versions 25.10.2 and higher. Note: This information is subject to change at any time due to factors such as NVIDIA and AMD support availability. Major Additions and Changes Monsters Arch-tempered Jin Dahaad has been added. (It will be made available in a future Event Quest.) Gogmazios has been added. Reach HR 100+ to unlock an extra mission that unlocks Gogmazios. Additional 9★ tempered monsters (Doshaguma etc.) will be added as event quests. Tempered (9★) Rathalos will now roam the Scarlet Forest, Oilwell Basin, and Wounded Hollow at Hunter Rank 100 or above. For quests with two or more targets, the minimum quest time has been raised, resulting in longer quest durations overall. For existing saved Investigations, if the quest time falls below the new minimum time, it will be adjusted accordingly. Player Added new Support Hunters—Griffin (Great Sword), Nightmist (Light Bowgun), and Nadia—which will become available to join quests after completing the main mission ""A Hunter's Pride."" Nadia will only be available during a limited-time seasonal event, excluding certain quests. Story Progression The extra mission ""An Ancient Resting Place"" has been added. (This mission becomes available after having completed the main mission ""A First Cry"" and reaching HR 100.) The extra mission ""Ghosts Pay No Heed to Tomorrow"" has been added. (This mission becomes available after having completed the extra mission ""An Ancient Resting Place."") Bases and Facilities A new Festival of Accord event will be held from December 19, 2025 to January 14, 2026. The following features will be temporarily modified during the Festival of Accord: the Handler's Outfit; Seikret decoration; the Diva's song list; the Grand Hub decorations; the Canteen's menu; Barrel Bowling; and Barrel Bowling Bombs. In the Grand Hub, The Diva's song list has been updated. Added new pin setups to Barrel Bowling. Added options to upgrade to and reinforce Gogma Artian Weapons at the Smithy. Added an option to perform Transcendent armor upgrades at the Smithy. In the Reinforce Artian Weapons menu at the Smithy, the default sorting order in the weapon selection list has been updated, and new sorting criteria have been added while existing ones have been adjusted. In the Dismantle Artian Weapons menu at the Smithy, new sorting criteria have been added for the weapon selection list while existing ones have been adjusted. When smelting Armor Spheres and ore at the Smelting Foundry, the Smelting Points obtained from certain monster materials has been increased. Added new sorting options for the following categories at the Quest Counter: Investigations: Most Attempts Left / Least Attempts Left Lobby Member Quests: No Passcode / Newly Started Quests / Open Member Slots Adjusted the ordering of completed side missions within the Recommended sort option for Optional Quests at the Quest Counter. "" Adjusted the ordering of quests displayed under SOS Flare Quests, Lobby Member Quests, and Link Member Quests at the Quest Counter so that quests set to Auto-accept appear before those set to Manual Accept, making Auto-accept quests easier to identify."" Added a Quest Last Played quick access option to the Quest Counter menu. Removed the Settings category from the Quest Counter menu. Settings can now be accessed directly via a shortcut button which varies by platform. When beginning a Field Survey or saving as an Investigation from the map, a Begin Survey prompt has been added to the summary and the corresponding tooltip icons have been adjusted. Added a feature that sends an important message notification at the start of a quest to remind players to use a Lucky Voucher. (This notification can be toggled on or off in the Quest Counter Settings.) Added an option to reset settings to their default in the Training Area. When opening the Customize Radial Menu screen from the Start Menu, the game will now automatically detect the input device in use and display the appropriate controller or keyboard-specific screen. Adjusted the display of monster icons, bonus rewards, and quest difficulty to improve visibility for the following Environment Overview events: – Monsters troubling settlements – Multiple target quests – Pack quests System CPU/GPU optimization will be implemented acros...",1765842263,
2246340,Our Commitment to Improving Stability and Performance,"To all players of Monster Hunter Wilds,Title update 4 will be released on December 16, 2025. This update will deliver additional content, including Gogmazios, the first Elder Dragon in Wilds, and the expansion of endgame content with the addition of the Gogma Artian Weapons.In this update we also focus on improving the game's stability and performance, implementing various improvements including CPU/GPU optimization for all platforms.*Content in development is subject to change. To further improve stability and performance, additional improvements will be implemented in a patch exclusive to the Steam version in late January 2026, as well as in the Ver. 1.041 update in February.We would like to take this opportunity to express our sincere gratitude to everyone who has reported issues and provided feedback.Your feedback has aided the development team's ongoing work to improve the overall experience through these updates. We'd like to further explain the stability and performance improvements roadmap that was shown in the December 2025 Monster Hunter Showcase.Free Title Update 4 (Available December 16, 2025)Free Title Update 4 will implement CPU/GPU optimisations across all platforms: PlayStation®5, Xbox Series X|S, and Steam.Processing Improvements and Load ReductionProcessing time will be improved by distributing the process across frames for elements that demand the heaviest load, which includes players, monsters, and graphical user interfaces (primarily the HUD and maps).Processing load is reduced by comprehensively reviewing and streamlining various processes, such as reducing the number of simultaneous effects and improving collision detection for Palico and Seikret.Various other improvements, including optimization and reduction of memory usage, will be implemented.These measures are designed to improve the experience for all players, while avoiding negatively impacting the existing game. By implementing improvements to common processes experienced by all players, we aim to resolve issues experienced by players on a wide variety of hardware configurations. Gameplay Comparisons - TU3 vs. TU4 (Steam Version)Here's a look at gameplay comparison videos showing the differences between Free Title Update 3 and Free Title Update 4 on the 'Recommended specs' of the 'Steam version system requirements'.*Testing was conducted with the frame generation setting set to ""Disable"".*Performance metrics captured using Steam's in-game overlay performance monitor. *This is only one example, and performance may vary depending on PC configuration and other environmental factors.*Content in development is subject to change. 1. Intel CPU and NVIDIA GPU combinationThis video tests the exact CPU and GPU combination specified in our recommended specs in system requirements.Hardware EnvironmentCPU: Intel Core i5-10400GPU: NVIDIA GeForce RTX 2060 Super (VRAM 8GB)Resolution: 1080p (Upscaled) *NVIDIA DLSS: PerformanceGraphics Settings: Medium2.AMD CPU and AMD GPU combinationThis video tests the AMD Ryzen 5 5600X CPU, which is the most commonly used CPU within the recommended range based on the system requirements.*The AMD CPU specified in the recommended specs in system requirements is the AMD Ryzen 5 3600.Hardware EnvironmentCPU: AMD Ryzen 5 5600XGPU: AMD Radeon RX 6600（VRAM 8GB）Resolution: 1080p (Upscaled) *AMD FSR: PerformanceGraphics Settings: MediumCurrently, in the Windward Plains locale, which is prone to heavy load during Inclemency events, the frame rate hovers around 40 FPS for both environment settings (1) and (2) when the frame generation option is set to ""Disable"". However, we confirmed that in most cases FPS goes higher than 40 FPS after applying the update.We also confirmed a frame rate improvement of roughly 5% or more in the Scarlet Forest and Oilwell Basin. While in these areas, players will generally experience higher average frame rates than in the Windward Plains. *This is only one example, and performance may vary depending on PC configuration and other environmental factors. For instance, this update yields limited improvements for hardware at the ""minimum"" system requirements, when compared to the improved frame rate seen at the ""recommended"" system requirements. Following the release of Free Title Update 4, we will continue to deliver stability and performance improvements. Next, we'll share further details on the updates planned for January and February 2026. NoticeFollowing the release of Free Title Update 4, we plan to remove the Monster Hunter Wilds Benchmark from Steam. With the improved performance of the retail version introduced in Free Title Update 4, the benchmark no longer provides an accurate result for players. Steam Version Exclusive Patch (Late January 2026)This patch will include optimization improvements for Steam-specific processes and options to reduce processing load. It will also include a review of presets.Addition of Settings to Reduce CPU LoadA ""CPU"" tab will be added to the Options men...",1765538405,
2246340,"Capcom says Monster Hunter Wilds performance improvements are arriving next week, but more PC-focused fixes will be coming in January","It's been a long, hard road for Monster Hunter Wilds, but hopefully things will get a little lighter when its free Title Update 4 arrives next week on December 16. In <a href=""https://www.youtube.com/watch?v=vE3wwzzXmkg"">a video published earlier today</a>, Capcom outlined the additions coming in the final major Wilds update, including the returning elder dragon Gogmazios, new weapon and armor upgrade systems, and—crucially—improvements for the performance issues that have tarnished the game's reputation so badly that <a href=""https://www.pcgamer.com/games/rpg/poor-monster-hunter-wilds-gets-politely-thrown-under-the-bus-as-capcom-promises-resident-evil-requiem-wont-run-as-badly/"">Capcom's own investors</a> are using Wilds as shorthand for performance concerns... <a href=""https://www.pcgamer.com/games/action/capcom-says-monster-hunter-wilds-performance-improvements-are-arriving-next-week-but-more-pc-focused-fixes-will-be-coming-in-january/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765479971,
2246340,Monster Hunter Wilds is set for some big performance upgrades,"In a recent showcase video, Capcom revealed that Monster Hunter Wilds is set for multiple patches that should bring some decent performance boosts. Read the full article here: https://www.gamingonlinux.com/2025/12/monster-hunter-wilds-is-set-for-some-big-performance-upgrades/ ",1765464184,
2246340,"The new Monster Hunter Wilds update is a make-or-break moment, and its first Elder Dragon isn't the biggest threat","Capcom has showcased <strong>Monster Hunter Wilds</strong> Free Title Update 4 in full, and the patch is set to be a real do-or-die moment for PC players. I've been playing again recently, and now that the event quest roster has been fleshed out alongside further additions like the spectacular Omega Planetes fight, it's been a good reminder that it deserves to rank among the <a href=""https://www.pcgamesn.com/15-best-rpgs-pc"">best RPGs</a> of this year. But when many hunters across a wide range of setups are struggling to run the game to a satisfactory level, it doesn't matter how much the battles slap. After far too long waiting, the first set of fixes has been confirmed, with more planned in the coming months. <a href=""https://www.pcgamesn.com/monster-hunter-wilds/title-update-4-pc-performance-fixes"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/monster-hunter-wilds/new-event-festival-of-accord-dreamspell"">New Monster Hunter Wilds event adds spooky quests and, erm, salamander armor</a> <a href=""https://www.pcgamesn.com/pc-games-like-monster-hunter-world"">Best games like Monster Hunter 2025</a> <a href=""https://www.pcgamesn.com/final-fantasy-14/patch-7-3-5-monster-hunter-wilds-crossover"">FF14 7.35 finally adds highly anticipated Monster Hunter collab and so much more</a> ",1765450080,
2246340,"Get ready to take on the Elder Dragon, Gogmazios! Free Title Update 4 out now!","Monster Hunter Wilds — Free Title Update 4 Trailer Free Title Update 4 – Ver. 1.040 Launch Date: December 16, 2025 Note: Available once maintenance has ended. Get ready to take on the elder dragon Gogmazios! https://clan.fastly.steamstatic.com/images/44795648/cfc4fbd2193adec7d6ceca06d9503143f4b9e43b.jpg https://clan.fastly.steamstatic.com/images/44795648/de6a36049f5da0b2bcac7cc64a6ad12f75f81276.jpg A mysterious elder dragon covered head to tail in a viscous black liquid, with a large weapon embedded in its back. For this special quest, up to four hunters can join forces with support hunters to form parties of eight! Team up with Nadia, Fabius, and the other Expedition hunters to take down Gogmazios! The quest is available to HR 100+ hunters after completing the main mission ""A First Cry."" Gogma Artian Weapons You can upgrade Rarity 8 Artian Weapons into Gogma Artian Weapons using materials obtained from Gogmazios. Upgraded weapons will retain their existing reinforcement bonuses, and will also have one bonus skill and one group skill chosen at random. https://clan.fastly.steamstatic.com/images/44795648/7bb95f69fe4847fd42bfa0caef8d05eb44d8b36f.jpg Gogma Reinforce also allows you to retain your reinforcement bonuses or—for those with loftier aspirations—reset your skills completely. The Reset Skills option allows you to use Gogma materials to reset the bonus skill and group skill applied to a weapon. Face Arch-tempered Jin Dahaad in the ultimate hunting challenge! https://clan.fastly.steamstatic.com/images/44795648/34b882ed71463a6e60e9a07bfc8cec5a8c13ac33.jpg Hunters at HR 100+ will now be able to take on Arch-tempered Jin Dahaad in one of the most challenging quests to date! You'll also obtain materials to forge new hunter and Palico equipment. Available: December 24, 2025 Added Features – Armor Transcendence Once you reach HR 100, your armor will be able to transcend, allowing it to be upgraded past its original limitations. Transcending raises the limits imposed on Armor Sphere upgrades and powers up the decoration slots of rarity 5 and 6 armor. Be sure to upgrade your armor this way to prepare for Gogmazios's toughest attacks! – New Optional Quests High-difficulty quests featuring multiple 9★ monsters will be added. Complete these quests to receive special nameplates as bragging rights! (Note: You cannot qualify for the rewards if you join after a quest has started.) Hunters can also try their hand at Hunting Exercises, which pit you against tempered 9★ monsters in controlled environments. – New Support Hunters New Support Hunters join the hunt! Wielding a light bowgun, Nadia will provide vital support in your fight against Gogmazios! Griffin, a great sword wielder from Ferrum Unit, and Nightmist, a light bowgun wielder from Aurora Unit, can also join you in battle. – Seasonal Event - Festival of Accord: Lumenhymn https://clan.fastly.steamstatic.com/images/44795648/59d2b1b658b7613298ed2fb9a9da155133793817.jpg Get your hunting pals together to celebrate the next seasonal event, the Festival of Accord: Lumenhymn! Event Time: December 19, 2025 – January 14, 2026 (JST) Event Time: 12/19/2025 – 1/14/2026 The Grand Hub is ready to make you feel cozy with wintry delights! Enjoy a seasonal meal, special new equipment, gestures, and pop-up camp decorations. In addition to various login bonuses and event quests, Fabius and Nadia can join your party as support hunters for a limited time, allowing you to fight alongside some of the Guild's strongest members. A dazzling Grand Hub awaits you! – Future Updates https://clan.fastly.steamstatic.com/images/44795648/6ebee82b3e235113ccc2e5422676bdf72bf056d3.jpg The fourth title update will be the final large-scale update for Monster Hunter Wilds adding a new monster to the lineup. But that doesn't mean we're done just yet! After Title Update 4, we'll be releasing patches to improve the stability of the Steam version, as well as releasing a final update in February adding a new Arch-tempered variant. {STEAM_CLAN_IMAGE}/44795648/6a17b0613a8a1863230f0c4b67c9d2520e6ecc00.jpg Note: The contents of this post reflect the plans as of the time they are posted. Changes may be made at a later date. We'll reveal more information about the February update in the future. Thank you for your continued support of Monster Hunter Wilds! https://www.monsterhunter.com/wilds/en-us/ ",1765442271,"['mod_reviewed', 'ModAct_1425146861_1765442412_0', 'ModAct_1434278705_1765547344_4', 'mod_require_rereview']"
2246340,UPDATE - Postponed: Monster Hunter Showcase coming Dec. 8 at 10 p.m. UTC!,"In light of the recent tsunami warning issued due to an earthquake off the coast of Japan, we have decided to postpone the Monster Hunter Showcase broadcast which was scheduled for today. We'll share the new broadcast date with you all as soon as it's decided. Monster Hunter Showcase | December 2025 The Monster Hunter Showcase is a digital event featuring news about Monster Hunter Stories 3: Twisted Reflection, releasing March 13, 2026, and details on Monster Hunter Wilds Title Update 4, releasing December 16, 2025! The event will be available online starting December 8 from 2 p.m. Pacific Time or 10 p.m. UTC! Stream Date and Time Dec. 8 at 10 p.m. UTC (2 p.m. PT) – Stream date and time are subject to change. – The event is estimated at approximately 20 minutes. – The Monster Hunter Wilds portion does not include news about anything other than Title Update 4. Event Website https://www.monsterhunter.com/showcase/202512/en-us/ Pre-order Now! Monster Hunter Stories 3: Twisted Reflection https://store.steampowered.com/app/2852190/3/ On Sale Now! Monster Hunter Wilds https://store.steampowered.com/app/2246340/_/ ",1765174962,"['mod_reviewed', 'ModAct_1786767382_1765177456_0', 'mod_require_rereview']"
2246340,Rey Dau Masterclass & Concept Art!,"Hey hunters,How’s the hunting?Today we’d like to share with you some behind the scenes concept art from the development of Monster Hunter Wilds, ahead of Free Title Update 4’s release on December 16!We’ll kick things off with a recap of the Rey Dau Masterclass presentation that Monster Hunter Wilds director, Yuya Tokuda, conducted recently at the 'Monster Hunter Festa 2025 Paris' event, after which we’ll take a look at the creation process behind Arkveld and the Wudwuds!Rey Dau Masterclass Recap*Please note, the information in the images shown in this section are from development and may differ from the final product.Rey Dau rules the Windward Plains as its apex predator. Let’s take a look at each part of Rey Dau. Its head and mouth have the distinctive shape of a predator with sharp teeth designed to tear through herbivorous monsters. The structure of the operational fangs and jaws draws inspiration from the mandibles of centipedes.When Rey Dau becomes fully charged, it closes the discharge organ in its head and unleashes a powerful electric discharge attack.To withstand the force of such a powerful strike, Rey Dau exposes the charging organ from its neck and stabilises its head, then by conducting the electricity from its tail, through to its neck, it can release all the electricity stored throughout its body in one go!Rey Dau has electricity-generating organs in its body that cause it to become charged and generate electrothermal energy during attacks by dragging its charged wings and tail along the sand. The sand then crystallises and attaches to Rey Dau’s body. These non-conductive, glass-like crystals helps suppress and control electrical discharges from the monster’s internal electricity-generating organs, aiding it in unleashing powerful electric attacks.The highly textured surface of Rey Dau’s body also has the effect of drawing electricity from the charged atmosphere in a sandstorm, enabling it to become charged at an accelerated rate during Inclemency.If Rey Dau moves while covered in crystals, the pieces of ore rub against each other and emit sounds. The people of Kunafa Village gather this ore, craft noise-making items, and use them to ward off monsters.Ores are used not only for the noise-making items but also for home decorations.The decoration on the chieftain's house on the far right resembles the pattern which displays the power of the thunder attribute.This diagram depicts the symbol of the Ruins of Wyveria appearing within the game. The pattern in the top left corner represents the power of the lightning attribute. That wraps up the masterclass, but we’ve got even more concept art waiting for you below!Arkveld Here's a look into the creation of a flagship monster, Arkveld, and its piercing gaze!What are your most memorable moments from clashing with The White Wraith? Feel free to let us know in the comments.WudwudTo explain this piece of concept art, we felt it best to ask the cheeky denizens of the Scarlet Forest themselves: “Please be perceptious of Wudwud wearing fur of pink menace! Pay tribooty! Happy Time! Share!”That wraps up today’s post, thanks for taking the time to check it out! We’ll have more concept art to share with you in the future too!Thank you all for your continued feedback, support and passion.We’ll see you in the hunt!- The Monster Hunter Community Team",1764761522,
