appid,title,contents,date,tags
1203220,"NARAKA: BLADEPOINT Update – December 18th, 2025","Dear players, The servers of NARAKA: BLADEPOINT will be suspended for maintenance from Dec. 17th, 2025 23:00 (UTC) to Dec. 18th, 2025 04:00 (UTC). We suggest you log out in advance and enter the game again after the maintenance.The details for this update are as follows: Brand New ContentI. Limited-time Events:1. Winter's First SnowSeeds of hope rest beneath the snow and wait for their first dawn.Event Duration: Dec. 18th, 2025 Update - Jan. 9th, 2026 20:00 (UTC)Event Rules:1. During the event, players can get special rewards by signing in on specific days during the event and can make up for the previous 2 days if you missed them. If you sign in for 5, 10 or 15 consecutive days, you will get extra rewards such as Spectral Silk*2026, Legendary Accessory, or Legendary Weapon Skin.  II. Fairyland Penglai RelatedOn Fairyland Penglai, the heavens twist in unnatural ways. Every two hours, a vast, shadowy form emerges in the west—reappearing in an endless, eerie cycle.   Hero AdjustmentsI. Xunhuan Li1. Adjusted the aiming move of Ultimate \ that consumes Divine Will. During aiming, Xunhuan Li's teammates and the targeted enemy now see more prominent visual indicators.2. Adjusted the operation method of Ultimate \'s consecutive Flying Knives throw move that consumes Divine Will:  The interval between automatic Flying Knives throws is now longer, but you can still tap the attack button to immediately execute the next move.  Slightly reduced the stagger that this move inflicts on targets on the ground.//Dev Notes: We want to enhance player control when executing this combo. We'll continue monitoring how this affects hit rates and make further adjustments as needed II. Inor Wan1. When Thunder Lord triggers \, it now forcibly clears the executed enemy's \ progress bar. Souljade AdjustmentsI. Double-edged Weapon Souljades1. New Souljade \: Changes the Longsword's and Whipsword's Uppercut Slash moves, which can chain into new follow-up attacks In-Game AdjustmentsI. In-Game Mechanism Adjustments1. In The Herald's Trial and Immortal War modes, Soulbloom Essence Armor recovery values adjusted from 250 and 500 to 300 and 600, respectively. Out-game AdjustmentsI. Fairyland Penglai Hero Idle Animations1. Enriched idle animation performance for Xunhuan Li, Cyra, Lyam Liu, and Tianhai. II. Hero Badge System1. Point Rewards Expanded: Reach 9,000 points to receive Spectral Silk*2,000. Reach 10,000 points to receive Tranquility Treasure Choice Gift*3 and Spectral Silk*2,000 Rift Traversal AdjustmentsI. Courier Pact Optimization1. New Courier Pact Refresh Feature: Spend a small amount of Void Coins to refresh Courier Pacts.2. Adjusted Courier Pact Activation Rules: All Courier Pacts except Guardian Courier Pact can now be used contemporaneously with Battle Edicts.3. New Courier Pact Selection Reminder: You can check a box in the Courier Pact interface to enable reminders. When enabled, you'll receive a reminder in Important Warning if no Courier Pact is selected.4. Optimized Courier Pact Portal Position: The Courier Pact portal during the in-game preparation stage has been moved to the Preparation Adjustment screen. II. In-Game Mechanism Optimization1. Optimized Rage recovery efficiency during special hit interactions such as Clash, Stone Form, Horizontal Block, as well as Zai's Flame Ward and Xunhuan Li's Resolve. Recovery is now reduced by varying degrees based on strike type.2. When an attacker's current weapon has 0 Durability, Rage recovery for both parties from successful hits is reduced compared to when weapon Durability is above 0.3. \ Melee Weapons have doubled in-game Durability. When Toughness is reduced below the standard Toughness limit during a match, Max Durability for that match will not decrease.4. Slightly increased the volume of Mole Hook underground movement while also decreasing its audio falloff, making it audible to players at greater distances III. Lonely Traveler Adjustments1. In Lonely Traveler \ mode, the number of enemy couriers for \ has been adjusted to 1.2. Draco Storm has been removed from Lonely Traveler Realm of Yang.3. In Lonely Traveler mode, Soulbloom Essence recovery changed from 15% Health and 15% Armor to 30% Health and 30% Armor. IV. Crossover Collectibles Event Extension  1. The Shanghai Museum Crossover and Under the Night Project event have been extended until the end of this season. V. Other Adjustments1. Added audio effects for rank settlement.2. Adjusted the ground model size of Crystal Crab, Eternal Lamp, Bell of Annihilation, and Ashblossom.Showdown AdjustmentsI. Out-of-Game Adjustments1. When using Flux Shards and Legend Jades to Imbue, tapping the Cancel button now triggers a secondary confirmation popup.2. In the Showdown Leaderboard loadout configuration popup, Souljade icons now display elemental indicators.3. Adjusted item names for Mastery Souljades: Blue Moon, Stamina Strike, Splitter, and Dual Ring.Feature AdjustmentsI. Client1. Significantly optimized underlying compiler co...",1765981391,
1203220,NARAKA: BLADEPOINT Banned Players List December 16th,"Dear players, NARAKA: BLADEPOINT is committed to creating a fair and healthy competitive environment. We have not only used new anti-cheat technologies, but also established special cheat-reporting reward activities to encourage those players who defend the fairness with us. From now on, players who make outstanding contributions to reporting cheats will get the Legendary spear skin 'Righteous Polearm' . More details: 1. Players who successfully reported 1 time will get \ X1; 2. Players who successfully report 10 times with low misreport rate will get \ X10 (In order to ensure the efficiency of detecting, please report reasonably); 3. Players who have successfully reported for many times or made great contributions to anti-cheat will get the Legendary spear skin \ X1. We strongly recommend that players report via in-game report system, so that we can confirm the cheat as soon as possible and record successful report times for you! From 12/8 - 12/14, there are 2 players who have successfully reported the cheating or hacking in total and gt the reward \! We hope that more players can become the Justice Supporter on the Morus Isle in the future. bá***.nhỏST***From 12/8 - 12/14, the development team has banned 93 cheated players. The list is as follows: 11***060168MO***U]任总***xi***5任总***천마***ti***opp987то***Cc***神域***fg***SU***WMEOWdn***NA]dn***NA]Tr***西伯***Ni***ggaFi***ir\AA***Bạ***ìnhƠich***ieGanGKi***SEA]早早***Ng***tỉaje***EA]nb***唐依***Bo***c.togl***uman05小浪***Sa***KHem***khongbto***i枫起***Ch***n168EV***exx***aa\唐依***Ph***l振你***AS]11***020168御魂***]As***yht***nckpx11***030168AD***Wh***ouduinIs***ari金色***救救***DR***高级***我隊***小门***抓你***抖音***小小***花.***pf***ij229Y***Bi***er.I请求***空钩***EA]新世***SEA]你是***A]雪花***S]Da***a饿不***cj***0tu***dbj***李寻***AS]Ch***ieGand李寻***Th***T任总***Cu***axuong\zK***扫地***qc***b43Ki***I小小***NA]修兮***Dư***h捏蓝***组狗***Th***nAA***0\yy***kzba***240Fr***ShanDoCr***rryDa***",1765894421,
1203220,NARAKA: BLADEPOINT Banned Players List December 9th,"Dear players, NARAKA: BLADEPOINT is committed to creating a fair and healthy competitive environment. We have not only used new anti-cheat technologies, but also established special cheat-reporting reward activities to encourage those players who defend the fairness with us. From now on, players who make outstanding contributions to reporting cheats will get the Legendary spear skin 'Righteous Polearm' . More details:1. Players who successfully reported 1 time will get \ X1; 2. Players who successfully report 10 times with low misreport rate will get \ X10 (In order to ensure the efficiency of detecting, please report reasonably); 3. Players who have successfully reported for many times or made great contributions to anti-cheat will get the Legendary spear skin \ X1. We strongly recommend that players report via in-game report system, so that we can confirm the cheat as soon as possible and record successful report times for you! From 12/1- 12/7,  there are 2 players who have successfully reported the cheating or hacking in total and get the reward \! We hope that more players can become the Justice Supporter on the Morus Isle in the future. ・***.・H***57 From 12/1- 12/7, the development team has banned 63 cheated players. The list is as follows: 追***d***dueia***ceC***uToiLoip***rlt673网***.ccК***с앞팔\t***re\Т***отецздес\a***ckn65M***intos\小***maxmaxL***2004k***vkb47W***areyoudoi艾***抖***丶克烈.***lic.我***G***smpt***fti33u***2955小***重置版Đ***aoTríTu无***\.***mpty.一***百万师l***sss호***개w***onimaBf***fsbfsĂ***ayUốngCocaJ***05Nz0gb***dontknowm***04041919韩***urii***1***3800020168N***ianhemOdau\t***gtsts222k***吴易凡.\W***ifu\1***8400060168略***C***NhieuLongi***d***ngoc210711k***61任***LC组gK***gwoyVI1***3800000168\B***hủkỳth我***儡师y***c22不***2小***max哎***糖***W***STHETOP\s***iasm啥***字好听\l***xsd78零***T***iNy..k***yvx64a***kql558m***ytya9440t***okshopp988e***rQd2efw***nufe05a***dasdwdasdwH***oniCa二g***tso690g***3714",1765293756,
1203220,One of Steam's biggest battle royale games gets the coolest weapon I've ever seen in new update,"If I asked you to name the <a href=""http://pcgamesn.com/best-battle-royale-game"">best battle royale games</a> on Steam, I'm sure many of you would say PUBG: Battlegrounds first. Call of Duty Warzone and probably Battlefield 6, thanks to its RedSec mode, may come quickly after. Apex Legends is still trucking along too, bringing that Titanfall flair to the genre. However, I'm not sure many people would mention <strong>Naraka</strong> <strong>Bladepoint,</strong> NetEase's surprisingly enjoyable (and popular) wuxia BR. With slick movement, a great death mechanic, and enormous snakes that gatecrash your battles, it's a brilliant take on free-for-all fighting and its latest update offers an exciting array of new additions. <a href=""https://www.pcgamesn.com/naraka-bladepoint/update-showdown-december-2025"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/naraka-bladepoint/system-requirements"">Naraka Bladepoint system requirements</a> <a href=""https://www.pcgamesn.com/naraka-bladepoint/season-13-aeon"">Naraka Bladepoint Season 13 update launches with new map and weapon</a> <a href=""https://www.pcgamesn.com/naraka-bladepoint/tomb-raider-witcher-3"">Witcher 3 and Tomb Raider join forces with huge Steam battle royale</a> ",1765187310,
1203220,"NARAKA: BLADEPOINT Update – December 4th, 2025","Dear players,The servers of NARAKA: BLADEPOINT will be suspended for maintenance from Dec 3rd, 2025 23:00 (UTC) to Dec 4th, 2025 04:00 (UTC). We suggest you log out in advance and enter the game again after the maintenance.The details for this update are as follows:Brand New Content I. Under the Night Crossover Event: Voidwhisper Hospital Gameplay Updates1) The \ in Survival Mode (excluding Immortal War) and Rift Traversal Mode will open after a certain period following the start of the match. Once opened, players can interact with it to teleport to \.2) The \ now allows 3 teams to enter.3) After the update, the restrictions related to players' weapons and movements when entering the \ will be removed.4) Exploration Goal 1: find the real NyxIn Survival modes, spin the wheel to randomly obtain one of Nyx's divine powers and receive a random Combat Item Tome:Starshine Dancer: Dash in the aimed direction and recover some Armor. Can be used under attack.Dark Corruption: Generates a sphere that \ enemies inside.Fallen Stars: Call down a meteor shower around yourself, inflicting damage to enemies.In Rift Traversal, you will instead receive a Relic and unlock a Rift Gate (exclusively available for escape to the team who have awakened the real Nyx).2) Exploration Goal 2: Awakening Nyx will unlock the sealed hospital backyard on the 1st floor for further exploration.There you will find a figure resembling Lin Qiye.Defeat Lin Qiye for rewards:In Survival modes: Extreme Heng Sword Skin \Rift Traversal: Relic rewards6) When the countdown ends, \ will be filled with toxic fog. Players can exit \ through the \ located within the hospital.7) When defeated in the Voidwhisper Hospital, you will only drop Nyx's Tome and the Extreme Heng Sword Skin. All other gears will be retained and you will respawn outside the hospital.8) In the matches of Survival modes (except for Immortal War) and Rift Traversal, Chaos Gateway will appear. Defeat the enemies escaped from the Chaos Gateway to obtain rewards. II. Showdown: Brand New Content1. New Hero Joined: ZaiZai has joined Showdown with skills and Ultimate that differ from the Survival modes.She wields flames of judgment and reckoning. 2. New Mastery SouljadesSelect Melee and Ranged Souljades have been upgraded to Mastery Souljades, which can be equipped in the newly introduced Mastery Slots (unlocked at Hero Level 20).Souljade storage now includes a dedicated Mastery category — only these specialized Souljades can be equipped in Mastery Slots.Both Main Attributes and Sub Attributes of Souljades in Mastery Slots take effect.Mastery Souljades have no elemental-wielding attributes (Ice/Poison/Thunder-wielding); imbuement only affects elemental effects in main attributes and is restricted to weapon-compatible Souljades. 3. Enhanced Level ProgressionHero level cap increased to 25 across all Showdown heroes, introducing advanced techniques and superior equipment.Upgrading heroes from level 21 to 25 requires level breakthrough, using Breakthrough Aura — a new resource obtainable through Showdown weekly challenges.(1) New levelsLevelFeatureItem(s) Needed21Hero Features EnhancedBreakthrough Aura*122Melee Weapon Quality Upgraded to LegendaryBreakthrough Aura*123Ranged Weapon Quality Upgraded to LegendaryBreakthrough Aura*124Armor Upgraded to LegendaryBreakthrough Aura*125After triggering an Elemental Burst, Attack increased by 16% for 15 sec.Breakthrough Aura*2 (2) Lv. 21 Hero Feature EnhancedHeroEnhancementsViper Ning, Tessa, Justina GuSkill Damage Increased by 25%Tarka Ji, ZaiBurn Damage Increased by 10%Valda CuiSoaked duration from Skills and Ultimates increased by 80%Matari, Wuchen, Akos HuAegis-break, Defuse Martial Skill Damage Increased by 75%Yueshan, Yoto Hime, Tianhai, Kylin Zhang, Feria ShenRage/DMG Increased by 10%Kurumi, Ziping YinRage Recovery Per Sec Increased by 60%TemulchAttack increased when generating or firing windballs by 80%, lasts for 10 sec 4. New SouljadesNewly added Mastery Souljade \: \ Enhanced Uppercut Slashes, Perfect Dodges add a hit to attacksNewly added Mastery Souljade \: \ Enhances three-stage Vertical Combo, apply \ effect upon a successful Counter.Newly added Mastery Souljade \: \ Enhanced Uppercut Slash. Added Vertical Strike Combo after a successful Defuse.Newly added Mastery Souljade \: Alters Whipsword's charged Vertical Strikes and deals extra Elemental Accumulation. After a Defuse (Counterattack) hits enemies, enhances your next Blazing Cyclone strike.\, \, and \ have been combined and upgraded into the Mastery Souljade \\, \, and \ have been combined and upgraded into the Mastery Souljade \\, \, and \ have been combined and upgraded into the Mastery Souljade \\, \, and \ have been combined and upgraded into the Mastery Souljade \\, \, and \ have been combined and upgraded into the Mastery Souljade \\, \, \ have been combined and upgraded into the Mastery Souljade \ III. Showdown Event Level \Event Duration: Dec. 4th, 2025 00:00 (UTC) - Dec. 17th, 202...",1764772515,"['mod_reviewed', 'ModAct_487176015_1764773036_0']"
1203220,Steam Awards 2025 - Nominate Us Labor of Love,"Another year of late nights, crazy ideas, and lots of love poured into NARAKA. Thank you for being here with us!  If you’d like to support us this year, feel free to nominate #NARAKABLADEPOINT for the Steam Awards 2025 – Labor of Love. Nominate here:",1764251941,"['steam_award_nomination_request', 'mod_hide_library_overview']"
1203220,NARAKA: BLADEPOINT Banned Players List November 25th,"Dear players, NARAKA: BLADEPOINT is committed to creating a fair and healthy competitive environment. We have not only used new anti-cheat technologies, but also established special cheat-reporting reward activities to encourage those players who defend the fairness with us. From now on, players who make outstanding contributions to reporting cheats will get the Legendary spear skin 'Righteous Polearm' . More details: 1. Players who successfully reported 1 time will get \ X1; 2. Players who successfully report 10 times with low misreport rate will get \ X10 (In order to ensure the efficiency of detecting, please report reasonably); 3. Players who have successfully reported for many times or made great contributions to anti-cheat will get the Legendary spear skin \ X1. We strongly recommend that players report via in-game report system, so that we can confirm the cheat as soon as possible and record successful report times for you! From 11/17 - 11/23, there are 2 players who have successfully reported the cheating or hacking in total and get the reward \! We hope that more players can become the Justice Supporter on the Morus Isle in the future. T***ần・邪神C***tMàuHồngFrom 11/17 - 11/23, the development team has banned 100 cheated players. The list is as follows: お***親を犯心***妖6***500070167你***玩b***u27\T***umTumSahur猫***G***meZd***bqohs看***小BB捏***豆別***會死的\帮***组Dog\端***x***2245一***红颜老墨***无***啊无***么寂寞한***mei어\n***2233看***你就跑\S***TZ玩***6***400120167小***爹时***GGB胡***どい草K***AJDKAHKJDI饺***饺饺饺f***a小***爱内棒凜***S]墨***许***O***nn\R***t.OO1J***GR***t.002d***来了g***me\汪***暴***组Dog忠***S]4***3战神勾勾汪***只***不会跑e***xwaM***onicZt***0583A***jaX2***3E21213DA5風***SEA]花***两不知看***的小BB\i***lias792R***t.001x***5xR***t.z***abb隐***007誰***選擇i***oufather帮***组Dog猫***被***晕o***8772A***ram***orcavina95\i***qozA***sBBGt***7877C***iX殺***AS]c***7752응***llll\D***GGBa***oliykulx蹲***玩蛆M***23a***paceelliot까***话\官***领usdtG***ìchấpnhận没***捏蓝你***仰望我饼***\G***ìcútИ***\o***xok01N***SơnLênĐồng笑***\x***3971g***ngbang十***动k***tahuesosv***rhafbsf干***组队Dogg***fkezqfS***Lag",1764071862,
1203220,"NARAKA: BLADEPOINT Update – November 20th, 2025","Dear players, The servers of NARAKA: BLADEPOINT will be suspended for maintenance from November 19, 2025 at 23:00 (UTC) to November 20, 2025 at 04:00 (UTC). We suggest you log out in advance and enter the game again after the maintenance.The details for this update are as follows: Brand New ContentI. Rift Traversal Solo Mode: Lonely TravelerGameplay: Players enter Solo with two difficulty options: Tranquil Path and Perilous Path. Resources and Rift Gates are adjusted.Available: Nov. 20th, 2025 to Dec. 3rd, 2025, 08:00 - 17:00 (UTC) Every day     II. Limited-time Event: Dark WhispersMurmurs and whispers drift to your ears, yet you feel not fear... but instead, a peculiar familiarity.Event Duration: Nov. 19th, 2025 20:00 (UTC) - Dec. 3rd, 2025 20:00 (UTC)Event Rules:1. During the event, you can open Stashes in Survival modes, loot in Rift Traversal, and play Showdown matches for a chance to get the event item drops, Sacred Tears.2. Find and interact with a certain patient in Voidwhisper Hospital to trigger the Goddess Murmurs, with guaranteed Sacred Tears drops.3. Players can obtain 1 Sacred Tear per match, up to 6 per week. Use Sacred Tears for a chance to obtain Splendor Treasure Choice Gifts, Glazed Crystals, Valiant Coins, Jade Disks, and other rewards. III. Limited-time Event: Yin Yang Frozen BlazeThe ancient bond of Yin and Yang has been turned on its head, and now, shadows lurk just out of view...Event Duration: Nov. 19th, 2025 20:00 (UTC) - Dec. 3rd, 2025 20:00 (UTC)Claim rewards until Dec. 6th, 2025 20:00 (UTC)Event Rules:1. Five phases unlock in turn, with four unique sets of quests awaiting as they become available.2. Completing quests rewards you with Glacial Silk. Collect a certain number of them to claim corresponding rewards. The quests will not refresh during the event period, and progress can be continuously accumulated. IV. Limited-time Event: Righteous ReturnEvent Duration: Nov. 19th, 2025 20:00 (UTC) - Dec. 3rd, 2025 20:00 (UTC)Claim rewards until Dec. 7th, 2025 20:00 (UTC)Event Rules:(1) Gain Fierce Jade by completing quests during the event. Fierce Jade can be redeemed for great event rewards.(2) During the event, Extreme Relics obtained in any mode have an increased chance to be collaboration Relics. V. Limited-time Event Series: 2025 J Cup1. Limited-time Event: Throne's AspirantEvent Duration: Nov. 28th, 2025 20:00 (UTC) - Dec. 21th, 2025 20:00 (UTC)Claim rewards until Dec. 24th, 2025 20:00 (UTC)Event Rules:(1) Earn \ by completing daily quests, and \ by watching or predicting matches. Use these items to redeem rare in-game rewards in the \ and \ sections.(2) Each tier of gifts on the \ page requires specified amounts of both \ and \ for redemption.(3) From December 2 to December 21 (UTC+8) during Group Stage through Finals, tap \ to participate in platforms' match-watching events and earn \. Each player can earn up to 5 each day during the Group Stage, and up to 15 during the Finals, along with other rewards.(4) From November 29 to December 21 (UTC+8), tap \ to participate in match prediction events and earn more \ and points that can be exchanged for the rare weapon skin \, plus more Legendary Cosmetics. Or participate in \ events for additional \.(5) Purchase \ with Gold to obtain \ and \. \ can be exchanged for prediction points; \ can be used in \ events. 2. Limited-time Event: ImmortalEvent Duration: Nov. 28th, 2025 20:00 (UTC) - Dec. 24th, 2025 20:00 (UTC)Event Rules:During the event, you can gather the exclusive champion collections from previous NARAKA: BLADEPOINT J Cups (Trios and Solos) to earn \. \ is used in \ events. 3. Limited-time Event: Lucky FindEvent Duration: Nov. 28th, 2025 20:00 (UTC) - Dec. 24th, 2025 20:00 (UTC)Event Rules:(1) Tap the Event button to enter the Tournament Center and participate(2) Complete quests to earn \ and exchange for draws.(3) Draw cards to light up matching tiles on the board. Form a line of lit tiles to earn rewards.(4) Duplicate cards obtained after lighting up a tile will be converted into Spectral Silk.(5) Select an unlit tile daily as \. Drawing the corresponding card for the first time that day will grant you \, which may contain the rare skin \ or other chest rewards. Repeated draws of the same card will not grant additional rewards.(6) Accumulate draws to exchange for rewards. You can still earn these rewards by spending \ on draws even after collecting all cards. VI. Limited-time Event: Christmas SaleAmazing discounts, mix and match freely, with chances to win exclusive animated avatars!Event Duration: Nov. 27th, 2025 20:00 (UTC) - Dec. 27th, 2025 20:00 (UTC)Event Rules:1. During the event, players can purchase three tiers of gift packs: Anniversary Special Offer, Choice Gift of 3, and Choice Gift of 7. Contents are as follows:\: Spend 120 Gold to buy any one specified item.\: Choose 1 Outfit + 1 Hairstyle + 1 Weapon, available as combos or separately. Discounts increase with more purchases, up to 50% off.\: Choose 1 Outfit + 1 Ha...",1763562456,
1203220,NARAKA: BLADEPOINT Banned Players List November 18th,"Dear players, NARAKA: BLADEPOINT is committed to creating a fair and healthy competitive environment. We have not only used new anti-cheat technologies, but also established special cheat-reporting reward activities to encourage those players who defend the fairness with us. From now on, players who make outstanding contributions to reporting cheats will get the Legendary spear skin 'Righteous Polearm' . More details: 1. Players who successfully reported 1 time will get \ X1; 2. Players who successfully report 10 times with low misreport rate will get \ X10 (In order to ensure the efficiency of detecting, please report reasonably); 3. Players who have successfully reported for many times or made great contributions to anti-cheat will get the Legendary spear skin \ X1. We strongly recommend that players report via in-game report system, so that we can confirm the cheat as soon as possible and record successful report times for you! From 11/10 - 11/16, there are 2 players who have successfully reported the cheating or hacking in total and get the reward \! We hope that more players can become the Justice Supporter on the Morus Isle in the future. 流***N***EA.ChenZhiFrom 11/10 - 11/16, the development team has banned 86 cheated players. The list is as follows: 爱***吧L***g***em710K***lance\星***の豆豆\C***aa***ewnygren49\l***edljlzgh\R***ihi\M***er丶SSRN***ie.zе***殺***\你***贏我的愛***的小貓T***hTuStore20O***TAKuK***Mi你***金堆吗\z***0646a***a任***队Dog赤***喝***莉清茶边***逃避小***俯***星海\大***飞天b***skmK***omTHG***HH捏***莓\T***.Bình.An\I***lIlIllIlIl廃***M***Lam0209\B***nied陈***rgjrC***uVĩĐại老***UG摩***\B***inrKo凜***S]任***队DogM***er丶DDRH***hổ.BạchVân无***寂寞叢***J***oyaa\H***Lập.Quốc\Г***ыллахS***l2er爨***䨻鸜***韾\L***ộ.Uyển\K***ni捏***了叽***啊打***BB有***啊\有***啊\M***er丶DSR小***uri小***吃内棒R***pp任***队Dogl***shbolje787\l***shbolje787\C***aG***nTurtG***JK小***内棒12h***gdthang18我***看着你龙***任***最强\u***kowjjfqrS***owKiller69捏***你q***vxpym15M***er丶DR宁***馨儿\金***isooS***4丶HadesO***ZOA***morI***rBeautyG***KL小***是K***Jd***df0231妲***炸了\R***ngBoizVNy***bickvK***JisooR***傀***小秋Ꞝẞ\f***fmwyx9\ ",1763525010,
1203220,NARAKA: BLADEPOINT Banned Players List November 11th,"Dear players, NARAKA: BLADEPOINT is committed to creating a fair and healthy competitive environment. We have not only used new anti-cheat technologies, but also established special cheat-reporting reward activities to encourage those players who defend the fairness with us. From now on, players who make outstanding contributions to reporting cheats will get the Legendary spear skin 'Righteous Polearm' . More details: 1. Players who successfully reported 1 time will get \ X1; 2. Players who successfully report 10 times with low misreport rate will get \ X10 (In order to ensure the efficiency of detecting, please report reasonably); 3. Players who have successfully reported for many times or made great contributions to anti-cheat will get the Legendary spear skin \ X1. We strongly recommend that players report via in-game report system, so that we can confirm the cheat as soon as possible and record successful report times for you! From 11/3 - 11/9, there are 2 players who have successfully reported the cheating or hacking in total and get the reward \! We hope that more players can become the Justice Supporter on the Morus Isle in the future. 陪***个愿嗎呆***魚ゆ゜From 11/3 - 11/9, the development team has banned 85 cheated players. The list is as follows: M***i懵***组ccat\Đ***G\捏***瓜\N***iS***e***vasilev199不***bug小***.o\田***J***ua\A***ng.胡***大内棒\水***g灬***AI灬乐***我***了3***156064zzá***fsda小***吃内裤安***タ***ンの神\B***Cô・Nươnge***woo5小***内棒1不***\䨺***Ꞝ***ꞛꞜꞝẞM***İNCİ殺***组Cat半***.a***qsgwstcz神***号任***队Dog爩***组Dog.***ong\B***有开瓜003当***io***9575m***grl\卡***没有开瓜懵***组DogSシ***・Sở・Ca伯***BÐ***iłヽ櫻愛***妈妈的\任***隊Dog不***挂哥品***n***lblhcnwl小***我内棒I***lIlIlIlIlI\j***5trieuuuf***mkzhnfyd小***内裤殺***组cat\l***nhãychạyđi.***ша..K***HARDY***BC\b***e2QbxJ胡***内棒S***Rtigerking灬***l灬H***onsh1tf***sfsfsfsfs1***yLuap***Bj4K1cT***n.Đạo\H***柿l***IlIlIlIIll不***bug1天***GiáTrẫms***etY丶***Bomツh***hdanlbvp\i***azqv七***小菜鸡E***ntric我***吧T***KiWe9tk***kシ***・Sở・NhiB***有开瓜001c***gmtuoiI",1762857162,
