appid,title,contents,date,tags
1063730,Daggers Release Notes,"Cut through Corruption with the new Daggers weapon, featuring S tier Dexterity scaling and E Tier Strength scaling. We wanted to give you a chance to play this new weapon class despite its unfinished state, so some bugs and issues are to be expected.The Daggers implement a unique combat mechanic called Combo Points. Each hit will build Combo Points that can be consumed to activate abilities. Consume additional points to enhance each ability in a variety of ways.This weapon includes six new and unique abilities: Frenzied Slashes, Double Neck Stab, Thrusting Slice, Ambush, Crippling Sling, and Stealth. Perk Charms are also available through Reekwater and Cutlass shops.The mastery trees for Daggers are Blades and Stealth. The Blades tree focuses on applying aggressive pressure to targets via mobility, and rapid and precise attacks. The Stealth tree focuses on sneak attacks and making it difficult for your target to escape.Blades TreeDouble Neck Stab: Leap towards and stab down at the target dealing strong damage to the target.Deal bonus damage per combat point consumed, and if at full combo points, it is a guaranteed crit.Frenzied Slashes: Deal a flurry of 7 rapid slashes attacks, alternating main hand and off hand attacks.Deal bonus damage per combo point consumed, and if at full combo points, main hand attacks inflict Scoundrel’s Venom, dealing DoT stacks of damage to targetsThrusting Slice: Dash forward dealing damage to all targets you go past.If you hit an enemy with the dash, and have sufficient combo points, you can consume some combo points to repeat the dash, with upgrades it can be repeated up to 3 times per use.Blades Ultimate: Critical hits inflict a stack of Scoundrel’s Venom, and heal for 2.5% of your base health when hitting a target with an attack that would inflict Scoundrel’s Venom.Stealth TreeStealth: Enter a state of stealth making it harder for enemies to see you. Attacking enemies from stealth will surprise them, further upgrades to stealth will grant bonus damage when attack surprised enemies.Stealth does not consume combo points.Ambush: A low double slash that deals strong damage, and if triggered from stealth or if the hit is a backstab, the hit will root enemies.Deal bonus damage per combo point consumed, if at full combo points, root is applied without stealth or backstab.Crippling Sling: Throw a dagger forward dealing damage to the target it hits, and if triggered from stealth or if the hit is a backstab, the hits will slow enemies.If you have sufficient combo points, you can consume some combo points to repeat the throw, with upgrades it can be repeated up to 3 times per use.Stealth Ultimate: Deal 20% increased damage to targets inflicted with Dagger’s roots or slows. And for 5s after using an ability, gain 20% haste for 5s when facing an enemy.Thank you for your continued support! We’ll see you in Aeternum.",1762287296,
1063730,Многомиллиардная катастрофа: Amazon свернула поддержку New World и отменила ММО «Властелин Колец»,"На фоне новостей о масштабных увольнениях руководство компании<strong> Amazon</strong> объявило о начале процесса сворачивания поддержки некогда популярной ММО <strong>New World</strong>. Согласно заявлению, сервера игры будут продолжать работать в течение 2026 года, но она не будет получать значимых обновлений, тогда как большая часть команды разработчиков уже распущена. ",1761876732,
1063730,Season 10 Minor - Release Notes,"New World: Aeternum - Season 10: Minor downtime will begin at 11:00 p.m. PT (6:00 UTC) on November 3rd and last approximately 2 hours.Reekwater Territory EnhancementsThere are major content updates to Reekwater including fixes to the Siren's Call encounter mechanics, barrel explosion systems, and overall territory stability improvements.Quality of Life ImprovementsThere are various bug fixes addressing faction missions, damage conversion gems, perk scaling issues, and MSQ progression blockers to ensure smooth gameplay across all content areas.Combat/AIReduced the power of the Distained Infliction I perk.Fixed the issue where the additional damage for the Beloved II perk was not functioning.Added a 0.1s cooldown to Lifestealer's Draught II perk to prevent the Lifesteal from triggering multiple times per activation.Fixed the issue where the Protector's Blessing feet and legs items had duplicate perks.Reduced max power of the old Enchanted Ward perk to be weaker than the new one.Increased power of the new Refreshing Move II perk from 1%/2% to 2%/3% and increased activation of Old Refreshing Move perk from 0.2s to 0.4s.Reduced duration of Old Sundering Shockwave rend from 10s to 7s.Changed the Condition Event on all Protection perks to be OnActive instead of OnEquip so they do not apply when a shield is sheathed.Updated the Elemental Aversion II to match the value of Physical Aversion II.Increased the power of Grit Ward II to be a max of 2.4% and reduced Grit Ward I to be a max of 1.8%.Fixed issue where the power was not properly increased when a shield skill perk was on a shield.Fixed an issue with Sapphire damage conversion gems not scaling their elemental damage with attributes.ExpeditionsFixed an issue with the Jester Encounter not triggering on multiple team wipes.Resolved pathing issues with Jester and Dahut bosses that could lead to characters idling for long periods of time.Fixed an issue with the Isabella Dynasty Shipyard boss fight where, if players damaged her too quickly, they could prevent progression and completion of the encounter.Economy / ProgressionFixed Minor Heartrunes to no longer drop from Expedition Bosses.Fixed Bundle of Umbral Crystals on the PVP Reward Track granting the wrong amount of Umbrals.World ExperienceInfluence Races will be scheduled for Nighthaven.Fixed Lvl 65 MSQ chain from being blocked if the player abandons push quests.SocialAdded Nighthaven to territory control which has a 15% max payout.Reduced Edengrove max payout from 15% to 10%.Reduced Brimstone Sands payout max from 10% to 7.5%.Reduced Brightwood payout max from 10% to 5%.Reduced Mourningdale payout max from 7.5% to 5%..Fixed an issue where a territory owning company disbanding would result in a bugged territory state.Fixed an issue causing the table in the table flip emote to shake around.UI/UXSwitched Tipping Performances to Secondary Input instead of Primary Input.Thank you for your continued support!",1761843965,
1063730,"As Amazon cut thousands of jobs, New World: Aeternum will see no more updates","Amazon recently announced pretty heavy job cuts, and it seems they're pulling back on video game funding with New World: Aeternum no longer being supported. Read the full article here: https://www.gamingonlinux.com/2025/10/as-amazon-cut-thousands-of-jobs-new-world-aeternum-will-see-no-more-updates/ ",1761740550,
1063730,New World won't be getting any more new additions following mass layoffs at Amazon,"<a href=""https://www.rockpapershotgun.com/games/new-world"">New World</a> has seen its last content update, with Amazon Games confirming their development of the MMO is winding down. The game's servers will be staying online in the short term. This news follows mass layoffs at Amazon, with over 14,000 roles reportedly being affected across the company and the gaming division seeing ""significant"" cuts. <a href=""https://www.rockpapershotgun.com/new-world-wont-be-getting-any-more-new-additions-following-mass-layoffs-at-amazon"">Read more</a> ",1761739086,
1063730,An Update on New World,"As New World recognizes its fourth anniversary since launching on PC, we reflect on an incredible journey shaped by our dedicated player community. Your feedback and passion have been instrumental in evolving Aeternum into the world it is today, and our team is deeply grateful for this shared adventure. After four years of steady content updates and a major new console release, we've reached a point where it is no longer sustainable to continue supporting the game with new content updates.The recently launched Season 10 and Nighthaven update will serve as the final content release for New World on PC and consoles. It is only after much consideration that we've reached this decision. To thank you, the New World community, for your support over the years, we have made the Nighthaven release available to you for free. To ensure all New World players can experience this content, we also made Rise of the Angry Earth free for all PC players.In the coming months, we will provide more details on what to expect and other essential information. Rest assured, our intention is to keep servers operating through 2026, allowing our community time to continue their adventures in Aeternum. Additionally, New World: Aeternum will still be downloadable for PlayStation Plus members (Extra and Premium).Players of Aeternum: Your dedication and enthusiasm have made this New World adventure an unforgettable journey. We're deeply grateful for every moment you've spent helping build this extraordinary world alongside us. It has been an honor to share Aeternum with you, thank you for helping make this game something truly special.FAQHow long will I be able to play New World: Aeternum?We will provide more details on what to expect in the coming months. We will provide a minimum of six months’ notice before making any changes that impact your ability to play New World: Aeternum.Are you sunsetting the game?No, not at this time. While New World will not be receiving new content updates, servers will be live through 2026. Our focus has been on completing the Season 10: Nighthaven content update and sharing it with our players.Can I still install New World: Aeternum if I had previously purchased the game?Yes, if you’ve previously purchased New World: Aeternum then you can download and install the game again.Will I still be able to use my in-game currency (e.g., Marks of Fortune)?Yes, you will still be able to purchase and use in-game currency. If this changes, we will share an update with the community.Will I still be able to purchase in-game currency (e.g., Marks of Fortune) for use in the game?Yes, you will still be able to purchase and use in-game currency. If this changes, we will share an update with the community.Will I still be able to buy the game after October 28?You will be able to purchase and play the game on all platforms until further notice. While we don’t have an update yet for how long that will be, we will share that information with the community as soon as we can.How long will the game stay on PlayStation Plus (Extra & Premium)?You will be able to play New World: Aeternum on PlayStation Plus (Extra & Premium) until further notice. While we don’t have an update yet for how long that will be, we will share that information with the community as soon as we can.Will there be any additional bug fixes, server merges, etc. after Season 10?Yes, while there will be no new content coming to the game after Season 10, we will continue to keep the game running smoothly.Are refunds available for Marks of Fortune purchases?No, refunds are not available for Marks of Fortune purchases.I just bought the game, can I get a refund?Please check with customer support for the platform where you purchased New World: Aeternum for assistance.Will there still be seasonal events, world bosses and bonus weeks?World bosses, bonus weeks, and some seasonal events will continue, but there will be no more holiday events.",1761683823,
1063730,New World Season 10 and a free expansion see Amazon's MMORPG fly on Steam,"<strong>New World</strong> is hardly a struggling game - a steady community of thousands flock to it every day on Steam alone. But its huge Aeternum update and rebrand roughly 12 months ago didn't give it the push towards <a href=""https://www.pcgamesn.com/10-best-pc-mmos"">MMO</a> stardom enjoyed by the likes of World of Warcraft and Final Fantasy 14. However, things may be picking up. Coinciding with a new season, Amazon Games is finally making New World's first and only paid expansion free to all players. This has resulted in a huge influx, with New World clocking its highest peak player count in almost a year. <a href=""https://www.pcgamesn.com/new-world/season-10-free-expansion"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/new-world/aeternum-season-8-divide-preview"">New World Aeternum Season 8 has Hardcore worlds with super-fast progression</a> <a href=""https://www.pcgamesn.com/new-world/seasonal-world-pvp"">Amazon's New World Aeternum is about to get a very risky new PvP mode</a> <a href=""https://www.pcgamesn.com/new-world/aeternum-roadmap-season-7"">Huge New World Aeternum roadmap includes intriguing new seasonal worlds</a> ",1760463438,
1063730,Rise of the Angry Earth Expansion is Now Free,"Nighthaven has finally arrived! We’re excited to announce that the Rise of the Angry Earth expansion is now included for free in the base New World game for all PC players, as part of the Season 10: Nighthaven launch celebration. This offer applies only to PC players who haven't previously purchased the expansion. Thank you to our incredible community and good luck exploring the mysterious lands of Nighthaven!FAQHow can I get access to the Rise of the Angry Earth Expansion?For PC players who have purchased the New World base game, but have not previously purchased the Rise of the Angry Earth expansion, you should automatically receive the Rise of the Angry earth expansion. This will not require a separate download. Once the Season 10 update has been downloaded, players will be able to play all of the content in New World: Aeternum.What if I recently purchased the Rise of the Angry Earth expansion? Can I get a refund?Any PC player who purchased the Rise of the Angry Earth expansion in the past 30 days will receive a refund on their purchase. Refunds will be automatically processed by Steam. Players should not have to take action to get a refund. For eligible players, please allow for up to 72 hours to receive your refund.If I’ve purchased New World: Aeternum, do I need the Rise of the Angry Earth Expansion?No. The Rise of the Angry Earth expansion is only for PC players who purchased the original New World base game on Steam prior to New World: Aeternum’s release in 2024. All of the content from the Rise of the Angry Earth expansion is already included in the game for New World: Aeternum.",1760367491,
1063730,Season 10: Nighthaven - Release Notes,"New World: Aeternum - Season 10: Nighthaven downtime will begin at 5:00 a.m. PT (12:00 p.m. UTC) on October 13 and last approximately 2 hours. Explore a realm hidden from Aeternum for generations.Uncover the fate of the Tear of Gaea, navigate treacherous alliances, and face threats born from darkness itself. Between a mysterious new zone, evolving endgame systems, and a 10-player raid, this season reshapes how you journey and endure. The Nighthaven update will release on Monday, October 13 and will be free for all New World: Aeternum owners.​New Zone: NighthavenAn ancient land rich with history, Nighthaven was largely cut off from the rest of Aeternum for lifetimes under the direction of its powerful king. Those few who did visit the haunting woods and mighty castles tell stories of mysterious figures, tall and lithe, engaged both in the politics of the court and in the dark hallways of the land’s many ruins. These inhabitants can be both charming and welcoming, or vicious and fearsome, depending on how they view those that they interact with. They rule at the behest of their king, carving out pieces of the land that they oversee on his behalf.There are also stories of monstrous creatures that seem to exhibit the qualities of both man and beast. Although they have largely been known to stalk the dark forests and hills of Nighthaven, they have recently become bolder, becoming a more ever-present threat.Nighthaven is a land shrouded in mystery, where the dark holds sway over the light. Power lies deep in the catacombs and ruins of this land for those who are bold and brave enough to venture there. Discover the secrets hidden in the shadows of these ancient halls, and use them to confront the threats endangering not only the people of Nighthaven, but the whole of Aeternum as well.To get the most out of Nighthaven, you’ll need to do a little more exploration than in previous zones. Your journey will take you through uncharted underworld catacombs and complex castles and vertical structures. The quest tracker won’t always tell you exactly where to go or what to do, and the best rewards will only come to those who explore.New Story: The Tear of GaeaAfter the events of Elysian Wilds, Morgaine left with the Tear of Gaea to sequester it somewhere safe, away from ambitious intent. However, it seems that her journey was met with ill fortune, and the Tear has gone missing. She is once more turning to the Soulwarden in an attempt to recover the Tear and keep the world safe from whatever nefarious intent may be planned for it!Travel within the newly discovered land of Nighthaven, and engage the enigmatic and mysterious figures that call it home as you search for the divine artifact. Search through ageless ruins and the facades of opulence as you work to uncover the truth of what is happening in this isolated and reclusive land. But be wary, as trust is a commodity in short supply throughout Nighthaven.New Game Mode: CatacombsCatacombs is a new game mode in which up to three players explore the depths of a procedurally generated dungeon, battling a wide variety of enemies and bosses, gaining unique mode-specific powerups, collecting cursed resources and currency, and racing to successfully exit and cleanse their treasures before time runs out.While the difficulty of Catacombs is moderate at the start of a session, the challenge (and reward) is increased significantly each time a boss is defeated. To counter this, players are able to acquire in-mode power-ups that enhance their stats and abilities. With each boss defeated, players must decide between pushing further into the Catacombs for even greater rewards or safely making their exit before time run out. Failure to make a safe exit results in loss of the vast majority of the treasures collected, but only one player needs to safely exit to avoid this.The procedurally generated nature of the mode makes every run different. Each session presents the players with a uniquely generated Catacomb constructed from a tile based algorithm. The layout of the Catacomb is revealed room by room as players explore. Enemies, encounters, bosses, and hazards are different in every run. Each time you delve into the Catacombs, you’ll need to explore and chart the map, and decide how to spend your limited time. Will you press forward, or backtrack to get more powerups before advancing? And will you have enough time to extract with your spoils?In a successful Catacombs run you’ll earn two new currencies, Sterlings and Crowns. Sterlings are earned all over the dungeon, but Crowns only come from bosses (only the second one and beyond). To trade these currencies for Catacombs-specific rewards, you’ll need to bring them to the Catacombs Delver near the Inn in Nighthaven’s settlement, Tularest Abbey.You can access Catacombs from the Activity Finder.​New Raid: Isle of NightIsle of Night is a new 10-person end game raid. The raid is set in a once magnificent kingdom whose inhabitants have now fallen...",1760117074,
1063730,Season 10: Nighthaven – Free and Premium Reward Tracks,"As the shadows of Nighthaven descend, new challenges and new rewards await across Aeternum.From early provisions and elemental gifts to the coveted Artifact weapons and exclusive armor skins that mark true mastery, the Free Track and Premium Track together offer a full spectrum of progression, crafting, combat, exploration, expression, and more.All players have access to the Free Track. Those who purchase the Premium Pass (available for 20,000 Marks of Fortune) will unlock the Premium Track, which includes exclusive items and major material bundles. If purchased after leveling up, Premium rewards are granted retroactively up to your current level.Levels 1-10Free Track500 CoinsRefining Box SeasonsFood Gift 2x FlowerRocket Firework Emote PermitSeasons Elemental Gift 5xCastle Aquamarine DyeBox of WardingBasic Expedition ChestCombat Box Premium Track3000 CoinsVials of Suspended Azoth 20xPremium Food ChestTransmog TokenPremium Elemental Chest 5xAngelic Satin Premium DyeTerritory Standing Booster 5xGypsum OrbsScarlet Dilation Longsword Weapon SkinLevels 11-20Free Track5000 Faction TokensSeasons Salvage Scraps Gift Box of WardingSeasons Brilliant Gems Gift 5xWedgewood DyeSeasons Food Gift500 Marks of FortuneSeason EXP BoosterBasic Expedition ChestS10 Hatchet ArtifactPremium Track15000 Faction TokensPremium Salvage Fragment ChestGathering EXPBooster SeasonsPristine Gems GiftEnigma Red Hatchet WeaponSkin Premium Food Chest1000 Marks of FortuneWeapon EXP Booster 5xGypsum OrbsEnigma Red Void Gauntlet Weapon SkinLevels 21-30Free TrackSeasons Crafting Gift500 CoinsRefining BoxSeasons Food GiftDynasty Rocket Firework Emote Permit 2XSeasons Brilliant Gems GiftElderberry Dye 5xCombat BoxExpedition ChestPremium TrackPremium Crafting Chest3000 CoinsGarlic Wreathe Mount AttachmentPremium Food ChestTransmog TokenSeasons Pristine Gems GiftBlued Steel Premium Dye 5xSeason EXP BoosterGypsum Orbs 5xLevels 31-40Free Track5000 Faction TokensCombat BoxSeasons Elemental GiftSeasons Crafting GiftRefining BoxVial of Azoth Salt500 Marks of FortuneRefining BoxPremium Track15000 Faction TokensWeapon EXP BoosterPremium Elemental ChestPremium Crafting ChestGleamite Mining EmoteVial of Azoth Salt 3x1000 Marks of FortuneSeason EXP BoosterGypsum Orbs 5xLevels 41-50Free TrackSeasons Food Gift500 CoinsCombat BoxSeasons Salvage Scraps GiftDryad Rocket Firework Emote Permit 2xTerritory Standing BoosterBaked Red Clay Dye 5xCombat BoxVeterans Expedition ChestPremium TrackPremium Food Chest3000 CoinsProficency BoosterPremium Salvage Fragment ChestTransmog TokenDivine Sundering Warhammer Weapon SkinAgeless Bronze Premium Dye 5xAetherbound Bracers Gloves Weapon SkinGypsum Orbs 5xLevels 51-60Free Track5000 Faction TokensStrides of Misfortune Boots Armor SkinSeasons Salvage Scraps GiftSeasons Elemental GiftAncient Rocket Firework Emote Permit 2xVial of Azoth Salt500 Marks of FortuneElite Combat BoxVeterans Expedition ChestPremium Track15000 Faction TokensPerigree Tassets Legs Armor SkinPremium Salvage Fragment ChestPremium Elemental ChestSecond Sighted Barebow Bow Weapon SkinVial of Azoth Salt 3x1000 Marks of FortuneProficency BoosterCleansing Lance Spear Weapon SkinLevels 61-70Free TrackBox of Warding500 CoinsElite Combat BoxWeapon EXP BoosterShooting Star Firework Emote Permit 2xThe Ferryman's Embrace Gloves Armor SkinDazzling Coral Dye 5xElite Combat BoxSeasons Food GiftPremium TrackPremium Salvage Fragment Chest3000 CoinsMemory Flagon Mount AttachmentTerritory Standing BoosterThumbs Down EmoteEcliptic Caligae Boots Armor SkinBlood Premium Dye 5xGathering EXP BoosterPremium Food ChestLevels 71-80Free TrackSeasons Crafting GiftFallow Greaves Legs Armor SkinVials of Suspended Azoth 10xVials of Suspended Azoth 10xCactus Sage Dye 5xSeasons Brilliant Gems Gift500 Marks of FortunePale Brigadine Torso Armor SkinMutation ChestPremium TrackPremium Crafting ChestPenumbra Handwraps Gloves Armor SkinWeapon EXP BoosterVials of Suspended Azoth 20xCrimson Bifurcator Greataxe Weapon SkinSeasons Pristine Gems Gift1000 Marks of FortuneUmbral Cowl Head Armor SkinEmpyrean Treads Boots Armor SkinLevels 81-90Free TrackVials of Suspended Azoth 10x500 CoinsEclipsed Starpiercer Bow Weapon SkinSeasons Brilliant Gems GiftElite Combat BoxSeasons Elemental GiftSublime Velvet Dye 5xGathering EXP BoosterMutation ChestPremium TrackVials of Suspended Azoth 20x3000 CoinsGathering EXP BoosterSeasons Pristine Gems GiftTransmog TokenPremium Elemental ChestSpring Grape Premium Dye 5xTerritory Standing BoosterSovereign Aegis Legs Armor SkinLevels 91-100Free TrackProficency BoosterThe Fourth Rider's Vizard Head Armor SkinApex Combat BoxVial of Azoth SaltTransmog TokenGibbous Moonshadow Void Gauntlet Weapon Skin500 Marks of FortuneThe Duskblade Spear Weapon SkinApex Combat BoxPremium TrackSeraphic Visage Head Armor SkinLunar Embrace Torso Armor SkinProficency BoosterVial of Azoth Salt 3xHeart of Eyes Torso Armor SkinParcel Bag Mount Attachment1000 Marks of FortuneCurse of Eternity Life Staff ...",1760115761,
