appid,title,contents,date,tags
1623730,The Home Sweet Home update for Palworld with the ULTRAKILL crossover is out now,Palworld just levelled up with a big new free Home Sweet Home update as Pocketpair work towards finishing up the game for a full release next year. Read the full article here: https://www.gamingonlinux.com/2025/12/the-home-sweet-home-update-for-palworld-with-the-ultrakill-crossover-is-out-now/ ,1765996089,
1623730,Palworld v0.7 - Home Sweet Home,"2025 has been an incredible year for Palworld, and we’re excited to end the year with v0.7, Home Sweet Home! The purpose of this update is to begin improving existing features, and while this update may not be as content-rich as previous ones, we hope players understand that it’s necessary for us to begin laying the groundwork now as we work on the development of Palworld 1.0. You can find more info about this in our Palworld 1.0 video here:Palworld v0.7 - Home Sweet Home! ▼ ULTRAKILL Collaboration!Palworld’s second collab, ULTRAKILL, finally arrives! This update adds several iconic weapons and armour, as well as a V1’s infamous coin toss! Thank you to New Blood and Hakita for allowing us to play with their incredible game, and we hope our fans will enjoy taking on battles in a fresh, stylish way with this special equipment!▼ Improvements to BuildingA big part of the Home Sweet Home update is, as the name suggests, your home! We have been blown away by all the incredible builds that you guys have been sending us, and we know that you have been eagerly waiting for more freedom in how you design your base. This update brings a large number of new building parts, including the much-requested triangular pieces! Another new addition to the building system in this update is the ability to change the colour of building pieces! Express yourself in any way you feel like by adding a splash of your favourite colour to your home! The building menu UI has been redesigned and reformatted into a list. You can now select the structures and parts you need more intuitively, which should result in an overall smoother building experience! ▼ Raid Battlefields!When summoning a raid boss at the Summoning Altar, players can now choose to either fight at their base as before, or take on the raid boss in a special “Raid Area”. These Raid Areas allow you to fight with all your might, without risking any damage to your base. You can build temporary structures and take items into these special Raid Areas. That’s not all… A new raid boss has also appeared! Team up with your Pals and allies to take on this new formidable foe!▼ Improved Melee CombatMelee is often overlooked in the late game, so we wanted to start improving the system to make it more viable and fun for players. To that end, we have made improvements to the melee gameplay! The basic attack actions for swords, katanas, and beam swords have been changed. You can now perform attacks consecutively by repeatedly pressing left click (right trigger on controller). In addition, special attacks have been added to katanas and beam swords. You can activate a special attack by holding down right click (left trigger on controller) and left click (right trigger on controller). Take your melee gameplay to the next level!This is our first pass at improving the melee combat, and we have even more improvements planned to the melee system for 1.0! ▼ Steam WorkshopWe would like to express our deepest thanks to the Palworld modding community, who, since day 1 have been passionately making so many fun mods for Palworld. We have now added Steam Workshop to the game, allowing players to try out a variety of mods and discover new ways to play with greater ease! If you are interested in modding, please head over to the Steam Workshop for more details! Please note that Steam Workshop is only available for the Steam version of Palworld. Please also note that some servers, including official servers, prohibit the use of mods in order to ensure fair play. To that end, we recommend only using mods in single-player or with your friends. A special thank you to Primarinabee and Okaetsu for their help and assistance with this feature!For more information about modding and how to mod, please see the guidelines and documentation provided on our Steam Workshop or visit the Palworld modding GitHub: https://github.com/pocketpairjp/PalworldModUploader/tree/main ▼ PvP (Experimental) PvP has been a topic of discussion in the Palworld community for a long time, and although it’s hard to fully integrate PvP into the game, we are releasing all the necessary tools for players to set up their own PvP rules on their own terms. Show off your skills and compete with other Pal Tamers! Please note that PvP is experimental, and as such, there may be some balancing issues. For more information on how to enable and set PvP parameters on your server, please see the new PvP guidelines in our server documentation: https://docs.palworldgame.com▼ Palworld x Makeship Merch!We're excited to announce 8 brand new plushies, made in partnership with Makeship!Starting today, you can pre-order Zoe or some of your favorite Pals!These plushies are available exclusively at Makeship, and only while stocks last. https://www.makeship.com/shop/creator/palworld Thank you again to all of our fans and players for your continued support for Palworld. We’re hard at work on Palworld 1.0, and are so excited for you to get your hands on the full version of...",1765940666,"['workshop', 'mod_reviewed', 'ModAct_1426387032_1765942524_0', 'mod_require_rereview']"
1623730,"Palworld publishing boss says 'I haven't really touched so-called AAA titles', adding that they tend to be 'overwhelmingly about graphic quality and fidelity'","When it's not equipping little critters with assault rifles or <a href=""https://www.pcgamer.com/games/survival-crafting/palworld-developer-reports-nintendos-suing-over-3-pokemon-patents-for-only-usd66-000-in-damages-but-a-videogame-ip-lawyer-says-fighting-the-lawsuit-could-mean-burning-millions-of-dollars/"">fending off lawsuits</a> for those critters' resemblance to Pokémon, Palworld studio Pocketpair is stepping in to publish small-scale indies. It's got a host of upcoming games on the docket, such as pixelated fishing game <a href=""https://store.steampowered.com/app/2611240/Normal_Fishing/?curator_clanid=41648656"" target=""_blank"">Normal Fishing</a> and the Hollow Knight-esque <a href=""https://store.steampowered.com/app/2395770/Never_Grave_The_Witch_and_The_Curse/?curator_clanid=41648656"" target=""_blank"">Never Grave</a>. The studio's publishing manager, John Buckley, said that's no coincidence—indie games are his foremost passion... <a href=""https://www.pcgamer.com/games/survival-crafting/palworld-publishing-boss-says-i-havent-really-touched-so-called-aaa-titles-adding-that-they-tend-to-be-overwhelmingly-about-graphic-quality-and-fidelity/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764538657,
1623730,Nominate Palworld for the Labor of Love Award! Steam Awards 2025.,"Hello everyone!Another year has already passed, and once again we would like to ask for your support by voting for Palworld in the 2025 Steam Awards!This time, we would be honored if you considered voting for Palworld in the ""Labor of Love"" category.Thanks to our players, we've received countless incredible suggestions for new content, as well as invaluable feedback on how to improve the game. With the help of our community, we've shipped 18 patches full of improvements and bug fixes, along with two major updates, and a third arriving this December!We're also hard at work on Palworld 1.0, scheduled for release next year, and we hope you'll continue to support us as we work toward this milestone together.Thank you for your continued support of Palworld!",1764065272,"['steam_award_nomination_request', 'mod_hide_library_overview']"
1623730,Palworld update 'Home Sweet Home' arrives December 17 with an ULTRAKILL collab,Home Sweet Home huh? The name of the next Palworld update that's been confirmed to arrive on December 17th. Read the full article here: https://www.gamingonlinux.com/2025/11/palworld-update-home-sweet-home-arrives-december-17-with-an-ultrakill-collab/ ,1763991708,
1623730,Palworld’s “Home Sweet Home” Update arrives December 17!,"We're excited to announce that Palworld's next major update will arrive on December 17! The ""Home Sweet Home"" update includes a collab with the popular FPS ULTRAKILL, as well as new features for customizing bases. Check out the trailer released today for more details! ",1763843432,
1623730,v0.6.9.82911: Multiplayer connectivity improvements,\ Palworld version v0.6.9.82911 has been released! ＝＝＝ ▼Multiplayer・\ Fixed an issue where multiplayer connectivity was not working correctly in some cases. === Thank you for your continued support of Palworld!,1762744038,['patchnotes']
1623730,v0.6.9: Bug Fixes,\ Palworld version v0.6.9 has been released! ＝＝＝ ▼Bug Fixes・Fixed a bug that caused the game to freeze when in combat with the Terraprism and the Free Pal Alliance.・Fixed a bug where the map icon for supply crates would not disappear even after it was collected.=== Thank you for your continued support of Palworld!,1761707888,['patchnotes']
1623730,Update v0.6.8: Halloween! Zoe's Halloween costume and Depresso suit!,"\Palworld version v0.6.8 has been released!＝＝＝▼New Content・Added a new ""Halloween Mission""!Complete the mission to unlock Zoe's Halloween costume and a Depresso armor set for players! ▼Mechanic Adjustments・Added the ""Zoe's Sphere"" mission, which allows the player to obtain Zoe & Grizzbolt! ・Adjusted chat notifications to now display when players join or leave a server.===Thank you for your continued support of Palworld!",1761188707,
1623730,"Palworld dev Pocketpair, famous for making wholly original games, won't publish your game if it uses generative AI","Earlier this year, <a href=""https://www.rockpapershotgun.com/games/palworld"">Palworld</a> developer Pocketpair used its newfound success to <a href=""https://www.rockpapershotgun.com/palworlds-creators-are-paying-the-kenzera-devs-to-make-a-horror-game-about-the-entertainment-industry"">start a publishing arm</a>. This, I think, is generally a net good, even if I have some feelings about the studio as a whole, which we'll dig into shortly. Nobody has money in this industry except for the few who do, so when a few of the few who do decide to put some of that money into much smaller games, that is somewhat of a win. But heed this warning from Pocketpair's communications director and publishing manager John Buckley: they won't publish your game if you use generative AI. <a href=""https://www.rockpapershotgun.com/palworld-dev-pocketpair-famous-for-making-wholly-original-games-wont-publish-your-game-if-it-uses-generative-ai"">Read more</a> ",1761152518,
1623730,Depresso Found Something He Actually Likes,"The one thing Depresso actually likes has arrived!We’ve teamed up with @Madrinas to bring you the Palworld Limited Edition Collector’s Box —featuring a Palworld shaker cup and Depresso Chocolate Espresso Cold Brew Coffee. There are 4unique Depresso labels to collect, so yes… you’re going to want them all.Fuel your adventure (or just your next long mining session) with the only brew bleak enough forDepresso himself. Pre-order now at: https://madrinas.coffee/4gRN63i",1761051630,
1623730,Something mysterious is lurking in the shadows..October 23rd!,Zoey and...Depresso...?Something festive is brewing!,1761008453,
1623730,'Now you've got no excuses': Palworld is teaming up with Core Keeper for a Steam Autumn sale bundle because the folks over at Pocketpair are 'just big fans',"<a href=""https://www.pcgamer.com/uk/palworld/"" target=""_blank"">Palworld</a> developer Pocketpair has proved time and again that it's no stranger to supporting other indie games, whether that be by <a href=""https://www.pcgamer.com/gaming-industry/game-development/palworld-studios-first-move-as-a-publisher-is-to-save-a-struggling-indie-dev-this-is-the-energy-i-want-to-see-driving-games-in-2025/"" target=""_blank"">setting up shop as a publisher</a> to help struggling devs or by simply giving others the shout-out that they deserve... <a href=""https://www.pcgamer.com/games/survival-crafting/now-youve-got-no-excuses-palworld-is-teaming-up-with-core-keeper-for-a-steam-autumn-sale-bundle-because-the-folks-over-at-pocketpair-are-just-big-fans/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1759423154,
1623730,Capcom legend tackles Palworld-Nintendo battle and manages to annoy almost everyone: 'It's a game that transcends the boundaries of war',"Pocketpair’s Palworld has certainly found an audience since release: even if, unfortunately, those interested include Nintendo's lawyers. The ongoing copyright lawsuit between the indie studio and the most venerable company in gaming is the subject of great interest worldwide, but of particular fascination in Japan, where the suit is filed and where both companies are based... <a href=""https://www.pcgamer.com/gaming-industry/capcom-legend-tackles-palworld-nintendo-battle-and-manages-to-annoy-almost-everyone-its-a-game-that-transcends-the-boundaries-of-war/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1759419160,
1623730,"Ex Resident Evil dev says Palworld ""crosses lines that should not be crossed""","As <strong>Palworld</strong> developer Pocketpair handles legal challenges from Nintendo over patented game mechanics, it's also come under fire from ex-Capcom developer Yoshiki Okamoto in a new YouTube video that accuses it of breaking boundaries that should be considered sacred. Since becoming one of Steam's most popular games ever at launch, Palworld has done a good job of establishing its own, standalone brand among the <a href=""https://www.pcgamesn.com/best-survival-games"">best survival games</a>, setting it apart from the Pokemon-like designs that initially gave it notoriety. However, former Street Fighter 2 producer Okamoto, who also worked on the likes of Resident Evil, Dino Crisis, and Devil May Cry, isn't happy with it. <a href=""https://www.pcgamesn.com/palworld/former-capcom-dev-comments"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/once-human/palworld-collab"">Palworld joins hands with free-to-play survival rival Once Human in new collab</a> <a href=""https://www.pcgamesn.com/palworld/bosses"">All Palworld bosses in order and how to beat them</a> <a href=""https://www.pcgamesn.com/palworld/mods"">Best Palworld mods and how to install</a> ",1759408269,
1623730,Pocketpair Steam Autumn Sale!,"https://clan.fastly.steamstatic.com/images/41648656/40db9d8da860184bea69259335f4f733fdbd9fe0.png Autumn is here! Time to cosy up inside with some great games up to 50% off! Palworld & Core Keeper Steam Bundle This great value bundle (10% OFF) includes two popular crafting games: Palworld, where you adventure with Pal across a vast world, and Core Keeper, where you explore an ancient world deep underground. This bundle is a ""Complete the Set"" bundle, so if you already own one of the games, you can purchase the other game at an even greater discount. Games on Sale Palworld (25% OFF) https://store.steampowered.com/app/1623730/Palworld/ Craftopia (40% OFF) https://store.steampowered.com/app/1307550/Craftopia/ Overdungeon (50% OFF) https://store.steampowered.com/app/919370/Overdungeon/ Dead Take (20% OFF) https://store.steampowered.com/app/3352690/Dead_Take/",1759212822,
1623730,v0.6.7: Dungeon Entry Bug Fix,Palworld version v0.6.7 has been released!＝＝＝▼ Bug Fixes・Fixed an issue where the game would crash when re-entering a dungeon after summoning a Mimog and saving inside the dungeon.▼ Mechanic Adjustments・\ The warning that appears when the world settings are set too high for the system playing the game will now shows once every 15 minutes.＝＝＝Thank you for your continued support of Palworld!,1759115064,['patchnotes']
1623730,Palworld joins hands with free-to-play survival rival Once Human in new collab,"<strong>Palworld</strong> is showing no signs of slowing down. Fresh off the announcement of farming-themed spinoff Palfarm, Pocketpair's signature critters are invading the world of one of its biggest survival rivals from 2024. The new <strong>Once Human</strong> collaboration event will bring together elements of both games, letting you control Pals for yourself on a special map that also features many of the Deviants and Deviations from Starry Studio's universe. <a href=""https://www.pcgamesn.com/once-human/palworld-collab"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/once-human/codes"">Once Human codes and how to redeem</a> <a href=""https://www.pcgamesn.com/new-mmos"">The best new MMOs worth playing in 2025</a> <a href=""https://www.pcgamesn.com/once-human/system-requirements"">Once Human system requirements</a> ",1758818787,
1623730,"A week after saying it was going quiet for the rest of the year, Palworld announces a crossover with the brilliant and bloodstained shooter Ultrakill","Only last week, Palworld developer Pocketpair announced that the hit survival game, which remains in early access, would be going quiet as it <a href=""https://www.pcgamer.com/games/survival-crafting/palworld-is-going-quiet-as-pocketpair-takes-an-iron-to-its-quirks-and-jank-with-full-release-planned-for-2026/"" target=""_blank"">prepared for a full launch in 2026</a>. Well well well… it looks like someone had a surprise up their sleeve, because today brought <a href=""https://store.steampowered.com/news/app/1623730/view/501710697560803646"" target=""_blank"">the announcement</a> of an unexpected crossover, albeit with scant detail... <a href=""https://www.pcgamer.com/games/survival-crafting/a-week-after-saying-it-was-going-quiet-for-the-rest-of-the-year-palworld-announces-a-crossover-with-the-brilliant-and-bloodstained-shooter-ultrakill/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1758650898,
1623730,The Palworld devs are making their very own Pal-filled Stardew Valley,"<a href=""https://www.rockpapershotgun.com/games/palworld"">Palworld</a> developers Pocketpair have revealed Palfarm, a new farming spin-off whose cheeky compound title implies the possibility of countless other Palspin-offs, from Pal<a href=""https://www.rockpapershotgun.com/games/train-simulator"">train Simulator</a> to Pal<a href=""https://www.rockpapershotgun.com/pvkk-from-the-dome-keeper-devs-is-papers-please-but-you-get-a-huge-planetary-defence-cannon"">netenverteidigungskanonenkommandant</a>. It appears to be a Palworld version of <a href=""https://www.rockpapershotgun.com/games/stardew-valley"">Stardew Valley</a>, with players alternating between tending crops, mining the caves, battling wildlife, and bonding with the local NPCs. As in vanilla Palworld, you can capture Pals with different abilities and set them to work on tasks like sowing and watering. Here's a trailer. <a href=""https://www.rockpapershotgun.com/the-palworld-devs-are-making-their-very-own-pal-filled-stardew-valley"">Read more</a> ",1758626228,
1623730,ULTRAKILL x Palworld! Collab coming later this year!,"Collaboration gear and weapons from the cult-hit game ULTRAKILL (developed by Arsi ""Hakita"" Patala, published by New Blood Interactive) are coming to Palworld! ULTRAKILL is an ultra-violent retro FPS that embodies its tagline: “Mankind is dead. Blood is fuel. Hell is full.” Players take control of the combat machine “V1,” using blood harvested from enemies as energy to stylishly and swiftly annihilate the legions of Hell.A collab no one saw coming. Will blood rain upon the Palpagos Islands? Please look forward to this unprecedented encounter!",1758589236,
1623730,Nintendo reportedly gets even more obnoxious about patent law by taking a 'mods aren't real games' stance against a Dark Souls 3 mod that could invalidate its Palworld lawsuit,"Last year, <a href=""https://www.pcgamer.com/games/survival-crafting/palworld-developer-reports-nintendos-suing-over-3-pokemon-patents-for-only-usd66-000-in-damages-but-a-videogame-ip-lawyer-says-fighting-the-lawsuit-could-mean-burning-millions-of-dollars/"" target=""_blank"">Nintendo initiated a patent lawsuit</a> against Palworld developer Pocketpair, and in the months since the Pokemon publisher has seemingly decided to double down on <a href=""https://www.pcgamer.com/gaming-industry/an-embarrassing-failure-of-the-us-patent-system-videogame-ip-lawyer-says-nintendos-latest-patents-on-pokemon-mechanics-should-not-have-happened-full-stop/"" target=""_blank"">moustache-twirling IP law villainy</a> at every opportunity. The latest development in the Pocketpair proceedings might be Nintendo's worst look yet, because the company has reportedly decided that modders' ideas don't count. Cool!.. <a href=""https://www.pcgamer.com/games/survival-crafting/nintendo-reportedly-gets-even-more-obnoxious-about-patent-law-by-taking-a-mods-arent-real-games-stance-against-a-dark-souls-3-mod-that-could-invalidate-its-palworld-lawsuit/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1758232154,
1623730,v0.6.6: Balance adjustments and bug fixes,"Palworld version v0.6.6 has been released!＝＝＝▼Balance Adjustments & System Changes・A warning will now be displayed on screen if the world settings are set too high for the system playing the game.・Changed Herbil Pulse so that players will be invincible for a short time when getting up.・Slightly expanded the hit detection of Excalibur’s shockwave.・Fixed an issue where the hit detection and visual effects of Terra Blade were misaligned.・\ Easy Bulk Storage control adjustment: pressing the LS button now applies immediately.・Changed the appearance of Pal's rank-up items.・Adjust NPC trust modifiers to be in line with the implementation of NPC passive skills. ・Added ""Item Decay Speed"" options to the world settings. ▼Bug Fixes・Implemented countermeasures for save data bloating and rollback issues.・Fixed a bug where passive skill effects were not applied to human NPCs.・Fixed a bug that allowed climbing on spheres during capture.・Fixed an issue where the sorting order of Key Items appeared to shuffle randomly.・Fixed a bug where treasure chests would sometimes not appear at the end of random dungeons.・Fixed a bug where Zoe’s Assault Rifle would continue to fire after defeating an enemy.・Fixed a bug where shooting Boost Gun / Mega Boost Gun at base Pals while mounted would not increase their stats.・Fixed a bug in multiplayer where equipping a waist lantern and entering a dungeon would turn the entire screen yellow.・Fixed a bug where using High Breach with Whalaska or Whalaska Ignis could sometimes cause the player to fall through the floor.・Fixed a bug where if Herbil was used just before the player became incapacitated, Herbil Pulse would not activate and progression could become impossible.・Fixed a bug where NPCs would not retaliate when attacked.・Fixed a bug that allowed construction near towers.・Fixed a bug where battle BGM would sometimes continue playing after the player died.・Fixed a bug where aim assist would not function properly during the Moonlord battle.・Fixed a bug where certain Pal skills would fail when used over water.・Fixed a bug in the Arena where using “Huggy Fire” would cause enemies to become stuck.・Fixed a bug where Hallowed Plate Mail was not reducing damage taken from Extreme Moonlord.・Fixed a bug where unreleased items were being displayed in the flea market. ・Fixed an issue where DualSense input was not supported on Windows (Win64).＝＝＝Thank you for your continued support of Palworld.",1758078374,['patchnotes']
