appid,title,contents,date,tags
2694490,Introducing The Last of the Druids Mystery Box,"We recently released The Last of the Druids Mystery Box without duplicate microtransactions! Many of these microtransactions have a varying number of thematic variations that fits your style. Please note that currently The Last of the Druids Mystery Box is available only in Path of Exile 2. There are over than 60 microtransactions (including variations) that you can find in The Last of the Druids Mystery Box. Many of these microtransactions have a varying number of thematic variations, and you'll never receive a duplicate copy of a variation that you have already opened. For example, if you open one variant of a microtransaction, you may later receive another variant, but you'll never get a duplicate! Because of the lack of duplicates, each box you open implicitly increases the chance of opening the remaining microtransactions you haven't received yet. Check out the full details at pathofexile2.com/mysterybox ",1765938827,
2694490,Path of Exile 2: The Last of the Druids Launches Soon,"Path of Exile 2: The Last of the Druids will launch on PC and consoles soon! In this news post, we’ve gathered all the information you need to know about what happens on launch day and how to start downloading early. Free Weekend December 12 11AM - December 15 11AM PST To celebrate the launch of Path of Exile 2: The Last of the Druids, we're making the game free to play for three days on all available platforms. As an additional gift we’re offering a few new cosmetic effects you can earn if you play in the Fate of the Vaal League during this Free Weekend. To clarify, all new and existing Path of Exile 2 players on all available platforms will be able to receive these microtransactions. Find out more about the Free Weekend here. Private Leagues Are Now Available Those of you who are planning to play in a Private Fate of the Vaal League at launch are now able to create them. Click here to set up your Private League (don’t forget to double check your start time upon creating)! Please note you cannot start these leagues until The Last of the Druids officially launches on December 12th (PST). The Last of the Druids Launch Information The realms will go down at December 12th 09:00 AM PST and patching will begin shortly after. The servers go live at: December 12th 09:00 AM PST Two hours before the end of the countdown, the realm will go down and patching will begin shortly after. When the countdown ends, the servers will be live and you'll be able to join the Fate of the Vaal Leagues. The patch size for the update will be around 30GB on Steam. Launch Twitch Drops and Discord Quest You can also claim some free cosmetics by watching your favourite community creators on Twitch and participating in Discord Quest. Check out this post for more information! We can’t wait to see you all the new content that The Last of the Druids has to offer. See you at launch!",1765500306,"['mod_reviewed', 'ModAct_1278681683_1765500762_0', 'mod_require_rereview']"
2694490,Path of Exile 2: The Last of the Druids Launch Twitch Drops and Discord Quest,"Twitch DropsTo celebrate the launch of Path of Exile 2: The Last of the Druids, we'll be running two weeks of Twitch Drops starting from 11:00 AM December 12th PST! Week 1 Twitch Drops - Blood Moon Wolf Pack Skill Effect + Mask of the VaalStart Time: December 12th 11:00 AM PST End Time: December 20th 01:59 AM PST You will get the Blood Moon Wolf Pack Skill Effect and the Mask of the Vaal after 3 hours of accumulated watch time on any channel in the Path of Exile 2 category during the first week of launch.Week 2 Twitch Drops - Atziri's Royal Cache Stash BundleStart Time: December 20th 02:00 AM PST End Time: December 28th 01:59 AM PST You will get the Atziri's Royal Cache Stash Bundle after 3 hours of accumulated watch time on any channel in the Path of Exile 2 category during the second week of launch. The drops are guaranteed for everyone who has watched any Path of Exile 2 stream for the amount of time specified above. This promotion is available for all accounts. Support a StreamerTo support our community streamers, we'll also be offering The Red Queen's Portal for purchasing or gifting 2 Twitch subscriptions of any tier from December 12th 11:00 AM to December 28th 01:59 AM PST. To participate: Log in to your Twitch account.Visit any Twitch channel in Path of Exile 2 category.While the channel is live streaming Path of Exile 2, purchase a cumulative of two subscriptions of any tier to earn The Red Queen's Portal (Prime Subs are excluded). New Discord QuestComplete the Path of Exile 2: The Last of the Druids quest on Discord by playing Path of Exile 2 for 15 minutes to receive the exclusive The Last of the Druids avatar! Start Time: December 12th 11:00 AM PSTEnd Time: December 19th 04:00 PM PST How do I participate?PCOnce the quest launches on December 12th, accept it in the Discord client here.Play Path of Exile 2 for 15 minutes with the Discord client open.Receive your exclusive The Last of the Druids avatar!ConsoleSelect Console when accepting the quest in the Discord client here.Sign into your PlayStation or Xbox account and link it to Discord. You can find instructions for PlayStation here and Xbox here. Play Path of Exile 2 for 15 minutes.Receive your exclusive The Last of the Druids avatar! FAQHow do I link my Path of Exile account with Twitch?""]Visit your Twitch Settings page while logged in. If your account isn't connected, click the ""Connect"" button for Twitch under ""Other Connections"". Please also make sure that the sub-account you’re linking with Twitch is the one that you want to receive the Drop on. Complete the process on Twitch and you will be redirected back to your Twitch Settings page. If your account is already connected, this page should say ""Your Path of Exile account is currently linked to your Twitch account."" How to redeem my rewards?After you've accumulated enough watch time to earn your Drops, you must redeem them from your Twitch Inventory before the promotional period ends. The Red Queen's Portal for Twitch Subscriptions must also be claimed from the Twitch Inventory. How to enable Twitch Drops on my channel?If you’re planning to stream Path of Exile 2 at launch and want to enable Twitch Drops for your viewers, you can do it via your Twitch Creator Dashboard here.How do I purchase or gift a subscription on Twitch?Log into Twitch, using either a PC or mobile device. Purchases may be made on either a PC or mobile device. Detailed information on purchasing subscriptions can be found here and information on purchasing gift subscriptions can be found here. Which Twitch subscriptions are eligible for the Support a Streamer promo?New monthly subs (any tier)Multi-month subs (3-month, 6-month)Gift subs (any tier for any number of months) Are Twitch Drops rewards and the The Red Queen's Portal exclusive?The cosmetics that are part of this campaign will not be exclusive to Twitch Drops and will eventually be sold in our Microtransactions Store. Will these cosmetics work in Path of Exile 1?While the Blood Moon Wolf Pack Skill Effect will not be available, the Mask of the Vaal and Atziri's’s Royal Cache Stash Bundle will be immediately available in Path of Exile 1. The Red Queen’s Portal will be available in Path of Exile 1 at a later date. Do I need to link my Discord and Path of Exile accounts?No. Will The Last of the Druids avatar be available for purchase in the Discord store?No. You can receive it only by participating in this quest.How long can I use the avatar for?You can use the avatar for 2 months without Discord Nitro. Subscribers to Discord Nitro will be able to keep the decoration for an extended period. More information on this can be found here. ",1765483637,
2694490,Free Path of Exile 2 Weekend + Cosmetics on December 12 - 15 PST,Play Path of Exile 2 for free this weekend (December 12 - 15 PST) on all available platforms and earn new cosmetic microtransactions! Find out more at https://pathofexile2.com/freeweekend ,1765400875,
2694490,Path of Exile 2: The Last of the Druids Item Filter Information,"To help you get ready for the launch of Path of Exile 2: The Last of the Druids, we’ve prepared all the Item Filter Information you need below. New Keywords HasVaalUniqueMod Values: True/False TwiceCorrupted Values: True/False AlwaysShow Values: True/False IsVaalUnique Values: True/False Updated Keywords ""Socketable"" Item Class renamed to ""Augment"" New Items Item class: Stackable Currency Core Destabiliser Vaal Infuser Architect's Orb Ancient Infuser Orb of Extraction Crystallised Corruption Vaal Cultivation Orb Item class: Skill Gems Pounce Oil Barrage Ferocious Roar Feral Invocation Wolf Pack Cross Slash Devour Fury of the Mountain Entangle Lunar Blessing Arctic Howl Flame Breath Thunderstorm Rolling Magma Savage Fury Furious Slam Barkskin Walking Calamity Volcano Thrashing Vines Wing Blast Eternal Rage Tornado Lunar Assault Spell Totem Briarpatch Rampage Item class: Support Gems Thrill of the Kill II Cirel's Cultivation Xibaqua's Rending Rending Apex Oisín's Oath Tasalio's Rhythm Atziri's Communion Dreamer's Knell Splinter Totem II Ambrosia II Nova Projectiles II Deadly Resolve Empowered Sparks II Fan The Flames II Mark for Death II Practical Magic II Khatal's Rejuvenation Concussive Spells Helbrym's Hide Ice Bite II Advancing Storm Mark of Siphoning Atziri's Call Mark of Siphoning II Guatelitzi's Ablation Morgana's Tempest Opening Move Eternal Mark Brittle Armour Empowered Sparks I Hayoxi's Fulmination Exposing Cry Accelerated Growth Accelerated Growth II Poison Spores Coursing Current Gorge Thrill of the Kill Inexorable Critical II Echoing Cry Controlled Hazard Practical Magic I Eonyr's Thunder Fan The Flames Bhatair's Vengeance Atziri's Impatience Creeping Chill Zarokh's Revolt Shock Conduction II Blazing Critical Catalysing Elements Biting Frost II Tectonic Slams Zerphi's Infamy Splinter Totem I Charged Mark Item class: Augment Quipolatl's Thesis Jiquani's Thesis Guatelitzi's Thesis Citaqualotl's Thesis Item class: Quarterstaves Skullcrusher Quarterstaff Item class: Staves Reflecting Staff Item class: Body Armours Sacrificial Regalia Item class: Incubators Vaal Siphoner Item class: Talismans Jade Talisman Lumbering Talisman Thunder Talisman Cinderbark Talisman Primal Talisman Maji Talisman Rabid Talisman Condemned Talisman Cruel Talisman Nettle Talisman Spiny Talisman Howling Talisman Roaring Talisman Ashbark Talisman Vicious Talisman Fury Talisman Familial Talisman Alpha Talisman Frenzied Talisman Fang Talisman Fungal Talisman Voltfang Talisman Wildwood Talisman Wingbeat Talisman Changeling Talisman Item class: Spears Soaring Spear Guardian Spear Item class: Tablet Abyss Precursor Tablet Renamed Items ""Talisman of Sirrius"" renamed to ""Idol of Sirrius"" ""Talisman of Thruldana"" renamed to ""Idol of Thruldana"" ""Talisman of Grold"" renamed to ""Idol of Grold"" ""Talisman of Eeshta"" renamed to ""Idol of Eeshta"" ""Talisman of Egrin"" renamed to ""Idol of Egrin"" ""Talisman of Maxarius"" renamed to ""Idol of Maxarius"" ""Talisman of Ralakesh"" renamed to ""Idol of Ralakesh"" ""Serpent Talisman"" renamed to ""Snake Idol"" ""Primate Talisman"" renamed to ""Primate Idol"" ""Owl Talisman"" renamed to ""Owl Idol"" ""Cat Talisman"" renamed to ""Cat Idol"" ""Wolf Talisman"" renamed to ""Wolf Idol"" ""Stag Talisman"" renamed to ""Stag Idol"" ""Boar Talisman"" renamed to ""Boar Idol"" ""Bear Talisman"" renamed to ""Bear Idol"" ""Ox Talisman"" renamed to ""Ox Idol"" ""Rabbit Talisman"" renamed to ""Rabbit Idol"" ""Fox Talisman"" renamed to ""Fox Idol"" ""Nova Projectiles"" renamed to ""Nova Projectiles I"" ""Shock Conduction"" renamed to ""Shock Conduction I"" ""Biting Frost"" renamed to ""Biting Frost I"" ""Inevitable Critical"" renamed to ""Inexorable Critical I"" ""Ice Bite"" renamed to ""Ice Bite I"" ""Greatwood I"" renamed to ""Cirel's Cultivation"" ""Piety's Mercy"" renamed to ""Dominus' Grasp"" Removed Items Omen of Homogenising Exaltation Omen of Homogenising Coronation Preserved Vertebrae Greatwood II Font of Rage ",1765312173,
2694490,Path of Exile 2: The Game Awards Twitch Drops,"Watch The Game Awards ceremony this Thursday to earn Path of Exile 2 Twitch Drops! Druids of Maji Portal Effect Link your Path of Exile account to Twitch (see below) and tune in to The Game Awards at 4:00PM on December 11th PST to get the Druids of Maji Portal Effect. This portal will work in Path of Exile 2 immediately and will become available in Path of Exile 1 at a later date. Start Time: December 11th 4:00 PM PST End Time: December 11th 8:30 PM PST You will get the Druids of Maji Portal Effect after 30 minutes of accumulated watch time on any channel with drops enabled streaming The Game Awards during the event. This means that the drop is guaranteed for everyone who has watched any The Game Awards stream for this amount of time. This promotion is available for all accounts. Battle-hardened Warbear Shapeshift Effect Support your favourite streamer by purchasing or gifting 1 Twitch subscription of any tier during The Game Awards ceremony to receive a Battle-hardened Warbear Shapeshift Effect! Please note that this cosmetic effect is available only in Path of Exile 2. To participate: Log in to your Twitch account. Visit any Twitch channel in The Game Awards category. While the channel is live streaming The Game Awards, purchase or gift one subscription of any tier to earn the Battle-hardened Warbear Shapeshift Effect (Prime Subs are excluded). How do I link my Path of Exile account with Twitch? Visit your Twitch Settings page while logged in. If your account isn't connected, click the ""Connect"" button for Twitch under ""Other Connections"". Please also make sure that the sub-account you’re linking with Twitch is the one that you want to receive the Drop on. Complete the process on Twitch and you will be redirected back to your Twitch Settings page. If your account is already connected, this page should say ""Your Path of Exile account is currently linked to your Twitch account."" How do I redeem my rewards? After you've accumulated enough watch time to earn your Drops, you must redeem them from your Twitch Inventory before the promotional period ends. The Battle-hardened Warbear Shapeshift Effect for Twitch Subscription must also be claimed from the Twitch Inventory. How do I enable Twitch Drops on my channel? If you’re planning to stream The Game Awards and want to enable Twitch Drops for your viewers, you can do it via your Twitch Creator Dashboard here. How do I purchase or gift a subscription on Twitch? Log into Twitch, using either a PC or mobile device. Purchases may be made on either a PC or mobile device. Detailed information on purchasing subscriptions can be found here, and information on purchasing gift subscriptions can be found here. Which Twitch subscriptions are eligible for the Support a Streamer promo? New monthly subs (any tier) Multi-month subs (3-month, 6-month) Gift subs (any tier for any number of months) Are Twitch Drops rewards and the Battle-hardened Warbear Shapeshift Effect exclusive? The cosmetics that are part of this campaign will not be exclusive to Twitch Drops and will eventually be sold in our Microtransactions Store. Will these cosmetics work in Path of Exile 1? While the Shapeshift Effect will not be working in Path of Exile 1 due to character class restrictions, the Portal Effect will become available at a later date. ",1765239996,
2694490,"As Path of Exile 2: The Last of the Druids gears up for release next week, its devs, sort of, delay its 1.0 release date","A new trailer for the next <a href=""https://www.rockpapershotgun.com/games/path-of-exile-2"">Path of Exile 2</a> update, The Last of the Druids, was shared earlier this week, showing off all the cool things you can do in it! Which are mostly relegated to turning into animals, but in my eyes that is eternally a cool thing to be able to do, in a game or not. And with that trailer also came a release date for the update. <a href=""https://www.rockpapershotgun.com/as-path-of-exile-2-the-last-of-the-druids-gears-up-for-release-next-week-its-devs-sort-of-delay-its-10-release-date"">Read more</a> ",1765047959,
2694490,The Druid Comes to Path of Exile 2,"{STEAM_CLAN_IMAGE}/44770983/292e85eb0209709632c7b49de2b90479be7d2bab.png Path of Exile 2: The Last of the Druids is coming on December 12! Unleash the wild within as you shapeshift into wolf, bear, or even a fire-breathing wyvern! Explore brand new Ascendancy Classes, an innovative league mechanic where you can craft your own dungeon, and a new Pinnacle endgame boss! {STEAM_CLAN_IMAGE}/44770983/7c155fcd07b04578e8c54a36617765153423aeea.png The Druid is a shape changing elemental spellcaster. Using the sacred Talismans, a new type of weapon, the Druid can call upon the power of Draiocht to transform into an animal. In his human form, the Druid wields magical staves to channel the powers of the earth and the natural world. Raise scorching volcanoes from the ground, conjure roots to ensnare enemies, or strike them with a powerful thunderstorm! Most of the Druid’s human-form skills last for a duration and aid his animal-form abilities in various ways. As a spellcaster, the Druid can also take advantage of a new Spell Totem skill, which creates a totem that automatically casts any chosen spell for a time. {STEAM_CLAN_IMAGE}/44770983/15e2c9d29daef9078afa997065ab9eef00d72d1b.png As a creature of the night, the wolf channels the energy of the Moon itself into a flurry of ferocious attacks. Fast and agile, it leaps forward to freeze its foes and rake them with vicious slashes. Being a true alpha, the wolf can also summon a pack of minions to fight alongside it. {STEAM_CLAN_IMAGE}/44770983/980bac5d291dd93877bfb15ddbfe43404ec1c847.png A hulking powerhouse of strength and brawn, the bear rampages through its enemies, leaving devastation in its wake. By demolishing hordes of monsters, the bear builds up Rage that empowers its attacks and roars, ultimately turning it into a walking calamity. {STEAM_CLAN_IMAGE}/44770983/28387e600829a9dbc759993c0664014a49934c4a.png A sight seldom seen in Wraeclast, the wyvern leaps into combat and slashes at its enemies with lethal talons. Empowering itself by devouring the freshly dead, the wyvern calls down lightning explosions and spits balls of fire. Of course, it can also take to the skies and rain down streams of flame upon its foes. It is a dragon, after all. This Content Update also introduces two Ascendancy Classes for the Druid. {STEAM_CLAN_IMAGE}/44770983/3aa4603367f28852d1cef627ef47afbb9efa2382.png The Shaman channels nature’s fury, harnessing Rage to empower his Spells and becoming a walking natural disaster raining down Meteors, Lightning, and Ice. {STEAM_CLAN_IMAGE}/44770983/702d5d7fcf213290e5502c6e8349915fb85bf0b8.png The Oracle has perfected the power of Foresight, using it in combat to gain a massive advantage by peering into the future to predict a monster's movements and even allocate passives from alternate timelines! {STEAM_CLAN_IMAGE}/44770983/1312d6ed36882740e7ceb3f77d03b0557ef3f819.png Explore the opulent temple of Atziri, the Queen of the Vaal during the height of her power in the capital of the ancient empire. With the power of the Beast, Atziri plans to risk her entire civilization in pursuit of eternal youth. Can she be stopped? Her Royal Architect and devoted followers will work against you, but perhaps the past is not set in stone… In this Content Update, we’re adding over 30 Support Gems, making substantial balance changes to every character class, doing a balance pass on a large number of Unique Items, introducing improvements to the endgame, and much more! Join us in playing The Last of the Druids on December 12th! ",1764877540,['vo_marketing_message']
2694490,What Will Happen When the Rise of the Abyssal League Ends,"With the Last of the Druids Content Update launching next Friday, you may be wondering what will happen to the current Rise of the Abyssal leagues and your existing characters. Your fight with the Abyssals is not over yet, as the mechanic will be added to Path of Exile 2’s core in The Last of the Druids Content Update. We’ll tell you all the details during the livestream on December 4th PST at 11AM. The Rise of the Abyssals league will end on December 8th at 1PM PST. All your characters and their items will be migrated to the Standard or Hardcore Early Access league. There will not be any wipes, so once migration is complete, you can play your characters in the Standard/Hardcore Early Access league. When The Last of the Druids releases on December 12th PST, you will be able to start playing in a new League with a fresh economy. Thanks to everyone for playing in the Rise of the Abyssal! We can’t wait to see you experiencing the upcoming Fate of the Vaal league. See you all on the livestream soon! ",1764792681,['hide_library_detail']
2694490,Talkative Tri's Podcast with Jonathan Rogers Next Week,"Save the date! Community streamer Talkative Tri will be hosting a podcast with Path of Exile Game Director Jonathan Rogers to talk about the upcoming Path of Exile 2: The Last of the Druids content update. Tune in on Monday, December 8th at 12:00 PM (PST) at twitch.tv/talkativetri. Don’t miss out on finding out all the details about Path of Exile 2: The Last of the Druids and the Fate of the Vaal league this Thursday, December 4th 11:00 AM (PST) at twitch.tv/pathofexile. We hope to see you there! ",1764707201,"['hide_library_overview', 'hide_library_detail']"
