appid,title,contents,date,tags
238960,Path of Exile 2 director is on a 'quest to make the perfect action RPG' and isn't afraid to borrow from Path of Exile 1 to pull it off,"Jonathan Rogers, one of the co-founders of the studio behind Path of Exile, isn't afraid to call his own game too old to be the perfect action RPG. The first PoE had its moment and now it lives comfortably on updates made to please its most dedicated fans. It's not going anywhere, but it's also not going to be the next big thing... <a href=""https://www.pcgamer.com/games/rpg/path-of-exile-2-director-is-on-a-quest-to-make-the-perfect-action-rpg-and-isnt-afraid-to-borrow-from-path-of-exile-1-to-pull-it-off/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765233103,
238960,Path of Exile 2 devs 'had so much negativity' around druids not being able to dodge roll in animal forms that they spent the last month making it happen: 'Man it was tough to get that to work right',"Give people the ability to transform into a bear and they will do anything in their power to avoid reverting back to their flimsy human form. This is the core fantasy of playing a druid in any RPG, and it's something the Path of Exile 2 developers learned at the least opportune time when polishing up its version of the archetype for its <a href=""https://www.pcgamer.com/games/rpg/after-missing-the-last-few-updates-path-of-exile-2s-new-druid-class-is-finally-ready-to-play-in-its-next-update/"">next major update</a>... <a href=""https://www.pcgamer.com/games/rpg/path-of-exile-2-devs-had-so-much-negativity-around-druids-not-being-able-to-dodge-roll-in-animal-forms-that-they-spent-the-last-month-making-it-happen-man-it-was-tough-to-get-that-to-work-right/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764876600,
238960,Concept Art - Keepers of the Flame League and Kirac’s Vault Pass,"In this post, we’re sharing some concept art from the Path of Exile: Keepers of the Flame League and Kirac’s Vault Pass, which includes an exclusive Armour Set themed around the eldritch entity of the Atlas - the Maven. Check them out below! Ailith, the First of the Keepers {STEAM_CLAN_IMAGE}/5193306/c2f1a644b7b36bbaea4b2c426a2fd9735ec95269.jpg It That Was Esh {STEAM_CLAN_IMAGE}/5193306/443f40a31df8651134ea2a0433f7d0f576b37b59.jpg It That Was Tul {STEAM_CLAN_IMAGE}/5193306/47278ea23caa01070fff89ead34b87704f9eda5a.jpg Echoes of the Maven Armour Set {STEAM_CLAN_IMAGE}/5193306/9b388f40b5fe5ca0afa22bd9742caa1fc268d729.jpg {STEAM_CLAN_IMAGE}/5193306/3989bdc01b97f3c864e1c1e57d6df22974a071be.jpg ",1764015664,
238960,Keepers of the Flame Uber Boss Kill Event Winners,"The Keepers of the Flame Uber Boss Kill Event has now concluded! The race for the top 5 was intense, so we congratulate those who were able to reach the end and defeat the Uber Incarnation of Dread. Congratulations to Ben_#4007 (19h 37m 21s) who killed the Uber Incarnation of Dread on PC and will receive an Alienware 16X Aurora Gaming Laptop presented by Intel Gaming and Alienware! {STEAM_CLAN_IMAGE}/5193306/5e8d4d9943ffb14b7fc8a3699cdcfe476cb2973d.png The top 5 placings on every platform will each receive a microtransaction bundle listed below: Celestial Warlord Armour Pack Celestial Warlord Back Attachment Divergence Weapon Effect Celestial Emperor Finisher Effect Breach Hedron Portal Midnight Pact Character Effect Harmony Footprints Effect Tumbling Exalted Orb Pet Top 5 Placings - PC: | Ladder Ben_#4007 (19h 37m 21s) CARNDARAK#3163 (1d 27m 45s) 12gido#5261 (1d 1h 34m 2s) soul1027#7002 (1d 7h 51m 51s) FrostyMimi#2222 (2d 17h 44m 48s) Top Placement - PlayStation: | Ladder Max_Planck#9538 (6d 22h 10m 41s) Top Placement - Xbox: | Ladder LyricalChutoy33#8352 (2d 19h 23m 24s) Congratulations to all winners and thanks to everyone who participated in the event!",1763927643,
238960,"After missing the last few updates, Path of Exile 2's new druid class is finally ready to play in its next update","Even if Path of Exile 2 has no chance of having a <a href=""https://www.pcgamer.com/games/rpg/path-of-exile-2-director-says-he-would-be-beyond-shocked-if-it-didnt-come-out-in-2026-we-never-intended-to-be-in-early-access-this-long/"">full release this year</a>, you can't say it's not making meaningful progress toward that goal. In a major update next month, the action RPG will finally get a class players have been begging for since it launched in early access: druids... <a href=""https://www.pcgamer.com/games/rpg/after-missing-the-last-few-updates-path-of-exile-2s-new-druid-class-is-finally-ready-to-play-in-its-next-update/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1763674109,
238960,Keepers of the Flame Uber Boss Kill Event Highlights,"The Uber Boss Kill Event for Keepers of the Flame is ending tomorrow, and while the top 5 prizes have already been claimed on PC, there is still time to join and earn a guaranteed Third Edict Mystery Box by reaching level 50. Check our post here for details on prizes and how to participate. In the meantime have a look at the highlights of the race in today's news post on the Path of Exile website here! ",1763590047,
238960,Keepers of the Flame Build Showcase,"Today, we will be showcasing some neat builds from Keepers of the Flame. Whether it’s something new or something powerful, we hope these builds inspire you. This is just a brief overview, so if you want to learn more about any of them, check out the links to the creators! Jorgen’s Spectral Helix Gladiator First up, we have a Spectral Helix Gladiator created by Jorgen, a build with an unreasonable amount of health that lets you face-tank Uber bosses with ease. To get these defenses, he utilises the new Aul Bloodline Ascendancy's Precursor's Release, so that you cannot be stunned, take no extra damage from critical strikes, and cannot be slowed if you have no socketed gems in your helmet, gloves, and boots. For health, they changed the colours of the empty sockets to red so they can use The Untouched Soul Amulet for a significant increase in maximum life. Then, they also use The Apostate armour, complemented by Warlock Gloves and Boots, to turn maximum Energy Shield to maximum Life. Of course, with such a ridiculous health pool we might wonder if we can turn it into damage scaling. Jorgen has done just that by using the Grey Wind Spectral Axe, which adds fire damage equal to 12% of the player's maximum life, and Rathpith Globe Shield to increase spell damage per 100 player maximum life. Lolcohol’s Kinetic Fusillade Elementalist There’s a new skill in 3.27 and it’s Kinetic Fusillade, a hovering kinetic projectile that can shoot like a machine gun if you know how to tweak it. In this build, Lolcohol is going to show us how. To reduce the base duration before the projectile is fired, they used Timeclasp Ring, Warped Timepiece Amulet and Less Duration Gem. For further duration reduction, they recommend anointing your amulet with the Window of Opportunity or Hasty Demise passive. They are able to reduce the duration from 0.7 seconds to 0.07 seconds in this build! Even though it looks simple, they have some additional tips to make sure that you can utilise the speed without sacrificing the damage in his video guide here. GhazzyTV’s Dark Pact Necromancer In this video, GhazzyTV is going to show us a budget friendly build utilising the new Bloodline Ascendancy supporting minion skills. This build uses two button rotations between Summon Skeleton and Dark Pact that will chain between the Skeleton and bring it to the enemy. With Catarina’s Bloodline, it can increase our damage and the health of our minions so the Dark Pact can sustain longer. PhazePlay’s Bleed Slam of Earthshaking Slayer Our final build today is a fantastic mapper build with enormous damage. With the transfigured version of Ground Slam, it can provide screenwide coverage! For a Bleed Slam build, they use Static Strike and Vulnerability to aggravate bleeding, then Rallying Cry for a damage buff. After that, spam your slam to get the bleed rolling. If you’re still struggling to find Ground Slam of Earthshaking, you can swap to Sunder which is also good for penetrating Hive Fortress defenses. For gear, they use Ryslatha’s Coil to gain life leech and Haemophilia to increase damage against Bleeding enemies. They also use a Spiking Uulgraft to increase the chance of bleeding. A simple straightforward build for those that want to try a high damage Ground Slam build this league. Thanks to all Exiles out there creating exciting and unique builds, and in particular those Exiles we've highlighted in this news post!",1763503596,
238960,Keepers of the Flame Supporter Packs Concept Art,"With the launch of Keepers of the Flame, we’ve also introduced a new series of Supporter Packs, the Champion of Theopolis and Verdant Magus series. With a variety of unique microtransactions, we’ve gathered some pieces of concept art in today's post. Check them out below! Grand Champion of Theopolis Armour Pack {STEAM_CLAN_IMAGE}/5193306/42d114d8106fd0b825739e742be4e99e1236e25c.jpg Champion‘s Podium Map Device {STEAM_CLAN_IMAGE}/5193306/9139d6aa8a6c2a00251653622bba178a1461cd0b.jpg Burdenback Billy Goat Pet {STEAM_CLAN_IMAGE}/5193306/51badc378faf4b2db17fd6550b0d2a16ef69c318.jpg Grand Verdant Magus Armour Pack & Back Attachment {STEAM_CLAN_IMAGE}/5193306/aa9d1efd02db12b6662ece2a12a193d47805ea14.jpg Arcane Isle Hideout {STEAM_CLAN_IMAGE}/5193306/cf90a303d5273676de22069db580aa2a07f2de13.jpg Arcane Golem Portal {STEAM_CLAN_IMAGE}/5193306/4819514b65ea3639fd35b7b3ed4e58fa7d1891f7.jpg ",1763334327,
238960,Keepers of the Flame Original Soundtrack,"We know you always appreciate a good league soundtrack, and this one is no exception. Experience the atmosphere of Breach through Keepers of the Flame Original Soundtrack by Kamil Orman-Janowski and Michael James Collier in today's news post! These tracks, along with the rest of the Path of Exile Extended Digital Soundtrack, are available for download with the purchase of any Supporter Pack. ",1763080284,
238960,3.27.0c Patch Notes Preview,"Later today, we’ll be releasing Patch 3.27.0c for Path of Exile, including improvements to make Breach encounters more rewarding, over 80 new Foulborn Uniques, improved a plethora of scarabs, and bugfixes. Check out a preview of the patch notes below. Keepers League Improvements and Fixes Added over 80 new Foulborn Unique items to discover. Increased the amount of Graftblood and Wombgifts you get back from Breach Hive encounters in areas. The buffs are most prominent in higher level areas with up to 50% more Graftblood in level 83 Maps. Hive Fortresses grant up to 25% more Graftblood in level 83 Maps. Fortresses grant up to 25% more Graftblood in level 83 Maps. Growing Wombgift now require 40% less Graftblood to grow on the Genesis Tree. Increased the number of monster packs that spawn each wave in regular Breach Hive encounters in Maps, up to 80% more packs in level 83 Maps. Increased the breakable Hive pack spawners by 40% in Maps. Slightly increased the number of Breach monster packs spawned within a Breach Hive. Slightly increased the number of Skill objects granted by Ailith in Breach Hive encounters in Maps. Slaying It that was Esh and It that was Tul will now grant players Graftblood. In Breach Hive encounters, destroying a burnable Hive pack spawner will now release a wave of purple flame destroying all walls within a 7.5 metre radius. The wave can chain react causing any other spawner objects burnt to release additional waves. Added a variety of obstructions to the centre of Hive Fortress encounters to channel monster paths. You can now vendor five Wombgifts to receive a random Wombgift in return. The Genesis Tree will now show a confirmation prompt if you have pending changes when closing it. Fixed the flame aura that burns Breach Hive walls having a visual radius lower than the actual burn radius. Fixed an issue where Wombgifts could not be filtered by Item Level in Item Filters. General Improvements Scarab changes: Scarab of Divinity now has a limit of 3, from 2, and causes Up to 3 additional Rare Monsters in Area to be Pantheon-Touched, from 2. Titanic Scarab of Legend causes unique monsters in area to have 4 additional modifiers, from 2 Allflame Ember of Propagation now substitutes approximately 50% more monster packs in area. Legion Monsters broken out in areas affected by Legion Scarab of Eternal Conflict gain approximately 30% higher reward for each time they are broken out. Monsters from Abysses in areas affected by Abyss Scarab of Profound Depth now have approximately 30% higher reward for each prior pit in the Abyss they spawn from. Torment Scarab of Possession now has a limit of 3, from 4, and causes Rare Monsters in Area to have a quarter chance to be Possessed by up to 3 tormented spirits, from 1. Torment Scarab now has Tormented Spirits in Area have a 50% chance to be set free when Possessed Monsters are slain, from 25% Horned Scarab of Nemeses now has a limit of 2, from 1. Horned Scarab of Bloodlines now causes Magic Monsters in area to have an additional Modifier. This is in addition to previous behaviour. Beyond Scarab of Haemophilia now grants """"Characters that Kill Beyond Rare Monsters in Area have a 30% chance to gain their Modifiers for 20 seconds"""". This is in addition to previous behaviour. Unique items added to the core game in 3.27.0 can now be selected for Voidborn Reliquary and Valdo's Puzzle Box submissions. Stackable items will no longer be merged into existing item stacks when ctrl-clicking items into Market Stash Tabs. Fixed a bug where Avoidance and Attributes crafting recipe was missing from the Maelström of Chaos Unique Map Draconarius Wilhelm Flamebrand's fireball strike now deals 45% less Damage. Forest Warrior's Cyclone now deals 37.5% less Damage. Lowered the damage of Lightning Arrow by 37.5% on several monsters that use the skill. Bug Fixes Fixed a bug where Fortify Mastery '2% reduced Duration of Ailments inflicted on you per Fortification' did not apply to Bleed/Poison on you and instead affected your Bleed/Poison duration on enemies. Fixed a bug where Replica Dragonfang's Flight could generate with a blank gem entry. These amulets were attempting to grant +3 levels to ""Null"" gem, thereby doing nothing. These amulets now instead grant +3 levels to Kinetic Fusillade. Fixed a bug where the experience progression of Kinetic Rain and Kinetic Rain of Impact was incorrectly set to that of a gem starting at required level 12 and not 28. Fixed a bug where using currency in maps, such as on Strongboxes and Essences, could use currency from your Map Device Rucksack. Omen of Amelioration and Omen of Bequeathal are no longer consumed on death in situations where you would not lose experience for dying. Fixed a bug where effects from the player that converted monster Physical Damage to an element were also increasing the amount of damage from that element based on the percentage of Physical Damage converted and the monster's level. This would have affected Elementalist...",1762985453,
