appid,title,contents,date,tags
218620,PAYDAY 2: Update 241 Changelog,"Hello heisters!We've got a much deserved stability update for you right here, but before that a quick introduction from us - the Sidetrack Games team! We are a small team of ex-modders turned developers of RAID: World War II. We're familiar with the engine and the pitfalls that come with it and are doing our best to make PAYDAY 2 on PC a smooth experience.It has to be said, we can't focus on every single aspect of the game at once, and that some fixes will take time to implement and test thoroughly - The last thing anyone wants is to make things worse, so don't fret if something is not immediately fixed!~Sidetrack Games :dallas:PAYDAY 2: Update 241 ChangelogUpdate Size: 33.9 MBGameplayReduced the interaction timers on upgrading drills/saws/thermal lance from 10 seconds to 3 secondsFixed carried lootbags being consumed when the player fails an interactionFixed floating hands being visible while looking through camerasFixed enemy flashbang detonation timers being too long on higher difficultiesFixed the Ordnance Bag equipment being refreshable by leaving and rejoining a game Fixed Captain Winters staying immortal forever if his squad are killed before he arrivesAdded explosion and graze priority to medics so medics will no longer revive other enemies when dying from an explosionNetworkFixed a few instances where players were not able to join gamesFixed clients being able to masquerade as the host, causing them to to become unkickableFixed multiple crashes relating to shotgun push mechanicsFixed crash when trying to spawn an invalid projectileFixed a crash with the Creeps mutator set to maximum damage with the nuclear option enabledHeistsFixed the Dentist's Loot (Golden Grin Casino) and the BCI Headset (Biker Heist) having incorrect secure values Fixed the Blood Sample (No Mercy) and Oil Sample (Crude Awakening) mission equipments using incorrect icons UIFixed an exploit that allowed for infinitely long usernames to be displayedFixed a crash in the CRIME.NET menu related to invalid difficulty levelsFixed CRIME.NET lobby info showing random numbers when the host has no modsAdjusted the news feed in the main menu to not overlap with the game version numberFixed player hud flashing at random intervals due to health regeneration effectsFixed custom Point of No Return timers not using their set iconsWeaponsFixed freezing when a client is using akimbo weaponsFixed bullet decals being created too slowly for high rate of fire weapons, causing them to lag behindFixed missing reticle selection for the Tuunbaq Scope weapon modFixed an oversight that could prevent shooting right after reloading on slow fire rate weapons (Aran G2 Sniper Rifle fans rejoice!)Fixed some common/uncommon weapon skins unequiping applied attachmentsFixed some common/uncommon skins resetting weapon attachments to defaultFixed several incorrectly applied default weapon parts on some weapon skinsUpdates may be incompatible with the mods you may have installed. Even seemingly unrelated mods may cause unexpected issues. If you are experiencing any problems with the game; try removing any mods you may have installed and try again.If you are having issues with an unmodded game you can try to verify the integrity of the game files. In the Steam library; right-click on PAYDAY 2. Select ""Properties"" from the menu. Under the tab ""LOCAL FILES"" select ""VERIFY INTEGRITY OF GAME FILES..."". The process may take some time to finish.",1761222772,"['mod_reviewed', 'ModAct_1425979202_1761225593_0', 'ModAct_1301790999_1761232217_4', 'mod_require_rereview']"
218620,PAYDAY 2 is going to live again with a new team and new updates,"While PAYDAY 3 continues to do rather poorly, PAYDAY 2 is coming back to life to refresh it with some upgrades. Read the full article here: https://www.gamingonlinux.com/2025/10/payday-2-is-going-to-live-again-with-a-new-team-and-new-updates/ ",1761217097,
218620,"Starbreeze passes Payday 2 over to a new developer, but it couldn't be in better hands","I feel my bones creaking as I say this, but <strong>Payday 2</strong> is 12 years old. Ugh. Despite its age, it's still going strong - even some of the biggest names on our <a href=""https://www.pcgamesn.com/10-best-co-op-pc-games"">best co-op games</a> list would kill for the kind of longevity it's enjoyed. It's going so strong, in fact, that it's continually embarrassing its successor, <strong>Payday 3</strong>, which is still struggling to reach the same heights despite dozens of updates, major reworks, and plenty of new heists. Knowing that something needs to change, Starbreeze has decided to put even more behind Payday 3 in order to turn the ship around, but to do so, it's passing Payday 2 over to a new studio. However, it couldn't be in safer hands. <a href=""https://www.pcgamesn.com/payday-2/support-handed-over-payday-3"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/payday-2/subscription-service"">Payday 2 launches DLC subscription service three weeks after raising prices</a> <a href=""https://www.pcgamesn.com/payday-2/steam-sale"">Steam's premiere co-op shooter is just $1 ahead of the sequel</a> <a href=""https://www.pcgamesn.com/payday-2/prime-gaming-august"">Get Payday 2 as a free game ahead of its sequel</a> ",1761068954,
218620,PAYDAY 2: The Next Chapter,"Hello heisters, We’re excited to announce that we’re partnering with Sidetrack Games to support the PC-versions of PAYDAY 2 with quality-of-life improvements and general game fixes. Sidetrack (formerly known as the M.U.G. Team) is a talented team with deep roots in the PAYDAY modding community. Their work on RAID: World War II showed that they have the skill and perseverance to deliver quality updates over a long time. They know the PAYDAY 2 engine inside and out, and they’ve already gotten started. The first update goes live this Thursday, October 23, and is focused on the stability of the game and improving the overall player experience. Collaborating with Sidetrack Games allows Starbreeze to maintain full focus on PAYDAY 3, while PAYDAY 2 continues to deliver value for all players with the dedicated, expert support they deserve. Join us for a livestream on October 23, where we’ll talk with Sidetrack about the patch in more detail, what comes next, and how you can help shape future improvements. See you in the safe house. – Starbreeze",1761051629,
218620,PAYDAY 2: Matchmaking Certificate Update,Hello heisters!We've updated a security certification that could have caused matchmaking issues for players on older operating systems. The game is now future-proofed!,1759306117,['patchnotes']
218620,PAYDAY Franchise Sale,"The PAYDAY Trilogy is ON SALE now - don’t miss the heist of the century!Haven’t yet walked the mean streets of PAYDAY? Now’s your chance to suit up, break in, and get away clean… for a killer price. All three PAYDAY games and many DLCs are discounted; this is your chance to score potentially hundreds of hours of criminal chaos across the franchise!PAYDAY Franchise Sale on SteamGrab the trilogy and get yourself ready for a lifetime of crime!",1758819877,
218620,Payday 2 launches DLC subscription service three weeks after raising prices,"<strong>25/09/2025</strong> Update: Starbreeze head of commerical, Gustav Nisser has told Game Developer that the DLC price hike was ""completely unrelated"" to the launch of the subscription service. Remember owning things? Back in the day when you'd buy a cartridge for your Game Boy Color and it was yours? Now you've got digital downloads that the publisher can revoke at any time, regardless of your cash purchase, and Game Pass titles you can play so long as you keep paying Microsoft your monthly dues. I didn't have <strong>Payday 2</strong> launching a subscription service on my 2025 bingo card but, judging the state of the industry, maybe I should have. <a href=""https://www.pcgamesn.com/payday-2/subscription-service"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/payday-2/steam-sale"">Steam's premiere co-op shooter is just $1 ahead of the sequel</a> <a href=""https://www.pcgamesn.com/payday-2/prime-gaming-august"">Get Payday 2 as a free game ahead of its sequel</a> <a href=""https://www.pcgamesn.com/payday-2/crude-awakening"">Payday 2 just got a new heist, and it marks the end of Texas Heat</a> ",1758812976,
218620,PAYDAY 2: Subscription Now Available!,"I bet this one wasn’t on your 2025 bingo card, PAYDAY 2 is getting a subscription! It should be noted that we’re not changing anything, just adding an option for those who want it.We hope this can be a cost effective alternative for players who aren’t sure whether or not they’re interested in PAYDAY 2, you can pick up the base game for cheap and add the subscription for a cheap and easy look into what the game has to offer. Or perhaps for those who already bought the base game and would like to try out any of the 65+ excellent DLCs before buying, the choice is yours. PAYDAY 2’s Subscription is available right now! \",1758718847,
218620,PAYDAY 2 Discounts for the Steam Summer Sale,"Heisters!The summer is heating up here in Sweden, and the Steam Summer Sale is now kicking off with sizzling discounts on a whole lot of games. PAYDAY 2 is of course one of them, with the following discounts:PAYDAY 2 - 67% offIndividual DLCs - 20% offAnd if you want even more PAYDAY, the sale applies to the whole franchise so check out PAYDAY 3 and PAYDAY: The Heist as well!Happy heisting 🌞",1750958401,"['mod_reviewed', 'ModAct_1803566692_1750969332_0', 'mod_require_rereview']"
218620,PAYDAY 2: 240.7 hotfix,"Hello Heisters! A quick follow-up after yesterday's patch with the most discussed issues. Size: 4.69MB Fixes Fixed some items being missing for players who should have them. The piano in the safehouse will now be available even without its room upgrade. Updates may be incompatible with the mods you may have installed. Even seemingly unrelated mods may cause unexpected issues. If you are experiencing any problems with the game; try removing any mods you may have installed and try again. If you are having issues with an unmodded game, you can try to verify the integrity of the game files. In the Steam library; right-click on PAYDAY 2. Select ""Properties"" from the menu. Under the tab ""LOCAL FILES"" select ""VERIFY INTEGRITY OF GAME FILES..."". The process may take some time to finish. Keep those helmets flying! SBZ_Sebastian",1726233792,['patchnotes']
