appid,title,contents,date,tags
232770,"Remember Postal? In the last 48 hours publisher Running With Scissors has announced a new game, insulted fans, apologized, canceled the game, the studio making it denied wrongdoing, shut down anyway, and we can thank the magic of AI for all of it","The Postal series is essentially the videogame equivalent of Uwe Boll's filmography*. They're notoriously awful—the last one we reviewed was <a href=""https://www.pcgamer.com/postal-3-review/"">Postal 3</a> in 2012, which earned a dismal 21%—and they keep happening for some reason. A new addition to the lineup was announced on December 3, in fact, called Postal: Bullet Heaven. And then approximately 24 hours later, everything went <em>very </em>sideways... <a href=""https://www.pcgamer.com/games/third-person-shooter/remember-postal-in-the-last-48-hours-publisher-running-with-scissors-has-announced-a-new-game-insulted-fans-apologized-canceled-the-game-the-studio-making-it-denied-wrongdoing-shut-down-anyway-and-we-can-thank-the-magic-of-ai-for-all-of-it/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764962418,
232770,The only good Postal game is a spinoff expressionist boomer shooter that takes place entirely in the protagonist's depraved mind,"Like most sensible people, I long ago wrote off the Postal series as an idea that started terribly, enjoyed some fleeting glory in the same wave of cultural disaffection that brought us Limp Bizkit and the Attitude Era, and has spent the decades since thrashing around in search of relevance. Yet several times over the last few years, I've heard furtive whispers from various corners of the internet that there is one Postal game which is actually, genuinely good... <a href=""https://www.pcgamer.com/games/fps/the-only-good-postal-game-is-a-spinoff-expressionist-boomer-shooter-that-takes-place-entirely-in-the-protagonists-depraved-mind/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1757779200,
232770,POSTAL 2 Redux Kickstarter is LIVE!,Kickstarter’s live! Pledge now to lock in rewards before they’re gone: https://www.kickstarter.com/projects/postal2redux/postal-2-redux 20+ years. Endless fan requests. Now POSTAL 2 Redux is happening and YOU can help shape it.,1755020280,
232770,POSTAL Dude & Champ Youtooz figurine available for pre-order!,"{STEAM_CLAN_IMAGE}/4506724/da2064a0f4ad189c708f0cec976728918ad5654f.png POSTAL Dude & Champ Youtooz {STEAM_CLAN_IMAGE}/4506724/adee0c5d42244681b9c0509a3094d62f565aa2f1.png The wait is over and you can finally pre-order the brand new POSTAL Dude & Champ Youtooz figurines today. You don’t want to miss out though, this offer will only be available up until April 25th, so make sure you get one now to avoid disappointment! You can Pre-Order it now right HERE!",1744549959,
232770,"Uwe Boll's $2.5 million Postal movie crowdfunder is a trainwreck, forced to abort after raising $850 and the game's devs say they 'have no f***** idea' who the people behind it are","n attempt by Uwe Boll to raise $2.5 million in crowdfunding for a sequel to his dreadful 2007 Postal movie&#x2014;based on the game of the same name&#x2014;has predictably hit the rocks. All pledges have been cancelled and are set to be refunded mere days after the film&apos;s <a href=""https://www.indiegogo.com/projects/cancelled-all-pledges-refunded-we-had-no-choice#/discussion"" target=""_blank"">Indiegogo campaign</a> launched. That&apos;s a total of 16 pledges, by the way, or about $850 of the film&apos;s overall goal... <a href=""https://www.pcgamer.com/movies-tv/uwe-bolls-dollar25-million-postal-movie-crowdfunder-is-a-trainwreck-forced-to-abort-after-raising-dollar850-and-the-games-devs-say-they-have-no-f-idea-who-the-people-behind-it-are?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1725454581,
232770,"Legendary PC developer says Denuvo is ""a punishment to the consumer""","<strong>Postal</strong> developer Running With Scissors, renowned for creating some of the most profane, edgy, and controversial <a href=""https://www.pcgamesn.com/15-best-pc-first-person-shooters"" target=""_blank"" rel=""noopener noreferrer"">FPS games</a> on PC, says that Denuvo and download rights management (DRM) technology serves as a ""punishment"" to gaming consumers. Many of 2023's biggest games including Street Fighter 6, Star Wars Jedi Survivor, and Dead Space Remake use Denuvo, while other unreleased games, like Mortal Kombat 1, Payday 3, and Total War Pharaoh also list DRM technology on their Steam pages. The developer of <a href=""https://www.pcgamesn.com/postal"" target=""_blank"" rel=""noopener noreferrer"">Postal</a> says that DRM is ""intrusive"" and that the gaming industry ""deserves a better future."" <a href=""https://www.pcgamesn.com/postal/denuvo"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/postal/pirate"">Edgy FPS dev says you can pirate its Steam games if they cost too much</a> <a href=""https://www.pcgamesn.com/postal/3-Steam"">Postal 3 can ""rest in p***"" as it dies a Steam death</a> <a href=""https://www.pcgamesn.com/postal/postal-open-source"">Running With Scissors make Postal open source</a> ",1693918491,
232770,Edgy FPS dev says you can pirate its Steam games if they cost too much,"The creator of the satirical <strong>Postal</strong> series Running With Scissors has permitted its fans to pirate its <a href=""https://www.pcgamesn.com/15-best-pc-first-person-shooters"">FPS games</a> and even the remake of the isometric twin-stick shooter original until they have enough money to support them. This news comes during a sale of the entire <a href=""https://www.pcgamesn.com/postal"">Postal</a> series on Steam during the weekend. <a href=""https://www.pcgamesn.com/postal/pirate"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/postal/3-Steam"">Postal 3 can ""rest in p***"" as it dies a Steam death</a> <a href=""https://www.pcgamesn.com/postal/postal-open-source"">Running With Scissors make Postal open source</a> ",1692026783,
232770,"Postal 3 can ""rest in p***"" as it dies a Steam death","Postal 3 developer (but not really) Running With Scissors is celebrating the death of the controversy-mired <a href=""https://www.pcgamesn.com/best-action-adventure-games"">action game</a>, after a surprise Steam delisting hit it thanks to DRM issues. This bombastic farewell follows Postal 3's initial launch over a decade ago in 2011, as the project has been in the public eye ever since thanks to the state of its launch and complicated story of development. <a href=""https://www.pcgamesn.com/postal/3-Steam"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/postal/postal-open-source"">Running With Scissors make Postal open source</a> ",1669040503,
232770,POSTAL: Brain Damaged - Connoisseur Edition (OST & Art Book bundle!) + upcoming updates!,"https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/38371631/fbb0539e05676ff94aa2b21c71c2b025479b62c1.jpg Hyperstrange friends, RWS fam! Hyperstrange-developed POSTAL: Brain Damaged, the action-packed DOOM Eternal-like spin-off of the POSTAL series is finally here, and if you own any of the eligible RWS or Hyperstrange titles, or some other staple throwback-shooters like DUSK, Hedon, or Nightmare Reaper, you can get PBD with an additional discount added on top of -20% release discount via one of the special bundle deals. Plus, we're happy to report it really SLAPS! With more than 1100 reviews it currently enjoys an 'Overwhelmingly Positive' rating, with more than 95% players recommending the game. https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/38371631/18684ae3b765836c7dde86fa69ffe2737dfcac06.gif Yes, Hyperstrange really pulled this one off. The game is good and the release has been relatively bug-free despite the 2-week delay made explicitly to implement some bugs and stay on-brand. But it wouldn't be a POSTAL release if something haven't gone wrong. Many of you were waiting for the release of the POSTAL: Brain Damaged Official Soundtrack. The wait is finally over! The OST has arrived, and you can get it separately or bundled with the official Art Book in the POSTAL: Brain Damaged - Connoisseur Edition. UPCOMING UPDATES The Hyperstrange Dev team is very grateful for the amazing reception of PBD. This gives them even more motivation to improve and expand the game post-release. Here's what to expect soon: Post-release fix - an update taking care of the known issues reported by the players, that slipped into the full release (ETA: One week) Balancing update - some players, as well as some internet micro-celebrities, have brought to our attention that the game offers way to much ammo if you explore the levels 'Quake-style', and far too little if you prefer to push on 'Doom Eternal-style'. The update will take care of that issue, allowing everyone to enjoy the game in their preferred playstyle. The update will also reconfigure some of the enemy positioning, spawns, and behavior. (ETA: One month) New playmodes - With that taken care of, the dev team will proceed to expanding the game itself, introducing an oft-requested horde mode, as well as another playmode offering a new, and replayable PBD experience. (ETA: This summer) More to be announced! Hyperstrange and RWS are both extremely pleased with the reception of POSTAL: Brain Damaged. We're as excited as you are, to see what the future will bring to this explosive and twisted spin-off. Your true friends and family, Hyperstrange & RWS",1655488282,
232770,Help fund the POSTAL documentary on Indiegogo!,"_______________________________________________________ We didn't have money for a pigeon mission and we certainly don't have it for a documentary. So, please help these two talented guys make the best POSTAL Documentary possible! www.indiegogo.com/at/goingpostaldoc _______________________________________________________",1629336888,
