appid,title,contents,date,tags
3241660,Introducing VEHICLES to R.E.P.O.,"Hey hey semibots! It’s Friday and that means a devlog for you guys! For those of you who’d like to read instead of watching the video, here’s the key takeaways: INTRODUCING VEHICLES Together with cosmetics, we’re introducing vehicles to R.E.P.O. A fun and speedy way to traverse the level. The Semiscooter can be purchased in the shop. We are looking into a system where vehicles gets damaged over time and has to get repaired (instead of having a battery like other items). Adding vehicles to R.E.P.O. also opens up a creative door for future levels, where we can adapt and have vehicles in mind when designing them. Other fun stuff is coming as well, but more will be revealed in the final devlog of the year, launching next Friday. Have a lovely, beautiful weekend! You deserve it! Bye bye! /semiwork",1765555528,
3241660,"'If you happen to love microtransactions, I am going to disappoint you deeply': REPO's next update is revealing deets, and it's more exciting than monsters","It feels like only yesterday semiwork announced that the team would be taking a break before working on the next update. Which isn't actually entirely inaccurate as it's been less than a month and we're already got the first video about the next release. So, it looks like we won't have to wait too long before <a href=""https://www.pcgamer.com/uk/repo/"">REPO</a> receives its next batch of content after all, and in my opinion, it's the most exciting one yet... <a href=""https://www.pcgamer.com/games/horror/if-you-happen-to-love-microtransactions-i-am-going-to-disappoint-you-deeply-repos-next-update-is-revealing-deets-and-its-more-exciting-than-monsters/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764590992,
3241660,LEAKING THE NEXT R.E.P.O. UPDATE!!,"Hey hey semibots! We’re back with another juicy devlog for you all! For those of you who’d like to read instead of watching the video, here’s the key takeaways: THE NEXT UPDATE REVEALED - Cosmetics (And other fun stuff) is finally coming to R.E.P.O. - Cosmetics will be 100% free and earned by simply playing the game - no microtransactions whatsoever. - We are working hard to make sure cosmetics feel like a natural integrated part of the gameplay experience, as we want the hunt for cosmetics to be exciting! GOLDEN JOYSTICK AWARDS - We got ourselves a win in the “Best Early Access Game” category and we are so thankful to everyone who voted! ❤️ REMINDER ABOUT DEVLOGS - Friendly reminder that devlogs does NOT affect the development of the game, as we have separate teams working on each. You do not ever have to worry, regardless of the posting frequency, that videos negatively impact the game’s development. - These videos are important to us as they let us communicate directly with you, our community, and getting frequent feedback from you guys is extremely valuable to us ❤️ Bye bye! /semiwork",1764345927,
3241660,R.E.P.O. v0.3.2,Hey hey semibots! FIXES Tumble Climb - Initial stamina drain now only affects the player who started climbing. Bye bye! /semiwork,1764234497,['patchnotes']
3241660,"Vote R.E.P.O. for the ""Better With Friends"" award!!","Hey hey semibots! We just won the ""Best Early Access"" award at the Golden Joystick Awards, thank you so much to everyone who voted, we could not be any more grateful for our amazing community!! {STEAM_CLAN_IMAGE}/45481982/95773536bd469a2410bfce8b875a2238b10517e0.jpg With that said... could be cool to win the ""Better With Friends"" Steam Award as well... ❤️ {STEAM_CLAN_IMAGE}/45481982/91e954f42347b8c2481e2190b8c915a59a266912.png We really appreciate you all and are hard at work on our next update, thank you!! Bye bye! /semiwork",1764067759,"['steam_award_nomination_request', 'mod_hide_library_overview']"
3241660,R.E.P.O. v0.3.1,"Hey hey semibots! NEW CHANGES BALANCING FIXES NEW New Setting - Arachnophobia (sorry!) CHANGES Toggle Grab - Items are no longer dropped when opening the pause menu. Upgrade Tumble Launch - Renamed ""Launch"" to ""Tumble Launch"" for consistency in UI. BALANCING Tumble Climb - Stronger. Now scales with range upgrades. Consumes a percentage of max stamina, more upgrades will still lower stamina cost. Consumes a small stamina burst at the start of each grab. Acts more like a grappling hook now. Slightly more expensive in the shop. Enemy Gambit - Money bag prize is now worth more. Enemy Bella - Now attacks for half as long. Only rings bell at players she can reach. Bell ring count resets faster. Enemy Loom - Does not give up while near players anymore, unless stuck or can't reach the player. Death Head Battery Upgrade - Reduced diminishing returns when stacking multiple upgrades. Valuable Arctic Sample Cooler Wide (McJannek Station) - Increased weight and value. Valuable Arctic Centrifuge (McJannek Station) - Increased weight and value. Valuable Arctic Icepick (McJannek Station) - Increased weight and can now spawn in more spots. Valuable Arctic VHS (McJannek Station) - Decreased value. FIXES Enemies - Corrected required grab force for some enemies. Enemy Loom - Fixed not hurt by physical impacts. Fixed her not always targeting the correct player when grabbed or touched with an object. Fixed attacking through doors. Fixed screen effect not always showing when a player got targeted. Enemy Elsa - Fixed ""Big"" Elsa being very slow running up stairs. Fixed not always playing their pet effects. Fixed being pet while flying back out of a pit causing them to fall down the pit again. Enemy Bella - Now correctly despawns if stuck. Enemy Tick - Fixed being ungrabbed when opening the pause menu. Fixed sometimes spinning in spot. Fixed having some trouble getting up stairs. Enemy Heart Hugger - Fixed multiple Heart Huggers able to stun lock the player forever. Enemy Birthday Boy - Fixed sometimes running in spot. Fixed balloons not being poppable by bullets. Map - Fixed being unable to open map whilst betrayal TTS was active. Arena - Fixed bug where possessed Death Heads that fell out of the level didn't return to normal spectate. Level Loading - Reduced game freezes during level loading for the lobby host. Splash Screen - Fixed not showing when game is opened by accepting a lobby invite. Upgrade Death Head Battery - Fixed first upgrade not having any effect. Items - Fixed unequipping an item not releasing tumble climb. Fixed unequipping an item preventing picking up other items for a few seconds. Item Feather Drone - Fixed large affected items being very difficult to rotate precisely. Item Phase Bridge - Now much more stable for clients to walk on in its ""static"" state. Truck Healer - Fixed healing before fully activated. Player Health Sharing - Fixed a bug where sharing would get stuck if interrupted by being tumbled into. Network - Updated networked assets to hopefully lower the amount of ""Client Time Outs"". Level - Various fixes. Bye bye! /semiwork",1763126476,['patchnotes']
3241660,"Planning for REPO's next update is underway, but the developer is taking a break for the time being: 'Frankly, my brain is a bit mushy'","<a href=""https://www.pcgamer.com/repo/"" target=""_blank"">REPO</a> launched its <a href=""https://www.pcgamer.com/games/horror/repos-monster-update-has-arrived-and-it-is-so-much-scarier-than-i-thought-it-would-be-all-because-of-one-beast/"">monster update on October 31</a>, adding ten new horrifying beasts to the already tense game. However, even though players are still mastering the art of dodging the Birthday Boy's balloons and outrunning the Loom, semiwork has already <a href=""https://www.youtube.com/watch?v=JshwMkzs_MY"">uploaded a video to YouTube</a> sharing that preparations for the game's next update are underway... <a href=""https://www.pcgamer.com/games/horror/planning-for-repos-next-update-is-underway-but-the-developer-is-taking-a-break-for-the-time-being-frankly-my-brain-is-a-bit-mushy/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762781859,
3241660,NEXT R.E.P.O. UPDATE?!,"Hey hey semibots! First off, we want to extend a big THANK YOU to the entire community, it’s been a blast watching you guys play The Monster Update! In today’s video we’re providing some important information about the near future! For those of you who’d like to read instead of watching the video, here’s the key takeaways: THE NEXT UPDATE We are preparing to decide upon what the next update should be all about, and we’d like to hear from you guys what you want to see in the next update! Let us know in the YouTube comments, or maybe on the official R.E.P.O. Discord – let your voice be heard! HOTFIX INCOMING We’re reading and listening to your feedback regarding the Monster Update and we are working on a hotfix to address the most concerning stuff. We are adding an Arachnophobia Mode, tweaks to enemies and valuables and lots of other stuff! It’s coming soon! DEVLOGS/VIDEOS ARE GOING ON A BREAK As we’ve fed you guys with a lot of videos and announcements during October, we are taking a little break from posting videos. In the meantime, make sure you are subscribed to the YouTube Channel or follow our Discord so you don’t miss out on when we return – because when we do, we’ll announce what the next update will be all about! Bye bye! /semiwork",1762531591,
3241660,"REPO's monster update has arrived, and it is so much scarier than I thought it would be all because of one beast","When REPO announced it would be receiving a bunch of new monsters in September, I naively thought they wouldn't be too scary. Most of REPO's existing critters are unsettling, especially the Upscream and the Animal, but there's nothing that really petrifies you. The same can't be said for the game now though, and having spent the weekend running for my life and screaming over proximity chat, REPO really lives up to its horror tag... <a href=""https://www.pcgamer.com/games/horror/repos-monster-update-has-arrived-and-it-is-so-much-scarier-than-i-thought-it-would-be-all-because-of-one-beast/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762180520,
3241660,THE MONSTER UPDATE IS UNLEASHED!,"Hey hey semibots! As of yesterday, the MONSTER UPDATE has been released upon the world, with 10 brand new monsters, new mechanics and other new fun stuff to enjoy! In today’s devlog, we’re going through the main additions of the update, while also showing you an in-depth BEHIND THE SCENES of the creation of our live action launch trailer! Patch Notes https://store.steampowered.com/news/app/3241660/view/511846967442148737 IMPORTANT HAPPENINGS It is currently FREE WEEKEND, which means you can play R.E.P.O. for free until November 3rd! (after that you have to buy the game as normal) We have a Discord Quest active, check it out here: https://discordapp.com/quests/1432436088508780675 Last chance to get the SEMIBOT outfit in Fortnite! Bye bye! /semiwork",1761926443,
