appid,title,contents,date,tags
3164500,Schedule I x Youtooz Charity Collab,"Hey everyone,We're doing our first-ever official merchandise drop - Schedule I x Youtooz! Three collectible figures are now available to order:Uncle NelsonJessi WatersBenji ColemanI'm happy to say that 100% of TVGS's share of revenue will be donated to charity: SSDP Australia (Students for Sensible Drug Policy). SSDP does excellent work on drug policy reform and harm minimisation, and it's an honour to be able to contribute to their cause.Otherwise, the Shrooms update is nearing completion - I'm expecting it to be ready for open beta testing next week, and the full release not long after that. Thanks for your patience with this update. There's lots of cool new stuff coming, and I've also snuck in some handy QoL improvements and bug fixes. Thanks for reading,Tyler",1765310738,
3164500,Patch v0.4.1f12,"Hey everyone,This patch delivers a number of bug fixes and tweaks, particularly for multiplayer. I've spent the past two weeks rewriting a bunch of yucky code to make it less error-prone and easier for me to work with in the future. You likely won't notice any significant changes, but behind the scenes, things are a lot tidier now!I wasn't originally anticipating doing this patch before the Shrooms update, but I thought it'd be best to do some 'cleaning' and bug fixing before more content is introduced. Because of this, there's a good chance the Shrooms update will be pushed back into early-mid December, sorry. As always, I'll try my best to get it done on time, but I want to acknowledge the possibility of a delay sooner rather than later.AdditionsAdded a network replication queue system, which staggers the data being sent whenever a player joins a multiplayer game.Added an optional quest entry to the 'Deal for the Benzies' quest advising the player how to break the truce.Tweaks/ImprovementsRefactored a lot of networking code to minimise bandwidth usage.Refactored how visuals are applied to mixed products in different states (unpackaged, baggie, jar, stored, equipped, etc). The old system was way too brittle and needed to be cleaned up before another drug type was added.Cleaned up a variety of product meshes, combining separate meshes into one where possible.Actions against the cartel now lower influence a bit faster, making it less tedious to unlock new regions.Moved the vehicle color code to a separate, dedicated script. This has allowed me to replace all the static, decorative vehicles around the map with simplified versions that don't contain a bunch of unused scripts and components.Modified how vehicles apply colors to avoid unnecessary instantiation of new materials.Tweaked vehicle sounds.Refactored how vehicles decide if they should currently be physically simulated or not.Adjusted the friction properties of vehicle wheels when the handbrake is applied, making it a bit more effective at bringing vehicles to a stop.Enabled physics for post boxes. Bug fixesFixed bagged meth and coke using the wrong consume animation.Cartel dealers no longer send 'inventory depleted' notifications to the player.Fixed the cartel deal quest UI not reactivating.Fixed merchant dialogue sometimes not working for non-host players.Fixed purchased cars spawning in mid-air.Fixed the main volume mixer failing to silence in-game sounds while the loading screen is active.Fixed the lag spike that occurred as the loading screen closed.Fixed vehicle wheels not spinning for non-host players in multiplayer.Fixed Jessi never being selected as the random sewer key possessor. Fixed skateboard and vehicle inputs not working when you have rebound the main movement keys (WASD) to something else.The player no longer gets XP for deals completed by cartel dealers.Fixed customers being listed several times in the customer selection menu for dealers.Fixed a missing collider in Stash & Dash.Fixed drying rack management UI mislabelling.Fixed non-host graffiti not lowering cartel influence in multiplayer.Fixed missing font and incorrect text color in the vehicle repaint interface.Fixed a multiplayer bug where removing an item from a slot and quickly inserting another would cause the item to disappear.Fixed some null reference errors that happen when a player leaves the game while wanted or in combat.Fixed police sometimes not noticing non-host players breaking curfew.Fixed dead/unconscious cartel goons respawning and standing around doing nothing after a day passes.Fixed NPC behaviour/schedule update methods not running at 4 am.Thanks for reading,Tyler",1763454373,['patchnotes']
3164500,v0.4.1: Halloween Update,"Hey everyone,The Halloween update is here! This update adds a new sewer system under the Hyland Point. You'll need to get ahold of a sewer access key to get down there. The sewers offer a new way to navigate Hyland Point without having to worry about police and cartel members, but it isn't without it's risks...There's a new ladder system which opens up a bit more vertical navigation - these ladders can be found in the sewers, as well as on several buildings around the map.There's also been some work done towards optimization. Most of this work is in the form of small tweaks and reworks, but it should all add up to provide a decent (10-15%) boost framerate.Sorry this update is a couple of days late - I was originally planning on skipping the open beta and going straight to full release. At the last minute released I should probably play it safe and publicly beta test it for at least a day.Additions Added sewer system.Added climbing system.Added ladders to various buildings.Added sewer maintenace office property.Added sewer access key.Added 2x1m plastic table.Added trash crown.Added garbage throne.Added water step sound.Added 'sewer king' NPC.Added 'sewer goblin' NPC.Added meth LODs.Added new 'replication queue' system to help stagger network traffic when a player joins a multiplayer game.Added loading dock to west Gas-Mart.Added 5 more graffiti locations. Tweaks/Improvements Refactored the environmental FX and post-processing system to support transitioning between different visual zones.Changed fog color and density to be controlled by day-night timeline instead of a basic curve/gradient.Tweaked occlusion settings for more aggressive culling.Tweaked shadow cascades.Tweaked various LODs.Disabled vehicle FixedUpdate calculations when vehicle is static.Optimized compass rendering.Disabled a light optimization technique that wasn't actually providing any performance improvement.Changed a lot of calculations to be on-demand instead of every frame.Disabled additional light shadows when quality is set yo medium or below.Changed various cooldowns to use global time (Time.timeSinceLevelLoad) instead of manual time tracking.Removed unnecessary update loops from a number of scripts.Replaced some MeshColliders with primitive colliders.Cached animation string hashes on start instead of recalculating on use.Turned off shadows for a bunch of small objects.Tweaked graffiti surfaces to only generate texture data when required instead of when the game starts. This was causing a ~1s hitch and unnecessary memory allocation whenever loading a game.Reorganised the structure of the main scene. This shouldn't have any visible impact but makes my job easier in the future :) Bug fixes Fixed police global vision events not working properly (this allows police to 'share' their knowledge of where a wanted player is.Fixed a bug where NPCs would shoot at the player even when not visible.Fixed some duplicate GUIDs.Fixed police officer vision getting bugged if killed while searching for the player.Fixed 'cuke effects' and 'energy drink effects' utility items being usable in item slot filters.Fixed not being able to pickpocket unconscious NPCs if you have recently failed a pickpocket.Fixed null reference error that occurred when inserting cash into a storage entity.Remove some unnecessary Player.log spam. I've discovered that a lot of the connection issues in multiplayer are likely due to bandwidth limits being exceeded - I've made an effort in this update to mitigate this, but there's still some more work to do. This will be my focus for the next week or two, and a patch for this will be releasing before the Shrooms update.Thanks for reading, and happy (late) Halloween!Tyler",1762119597,
3164500,Patch v0.4.0f8,"AdditionsAdded 'exceeded quality' bonus.Added water taps to the warehouse property.Tweaks/ImprovementsIncreased Hyland Manor employee capacity from 10 -> 12.Improved the alignment of NPC impostors when the NPC is ragdolled/unconscious.Increased the move speed of gates at the warehouse and manor. Tweaked the NPC ranged weapon hit chance algorithm.Tweaked various vision system thresholds and durations.Tweaked combat/pursuit behaviour.Police checkpoints are now lowered if there are no officers manning them.Introduced some extra null checks during the loading process, both as host and non-host. Bug fixesFixed excessive graffiti-related network traffic causing connection issues.Fixed impact forces not applying to ragdolls.Fixed impact forces applying in the incorrect direction.Fixed machete price.Resolved some duplicate LODs.Fixed flinch animation being delayed by the stand-up animation.Fixed destroyed RV state not being sent to non-host clients.Fixed manor/warehouse gate desync in multiplayer.Fixed NPCs not sighting non-host clients properly.Fixed NPC combat not working properly against non-host clients.Fixed a bug that resulted in the host receiving and alerting vision events for other players. Fixed vehicle checkpoint searches not working for non-host players.Fixed management configuration data arriving to non-host players before the configuration itself is initialised. Fixed misaligned power cables near the overpass.Fixed false positives for non-host player-ocean collision.Fixed NPCs accepting the incorrect product without any penalty when it is provided in excess.Fixed graffiti lowering cartel influence when truced/unknown. Fixed customers not displaying deal offer rejection dialogue. Fixed missing disposal area for the sweatshop.Thanks for reading,Tyler",1758967503,['patchnotes']
3164500,'Shrooms' wins community vote #2,"Thank you to everyone who participated in the latest community vote! Shrooms won with over 269,000 votes. Drivers came in second with 139,000 votes, and fishing received 85,000 votes. Shrooms will be the fourth drug type added to the game, and will have a totally new and unique production process. This update will also include:A new supplier.New shrooms-specific production equipment and tools.Some new multi-use production equipment, which can be used for shrooms as well as some of the existing drugs. New effects and ingredients.New customers.This update will land somewhere from mid-October to late November. I'm leaving this window quite open-ended, as I want to avoid having to repeatedly delay the release (I have learnt my lesson from the cartel update lol). I also need to allow some time for the Halloween update, which will be landing on October 31st. I'm flying back home to Australia next week and will be getting to work on these two updates almost immediately. But before that, I'll release a patch for the cartel update, fixing a number of bugs and making some tweaks suggested by the community.Don't worry if your preferred choice wasn't selected; non-winning choices will be available again in a future community vote! Thanks for reading,Tyler",1757311601,
3164500,Community vote #2 is now open!,"Hey everyone,The second community vote is now open! Launch the game, and from the main menu, you'll be able to select what you want to see in the next major update. For this vote, the three options are:Hireable DriversThis new employee can transport items between your properties, businesses, and dealers. You'll be able to designate automatic transit routes and specify the required conditions (e.g. number of items in the vehicle) for a route to begin. This update will also include some QOL improvements to the delivery system.FishingWho doesn't like a classic fishing minigame? Reel in fish (and maybe some other special items), which can be sold at Randy's Bait & Tackle for a tidy profit. This update will also include several new ingredients and effects. ShroomsManufacture and distribute a brand new drug type - Magic Mushrooms. This update will introduce a funky new drug, unique equipment, new effects, and a new supplier. The voting period will run until this coming weekend, and I'll announce the results shortly after that. You'll also be able to view the results in the main menu.Thanks for reading,Tyler",1756710874,
3164500,v0.4.0: Rival Cartel,"Hey everyone,Before I get into the details about this update, I'd just like to apologise for my lack of timeliness with this update. This is releasing about a month later than I originally intended - due to a variety of factors, but mostly me underestimating the amount of work involved in implementing certain features, as well as me deciding to add more stuff (graffiti, pump shotgun, etc) at the last minute. I've also been moving house and getting through my University exams - safe to say it's been a hectic couple of months!Thanks for your patience as I've gotten this update wrapped up. In the future, I'm going to try my best to provide due dates only when I'm really confident that I'll actually be able to make that deadline. AdditionsAdded the Benzies family - a powerful rival cartel in Hyland Point. You will first encounter them once you have unlocked a number of customers in Westville. Interactions with them include:Cartel-player deals (only while truced)AmbushesDealer robbingsDead drop theftCartel-customer dealsAdded new purchasable property - Hyland Manor. Keep in mind that the Benzies' family storyline must be completed before this can be purchased.Added new vehicle 'Hotbox'.Added graffiti system. You can spray graffiti on various surfaces around the map to reduce cartel influence and gain XP.Added spray paint item. Purchaseable at Gas Mart. You can purchase 1x spray can each time you rank up.Added graffiti cleaner. This can be used to remove graffiti from a surface.Added pump shotgun.Added shotgun shell.Added 'close buzzcut' hairstyle.Added 'Tony' hairstyleAdded 'long slicked back' hairstyle.Added 'setgravitymultiplier' command.Added 'setregionunlocked' command.Added 'forcesleep' command.Added an automatic save game backup feature. This will automatically generate a backup of your save file when you first load it on a new version of the game. This is enabled by default, and can be turned off in Settings -> Other.Added some more loading screen hints.Added 'Urban Artist' achievement.Added 'Finishing the Job' achievement.Tweaks/ImprovementsChanged how you unlock new regions. Each region now has a 'cartel influence' level associated with it. You must reduce this influence to a certain level before you can progress to the next region.Stan now uses a shop interface instead of dialogue for selling weapons. In multiplayer, you can view the dialogue of other players talking to NPCs.Deals are now cancelled when the assigned dealer is dead/unconscious.Unconscious NPCs who drop into the ocean are now killed.Dead/unconscious NPCs can now be pickpocketed.You can now pickpocket police. If you attack a customer, they will not order from you for 72 hours.Tweaks the braking properties of all vehicles.Non-police NPCs can now use ranged weapons.Police and NPCs in combat will now sometimes predict future target position instead of pathing directly to the target.Tweaked flashlight brightness. Turned off JSON pretty-print for the trash save file, offering a reduction in file size.Reduced the resell multiplier of all weapons.You can now interrupt an incremental reload (revolver + shotgun) by clicking the LMB.Customers now carry the cash that is required to pay for an upcoming deal.Bug fixesFixed various mislabellings in employee tutorial quests.Fixed two light beams being visible when the flashlight is equipped.Fixed scuffed NPC ragdoll LODs/culling.Fixed some missing walls at Hyland Medical.Fixed third-person recoil animation for the M1911 and Revolver.Fixed the networth calculator algorithm not factoring in some item quantities.Fixed vehicle impacts doing too much damage to NPCs.Fixed some missing fonts.Fixed textured z-fighting on the northern waterfront.Fixed dealer/supplier recommendation dialogue starting even if the customer was served by a dealer. Fixed a bug where item stock limits could be ignored by using the custom amount selector.Fixed missing colliders at the car wash.Fixed Tobias' name misspelling. I'm flying from Australia to Seattle later today to attend PAX West, and I'll be in the US until mid-September. We'll be running another community vote next week, and I'll get to work on the winning update as soon as I'm home next month - lots more cool stuff coming this year. I'm also looking into getting some office space and bringing on one or two full-time developers. Stay tuned!Thanks for reading,Tyler",1756337188,
3164500,Open Beta Patch v0.4.0f3,"AdditionsAdded graffiti cleaner. This can be used to remove graffiti from a surface.Added a third loading bay to Hyland Manor.Added more graffiti locations.Added labels to the map for Stash & Dash and Hyland Range.Tweaks/ImprovementsYou can now interrupt an incremental reload (revolver + shotgun) by clicking the LMB.Spray Paint now contains a limited amount of paint. This is mostly so that drawings with lots of strokes don't cause disconnections in multiplayer.Adjusted 'Unfavourable Agreements' quest start conditions. This quest will now begin only once you've completed 'Mixing Mania' AND have 5 customers in Westville.Customers now carry the cash that is required to pay for an upcoming deal.'Spray Paint now available for purchase' is now displayed when you rank up.Increased cartel deal payment multiplier from 0.6 -> 0.65.Reduced storage unit cost to $4,000Tweaked cartel deal product quantities.Reduced graffiti draw distance.Bug fixesFixed police abandoning pursuit before the player has actually escaped.Fixed Thomas' car sometimes getting stuck outside of the map.Fixed 'Unfavourable Agreements' quest starting for legacy saves that have already progressed past Westville.Fixed graffiti spray audio continuously cutting out. Fixed missing font in the Shred Shack.Fixed Tobias' name mispelling.Fixed Lab Oven missing material.Fixed some missing colliders at the car wash.Fixed the Taco Ticklers graffiti location.Fixed texture clipping at the northern waterfront.Fixed NPCs teleporting back to land after being thrown into the ocean unconscious.",1755869359,['patchnotes']
3164500,Open Beta Patch v0.4.0f2,"AdditionsAdded graffiti system. You can spray graffiti on various surfaces around the map to reduce cartel influence and gain XP. Added spray paint item. Purchaseable at Gas Mart. You can purchase 1x spray can each time you rank up. Tweaks/ImprovementsAdjusted cartel activity cooldowns.Reduced the resell multiplier of all weapons.Disable cartel passive influence gain.Turned off JSON pretty-print for the trash save file, offering a reduction in file size.Increased police pickpocket difficulty.Bug fixesFixed missing soil material.Fixed cartel dealers not working outside of Westville.Fixed cartel deal cash payments not appearing for non-hosts.Fixed manor tunnel resetting on reload.Fixed manor state (original, destroyed, rebuilt) resetting on reload.Fixed region unlocked popup sometimes not displaying.Fixed region unlocked popup repeating for Westville.Fixed cartel influence not being synced in multiplayer.Fixed wonky compass cardinal direction indicators.Fixed multiplayer disconnect when knocking on Pillville.The cartel influence slider is no longer draggable by the player.Fixed dealers not notifying you when they are out of product.Fixed manor loading docks.Fixed multiplayer disconnection when you fail pickpocketing as a non-host.Fixed vehicle AI not parking.",1755413311,['patchnotes']
3164500,v0.4.0 Open Beta,"Hey everyone,I'm very excited to announce that the cartel update (v0.4.0) is now available to test on the beta branch! Very sorry that this took longer than expected! It's been a hectic month, and I massively underestimated the amount of work required to get this update done. I've also been simultaneously working on getting the game ready for official Steam Deck support + console port later this year. AdditionsAdded the Benzies family - a powerful rival cartel in Hyland Point. You will first encounter them once you have unlocked a few customers in Westville. Interactions with them include:Cartel-player deals (while truced)AmbushesDealer robbingsDead drop theftCartel-customer dealsAdded new purchasable property - Hyland Manor. Keep in mind that the Benzies family storyline must be completed before this can be purchased.Added new vehicle 'Hotbox'.Added pump shotgun.Added shotgun shell.Added 'close buzzcut' hairstyle.Added 'Tony' hairstyleAdded 'long slicked back' hairstyle.Added 'setgravitymultiplier' command.Added 'setregionunlocked' command.Added 'forcesleep' command.Added some more loading screen hints.Tweaks/ImprovementsChanged how you unlock new regions. Each region now has a 'cartel influence' level associated with it. You must reduce this influence to a certain level before you can progress to the next region.In multiplayer, you can view the dialogue of other players talking to NPCs.Deals are now cancelled when the assigned dealer is dead/unconscious.Unconscious NPCs who drop into the ocean are now killed.Dead/unconscious NPCs can now be pickpocketed.You can now pickpocket police. If you attack a customer, they will not order from you for 72 hours.Tweaks the braking properties of all vehicles.Non-police NPCs can now use ranged weapons.Police and NPCs in combat will now sometimes predict future target position instead of pathing directly to the target.Tweaked flashlight brightness. Refactored a number of minor scripts. Bug fixesFixed various mislabellings in employee tutorial quests.Fixed two light beams being visible when the flashlight is equipped.Fixed scuffed NPC ragdoll LODs/culling.Fixed some missing walls at Hyland Medical.Fixed third-person recoil animation for the M1911 and Revolver.Fixed the networth calculator algorithm not factoring in some item quantities.Fixed vehicle impacts doing too much damage to NPCs.Fixed some missing fonts.Thanks for your patience, everyone. For future updates, I'm only going to announce a release date once I'm certain I'll actually be able to deliver on time. I've been in a self-inflicted crunch for the past couple of weeks, which has probably compromised my productivity and motivation quite a bit. Going forward, I'm going to try to keep in mind that early access is a marathon, not a sprint. The final quality of the game is what really matters, and I intend to deliver on that to the absolute best of my ability. Cheers,Tyler",1755086219,
