appid,title,contents,date,tags
1326470,Steam Global Top Sellers for week of 30 Sep — 7 October 2025,"<a href=""https://steamdb.info/topsellers/2025W41/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1984270/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Digimon Story Time Stranger</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/3405340/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Megabonk</a>; * <a href=""https://steamdb.info/app/1091500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Cyberpunk 2077</a>; * <a href=""https://steamdb.info/app/3606480/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Call of Duty®: Black Ops 7</a>; * <a href=""https://steamdb.info/app/1326470/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Sons Of The Forest</a>; * <a href=""https://steamdb.info/app/1086940/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Baldur's Gate 3</a>; * <a href=""https://steamdb.info/app/1174180/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Red Dead Redemption 2</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W41/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1759827600,
1326470,Unity security update,"Hey everyone, Due to a Unity engine security issue outlined here: https://unity.com/security/sept-2025-01/remediation we’ve updated the UnityPlayer.dll file for the following titles: Sons of the Forest Sons of the Forest Dedicated Server The Forest VR This update is around 1-2mb. The base version of The Forest and its dedicated server are not affected by this issue. If you encounter any unexpected issues, please let us know so we can forward them to Unity. the team at endnight",1759517232,"['patchnotes', 'hide_library_detail']"
1326470,Steam Global Top Sellers for week of 1 Jul — 8 July 2025,"<a href=""https://steamdb.info/topsellers/2025W28/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/3527290/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">PEAK</a>; * <a href=""https://steamdb.info/app/1091500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Cyberpunk 2077</a>; * <a href=""https://steamdb.info/app/381210/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dead by Daylight</a>; * <a href=""https://steamdb.info/app/1245620/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ELDEN RING</a>; * <a href=""https://steamdb.info/app/1174180/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Red Dead Redemption 2</a>; * <a href=""https://steamdb.info/app/1903340/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Clair Obscur: Expedition 33</a>; * <a href=""https://steamdb.info/app/1086940/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Baldur's Gate 3</a>; * <a href=""https://steamdb.info/app/1326470/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Sons Of The Forest</a>; * <a href=""https://steamdb.info/app/1172710/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dune: Awakening</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W28/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1751965200,
1326470,"Brutal survival game Sons of the Forest is cheaper than ever, exploding on Steam","From its bloodthirsty cannibals to its freakish mutants, there's a lot to love about Endnight Games' <b>Sons of the Forest</b> . And now, there's another reason to fall for the brutal survival game. Thanks to a massive discount players are flocking to this bizarre open-world survival horror, resulting in a huge spike. <a href=""https://www.pcgamesn.com/sons-of-the-forest/steam-sale-player-numbers"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/sons-of-the-forest/new-update"">Big new Sons of the Forest update makes the brilliant survival game even better</a> <a href=""https://www.pcgamesn.com/sons-of-the-forest/lowest-price-ever"">Top-rated survival sim Sons of the Forest drops to its lowest-ever price</a> <a href=""https://www.pcgamesn.com/sons-of-the-forest/steam-players"">Sons of the Forest overtaken by The Forest on Steam, but don't worry</a> ",1751304892,
1326470,Hotfix,"Hey Everyone, Here is another small hotfix for last weeks raft patch. Fixed issue where Structures built at centerpoint of raft could prevent raft from moving correctly As always, please continue to post your bug reports and feedback in the Discussions area of the Community Hub.",1737481646,"['patchnotes', 'hide_library_detail']"
1326470,Hotfix,"Hey Everyone, Here is a small hotfix for last weeks raft patch. Fixed issue that could occur with overlapping structures being linked incorrectly causing them to be missing on clients or impossible to dismantle. As always, please continue to post your bug reports and feedback in the Discussions area of the Community Hub.",1737409255,"['patchnotes', 'hide_library_detail']"
1326470,"Sons of the Forest's first patch in 6 months is a doozy, adding buildable rafts, a procedural wall system, and fixing more than 100 bugs","<a href=""https://www.pcgamer.com/sons-of-the-forest/"">Sons of The Forest</a>'s cannibal-infested woods have been quiet lately. After a <a href=""https://www.pcgamer.com/selling-2-million-copies-in-24-hours-sons-of-the-forest-is-definitely-a-hit/"">wildly popular</a> early access period, it launched in February last year, with developer Endnight Games providing frequent updates over its first four post-release months. Yet the studio has been largely silent since a hotfix in June, with no further updates, announcements, or even tweets in the latter half of 2024... <a href=""https://www.pcgamer.com/games/survival-crafting/sons-of-the-forests-first-patch-in-6-months-is-a-doozy-adding-buildable-rafts-a-procedural-wall-system-and-fixing-more-than-100-bugs/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1737212400,
1326470,Big new Sons of the Forest update makes the brilliant survival game even better,"The survival game genre is suitably competitive. You've got The Long Dark, DayZ, Rust - in such a packed ecosystem, only the strongest can prevail. Back in 2014, The Forest dominated the survival world thanks to its intuitive base building and convincing first-person horror. In 2024, <strong>Sons of the Forest</strong> became a huge hit. Since then, however, enthusiasm for Endnight's sequel seems to have faded, and as it stands, the original Forest consistently gets more players on Steam than its younger sibling. But Sons of the Forest is far from finished. A gigantic new update is the perfect reason to once again get lost in the woods. <a href=""https://www.pcgamesn.com/sons-of-the-forest/new-update"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/sons-of-the-forest/lowest-price-ever"">Top-rated survival sim Sons of the Forest drops to its lowest-ever price</a> <a href=""https://www.pcgamesn.com/sons-of-the-forest/steam-players"">Sons of the Forest overtaken by The Forest on Steam, but don't worry</a> <a href=""https://www.pcgamesn.com/steam/spring-sale-2024-best-games"">10 top games to grab during the Steam Spring Sale 2024</a> ",1737030337,
1326470,"Rafts, Defensive Wall Blueprints, Fixes, Improvements and more","Hey Everyone, This patch adds 3 buildable rafts along with a mooring post. Additionally there are new buildable holders for the KnightV and the hang glider. We also added a procedural defensive wall placement system so you can now just draw out where you want the walls and let Kelvin finish them. There is also added Steam Game Recording support and a secret clothing item you can find. Ranged weapons and targeting have been improved and along with this there are a ton of bug fixes and improvements all listed below. As always, please continue to post your bug reports and feedback in the Discussions area of the Community Hub. Features 3 new raft structures New mooring structure Added knightV and glider holder structures Added drawn defensive wall structures Added Steam Game Recording support Secret player findable outfit added. Improvements Crossbow, compound bow, crafted bow, shotgun and slingshot aiming improved Improved arrow path to match trajectory when shooting bows Skip place animation option now applies when adding logs to ghost structures Added ability to revive players when dying while swimming in multiplayer Player will enter the water death state if they died out of water and then fell into water Kelvin now has a faster swim animation which he will use most of the time Kelvin and Virginia can now pull themselves up out of water at edges with collision within reach When swimming Kelvin will now swim towards the player he is following Kelvin now has blood and wetness support on all his outfits instead of just the default Built structures will now only register a single hit for scatter shots (eg. buckshots) Golf cart batteries can now be added to shelves Extended world bounds to allow for more area to use rafts Increased network audio events location accuracy Motion blur overall quality improved Improved look of ghost structures when intersecting with camera Optimized drying racks and fire physics rigs to be more performant Some collider optimization for Firewood, Bone Chair, Bone Chandelier, Stick Chair, Bone Storage, Firewood Storage, Log Storage, Rock Storage, Stick Storage, Hunting Shelter, Leg Lamp, Mannequin, Planter, Rain Catcher, Repel Shrine, Arrow Storage, Weapon Racks Optimized physics colliders for items when added to Log storage, stone storage and firewood storage Grab bag UI prompt layout improved Improved ranged weapon calculations to make sure impacts are detected when starting inside a collider Throwing a dead body into water will now create splash and ripple particles Shooting tree vines with bows and guns will now break the vines Fixes Fixed fire effect sometimes appearing in air when lighting a dead body on fire Fixed bug in rebinding menu when in Portuguese language Fixed ocean water displacement calculation when not in waves Fixed collecting a rabbit from hutch or cage as multiplayer client not working when already holding a live rabbit Fixed a bug with tactical axe where the neutral attack poses had the spine rotated upwards too far causing jerky transitions back to idle Fixed look of Silver burweed when on fire The player will no longer be cold or freeze in hell cave Unified rock collider setup across rock pickup variations Fixed audio on flares not following transforms when thrown Fixed some errors on ocean when quitting to title Fixed a rare case of memory corruption that could lead to possible crashes Fixed projectile path when using laser sight equipped weapons Fixed fps affected accuracy on tactical bow Fixed enemies visibility on clients when host is in Timmy hallway cutscene Fixed Puffy rendering not disabling as intended in cutscenes or in MP when far away from local player Fixed issue where a muddy could enter bad state during jump/climb if the tree is damaged Fixed throwing dead female cannibal sometimes getting glitchy ragdoll leg position/movement Fixed the left and right hand animations getting out of sync when getting hit while reloading after putting away a left hand item beforehand Increased texture resolution of keycards Moved bunker volume translation higher to fix fog transition in utility bunkers Fixed dead workers eyes outside food bunker Fixed missing tutorial when Pufftons cutscene ends Made sure sleep icon updates when sleep is blocked Optimized fire effect on network players Fixed one coffin not being fully buried Fixed right hand item effects being stopped on network players when stashing left hand item Fixed eggs laid by sea turtles having duplicate mesh causing z-fighting Fixed angry & scared player expressions not working properly on some player variations in MP Fixed lit flares thrown on ground showing up when opening inventory When picking up held only items, the right hand item now waits for the unequip animation to play before going away Fixed issue with held logs showing up too early the first time a log is picked up Fixed issue with lighter arc loop sound getting stuck on when stashing the lighter and not playing after the first equip Fixed MP...",1736963096,
1326470,Top-rated survival sim Sons of the Forest drops to its lowest-ever price,"<strong>Sons of the Forest,</strong> a survival sim that traps you on a cannibal and mutant-infested island, is 50% off in Steam's Winter Sale. You'll need a strong stomach to deal with some of its horrors, but at $14.99 this 95% rated game is an absolute steal. <a href=""https://www.pcgamesn.com/sons-of-the-forest/lowest-price-ever"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/sons-of-the-forest/steam-players"">Sons of the Forest overtaken by The Forest on Steam, but don't worry</a> <a href=""https://www.pcgamesn.com/steam/spring-sale-2024-best-games"">10 top games to grab during the Steam Spring Sale 2024</a> <a href=""https://www.pcgamesn.com/sons-of-the-forest/system-requirements"">Sons of the Forest system requirements</a> ",1735226151,
