appid,title,contents,date,tags
2183900,"""Death or Glory"" December Event","Gear up, Space Marines!For the end of the year, launch the Stratagems mode and complete 2 weekly or daily Stratagems in any difficulty to earn the Death or Glory left greave! 🔥The event starts on December 17 and runs until December 31st! Please note that the Weekly Stratagems are now reset each Wednesday.",1765969285,
2183900,Patch Notes 11.2,"GAMEPLAY & BALANCING TWEAKSSanctified Wrath ReliquaryBonus damage now applies multiplicatively as originally intended.In consequence, reverted patch 11.1 bonus damage from 35% to 25%.PvPFixed an issue with some textures not loading properly.GENERAL FIXESCrash fixesImproved connectivity",1765793664,['patchnotes']
2183900,Hotfix 11.1,"Hi all, Here's the changelog for the 11.1 hotfix.GAMEPLAY AND BALANCING TWEAKSHeavy Bolt RifleBase damage increased by 13% for all scoped versions to match previous buff to all Heavy Bolt Rifle weapons.Heroic Heavy Bolt PistolFixed issue with hip fire accuracy.Sanctified Wrath ReliquaryBonus to melee damage is increased from 25% to 35%.CustomisationFixed issues with item sorting.PvPFixed an issue causing Assault to one-shot enemies with the new dash attack with any melee weapon. (Now these strikes have the same damage as strikes from the sprint).GENERAL FIXESCrash fixesFixed geometry issues on ReclamationMinor localization fixesMinor UI fixes",1764842637,"['patchnotes', 'mod_reviewed', 'ModAct_1425979202_1764844011_0', 'mod_require_rereview']"
2183900,Steam Global Top Sellers for week of 25 Nov — 2 December 2025,"<a href=""https://steamdb.info/topsellers/2025W49/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/1808500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ARC Raiders</a>; * <a href=""https://steamdb.info/app/2807960/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Battlefield™ 6</a>; * <a href=""https://steamdb.info/app/261550/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Mount & Blade II: Bannerlord</a>; * <a href=""https://steamdb.info/app/3405690/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">EA SPORTS FC™ 26</a>; * <a href=""https://steamdb.info/app/1091500/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Cyberpunk 2077</a>; * <a href=""https://steamdb.info/app/2927200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Mount & Blade II: Bannerlord - War Sails</a>; * <a href=""https://steamdb.info/app/227300/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Euro Truck Simulator 2</a>; * <a href=""https://steamdb.info/app/2592160/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dispatch</a>; * <a href=""https://steamdb.info/app/2183900/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Warhammer 40,000: Space Marine 2</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W49/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1764666000,
2183900,Warhammer 40k Space Marine 2's new Techmarine class can turn the environment to their advantage,"Saber Interactive has an early holiday treat for us, courtesy of a first proper look at the <strong>Warhammer 40k Space Marine 2</strong> Techmarine. The new class is scheduled to arrive early in 2026, further bolstering the roster of one of the <a href=""https://www.pcgamesn.com/warhammer-40k-games-best"">best Warhammer 40k games</a> on the market. As the highly trained technicians of the Space Marines, they're an ideal option if you like to supplement your own battle proficiency with tools and support weapons. They also sit at the perfect intersection of all my years spent playing Engineer in TF2 and my affinity for the Adeptus Mechanicus. <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/techmarine-reveal"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/reclamation-update"">Warhammer 40k Space Marine 2's Reclamation update finally gives Chaos the respect it deserves</a> <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/demo-october-2025"">The biggest Warhammer 40k game ever just got a free demo, and it's 55% off if you like what you see</a> <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/update-11-blood-angels"">Space Marine 2 developer already knows you'll hate the new Blood Angels skin</a> ",1764350211,
2183900,November Community Update,"Greetings Space Marines 👋The end of the year is near, so let us spoil you with some Patch 12 spoilers and then, let’s rewind on what happened lately on Space Marine 2!A LITTLE TEASER NEVER KILLED NOBODY…We’re heading towards the end of the year, which means we’re getting closer to the addition of the Techmarine! It’s time for us to start sharing a bit of what we’ve been cooking for this new class: First, the Techmarine comes with its iconic new weapon: the Omnissian Axe. As every new melee weapon, this halberd style weapon comes with its own set of unique animations, finishers and progression.The Techmarine has a Servo-Gun ability, activating it will enable the gun to automatically engage enemies. In addition to that, the Techmarine has a passive ability to restore Tarantula Sentry Guns that can spawn on existing PvE levels. Lastly, you might wonder which Traitor Legion the Chaos Techmarine will be associated with in PvP. We cannot spoil too much right now, but we’ll make sure to give you more details in the upcoming weeks. 😉Here’s your first look at him!We are also planning a PTS session for Patch 12, so you’ll be able to test the Techmarine in advance and give us feedback on it. We’ll give you more information regarding this PTS session later, so stay tuned.ONGOING COMMUNITY EVENT 🗓️This time, enjoy a currency reward! 📈Successfully finish Reclamation to receive 200 Accolades to spend in the Refinement & Redemption shop!This mission runs until December 2nd. You will receive your reward on that date! Note that PROS is NOT required to claim the Accolades reward.THE RECLAMATION UPDATE IS LIVE 💥The latest update rolled out a few days ago. It brought new content such as:New PvE Operation “Reclamation” with a new boss fight against the Tyranid Prime.Two Cosmetic DLCs: Blood Angels Champion Pack & Salamanders Cosmetic PackNew Battlefield Conditions and Rewards, Hero Weapon variants and Armour piecesBots Customisation and Chaos CustomisationNew equipment: “Sanctified Wrath”Balancings and Technical improvements: check the patch notesWatch the trailer if you haven’t already!ULTIMA EDITION AVAILABLE AT RETAILERSThe Ultima Edition is now available at participating retailers, and online! 🛒This limited Edition contains the Base Game, an exclusive SteelBook®, Season Pass 1 and Season Pass 2 and the Macragge’s Chosen DLC. NOMINATE US AT THE STEAM AWARDS 🏆We’re thrilled to announce that Space Marine 2 is in the running for the ""Labor of Love” category at this year’s Steam Awards! Over the past months, we’ve poured our hearts into refining and expanding the experience, bringing new content and enhancements based on your feedback.You can show your devotion by casting your vote! After you've voted, gather your fellow Space Marines over vox and let them know they can cast their vote as well! 😉 THAT’S IT FOR THIS MONTH If you want to keep yourself updated on the latest news on Space Marine 2, join our Discord Server right here, and become a member of Focus Together.You can also follow Focus Entertainment and our socials! Thank you for your unwavering support. 🖤 - Focus and Saber",1764339070,
2183900,The Reclamation Update is live!,"Hi Space Marines! Today’s Reclamation Update brings a new PvE mission for the Operations and Stratagems modes, a load of free cosmetic rewards, and two new DLCs for Season Pass 2 holders.Check out our Reclamation Update Trailer!New threats and challenges await 🌟​The Reclamation Update brings new content for all players such as gameplay improvements, new Operation, cosmetics, weapons and more!Check out the highlights below, and be sure to explore the full patch notes for all the details.The Reclamation Update includes:The new “Reclamation” Operation, taking you aboard the derelict Wrath of Espandor and featuring the menacing Tyranid Prime6 Hero weapon variants to earn through Accolades, including Bolt Sniper Rifle, Heavy Bolter, Instigator Bolt Carbine, Heavy Bolt Pistol, Power Fist, and Thunder Hammer8 new armour pieces: 4 helmets and 4 pauldrons, all redeemable with AccoladesNew Battlefield Conditions in Stratagems mode, adding fresh twists and challenges to PvE gameplayFull Modular Customization for Chaos Champions, letting you personalize your Chaos Marines just like Space Marines in PvETwo new Season Pass II DLC packs: Blood Angels Champion Pack and Salamanders Cosmetic PackFace the Tyranid Prime in Reclamation ⚔️​The new “Reclamation” Operation takes place as the Imperium looks to drive the remaining Tyranid forces away from Avarax after prevailing on the ground. Unfortunately, the Wrath of Espandor has paid the price and fell silent shortly after issuing a distress signal. It is up to you to investigate the deserted ship and initiate a chain reaction to destroy it and all the Tyranids still on board.Deck out your Marines with new DLCs 🛡️​ The Blood Angels Champion PackArm your Tactical Champion with a striking new skin, wield a Blood Angels‑themed Chainsword, and dominate the fight with an exclusive Assault Jump Pack. The Salamanders Cosmetic PackHonor the warriors of Nocturne with 5 unique armour pieces, along with 4 of their Successor Chapters: Black Vipers, Covenant of Fire, Dragonspears, and Dark Krakens and their Heraldry decals. Purge the xenos and heretics with Space Marine 2’s Reclamation Update, for free on PC. Unlock new customization options with Season Pass 2, join the Space Marine 2 community, and claim exclusive rewards on our new Focus Together platform!THE EMPEROR PROTECTS ",1764082847,['vo_marketing_message']
2183900,Warhammer 40k Space Marine 2's Reclamation update finally gives Chaos the respect it deserves,"I can't remember the last time I checked out a <strong>Warhammer 40k Space Marine 2</strong> update and it wasn't incredibly exciting. After revealing a whole roadmap (including <em>finally </em>announcing Iron Hands cosmetics for us Medusan sickos) last time around, developer Saber Interactive isn't showing any signs of stopping. It seems like it's on a one-studio mission to top our list of the <a href=""https://www.pcgamesn.com/warhammer-40k-games-best"">best Warhammer 40k games</a> ever made. And if anything can help it to ascend that contested leaderboard, it's making a pact with the Chaos Gods. <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/reclamation-update"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/demo-october-2025"">The biggest Warhammer 40k game ever just got a free demo, and it's 55% off if you like what you see</a> <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/update-11-blood-angels"">Space Marine 2 developer already knows you'll hate the new Blood Angels skin</a> <a href=""https://www.pcgamesn.com/warhammer-40k-space-marine-2/patch-10-2-sniper-camo-cloak-nerf"">Warhammer 40k Space Marine 2 update fixes friendly fire and nerfs sniper cloak</a> ",1764078354,
2183900,Patch Notes 11.0,"Hello Space Marines!The 11.0 patch is now live on every platform. Read the complete patch notes down below.Features that have changed since the PTS’ Patch Notes are flagged with this icon: 🟡 New PvE map: ReclamationOperation Reclamation takes place in orbit above the planet Avarax.A squad of Space Marines is deployed to a critically damaged Imperial cruiser to purge it of Tyranid infestation. However, as the mission unfolds, the objectives begin to shift.New PvE Equipment: Sanctified WrathUpon use, the player's melee damage is increased by 25% for 15 seconds, and the player is immune to knockbacks. When used, enemies within a small radius are pushed back.🟡 Change from PTS: Increased amount of charges from 1 to 2💬 It's not the last equipment that we are going to add.New Battlefield ConditionsMore than 40 new Battlefield Conditions have been added.New Heroic ItemsAdded 6 Heroic Weapons and 8 Armour Pieces to unlock with Accolades. Weapons:Retribution's Bequest (Heavy Bolt Pistol)Chains of Duty (Heavy Bolter)Wrapped (Instigator Bolt Carbine)Wrapped (Bolt Sniper Rifle)Death's Grasp (Power Fist)Storm's Dominion (Thunder Hammer)Armour Pieces:Mark VII HelmArtificer Mark X HelmBlack Templars Artificer Mark X HelmMark VI Corvus Veteran HelmVeteran Molecular Bonding Studs R. PauldronHonourific Gem R. PauldronCameleoline Shroud R. PauldronVeteran’s Shroud R. PauldronNew Season Pass ContentBlood Angels Champion pack added (Tactical Champion + Jump Pack for Assault + Signature Chainsword Skin)Salamanders Cosmetic Pack added.Chaos Customisation (PvP)Customisation of Chaos classes is now available using armour parts from sets. Assault - New Feature Added a set of Jump Pack Dash attacks for Assault, that are much quicker and responsive than normal sprint attacks. Dash attacks should be affected by all perks that affect Sprint attacks as well.🟡 Change from PTS: Jump Dash attacks deal 50% more damage💬 We are going to continue expanding and improving sandbox gameplay for all classes. After Assault, it's going to be Tactical's and Vanguard's turn, however those changes will not be in Patch 12 as we would like to focus on Tech Marine.MeleePower Axe:Chained Whirl Slash now can be performed after Overhead Strike.Overhead Strike damage is increased by 50%.Perk ""Riposte"" became a default behaviour - After performing a Power Backstep, hold attack to perform an Overhead Strike.Perk ""Riposte"" is changed - Overhead strike damage after Backstep is doubled.Blocking versions can now enter Power Stance.Heroic Double Edge Relic (Chainsword):""Trampling Stride"" Perk now works with a Heroic Perk Combo.Double Heavy Combo now can be performed after a Whirl Slash sprint attack.Heroic Power Gladius (Power Knife):Damage buff now lasts for 1 second after the first instance of damage instead of being wasted on a single enemy.🟡 Change from PTS: Fixed issue where damage buff lasted indefinitely. FirearmsHeavy Bolt Rifle: Base damage increased by 13%.Heroic Combi-Melta (Bolt Rifle): Increase damage by 15% for both Bolter and Melta firing modes.Multi-Melta: The change allowing the player to shoot from the standing position immediately after firing from the blind (removing the previous delay) has been reverted. The interval between shots is now enforced when transitioning to the standing position.🟡 Bolt Pistol: Base damage increased by 13.5%.🟡 Volkite Pistol: Base damage and volkite explosion damage increased by 10%.🟡 Patch 11 Heroic Weapon Changes from PTS🟡 Heroic Heavy Bolt Pistol:Increase Gun Strike damage by 20%.Add 6 ammo to max capacity.Heroic perk will now instantly kill enemy enemies that are calling for reinforcement.🟡 Heroic Sniper Bolt Rifle: All ammo restore perks will not trigger when using this weapon.💬 While it was clear that its a very powerful weapon in PTS, we don't want to reduce its effectiveness, but we do want to raise its skill cap.🟡 Heroic Thunder Hammer: Assault's Ground Pound will also spawn a shock zone.🟡 Heroic Power Fist: Damage bonus for light attacks is increased to 200%.Increase radius for heroic perk activation to 15 meters.Issue Fixed: Sometimes perk didn't activate properly.🟡 Heroic Heavy Bolter:Works like a fencing weapon as originally intended.Fixed UI display of accuracy value.ClassesTacticalSignal Jammer: The perk has been reworked. Old: “Enemies marked by Auspex Scan cannot call for reinforcements and automatically explode upon attempting to do so.”New: “After marking an enemy with Auspex Scan, other enemies cannot call for reinforcement and automatically explode upon attempting to do so for 90 seconds.”SniperPrecision Targeting: Now perk works against Extremis and Terminus-level enemies.Guardian Protocol: Removed cooldown.Ambush: Now also slows down nearby enemies for 10 sec. Bulwark Emergency Countermeasure: Cooldown is decreased from 90 to 45 seconds.Vanguard💬 For too long, Vanguard's role was to be a vessel for the squad's healing perks. With these changes, we want to reinforce ranged/melee hybrid playstyle for ...",1764064792,"['mod_reviewed', 'ModAct_1434411615_1764065912_0', 'ModAct_1425146861_1764066956_4', 'mod_require_rereview']"
2183900,Steam Awards 2025,"Greetings Space Marines,  We’re thrilled to announce that Warhammer 40,000: Space Marine 2 is in the running for the ""Labor of Love” category at this year’s Steam Awards! Over the past months, we’ve poured our hearts into refining and expanding the experience, bringing new content and enhancements based on your feedback. If Space Marine 2 has been your go-to shooter that keeps you coming back, show your unwavering devotion to the Emperor of Mankind by casting your vote, and help us bring the trophy back to Holy Terra! After you've voted, gather your fellow Space Marines over vox and let them know they can cast their vote as well!  The Imperium is counting on you!  - The Space Marine 2 Team",1764007250,"['steam_award_nomination_request', 'mod_hide_library_overview']"
