appid,title,contents,date,tags
2001120,Состоялся релиз русской локализации Split Fiction от Mechanics VoiceOver,"Группа <strong>Mechanics VoiceOver</strong> <a href=""https://vk.com/mvo_team?from=search&w=wall-76249462_51590""><strong>объявила</strong></a> о выпуске неофициальной русской локализации <strong>Split Fiction</strong>. Авторы поблагодарили поклонников за поддержу и сообщили, что скачать озвучку можно в соцсетях . ",1764451740,
2001120,Get 20% off Split Fiction!,"Jump into mind-blowing moments and experience the many worlds of Split Fiction, a boundary-pushing co-op adventure from the studio behind It Takes Two. Get 20% off the game before the sale ends on December 4! Mio and Zoe are contrasting writers who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected story of friendship. Two other amazing co-op games from Hazelight are also on sale this period! Save 80% on A Way Out, where you play the role of one of 2 prisoners making their daring escape from prison. What begins as a thrilling breakout quickly turns into an unpredictable, emotional adventure unlike anything seen or played before. Get 75% off It Takes Two and embark on a crazy journey built purely for two co-op players. As Cody and May, you'll master unique and connected character abilities with every new level. https://store.steampowered.com/app/2001120/Split_Fiction/ https://store.steampowered.com/app/1222700/A_Way_Out/ https://store.steampowered.com/app/1426210/It_Takes_Two/ Offers may vary or change. See retailer for details.",1763733298,
2001120,Split Fiction & It Takes Two Soundtrack Out Now,"The Split Fiction and long-overdue It Takes Two soundtracks are now available on Steam!It’s the perfect way to revisit Mio and Zoe’s story of friendship. Oh, and if you're still humming the award-winning tunes of It Takes Two, that soundtrack is now available too!",1763488640,"['mod_reviewed', 'ModAct_487176015_1763489786_0', 'mod_require_rereview']"
2001120,Mechanics VoiceOver показала процесс озвучки Split Fiction для ПК,"Студия <strong>Mechanics VoiceOver </strong>поделилась фрагментом записи русской озвучки <strong>Split Fiction</strong> для <strong>ПК</strong>. В ролике можно увидеть актёров и актрис за работой, а также фрагменты геймплея со спойлерами. Видео демонстрирует ключевые сюжетные повороты, поэтому его не рекомендуется смотреть, чтобы не испортить впечатления от последующего прохождения. ",1758570120,
2001120,Get 10% Off Split Fiction!,"It's the perfect time to jump into the boundary-pushing co-op adventures of Split Fiction, from the studio of It Takes Two! Get 10% off the critically-acclaimed game between Sep 11-Sep 25*, grab a friend, and get ready to overcome any obstacle thrown your way. *Offers may vary or change. See retailer for details. **Friend’s Pass requires installation of the Friend’s Pass, persistent internet connection and applicable platform account. One user must own the full game in order for the co-op player to play the full game.",1757934081,"['ModAct_1425146861_1757935667_2_20', 'mod_reviewed', 'ModAct_1425146861_1757935669_0', 'mod_require_rereview']"
2001120,Энтузиасты выпустили второй демо-трейлер русской озвучки Split Fiction для ПК,"Студия <strong>Mechanics VoiceOver </strong>опубликовала второй трейлер неофициального отечественного дубляжа<strong> Split Fiction</strong> для <strong>ПК</strong>. Команда провела демонстрацию, в которой познакомила зрителей с русскими голосами нескольких новых персонажей и показала небольшую нарезку закулисья локализации игры. ",1749697140,
2001120,Sony и Amazon сражаются за адаптацию Split Fiction,"<strong>Deadline</strong> сообщает, что экранизация <strong>Split Fiction</strong> вызвала большой интерес у представителей киноиндустрии. После ошеломляющих результатов адаптации игры <strong>Minecraft</strong> в прокате <strong>Sony</strong> и <strong>Amazon</strong> с её <strong>MGM Studios</strong> готовы выделить на производство миллионы долларов. Последняя занимает более выгодную позицию в переговорах и собирается заключить сделку к началу следующей недели. ",1747511820,
2001120,Split Fiction has sold 4 Million copies!,"{STEAM_CLAN_IMAGE}/45343552/224e6633304dd8623b1975e4858791ff6b905a1c.jpg 4 MILLION SOLD!!!! So many of you have picked up Split Fiction already, it’s amazing… 🤯 Seeing the fun you have with our game and the love you show for Mio, Zoe and each other warms our hearts here at Hazelight ❤️ And so many hot dogs made… 😨 If you are looking for someone to play with, join the Hazelight Studios Discord today and find the Mio to your Zoe in the Looking For Game channels! {STEAM_CLAN_IMAGE}/45343552/d1d7577c73ae0135760c794a8fdca24d3d22ba41.gif https://store.steampowered.com/app/2001120/Split_Fiction/",1747306850,
2001120,Split Fiction нашла 4 миллиона покупателей — Electronic Arts очень довольна,"<strong>Hazelight Studios</strong> отпраздновала успех <strong>Split Fiction</strong> (<a href=""https://gamemag.ru/reviews/split-fiction-xbox-playstation-review""><strong>наш обзор</strong></a>) — кооперативная игра разошлась тиражом <strong>более 4 миллионов копий</strong> . <strong>Electronic Arts</strong> поделилась статистикой в ходе презентации квартального отчета, назвав запуск детища <strong>Юсефа Фареса</strong> ""невероятно успешным"". ",1746586680,
2001120,Sydney Sweeney To Star in Split Fiction’s Big Film Adaptation,"After news of a bidding war for film rights escalated, the film adaptation of Hazelight Studios’ <em>Split Fiction</em> video game has cast Sydney Sweeney as a lead for the film. Just one month ago it was revealed that Hazelight Studios’ <a href=""https://www.cgmagonline.com/review/game/split-fiction-ps5-review/"" data-type=""link"" data-id=""https://www.cgmagonline.com/review/game/split-fiction-ps5-review/"">latest co-op game</a>, <em>Split Fiction</em>, would be coming to the silver screen if <a href=""https://www.cgmagonline.com/news/split-fiction-movie-reportedly-coming/"" data-type=""link"" data-id=""https://www.cgmagonline.com/news/split-fiction-movie-reportedly-coming/"">Hollywood wants</a>. During the Game Developers Conference 2025, unnamed sources claimed the media company Story Kitchen was putting together a package of movie professionals to make the film adaptation movie rights more appealing. At the time of that report, “top Hollywood studios” have reportedly made offers for the film rights. The previous reports of media company Story Kitchen’s involvement have now been confirmed, as <a href=""https://variety.com/2025/film/news/split-fiction-movie-sydney-sweeney-jon-m-chu-video-game-1236377192/"" data-type=""link"" data-id=""https://variety.com/2025/film/news/split-fiction-movie-sydney-sweeney-jon-m-chu-video-game-1236377192/"" target=""_blank"" rel=""noopener"">Variety reports</a> today the <em>Split Fiction</em> film will be produced by Mike Goldberg and Dmitri M. Johnson’s Story Kitchen (formerly known as dj2 Entertainment). On top of Story Kitchen’s involvement, popular actress Sydney Sweeney has just... <a href=""https://www.cgmagonline.com/news/split-fiction-film-adaptation-star/"">Read more</a> ",1745563798,
