appid,title,contents,date,tags
413150,"Eric Barone doesn't want to 'reveal much yet,' but Stardew Valley's 1.7 update is starting to sound like another big one","It looks like <a href=""https://www.pcgamer.com/stardew-valley/"">Stardew Valley</a> creator Eric Barone may be getting up to his old shenanigans again, and by 'old shenanigans' I mean turning a small, <em>just one more thing</em> update into a big, beefy add-on. Barone said shortly after confirming the Stardew Valley 1.7 update is on the way that ""it’s <a href=""https://www.pcgamer.com/games/sim/eric-barone-says-he-doesnt-want-too-much-hype-for-stardew-valleys-1-7-update-which-is-a-bit-like-showing-the-internet-a-big-red-button-marked-do-not-press/"">hard to just stop improving it</a> when there are still things that can be improved,"" but in a more recent post he pretty strongly implied that there's a lot more in the pipe than just improvements... <a href=""https://www.pcgamer.com/games/life-sim/eric-barone-doesnt-want-to-reveal-much-yet-but-stardew-valleys-1-7-update-is-starting-to-sound-like-another-big-one/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765990986,
413150,Stardew Valley Merchandise by Fangamer -- Special Promotion,"Hello everyone, With the ""Feast of the Winter Star"" fast approaching, I would like to share a special promotion from Stardew Valley's merchandise partner, Fangamer. They make some of the coolest merch, and they are doing a free shipping thing for the holidays (Details below). Check it out!links:Worldwide: https://fanga.me/r/stardew-valley-holidays-2025EU and UK: https://fanga.me/r/stardew-valley-holidays-2025-euFrom November 14 to December 1, every in-stock item in Fangamer's Stardew Valley collection will ship for free within the US and at a discounted international rate, in addition to building up store credit for future orders. If you're in Europe and the UK, you can also get free shipping from Fangamer EuropeStardew Valley stationary set Some things of note: -The Spanish translation of the guidebook is now availableStardew Valley mug (I personally use this mug)-You can now decorate your tree with the first ever Stardew Valley ornament (made of wood)Krobus plush (squash unfortunately not included with purchase) everyone's favorite shopkeeper (bag) Alright thanks for reading, and if you have any interest in Stardew Valley physical merchandise, please check out Fangamer's collection. Thank you-Apeːstardropː",1763747889,
413150,"Eric Barone says he doesn't want 'too much hype' for Stardew Valley's 1.7 update, which is a bit like showing the internet a big red button marked DO NOT PRESS","Eric ""ConcernedApe"" Barone can't help himself. The long and glorious journey of Stardew Valley development was supposed to be capped off with the major 1.6 update, which in Barone's words this April left the game in ""<a href=""https://www.pcgamer.com/games/life-sim/after-getting-stardew-valley-to-a-good-place-with-update-1-6-eric-barone-is-now-fully-focused-on-his-next-game-im-committed-to-not-working-on-stardew-valley-until-im-done-with-haunted-chocolatier/"" target=""_blank"">a good place</a>""—so good he wouldn't be ""working on Stardew Valley until I'm done with Haunted Chocolatier."".. <a href=""https://www.pcgamer.com/games/sim/eric-barone-says-he-doesnt-want-too-much-hype-for-stardew-valleys-1-7-update-which-is-a-bit-like-showing-the-internet-a-big-red-button-marked-do-not-press/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1758581117,
413150,"Yes, Stardew Valley's newly announced update will probably slow down work on Haunted Chocolatier, 'but not as much as you might think'","Stardew Valley creator Eric Barone, who said in April that he's ""<a href=""https://www.pcgamer.com/games/life-sim/after-getting-stardew-valley-to-a-good-place-with-update-1-6-eric-barone-is-now-fully-focused-on-his-next-game-im-committed-to-not-working-on-stardew-valley-until-im-done-with-haunted-chocolatier/"">committed to not working on Stardew Valley</a> until I'm done with <a href=""https://www.pcgamer.com/haunted-chocolatier/"">Haunted Chocolatier</a>,"" announced last week that he's <a href=""https://www.pcgamer.com/games/life-sim/bless-him-eric-barone-cannot-stop-updating-stardew-valley-has-announced-version-1-7-is-coming/"">working on Stardew Valley again</a>. Well, hey, these things happen. But the good news (aside from more Stardew Valley) is that while Haunted Chocolatier might take a little longer to arrive as a result of the ongoing Stardew efforts, it probably (maybe) won't make a huge difference... <a href=""https://www.pcgamer.com/games/life-sim/yes-stardew-valleys-newly-announced-update-will-probably-slow-down-work-on-haunted-chocolatier-but-not-as-much-as-you-might-think/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1756915401,
413150,"Stardew Valley update 1.7 may delay Haunted Chocolatier ""a little,"" says dev","Fans have expressed concern that <strong>Stardew Valley</strong> developer Eric 'ConcernedApe' Barone is splitting his time between the classic life simulator and his highly anticipated, forthcoming release <strong>Haunted Chocolatier</strong>. The outcry comes after he announced update 1.7 for Stardew Valley, a major expansion that will take up a lot of time and energy. However, Barone has published a blog post to explain that 1.7 may only delay Haunted Chocolatier ""a little, but not as much as you might think."" <a href=""https://www.pcgamesn.com/stardew-valley/update-1-7-haunted-chocolatier-delay"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/haunted-chocolatier/fishing-confirmed"">Stardew Valley dev confirms Haunted Chocolatier will have my most-wanted feature</a> <a href=""https://www.pcgamesn.com/haunted-chocolatier/release-date"">Haunted Chocolatier release date estimate and latest news</a> <a href=""https://www.pcgamesn.com/haunted-chocolatier/world-size-stardew-valley"">Haunted Chocolatier's world is bigger than Stardew Valley, ConcernedApe says</a> ",1756908636,
413150,"Infinity Nikki's latest update lets you build your dream home, and pal up with a Stardew Valley Junimo","<a href=""https://www.vg247.com/games/infinity-nikki"">Infinity Nikki</a> has kicked off a surprising new cross-over with its latest update. The new patch, version 1.9, is live now, and heralds the start of a new season alongside the aforementioned collaboration. <a href=""https://www.vg247.com/infinity-nikki-update-1-9-stardew-valley-collaboration"">Read more</a> ",1756814086,
413150,"""The cat's out of the bag"" - Stardew Valley update 1.7 revealed, bagged cat content TBC","<a href=""https://www.rockpapershotgun.com/games/stardew-valley"">Stardew Valley</a> will get at least one more significant game update, says Eric ""ConcernedApe"" Barone, mere months after <a href=""https://www.rockpapershotgun.com/eric-barone-the-guy-who-cant-stop-updating-stardew-valley-says-the-words-i-might-eventually-make-a-stardew-valley-2"">stating</a> that he doesn't ""want to just be the Stardew Valley guy."" It'll be called update 1.7, and the trimness of the numbering implies that it'll be a large one. For context, <a href=""https://www.rockpapershotgun.com/stardew-valleys-huge-update-16-brings-new-items-pets-and-progression-and-more-players-in-co-op"">Stardew Valley update 1.6</a> brought eight player PC co-op, new crops, a lot more NPC dialogue, a mastery system, new pets, and the ability to give those pets hats (which <a href=""https://www.rockpapershotgun.com/stop-putting-hats-on-your-pets-asks-stardew-valley-creator"">caused a few problems</a>). <a href=""https://www.rockpapershotgun.com/the-cats-out-of-the-bag-stardew-valley-update-17-revealed-bagged-cat-content-tbc"">Read more</a> ",1756727034,
413150,"Bless him, Eric Barone cannot stop updating Stardew Valley, has announced version 1.7 is coming","""I'm committed to not working on Stardew Valley until I'm done with Haunted Chocolatier,"" Eric 'ConcernedApe' Barone <a href=""https://www.pcgamer.com/games/life-sim/after-getting-stardew-valley-to-a-good-place-with-update-1-6-eric-barone-is-now-fully-focused-on-his-next-game-im-committed-to-not-working-on-stardew-valley-until-im-done-with-haunted-chocolatier/"">told us earlier this year</a>. And that commitment lasted all of four months, I guess... <a href=""https://www.pcgamer.com/games/life-sim/bless-him-eric-barone-cannot-stop-updating-stardew-valley-has-announced-version-1-7-is-coming/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1756609086,
413150,Stardew Valley dev confirms Haunted Chocolatier will have my most-wanted feature,"<strong>Haunted Chocolatier</strong> is already a pretty sweet concept. You live in a cozy town, doing cozy town things like brewing chocolate in a massive castle. How could life get any better? With mini-games, that's how. On top of sharing a stunning new screenshot of the game, developer Eric 'ConcernedApe' Barone has nonchalantly revealed one of <strong>Stardew Valley</strong>'s most iconic hustles is making a grand return. But let's just hope it's not as maddening this time... <a href=""https://www.pcgamesn.com/haunted-chocolatier/fishing-confirmed"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/haunted-chocolatier/release-date"">Haunted Chocolatier release date estimate and latest news</a> <a href=""https://www.pcgamesn.com/haunted-chocolatier/world-size-stardew-valley"">Haunted Chocolatier's world is bigger than Stardew Valley, ConcernedApe says</a> <a href=""https://www.pcgamesn.com/haunted-chocolatier/screenshots"">Stardew Valley creator gives us another glimpse at Haunted Chocolatier</a> ",1756299695,
413150,"Eric Barone says he doesn't get paid for Stardew Valley collabs, and that's the way he likes it: 'I wouldn't want to make money from a collaboration'","We learned earlier today that Stardew Valley and Infinity Nikki are <a href=""https://www.pcgamer.com/games/adventure/stardew-valley-is-making-an-incredibly-rare-collaboration-appearance-in-a-cosy-gacha-game-of-all-places/"">teaming up for a collaboration</a> of some sort that's set to land on September 1—a crossover that PC Gamer's Infinity Nikki superfan Mollie Taylor as ""surprising,"" because ""Stardew Valley doesn't do this sort of thing very often."".. <a href=""https://www.pcgamer.com/games/life-sim/eric-barone-says-he-doesnt-get-paid-for-stardew-valley-collabs-and-thats-the-way-he-likes-it-i-wouldnt-want-to-make-money-from-a-collaboration/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1755803728,
