appid,title,contents,date,tags
1716740,"With Starfield's promised ""exciting things"" for 2025 still yet to materialize, it feels like we've been left to suffocate in space","It's been a long, disappointing road for <strong>Starfield</strong> fans this year. And last year, quite frankly. Including for yours truly. After an exruciatingly long wait for what millions thought would be one of the <a href=""https://www.pcgamesn.com/15-best-pc-space-games"">best space games</a> ever, the reception to Bethesda Game Studio's first new IP in decades didn't exactly go down a solar storm. A black hole of negativity quickly swallowed Todd's big space-faring adventure, with complaints ranging from how interstellar exploration was a bizarrely absent part of its otherworldly premise, and how planetary exploration was, for lack of a better term, boring. And that stung a little. But perhaps not as much as the wait for a ""more rewarding"" experience out in the Settled Systems. <a href=""https://www.pcgamesn.com/starfield/2025-update-missing"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/starfield/mods-best"">Best Starfield mods</a> <a href=""https://www.pcgamesn.com/starfield/dev-interview-criticism-fallout-the-elder-scrolls"">Starfield isn't the ""caliber"" of Fallout or Elder Scrolls, says former dev, but ""it would have been received differently"" if it weren't from Bethesda</a> <a href=""https://www.pcgamesn.com/starfield/discount-lowest-price"">Starfield's latest discount is out of this world, so grab it while you can</a> ",1765629045,
1716740,"""Хорошая, но до лучших игр студии не дотягивает"": Бывший продюсер Bethesda оценил Starfield для Xbox Series X|S","Многие поклонники <strong>Bethesda</strong> считают, что <strong><a href=""https://gamemag.ru/reviews/starfield-xbox-series-x-review"">Starfield</a> </strong>могла бы получиться более знаковой игрой, если бы у команд<strong>ы Тодда Говарда</strong> было больше времени на разработку. Спустя два года после релиза громкой RPG к этим обсуждениям решил присоединиться бывший продюсер<strong> Bethesda Брюс Несмит </strong> — он же ведущий дизайнер <strong>The Elder Scrolls V: Skyrim</strong> и сценарист квестов последних <strong>Fallout</strong>. ",1761147000,
1716740,Starfield Featured Creations – Halloween Edition,"Halloween is fast approaching! As the spooky season draws near, add some flavor to your playthrough with any of these hand-picked Creations by some of the finest Creators in the Settled Systems.(Please note that Creations are not available in all languages.)Cryomancers – A New Faction by zone79 – 800 CreditsWhile not explicitly Halloween-related, there’s something decidedly scary about being frozen to death… and that’s exactly what the Cryomancers will do to anyone that stands in their way. This Creation introduces a brand-new faction stemming from the Spacers that use Cryogenics in their technology.Play through a new mission that will lead you through their headquarters and find new weapons, companions, a ship with a custom interior, and fully furnished player home along the way.CombaTech Halloween Skin Pack by Captain-Ultima – FREEThis free Creation by Captain-Ultima lets you bring the spirit of Halloween with you anywhere in the Settled Systems, with custom Halloween skins for weapons like the Beowolf, Grendel, Drum Beat, Solstice, and more.Dredgeborn Spacesuit by FeekaMalloy – 400 CreditsFeekaMalloy was inspired by the art style of H.R. Giger when making the Dredgeborn Spacesuit, a spacesuit designed for true space horror fanatics. With formidable stats and three additional skin options that lean into the space horror theme, this is the perfect spacesuit for the season!Useful Morgues by korodic – 300 CreditsEver wish you could do more than loot your enemies after you take them down? Useful Morgues might be the Creation for you. This Creation adds a whole new type of hab unit, available in 2x1 variants, from Deimos, HopeTech, Nova, Stroud, and Taiyo. These include a custom workbench, which is an autopsy table that you can use to extract harvested organs from corpses collected with a new “bag” option. But be warned—corpses count as contraband and are quite heavy.1-of-a-Kind Cursed Rovers by JMPZ11 – FREENothing says “terrifying” quite like a REV-8 with human legs for wheels. This free Creation by JMPZ11 introduces just that, along with three other purposefully disturbing vehicle options for the traveler who wants the most unsettling way to get from point A to point B.",1761146704,
1716740,"Starfield isn't the ""caliber"" of Fallout or Elder Scrolls, says former dev, but ""it would have been received differently"" if it weren't from Bethesda","<strong>Starfield</strong> managed to be both one of my favorite games of 2023 and one of my biggest videogame disappointments ever. I sank well over 100 hours into it, and enjoyed the flashes of Bethesda brilliance it exhibited, but my lofty expectations weren't matched. The developer's renowned for making some of the <a href=""https://www.pcgamesn.com/15-best-rpgs-pc"">best RPGs</a> ever with Fallout and The Elder Scrolls, but Starfield couldn't entirely replicate its past magic due to the sheer size of its galaxy. Now, a Bethesda veteran who's worked across all three IPs has given his verdict. While adamant it's still ""a great game"" that the studio should be proud of, he knows it's nowhere near ""the same caliber"" as Fallout and TES. <a href=""https://www.pcgamesn.com/starfield/dev-interview-criticism-fallout-the-elder-scrolls"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/starfield/mods-best"">Best Starfield mods</a> <a href=""https://www.pcgamesn.com/starfield/discount-lowest-price"">Starfield's latest discount is out of this world, so grab it while you can</a> <a href=""https://www.pcgamesn.com/starfield/dlc-teaser-terran-armada"">Second Starfield DLC seemingly teased by Bethesda in new anniversary message</a> ",1761074743,
1716740,"Former Bethesda designer says Starfield fell flat because of its reliance on procgen planets: 'I don't think it's in the same calibre as the other two, Fallout or Skyrim'","Since its launch in 2023, Starfield has cemented a reputation as Bethesda's okayest game. While Skyrim has been honored with what felt like 800 re-releases and Fallout's enjoying its time in the TV adaptation spotlight, Starfield hasn't managed to foster the same level of fondness—even with Bethesda <a href=""https://www.pcgamer.com/games/rpg/starfield-fans-are-pretty-sure-bethesda-just-dropped-the-first-teaser-for-the-games-second-expansion-we-look-forward-to-the-adventures-yet-to-come/"">leaving sneaky little teasers</a> in its spacefaring RPG's birthday card... <a href=""https://www.pcgamer.com/games/rpg/former-bethesda-designer-says-starfield-fell-flat-because-of-its-reliance-on-procgen-planets-i-dont-think-its-in-the-same-calibre-as-the-other-two-fallout-or-skyrim/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1761070098,
1716740,Инсайдер: Владельцы PlayStation 5 останутся без Starfield в 2025 году,<strong>Bethesda</strong> и <strong>Microsoft </strong>не планируют выпускать <strong>Starfield </strong>на<strong> PlayStation 5</strong> в 2025 году — теперь владельцам консолей <strong>Sony </strong>придётся ждать до следующего года. Информацией поделился авторитетный инсайдер <strong>NateTheHate</strong>. ,1761001440,
1716740,"Starfield's latest discount is out of this world, so grab it while you can","After two years, I've certainly warmed up to Bethesda's massively-hyped <strong>Starfield</strong>. As far as the <a href=""https://www.pcgamesn.com/15-best-rpgs-pc"">best RPGs</a> go, it stands out thanks to its focus on sci-fi over fantasy and for offering a break from the post-apocalyptic Fallout series or ye olde nature of Elder Scrolls. Spending time searching the universe for answers while dealing with a huge variety of human and alien enemies makes for a space-faring road trip and a half, and you can grab it at an out-of-this-world price for only a few days. <a href=""https://www.pcgamesn.com/starfield/discount-lowest-price"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/dune-awakening/vip-mystery-bundle-verified"">This is your last chance to get Dune Awakening for under $5</a> <a href=""https://www.pcgamesn.com/monster-hunter-wilds/lowest-price-fanatical-sale"">Monster Hunter Wilds gets a monstrous discount, hitting its cheapest price ever</a> <a href=""https://www.pcgamesn.com/elder-scrolls-oblivion-remastered/sale-fanatical-star-deal"">Oblivion Remastered is cheaper than it's ever been, but for one day only</a> ",1758642978,
1716740,Армада приближается: Bethesda тизерит второе сюжетное DLC для Starfield,Компания <strong>Microsoft </strong>и <strong>Bethesda Game Studios </strong>празднуют вторую годовщину со дня релиза <strong>Starfield</strong>. В честь этого в соцсетях разработчики опубликовали новый тизер. ,1757110857,
1716740,Starfield fans are pretty sure Bethesda just dropped the first teaser for the game's second expansion: 'We look forward to the adventures yet to come',"Hard to believe but it's been two years since Bethesda unleashed <a href=""https://www.pcgamer.com/starfield/"">Starfield</a> onto the world, a sci-fi epic that—to torque a metaphor—didn't quite achieve escape velocity. Updates have followed at something of a ponderous pace, but there's been no sign of the second expansion that was promised more than a year ago... <a href=""https://www.pcgamer.com/games/rpg/starfield-fans-are-pretty-sure-bethesda-just-dropped-the-first-teaser-for-the-games-second-expansion-we-look-forward-to-the-adventures-yet-to-come/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1757108649,
1716740,Second Starfield DLC seemingly teased by Bethesda in new anniversary message,"<strong>Starfield</strong> turns two tomorrow, and Bethesda's anniversary message appears to tease the next DLC for the gargantuan space RPG. We'd previously heard rumblings that the second Starfield expansion would be coming some time in 2026, but there were no indications what it could involve... until now. A new celebration post uploaded by Bethesda flickers a hidden message that seems to hint at what's next on the agenda. <a href=""https://www.pcgamesn.com/starfield/dlc-teaser-terran-armada"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/starfield/update-space-travel-dlc-2"">Starfield may soon eliminate one of my biggest gripes as new updates teased</a> <a href=""https://www.pcgamesn.com/starfield/mods-best"">Best Starfield mods</a> <a href=""https://www.pcgamesn.com/starfield/fanatical-sale-dlc"">Grab Starfield and Shattered Space expansion at their lowest price ever</a> ",1757096547,
