appid,title,contents,date,tags
3489700,Stellar Blade boss receives presidential commendation for his contributions to the Korean videogame industry,"Hyung-tae Kim, CEO of Korean game studio Shift Up and director of 2025 gooner game of the year <a href=""https://www.pcgamer.com/stellar-blade/"">Stellar Blade</a>, has received a Presidential Commendation for his contributions to the development of South Korea's videogame industry. A <a href=""https://v-daum-net.translate.goog/v/20251210163514353?_x_tr_sl=ko&_x_tr_tl=en&_x_tr_hl=en-US&_x_tr_pto=wapp"" target=""_blank"">Daum</a> report (via <a href=""https://automaton-media.com/en/news/stellar-blade-director-hyung-tae-kim-receives-award-from-president-of-south-korea-for-contributions-to-game-industry/"" target=""_blank"">Automaton</a>) says the prize honors Kim's work on both Stellar Blade and the game that preceded it, the 2022 action RPG Goddess of Victory: Nikke... <a href=""https://www.pcgamer.com/games/action/stellar-blade-boss-receives-presidential-commendation-for-his-contributions-to-the-korean-videogame-industry/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765907246,
3489700,Nominate Stellar Blade for the Steam Awards 2025 - Outstanding Visual Style,"It’s time to show your support!Stellar Blade has captivated players around the world with its breathtaking art direction, intricate environments, and cinematic detail that brings every moment to life. Vote for Stellar Blade at the Steam Awards 2025 in the category of Outstanding Visual Style and help recognize the incredible artistry that makes it one of the most visually stunning games of the year.Also, Stellar Blade is currently 20% off on Steam until Dec. 2—there’s never been a better time to experience it yourself and see why it deserves your vote!",1764007264,"['steam_award_nomination_request', 'mod_hide_library_overview']"
3489700,Ex-PlayStation boss reckons 'growing confidence' of Korean developers 'owe something to Stellar Blade's influence',"Former PlayStation boss Shuhei Yoshida reckons that increasing confidence among Korean game developers is at least partly in thanks to Stellar Blade... <a href=""https://www.pcgamer.com/games/action/ex-playstation-boss-reckons-growing-confidence-of-korean-developers-owe-something-to-stellar-blades-influence/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1762864509,
3489700,《Stellar Blade》PC - 1.4.1 Patch notes,"🔸After one ending comes another beginning — explore three epilogues that reveal the lives of EVE and the people of Xion following a specific ending.🔸A new hidden request has been added to the Request Board.🔸When using Photo Mode via the Odyssey 3D Hub, screenshots will now be saved in the “Screenshots” folder located in the Stellar Blade executable directory.🔸Various other bug fixes.",1759194055,['patchnotes']
3489700,《Stellar Blade》PC - 1.4.0 Patch notes,"🔸As a token of appreciation for all the love and support from our players, we've prepared 6 newly arranged tracks based on existing BGM.Visit 'The Last Gulp' in Xion to receive 'A Thank You Gift From Enya'-The Song of the Sirens (Arrange)-Star Descent (Arrange)-Arisa (Arrange)-Democrawler (Arrange)-Everglow (Arrange)-Hypertube (Arrange)🔸Players with the Complete Edition can now claim an exclusive CD-KEY for 『胜利女神: 新的希望』Players who have already redeemed a CD-KEY on another server can still claim an additional CD-KEY for this server.🔸Fixed an issue where, on PC, using a controller with 'Swap Confirm/Cancel Buttons' enabled would cause the UI to display incorrectly after completing a quest.🔸Fixed an issue during the 'Oblivion' side-quest where the flooded water would disappear before reaching the sewage control device step, preventing progression.🔸Fixed an issue in Orbital Elevator - 'CARGO LIFT 121' where resting during elevator dialogue could occasionally cause the dialogue to restart or the elevator to freeze.🔸Fixed an issue in Boss Challenge where Scarlet would disappear during a phase transition cutscene if Tachy Mode was activated.🔸Improved key input handling so that Left/Right variants (L/R) of modifier keys (Ctrl, Alt, Shift, Cmd) are now recognized as the same input.🔸Fixed an issue in the NIKKE collaboration mini-game where using 'Burst Skill △' on specific monsters would make them immune to Eve’s ranged attacks, preventing progress.🔸Fixed an issue where dodging became unavailable if the player attempted to dodge while shooting after using 'Burst Skill X' in the NIKKE mini-game.🔸Fixed an issue where the reeling icon appeared gray after switching the fishing method from 'Reel In Controls' to 'Timing Controls' input.🔸Fixed an issue where a black box would appear on screen when playing on a Samsung Odyssey 3D monitor.🔸Various other bug fixes",1758675761,['patchnotes']
3489700,《Stellar Blade》PC - 1.3.2 Patch notes,"🔶 Stellar Blade will be playable in 3D via the Samsung Odyssey 3D Hub (official site) update on August 29th at 08:00 PDT.\- A Samsung Odyssey 3D Display is required.- The game must be initialized through Samsung Odyssey 3D Hub.- For other matters, please refer to the manufacturer's official website for support and recommended hardware.",1756188083,['patchnotes']
3489700,《Stellar Blade》PC - 1.3.1 Patch notes,"🔸Fixed an issue where the FSR and DLSS Frame Generation features were disabled due to incorrect detection of the 'Hardware-accelerated GPU scheduling' setting on certain systems.For Windows 10 users, please follow these steps to enable 'Hardware-accelerated GPU scheduling':1. Type 'Graphics Settings' in the Windows search bar and open the \ menu.2. In the Graphics Settings menu, enable \.3. Restart your PC to apply the changes.🔸Fixed an issue where the 'FSR 3 Frame Generation' feature could not be enabled on certain UMPC devices.",1755064885,['patchnotes']
3489700,《Stellar Blade》PC - 1.3.0 Patch notes,"🔸Improved Photo Mode so that when selecting a logo, the logo control indicator is now displayed.🔸Fixed an issue where players were unable to exit the shop after purchasing the 'Polarized Sunglasses' from Clyde’s shop.🔸Fixed an issue where Eve’s hair would not appear during the final Elder Naytiba cutscene when wearing the 'Fluffy Bear' or 'Pink Bear' outfits.🔸Fixed an issue where Eve's final Korean voice-over line was cut off during the 'Lost Items from Heaven' conversation with Clyde in the Great Desert.🔸Fixed an issue where Eve’s arm would occasionally appear unnatural in Photo Mode when wearing the 'Black Pearl' or 'Red Pearl' outfits.🔸When using FSR upscaler, restarting the game is now required to enable frame generation.🔸Fixed an issue where the Fusion Weapon was not visible when beginning the fight against the Airborne Squad after defeating Providence.🔸Fixed an issue where using the numpad on the keyboard to trigger skills in the Training Room caused the training system to become unresponsive.🔸Fixed an issue where, when fishing for the 'Betta' fish with mouse and keyboard, the gray striped pattern of the progress bar would obscure the reel-in progress bar.🔸Fixed an issue where, when using the 'Stinger', target lock-on would not function correctly under specific input conditions.🔸Fixed an issue where the zoom function in the Hair Salon menu would not respond to controller or keyboard input.🔸Fixed an issue where dialogue would occasionally not display after interacting with Adam in the Eidos 9 Atelier.🔸Fixed an issue where Dororong would occasionally not appear during their introduction scene in Xion.🔸Fixed an issue where newly unlocked items would not immediately appear after increasing shop affinity level.🔸Improved the save timestamp system so that time since last save is now accurately displayed based on successful saves, rather than attempted saves.🔸Enhanced the save failure message by changing it to yellow for better visibility.🔸Various other bug fixes.",1754272929,['patchnotes']
3489700,《Stellar Blade》PC - 1.2.0 Patch notes,"🔸 Along with the 1.2.0 patch, Stellar Blade items are coming to the Steam Points Shop!- Badges, Trading Cards, Still and Animated Backgrounds, Stickers, and more!🔸As a token of appreciation for all the love and support from our players, we've prepared 7 newly arranged tracks based on existing BGM.Visit ""The Last Gulp"" in Xion to receive ""A Thank You Gift From Enya""- Don’t Forget Me (Trio)- Flooded Commercial Sector (Trio)- Clock Tower (Trio)- White Night (Trio)- Wasteland – Reboot (Trio)- Oasis (Trio)- Don’t Forget Me (Refresh)🔸""Hard Mode"" is now available from the start of the game. ""Hard Mode"" is also unlocked for Boss Challenge.🔸If saving fails during gameplay, a save failure message will be displayed at the center-left of the screen.🔸A save file recovery feature has been added. If a save becomes corrupted, a backup save can now be restored upon launching the game.🔸In the graphics options menu, the Expected VRAM display has been improved to display both current usage and expected maximum usage.🔸Fixed an issue during the quest ""Where Is The Fantastic Bait?"" where the bait dropped from underwater boxes was occasionally unobtainable.🔸Fixed an issue where the logo rotation key did not work in Photo Mode when using an AZERTY keyboard.🔸Fixed an issue where EVE’s gun would occasionally disappear on some PCs after using a Burst Skill in the NIKKE mini-game.🔸Fixed an issue where, upon entering the ""Demogorgon"" battle, the camera would sometimes move away from the intended position, making aiming impossible.🔸Fixed an issue where the artbook would occasionally not appear on the title screen after completing the first playthrough.🔸Players who obtained the ""Planet Diving Suit (2nd)"" by connecting their PlayStation Network account can now purchase the ""Design Pattern: Planet Diving Suit (2nd) V2"" at Roxanne’s shop during New Game +.🔸Fixed an issue where entering Boss Challenge while wearing ""Planet Diving Suit (6th) V3"" would cause the outfit to revert to the ""Skin Suit"".🔸Fixed an issue during the Scarlet battle where QTEs could cause abnormal character motion and camera behavior.🔸Fixed an issue where the game would occasionally crash when entering Photo Mode.🔸 Various other bug fixes.",1751439775,['patchnotes']
3489700,Steam Global Top Sellers for week of 17 Jun — 24 June 2025,"<a href=""https://steamdb.info/topsellers/2025W26/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS""> </a> * <a href=""https://steamdb.info/app/2138720/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">REMATCH</a>; * <a href=""https://steamdb.info/app/1172710/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dune: Awakening</a>; * <a href=""https://steamdb.info/app/381210/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Dead by Daylight</a>; * <a href=""https://steamdb.info/app/3527290/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">PEAK</a>; * <a href=""https://steamdb.info/app/1675200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Steam Deck</a>; * <a href=""https://steamdb.info/app/3489700/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Stellar Blade™</a>; * <a href=""https://steamdb.info/app/2358720/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Black Myth: Wukong</a>; * <a href=""https://steamdb.info/app/1604270/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">Broken Arrow</a>; * <a href=""https://steamdb.info/app/3350200/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">情感反诈模拟器</a>; * <a href=""https://steamdb.info/app/2622380/charts/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">ELDEN RING NIGHTREIGN</a>; <i>* excluding free to play games</i> <a href=""https://steamdb.info/topsellers/2025W26/?utm_source=Steam&utm_medium=Steam&utm_campaign=SteamRSS"">View top 100 on SteamDB</a>",1750755600,
