appid,title,contents,date,tags
1468810,"🎯 Dive into Card-Based Narration, Sandbox Cultivation, and Fluid Combos!","🎯 Dive into Card-Based Narration, Sandbox Cultivation, and Fluid Combos! In appreciation of player support, the developers of ""Sultan's Game,"" ""Tale of Immortals,"" and ""BlazBlue Entropy Effect"" have launched a Limited-Time Bundle, offering an exclusive 20% discount! If you're looking to explore more amazing Chinese indie games, now is the perfect time! Additionally, we invite you to take a closer look at ""AI-Limit,"" which is currently available at its deepest discount ever.",1762133347,
1468810,【Version 1.2.111 Update Content】,"1.Five Blooms characters can now join the player character's Sect. (Requires the player character to hold a position of Elder or higher in the Sect, and each 2.Five Blooms character must have progressed sufficiently in their respective storylines to be invited).3.Fixed an issue where the Soul Reaver did not drop during Body Reconstruction caused by Soul Reaver's Retribution, which could potentially cause progression to stall.4.Fixed an issue where, under certain circumstances, the mini-game for learning secret manuals would not be skipped after triggering Lan You's event to learn a manual.5.Fixed an issue where some events for Five Blooms (Tianxiang) could disappear abnormally under certain circumstances.6.Fixed an issue where no rewards were given for certain specific interactions with Yin'er.7.Fixed an issue where Shuang Ling's residence could become non-interactive under certain circumstances.8.Fixed an issue where, under certain circumstances, players could not send Invites to the Five Blooms.9.Corrected a text error related to gaining extra Knowledge after consuming a Purple Lotus Seed.10.Fixed an issue where maps in some instances could display with seams at specific screen resolutions.11.Optimized the issue where events on the world map were not properly deleted after the death of characters in the Twin Sisters adventure storyline.12.Fixed incorrect skill description texts for some monsters within the Eye of Providence interface.13.Fixed an issue where the number of Artifact Spirit's Talents did not match the actual count for common Artifact Spirits.14.Fixed an issue where kills by some of the player's Summoned Units during Repelling Wave of Monsters did not contribute to Battle Contribution.15.Fixed an issue where the Mirage Miasma effect could affect the Mind Demon in Fallen Valley, causing it to apply Poison to itself.",1750424497,['patchnotes']
1468810,【Version 1.2.110 Update Content】,"1. Fixed the issue where in certain situations, dying in instances where true death does not occur would trigger the death-prevention effect of artifacts (e.g., Spar, Sect Tournament, Immortal Tournament, etc.). 2. Fixed the issue where the progress bar would become stuck when loading into the Monster Resisting Altar to defend against the Wave of Monsters in some cases. 3. Fixed the issue where the title (World Champion) could not be unlocked. 4. Fixed the issue where the quest (Distant Sound Waves) could not be completed under certain circumstances. 5. Fixed the issue where some achievements could not be unlocked after clearing the game. 6. Fixed the issue where characters associated with the Illusion Root would refuse invitations. 7. Fixed the issue where the Ao Yao quest (Infiltrate Sect) could not be completed under certain circumstances. 8. Fixed the issue where, after learning a Manual in an event location on the world map and subsequently triggering the Lan You storyline battle, the event might disappear. 9. Optimized the prompts for using items in the later stages of the Lan You storyline. 10. Fixed the issue where the subsequent story of Lan You could not be advanced in some situations. 11. Fixed the issue where certain options in the Five Blooms Tianxiang storyline could be clicked repeatedly. 12. Fixed the issue where the final battle scene in the Adventure (Alchemist's Ambition) displayed abnormally. 13. Fixed the issue in Adventure (Twin Sisters adventure) where, after a main character's death scene was forcibly ended, the larger world did not disappear accordingly. 14. Fixed the issue where, after reloading a save, the destiny bonus from the Spirit Sight Liquor Soul Tavern was ineffective.",1745047094,['patchnotes']
1468810,[Version 1.2.109 Update Content],"1. Added the Sect Tournament acceleration feature (check ""Enable Acceleration"" at the bottom left of the Sect Tournament - Points Race interface, or check ""Enable Acceleration"" at the bottom left of the Points Race deployment interface). 2. Added the feature to toggle the battle status of the Soul Reaver. 3. Fixed issues with Five Blooms Tianxiang's enhanced skill (Lightning Eye) where the consumption of Thunder Surge did not increase the duration, and when there was only one enemy present, it did not increase the range. 4. Optimized some plot descriptions for Five Blooms (including quest guidance and the potential impact of choices). 5. Fixed the issue where there was no Letter following Ao Ya's return in certain situations. 6. Fixed the issue where deaths caused by plot events in certain situations would consume the character's Destiny (Nurture) or Artifacts effects for revival. 7. Fixed the issue where the Sect Tournament's Arena could freeze in certain situations. 8. Fixed the issue where hats were not displayed correctly on units during battles. 9. Fixed the issue where the Elixir Recipe (Imp EXP Elixir) could not be obtained in certain situations. 10. Fixed the mismatch between Jianyi's Heavenly Art description and the visual effects. 11. Fixed the issue with incorrect materials required for Ugly Sage's Demon's Arena. 12. Fixed incorrect dialogue during certain interactions between the player and Ugly Sage.",1743660121,['patchnotes']
1468810,[Version 1.2.108 Update Content],"1. Added post-interaction events for Five Blooms: - General: Invitation interactions. - Ao Yao: Punishing enemies, disrupting rival sects, emergency combat rescues. - Lan You: Threatening rival sect leaders. - Shuang Ling: Rebuking defamers, rescuing elders, entrusting friends with gifts. - Yin'er: Persuading enemies to retreat. - Tianxiang: Rebuking defamers, preventing enemies from pursuing. 2. Fixed an issue where special NPC invitations would freeze in dungeons under certain circumstances. 3. Fixed a problem where Five Blooms NPCs would agree with others defaming the player in certain scenarios. 4. Optimized the issue where the Tao Realm dungeon couldn't settle or exit properly under certain conditions. 5. Optimized feedback for Soul Reaver NPCs fleeing when encountering multiple enemies during combat. 6. Optimized the issue where the Spirit Sight Ultimate Skill Soul entry was not unlocked. 7. Fixed the issue where the achievement (Mentored Maven) couldn't be completed under certain circumstances. 8. Fixed the inconsistency between the preview illustrations in the MOD editor and those in the game.",1741241352,['patchnotes']
1468810,[Version 1.2.107 Update Content],"1. Added NPCs naturally carrying the Soul Reaver. (This can be triggered with a certain probability when reaching the Foundation level and if there is no Soul Reaver in the save file while moving through Hua Feng and subsequent areas.) 2. Fixed an issue where the storyline of Cultivators transferring arts could sometimes select Eccentric NPCs. 里面的传功=Transfer Arts没有翻译出来，可以改成：Fixed an issue where the Transfer Arts storyline for Cultivators could sometimes select Eccentric NPCs. 3. Fixed the issue where the Blade Mastery was not refreshing in the Cultivator Alliance’s Main Manual Pavilion and Immortal Shrine stores. 4. Fixed the problem where the resources brought by allied reinforcements during sect battles were not displayed, causing a discrepancy between displayed and actual resources. 5. Fixed the issue where fireballs were displayed as water balls during forging. 6. Fixed the issue of Five Blooms avatars displaying incorrectly under certain conditions. 7. Fixed the problem where some achievements (Path of Pacifist and Sole Cultivator) could not be completed in certain situations. 8. Optimized the combat experience in Expert-level bounty dungeons.",1739762125,['patchnotes']
1468810,[Version 1.2.106 Update Content],"1. Added the Transcendent Enigmatic Stone: Herald of Dawn, which can be obtained by talking to the maid in the Cultivator Alliance's Main Manual Pavilion. 2. Added some follow-up interaction events for the Five Blooms. 3. Added some voiceovers for the Five Blooms. 4. Fixed an issue in markets where items that shouldn't be sellable were being sold. 5. Fixed an issue where NPC AI could skip Last Breath status detection, causing them to seek revenge on the enemies of the Last Breath. 6. Fixed an issue where NPCs in Last Breath would still accumulate hatred with others. 7. Fixed an issue allowing certain lotus seeds to be used on NPCs in Last Breath, causing abnormal AI behavior. 8. Fixed an issue with abnormal logs related to the Immortal Shrine for some NPCs. 9. Fixed an issue causing a game freeze when triggering Transfer Arts under certain conditions. 10. Optimized the issue where Soul Reaver would attack in place under specific circumstances. 11. Fixed an issue where the life skills of the Artifact Spirit (Youling) were ineffective in certain situations. 12. Fixed an issue with the disordered display of temporary backpack item categories. 13. Fixed an issue where allied teammate AI would stop after switching rooms in a Sect battle. 14. Fixed an issue where, under mouse and keyboard operation, pages like Auction, Enigmatic Stone usage, and skill equipping had remnants of controller icons. 15. Fixed an issue on Steam Deck where input fields for bidding prices, mod store searches, etc., would not pop up, making it impossible to enter text. 16. Fixed a compatibility issue between the devouring souls option and certain mods. 17. Fixed the inconsistency between portrait previews in the mod editor and in-game performance. 18. Fixed an issue in the English version where previewing the Accident UI in the mod editor would cause a freeze.",1737547715,['patchnotes']
1468810,[Version 1.2.105 Update Log],1.Fixed an issue where certain actions by eccentrics bypassed the Faithful personality check of NPCs. 2.Resolved a bug where NPCs would mistakenly take out the Soul Reaver or Radiant Lotus while pleading for mercy. 3.Fixed an issue where the Soul Reaver would disappear under certain conditions when the NPC holding it died. 4.Addressed a bug that caused the game to freeze when triggering the Spirit Sight Martial Soul effect during duels with NPCs. 5.Fixed a display issue where the Yin Yang Orb did not appear in the category after being unequipped in the equipment interface (it could still be seen in the category). 6.Fixed a bug where consuming certain Lotus Seeds with Lotus Sword Intent would use two seeds instead of one. 7.Resolved an issue where skill enhancement effects given by Ao Yao did not apply to certain skills. 8.Fixed the presence of Five Blooms characters in the Enemies Sect Survivor event where they were not intended to appear. 9.Corrected dialogue errors caused by distress affecting Five Blooms characters. 10.Fixed issues where the illustrations and dialogue text of Five Blooms characters were displayed incorrectly in some scenarios. 11.Resolved abnormal attribute values after realm breakthroughs for Five Blooms characters. 12.Fixed an issue with incorrect fortunes gained in the Tian Xiang storyline. 13.Resolved issues where certain events in the Tian Xiang storyline failed to generate properly. 14.Optimized the difficulty of battles involving cultivators in the Lan You storyline to make them more balanced. 15.Original Sound Track Updated- Five Blooms Bgm,1736393121,['patchnotes']
1468810,[Patch note] Bugfixes,"1.Fixed an issue where the Soul Reaver could cause a freeze when devouring souls under certain conditions. 2.Resolved a problem in the Five Blooms storyline where acquiring a special skill of Bloom Long reverted Players' unique outfit's skill back to its original version. 3.Fixed a bug where the newly purchased outfit, ""幻鳞华彩,"" did not appear in the inventory after being bought from Immortal Wardrobe. 4.Addressed an issue where entering the Peak of Tian Yuan Mountain could cause a freeze in specific scenarios. 5.Optimized some AI behaviors for NPCs with Spirit Sight. 6.Fixed a potential storyline freeze in the Five Blooms Yin'Er storyline due to differences in the player's character gender. 7.Resolved an issue where female player characters were unable to form sworn bonds with Five Blooms characters. 8.Corrected an issue where the destiny obtained in the Tian Xiang storyline was incorrect. 9.Fixed occasional visual glitches in Lan You's character illustration. 10.Optimized certain AI behaviors of the Five Blooms characters. 11.Fixed an anomaly in triggering Lan You’s storyline when using a controller. 12.Resolved interaction errors with Nether Demon when using a controller. 13.Fixed clothing-related errors caused by exploits; all affected clothing has been restored to their default settings. 14.Fixed the issue where Siluo Pavilion could not be properly generated in the Five Blooms Tianxiang storyline. 15.Fixed the dialogue text errors regarding sparring and dual cultivation interactions in the Five Blooms Tianxiang social interactions.",1735645985,['patchnotes']
1468810,【Patch Note】Bug Fixes,"Version 1.2.103 Update Details 1.Fixed an issue where the ""Start Battle"" button could not be clicked in certain situations after entering a dungeon. 2.Fixed an issue where the volume was excessively loud after browsing the ""Artifact Spirit"" Voice section in Bahuang Chronicles.",1735408482,['patchnotes']
