appid,title,contents,date,tags
440,Team Fortress 2 Update Released,An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: Added smoke effect to the Scrooge McCrocket Fixed prediction error when crouch jumping (community fix from ficool2) Updated the Snow Dome Unusual effect to decrease brightness and opacity of the glass and floor textures Updated the Festive Fleece to fix LOD issues Updated the Puncher's Polar Puffer to fix some skinning issues Updated The Conscientious Objector to fix missing material parameters (community fix from Lindon) Updated koth_winter_ridge to fix a collision error with projectiles on the dead tree at mid Updated 2koth_abbey Fixed small gaps in doorways outside of spawn Updated tall crates to add nobuild triggers and make it more obvious they cannot be stood on Updated clipping in the river Fixed Snipers wearing the Razorback being immune to freezing ,1765847138,['patchnotes']
440,Team Fortress 2 Update Released,An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: * Added smoke effect to the Scrooge McCrocket; * Fixed prediction error when crouch jumping (community fix from ficool2); * Updated the Snow Dome Unusual effect to decrease brightness and opacity of the glass and floor textures; * Updated the Festive Fleece to fix LOD issues; * Updated the Puncher's Polar Puffer to fix some skinning issues; * Updated The Conscientious Objector to fix missing material parameters (community fix from Lindon); * Updated koth_winter_ridge to fix a collision error with projectiles on the dead tree at mid; * Updated 2koth_abbey; * Fixed small gaps in doorways outside of spawn; * Updated tall crates to add nobuild triggers and make it more obvious they cannot be stood on; * Updated clipping in the river; * Fixed Snipers wearing the Razorback being immune to freezing; ,1765843800,
440,Team Fortress 2 Update Released,An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: * Added smoke effect to the Scrooge McCrocket ;* Fixed prediction error when crouch jumping (community fix from ficool2) ;* Updated the Snow Dome Unusual effect to decrease brightness and opacity of the glass and floor textures ;* Updated the Festive Fleece to fix LOD issues ;* Updated the Puncher's Polar Puffer to fix some skinning issues ;* Updated The Conscientious Objector to fix missing material parameters (community fix from Lindon) ;* Updated koth_winter_ridge to fix a collision error with projectiles on the dead tree at mid ;* Updated 2koth_abbey; * Fixed small gaps in doorways outside of spawn ;* Updated tall crates to add nobuild triggers and make it more obvious they cannot be stood on ;* Updated clipping in the river ;* Fixed Snipers wearing the Razorback being immune to freezing; ,1765843800,
440,Team Fortress 2 Update Released,"An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: Fixed minor z-fighting issue with the Wrap Assassin Festivizer Fixed the Taunt: The Critical Fail ending at the incorrect time for the Medic Updated the Hard Carry Unusual effect to fix detachment issues when using the ""adjust unusual"" slider Updated the Scorching Sensation and Burning Sensation Unusual effects to improve visibility in bright areas Updated the Team Recognition Unusual effect to fix a problem with the parent-child particle system Updated the Frostfire, Spectrum Inferno, and Chromatic Blaze Unusual effects to fix issues with the trail and brightness Updated the Cryogenic Unusual effect to fix obscuring parts of the characters Updated the Air Head to fix a problem with mipmapping Updated 2koth_abbey Fixed broken cliff displacements Swapped expensive water for cheap water to improve FPS Various fixes and improvements Updated plr_matterhorn Fixed hole in spawn barrier (thanks Ctena!) Fixed a desync issue with lifts (thanks Skin King!) Disabled team swap on new round Clipping improvements Bread optimization ",1765496771,['patchnotes']
440,Team Fortress 2 Update Released,"An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: * Fixed minor z-fighting issue with the Wrap Assassin Festivizer; * Fixed the Taunt: The Critical Fail ending at the incorrect time for the Medic; * Updated the Hard Carry Unusual effect to fix detachment issues when using the ""adjust unusual"" slider; * Updated the Scorching Sensation and Burning Sensation Unusual effects to improve visibility in bright areas; * Updated the Team Recognition Unusual effect to fix a problem with the parent-child particle system; * Updated the Frostfire, Spectrum Inferno, and Chromatic Blaze Unusual effects to fix issues with the trail and brightness; * Updated the Cryogenic Unusual effect to fix obscuring parts of the characters; * Updated the Air Head to fix a problem with mipmapping; * Updated 2koth_abbey; * Fixed broken cliff displacements; * Swapped expensive water for cheap water to improve FPS; * Various fixes and improvements; * Updated plr_matterhorn; * Fixed hole in spawn barrier (thanks Ctena!); * Fixed a desync issue with lifts (thanks Skin King!); * Disabled team swap on new round; * Clipping improvements; * Bread optimization; ",1765496280,
440,Team Fortress 2 Update Released,"An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: * Fixed minor z-fighting issue with the Wrap Assassin Festivizer ;* Fixed the Taunt: The Critical Fail ending at the incorrect time for the Medic ;* Updated the Hard Carry Unusual effect to fix detachment issues when using the ""adjust unusual"" slider ;* Updated the Scorching Sensation and Burning Sensation Unusual effects to improve visibility in bright areas ;* Updated the Team Recognition Unusual effect to fix a problem with the parent-child particle system ;* Updated the Frostfire, Spectrum Inferno, and Chromatic Blaze Unusual effects to fix issues with the trail and brightness ;* Updated the Cryogenic Unusual effect to fix obscuring parts of the characters ;* Updated the Air Head to fix a problem with mipmapping ;* Updated 2koth_abbey; * Fixed broken cliff displacements ;* Swapped expensive water for cheap water to improve FPS ;* Various fixes and improvements; * Updated plr_matterhorn; * Fixed hole in spawn barrier (thanks Ctena!) ;* Fixed a desync issue with lifts (thanks Skin King!) ;* Disabled team swap on new round ;* Clipping improvements ;* Bread optimization; ",1765496280,
440,"Team Fortress 2 Smissmas 2025 is here, and there are now more festivized weapons than you can shake a Sun-on-a-Stick at","It's beginning to look a lot like Smissmas in <strong>Team Fortress 2</strong>. The fan-favorite yuletide event has made its annual return, bringing with it six new community maps, fresh taunts, a host of unusual effects, and, crucially, a ton of new targets for your Festivizer. There's also a slew of bugfixes, ensuring none of the pesky critters scuttle into your eggnog. <a href=""https://www.pcgamesn.com/team-fortress-2/smissmas-2025-event"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/team-fortress-2/classified-release-date-tf2-classic"">A decade in the making, long-awaited mod Team Fortress 2 Classic has a new name and a release date following Valve clash</a> <a href=""https://www.pcgamesn.com/team-fortress-2/source-2-port-datamine-valve"">Valve sleuth says new datamine is ""effectively direct confirmation"" of Team Fortress 2 being ported to Source 2</a> <a href=""https://www.pcgamesn.com/team-fortress-2/classic-mod-steam-beta-canceled-valve"">Valve red tape sees long-running Team Fortress 2 Classic mod scrap Steam beta</a> ",1765369132,
440,Team Fortress 2 Update Released,"{STEAM_CLAN_IMAGE}/554111/4847ca157ba3cb0333d18321d9ae3a2b0b51b6e5.png An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: Happy Smissmas 2025! All players who play TF2 during the event will receive a Stuffed Stocking as a gift! Stockings contain goodies for good little Mercenaries. Featuring 6 new community maps: Nutcracker, Sidewinder, Abbey, Winter Ridge, Matterhorn, and Gavle (pronounced yeah-vleh) Added the Winter 2025 Cosmetic Case Contains 23 new community-contributed items The Festivizer can be found as a bonus drop when opening the case Added 3 new community-contributed taunts to the Mann Co. Store Taunt: The Critical Fail Taunt: Dead Mann's Drink Taunt: Chairholder Added 20 new community-created Unusual effects 11 new effects for Unusual hats 9 new effects for Unusual taunts Added lots of weapons to the list that can be Festivized (community-created changes!) Added community-created Smissmas material for the beach ball All cosmetic and taunt cases will grant Smissmas 2025 Unusual effects instead of their normal Unusual effects during the event. This does not include crates. Mann Co. Store winter sale! Smissmas runs through January 7th, 2026 General Added 'No Bullets' style for The Gift Bringer Fixed The Accursed Apparition hiding the Scout's headphones Updated the Sizzling Aroma and Toxic Aroma Unusual effects to fix problems with DirectX80 Updated the Backbiter's Billycock backpack icon to reflect RED team version Updated the El Gigante's Gunbelt to fix a problem with the LODs Updated the Seamann's Stubble to fix an issue with the materials Updated/Added some tournament medals Updated cp_cowerhouse Updated some custom props with further optimizations Added playerclip ""ladder"" to both trucks' rear bed to make climbing more consistent/predictable Updated ctf_doublecross_event Fixed out of bounds bug (Thanks Dr.TwentyTwo!) Fixed a few minor visual glitches Updated cp_gravelpit_snowy Added a screenshake effect to the laser gun finale Adjusted holiday events to reduce edict count Fixed model panels not encoding pose parameter values (community fix from copperpixel) Fixed Halloween spell projectiles not adjusting to flipped view models (community fix from copperpixel) Network player's handedness preference to spectators (community fix from copperpixel) Fixed Ullapool Caber explosions not counting as melee kills and ignoring damage/radius attributes (community fix from Bitl) Fixed disposable sentries playing denial sound for useful wrench hits (community fix from AJMickey) Fixed Armageddon Pyro taunt not properly cleaning up all particle systems (community fix from Churkinator) Fixed logo spinner from breaking after prolonged rotation (community fix from Horiuchi) Fixed Minigun not spinning, or spinning very slowly, outside of first-person (community fix from wget) Fixed broken view model after switching from the Medi Gun while healing someone (community fix from Vlad) Allow server admins to change powerup mode convars without forcing cheats to be enabled (community fix from Pieter Bijl) Replaced bitwise or operator in CHealthAmmoKit (community fix from CosminPerRam) Fixed MoveableSubPanel showing in Sentry targetID panel while dead (community fix from Horiuchi) Fixed tracer rounds from rifles not being affected by cl_flipviewmodels (community fix from birchish) Fixed Pyrovision nullifying other voice pitch attributes (community fix from LizardOfOz) Fixed being able to throw the Gas Passer through walls (community fix from Bakugo) Fixed IncrementAmmo removing ammo if m_iClip1 was already at Max capacity (community fix from kingofings) Added TF-specific search path tags to TF mod gameinfo (community fix from Thomas Kain) Fixed view punch not being interpolated (community fix from ficool2) Fixed disguise_on_backstab not functioning for stab targets that become ghosts (community fix from FlaminSarge) Fixed chat input using chat_party instead of chat_say_party (community fix from gaelcoral) Fixed overlapping footstep sound when in the third person view (community fix from TheNotoriousFrogposter) Ensure no buffer overflows when sscanf to char buffer (community fix from Dmitry Tsarevich) Fixed players sometimes getting stuck in team unassigned when joining a server (community fix from Bakugo) Fixed sentry gun not performing rocket fire animation when Wrangler controlled (community fix from Horiuchi) Allow impulse 101 on The Ullapool Caber (community fix from alvei) Fixed disguise kit resetting multiple times in high ping situations (community fix from nosoop) Fixed Detonator jumps not being considered self-dmg jumps (community fix from mastercoms) Fixed Detonator making world-detonation sound when attempting to fire underwater (community fix from FlaminSarge) Removed knockback-attribute-specific animation overrides for CTFScattergun (community fix from FlaminSarge) Fixed net_graph not rounding interp to nearest t...",1765309989,"['patchnotes', 'mod_reviewed', 'ModAct_1301790999_1765312754_0', 'mod_require_rereview']"
440,Team Fortress 2 Update Released,"An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: <b>Happy Smissmas 2025!</b> * All players who play TF2 during the event will receive a Stuffed Stocking as a gift! Stockings contain goodies for good little Mercenaries. * Featuring 6 new community maps: Nutcracker, Sidewinder, Abbey, Winter Ridge, Matterhorn, and Gavle (pronounced yeah-vleh); * Added the Winter 2025 Cosmetic Case; * Contains 23 new community-contributed items; * The Festivizer can be found as a bonus drop when opening the case; * Added 3 new community-contributed taunts to the Mann Co. Store; * Taunt: The Critical Fail; * Taunt: Dead Mann's Drink; * Taunt: Chairholder; * Added 20 new community-created Unusual effects; * 11 new effects for Unusual hats; * 9 new effects for Unusual taunts; * Added lots of weapons to the list that can be Festivized (community-created changes!); * Added community-created Smissmas material for the beach ball; * All cosmetic and taunt cases will grant Smissmas 2025 Unusual effects instead of their normal Unusual effects during the event. This does not include crates. * Mann Co. Store winter sale! * Smissmas runs through January 7th, 2026; <b>General</b> * Added 'No Bullets' style for The Gift Bringer; * Fixed The Accursed Apparition hiding the Scout's headphones; * Updated the Sizzling Aroma and Toxic Aroma Unusual effects to fix problems with DirectX80; * Updated the Backbiter's Billycock backpack icon to reflect RED team version; * Updated the El Gigante's Gunbelt to fix a problem with the LODs; * Updated the Seamann's Stubble to fix an issue with the materials; * Updated/Added some tournament medals; * Updated cp_cowerhouse; * Updated some custom props with further optimizations; * Added playerclip ""ladder"" to both trucks' rear bed to make climbing more consistent/predictable; * Updated ctf_doublecross_event; * Fixed out of bounds bug (Thanks Dr.TwentyTwo!); * Fixed a few minor visual glitches; * Updated cp_gravelpit_snowy; * Added a screenshake effect to the laser gun finale; * Adjusted holiday events to reduce edict count; * Fixed model panels not encoding pose parameter values (community fix from copperpixel); * Fixed Halloween spell projectiles not adjusting to flipped view models (community fix from copperpixel); * Network player's handedness preference to spectators (community fix from copperpixel); * Fixed Ullapool Caber explosions not counting as melee kills and ignoring damage/radius attributes (community fix from Bitl); * Fixed disposable sentries playing denial sound for useful wrench hits (community fix from AJMickey); * Fixed Armageddon Pyro taunt not properly cleaning up all particle systems (community fix from Churkinator); * Fixed logo spinner from breaking after prolonged rotation (community fix from Horiuchi); * Fixed Minigun not spinning, or spinning very slowly, outside of first-person (community fix from wget); * Fixed broken view model after switching from the Medi Gun while healing someone (community fix from Vlad); * Allow server admins to change powerup mode convars without forcing cheats to be enabled (community fix from Pieter Bijl); * Replaced bitwise or operator in CHealthAmmoKit (community fix from CosminPerRam); * Fixed MoveableSubPanel showing in Sentry targetID panel while dead (community fix from Horiuchi); * Fixed tracer rounds from rifles not being affected by cl_flipviewmodels (community fix from birchish); * Fixed Pyrovision nullifying other voice pitch attributes (community fix from LizardOfOz); * Fixed being able to throw the Gas Passer through walls (community fix from Bakugo); * Fixed IncrementAmmo removing ammo if m_iClip1 was already at Max capacity (community fix from kingofings); * Added TF-specific search path tags to TF mod gameinfo (community fix from Thomas Kain); * Fixed view punch not being interpolated (community fix from ficool2); * Fixed disguise_on_backstab not functioning for stab targets that become ghosts (community fix from FlaminSarge); * Fixed chat input using chat_party instead of chat_say_party (community fix from gaelcoral); * Fixed overlapping footstep sound when in the third person view (community fix from TheNotoriousFrogposter); * Ensure no buffer overflows when sscanf to char buffer (community fix from Dmitry Tsarevich); * Fixed players sometimes getting stuck in team unassigned when joining a server (community fix from Bakugo); * Fixed sentry gun not performing rocket fire animation when Wrangler controlled (community fix from Horiuchi); * Allow impulse 101 on The Ullapool Caber (community fix from alvei); * Fixed disguise kit resetting multiple times in high ping situations (community fix from nosoop); * Fixed Detonator jumps not being considered self-dmg jumps (community fix from mastercoms); * Fixed Detonator making world-detonation sound when attempting to fire underwater (community fix from FlaminSarge); * Removed knockback-attribute-specific animatio...",1765309920,
440,Team Fortress 2 Update Released,"An update to Team Fortress 2 has been released. The update will be applied automatically when you restart Team Fortress 2. The major changes include: <b>Happy Smissmas 2025!</b> * All players who play TF2 during the event will receive a Stuffed Stocking as a gift! Stockings contain goodies for good little Mercenaries. ;* Featuring 6 new community maps: Nutcracker, Sidewinder, Abbey, Winter Ridge, Matterhorn, and Gavle (pronounced yeah-vleh) ;* Added the Winter 2025 Cosmetic Case; * Contains 23 new community-contributed items ;* The Festivizer can be found as a bonus drop when opening the case; * Added 3 new community-contributed taunts to the Mann Co. Store; * Taunt: The Critical Fail ;* Taunt: Dead Mann's Drink ;* Taunt: Chairholder; * Added 20 new community-created Unusual effects; * 11 new effects for Unusual hats ;* 9 new effects for Unusual taunts; * Added lots of weapons to the list that can be Festivized (community-created changes!) ;* Added community-created Smissmas material for the beach ball ;* All cosmetic and taunt cases will grant Smissmas 2025 Unusual effects instead of their normal Unusual effects during the event. This does not include crates. ;* Mann Co. Store winter sale! ;* Smissmas runs through January 7th, 2026 <b>General</b> ;* Added 'No Bullets' style for The Gift Bringer ;* Fixed The Accursed Apparition hiding the Scout's headphones ;* Updated the Sizzling Aroma and Toxic Aroma Unusual effects to fix problems with DirectX80 ;* Updated the Backbiter's Billycock backpack icon to reflect RED team version ;* Updated the El Gigante's Gunbelt to fix a problem with the LODs ;* Updated the Seamann's Stubble to fix an issue with the materials ;* Updated/Added some tournament medals ;* Updated cp_cowerhouse; * Updated some custom props with further optimizations ;* Added playerclip ""ladder"" to both trucks' rear bed to make climbing more consistent/predictable; * Updated ctf_doublecross_event; * Fixed out of bounds bug (Thanks Dr.TwentyTwo!) ;* Fixed a few minor visual glitches; * Updated cp_gravelpit_snowy; * Added a screenshake effect to the laser gun finale ;* Adjusted holiday events to reduce edict count; * Fixed model panels not encoding pose parameter values (community fix from copperpixel) ;* Fixed Halloween spell projectiles not adjusting to flipped view models (community fix from copperpixel) ;* Network player's handedness preference to spectators (community fix from copperpixel) ;* Fixed Ullapool Caber explosions not counting as melee kills and ignoring damage/radius attributes (community fix from Bitl) ;* Fixed disposable sentries playing denial sound for useful wrench hits (community fix from AJMickey) ;* Fixed Armageddon Pyro taunt not properly cleaning up all particle systems (community fix from Churkinator) ;* Fixed logo spinner from breaking after prolonged rotation (community fix from Horiuchi) ;* Fixed Minigun not spinning, or spinning very slowly, outside of first-person (community fix from wget) ;* Fixed broken view model after switching from the Medi Gun while healing someone (community fix from Vlad) ;* Allow server admins to change powerup mode convars without forcing cheats to be enabled (community fix from Pieter Bijl) ;* Replaced bitwise or operator in CHealthAmmoKit (community fix from CosminPerRam) ;* Fixed MoveableSubPanel showing in Sentry targetID panel while dead (community fix from Horiuchi) ;* Fixed tracer rounds from rifles not being affected by cl_flipviewmodels (community fix from birchish) ;* Fixed Pyrovision nullifying other voice pitch attributes (community fix from LizardOfOz) ;* Fixed being able to throw the Gas Passer through walls (community fix from Bakugo) ;* Fixed IncrementAmmo removing ammo if m_iClip1 was already at Max capacity (community fix from kingofings) ;* Added TF-specific search path tags to TF mod gameinfo (community fix from Thomas Kain) ;* Fixed view punch not being interpolated (community fix from ficool2) ;* Fixed disguise_on_backstab not functioning for stab targets that become ghosts (community fix from FlaminSarge) ;* Fixed chat input using chat_party instead of chat_say_party (community fix from gaelcoral) ;* Fixed overlapping footstep sound when in the third person view (community fix from TheNotoriousFrogposter) ;* Ensure no buffer overflows when sscanf to char buffer (community fix from Dmitry Tsarevich) ;* Fixed players sometimes getting stuck in team unassigned when joining a server (community fix from Bakugo) ;* Fixed sentry gun not performing rocket fire animation when Wrangler controlled (community fix from Horiuchi) ;* Allow impulse 101 on The Ullapool Caber (community fix from alvei) ;* Fixed disguise kit resetting multiple times in high ping situations (community fix from nosoop) ;* Fixed Detonator jumps not being considered self-dmg jumps (community fix from mastercoms) ;* Fixed Detonator making world-detonation sound when attempting to fire underwater (community fix from FlaminSarge) ;* Removed knockback-attribute-specific anima...",1765309920,
