appid,title,contents,date,tags
105600,Terraria 1.4.5 just surprised me with a major crafting upgrade that makes everyone's lives much easier,"<strong>Terraria 1.4.5</strong> is starting to feel real as the launch window closes in and Re-Logic confirms it's ""made some great strides"" towards finalizing its latest update. After years in the making, the team behind one of the best indie games of all time says that it's ""more likely"" the overhaul will land in January, but there's still a chance we could have it in our hands before the end-of-year holidays. Just as exciting for me, however, is a completely new reveal that I did not expect but am very happy about: a total transformation of the crafting UI. <a href=""https://www.pcgamesn.com/terraria/1-4-5-update-new-crafting-menu"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/ball-x-pit/update-roadmap-2026"">The dev behind 2025's ball-blasting, city-building roguelike just announced three free expansions after selling 1 million copies</a> <a href=""https://www.pcgamesn.com/manor-lords/update-december-2025"">New Manor Lords update leaves players ""seriously impressed"" as beloved city builder drops to lowest-ever price on Steam</a> <a href=""https://www.pcgamesn.com/lootbane/playtest"">New roguelite dungeon crawler Lootbane is tempting me with risk and reward, and you can join its first playtest now</a> ",1764414063,
105600,Terraria State of the Game - November 2025,"{STEAM_CLAN_IMAGE}/3949769/4aa065aae1a38c9f88758dcd85bcbfcda4d34838.png Greetings Terrarians! A very Happy Thanksgiving to each and every one of you! Our teams are taking a small break today and tomorrow to spend time with friends and family (and generous helpings of turkey, dressing, and more). Of course, Christmas and the busy shopping season lurks right around the corner as well - so much going on all at once! It goes without saying that we are beyond thankful for the support you all show us each and every day. Even on the most difficult of days, it is that support that makes it all worthwhile. You make all of this possible, and we never forget that. We also know it has been overlong with the Terraria 1.4.5 dev cycle, but we are getting closer and closer each and every day. Thank you for your patience there. Let's settle in and see what this month's State of the Game feast has in store... PC - RE-LOGIC TERRARIA 1.4.5 - RACING THE CLOCK TOWARDS SUBMISSIONS Greetings, Terrarians! Another month has flown by and the team has made some great strides towards the completion of Terraria 1.4.5. Localization work (at least in regards to the PC side of things) has pretty much been completed at this point - outside of a few stragglers that we may just take care of within a post-release hotfix. Outside of that, the team has been hard at work testing and fixing bugs as well as coordinating with all of our various global partners to try and get everyone as far advanced as possible in parallel. We have not yet reached the point of making first party submissions, but we should hopefully be there soon. We will try to let everyone know once those submissions are in, at which point things will be mostly out of our control. We do have guesstimates about how long that will take based on past rounds, but we have seen it go way faster and way slower before so you never know. Timing-wise, the launch window remains the same - though January is more likely at this point unless we get lucky with faster-than-expected submissions. We will try our very best to continue to narrow that window down as we know more. We should know a LOT more once we get the first round of submissions out of the way. The reality is that first party staff go home for the holidays eventually - at which point we are stuck waiting on them to return. We are racing that clock to at least get our first round of submissions in and done this year. If we get first-pass approval, December remains possible. If not... then it's probably January. We are trying to be as transparent with the process as we can here - we know it has been a long time coming, so we owe you that much. Now, we wouldn't want to leave you empty-handed spoiler-wise either, so we have what we think is a really cool one for this month - a revamped crafting UI! This new take on the crafting interface blends what has worked so well in regards to research and duplication on Journey Mode and brought it over into the mainstream crafting process. These changes also apply to the Guide recipe interface. This means you will be able to sort through the sometimes-daunting pile of possible crafting recipes for any given material via both categorical tabs and even a text-based search box. This becomes all the more important with the changes to craft from nearby chests that will arrive with Terraria 1.4.5... Taking all of this together, we hope this helps everyone to be able to more quickly find and craft that one perfect item that they want more quickly! (This is still undergoing some tweaks as we find and fix bugs/issues in the testing process so its final form may differ) https://i.imgur.com/eSzG1tH.gif The next generation Terraria Crafting is here! All that said, we always do step back reflect at this time of year on how thankful we are for everyone in our amazing community - you truly are the engine that makes Terraria go. You are the soul of what makes Terraria what it is and what it will become in the future. We are in awe of your creativity and passion around this video game that our small team works on every day. There is so much darkness in the world today, it is refreshing to know that we can all rally around and enjoy a game of Terraria together. Here's to many more years of that to come. So, thank you - a thousand times thank you - for your support over the years, today, and in the years to come. Cheers! STEAM WORKSHOP NEWS Click the banner above to check out the Terraria Workshop! Countless Terraria texture packs and worlds await you in the Terraria Steam Workshop! You are missing out if you haven't taken the time to check out these amazing creations from the community. WHAT ELSE IS GOING ON? Hoping things go well with the whole testing and submissions process, while simultaneously planning for what comes next... TMODLOADER NEWS - TML TEAM Hello everyone! On December 1st the monthly update release of tModLoader will go live. As always we are grateful for the massive amount of community participation...",1764356699,['workshop']
105600,"Re-Logic confirms the Terraria 1.4.5 release window, and it finally feels real after three years in the making","Back when I first reported the existence of <strong>Terraria 1.4.5</strong> in January 2023, creator Andrew 'Redigit' Spinks described it as a smaller project to tie up a few loose ends, with the team eager to start something new. Three years later, Re-Logic finally has a launch window that it's confident in, and it sounds like we'll finally be returning to one of the <a href=""https://www.pcgamesn.com/15-best-sandbox-games-pc"">best sandbox games</a> of all time by January at the latest. In its latest Terraria State of the Game, head of business strategy Ted 'Loki' Murphy shares all the details that have gone into wrapping up the overhaul. <a href=""https://www.pcgamesn.com/terraria/1-4-5-release-window"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/cubic-odyssey/steam-sale"">Cubic Odyssey is what you'd get if you launched Minecraft into space, and it's cheaper than ever right now</a> <a href=""https://www.pcgamesn.com/master-of-command/out-now"">If you're tired of Total War, 18th-Century strategy game Master of Command feels like a breath of fresh air</a> <a href=""https://www.pcgamesn.com/hades-2/patch-notes-true-ending-update"">New Hades 2 patch notes deliver buffs, faster progression, and an upgraded ending, with a few extra treats</a> ",1761907629,
105600,Terraria State of the Game - October 2025,"{STEAM_CLAN_IMAGE}/3949769/ff7b33242be724784fcb2c93d6459e5eb1dcd6e5.png Greetings Terrarians! Happy Halloween from all of us to all of you! Halloween has always been one of our favorite times of the year - especially when we get to see all of the crazy costumes, creepy decorations, and creative pumpkins that Terrarians put together each year. So, whether you entered the annual Halloween Contest or not... please be sure to share your spookiest creations with us! On the development side of things, we do have some more clarity on timing to share this month. There are still a lot of moving parts involved that could adjust things, but it is starting to feel like we know the general boundaries. More on that in a bit. For now, let's get set to dive into another month of Terraria news... Trick or treat! PC - RE-LOGIC TERRARIA 1.4.5 - TESTING AND LOCALIZATION AND SUBMISSION PLANNING, OH MY!​ Hello again, everyone. Last month, we shared that we were quite close to the content complete/Release Candidate stage. Things are still looking pretty decent in that regard, enough so that parallel beta testing is underway on most platforms so that we can go ahead and capture and fix bugs as they arrive rather than a strictly sequential process. Additional work has been underway this month focused on localization - not only for the new content, but also weaving in three new languages and the localization community review conducted over the past year or so. This should ulimately yield better translations for existing content that more accurately take game context into account. We are also thrilled to at long last be able to provide Terraria in Korean, Japanese, and Traditional Chinese. This area of game development is often more complex than it seems, so we are very glad that it is NEARLY done! That leads us to the third topic - one that we all know and love - planning for things like first party submissions and any additional work needed by our global partners in order to enable a global sync launch. To put it mildly and not to bore anyone with the details, there are a LOT of moving parts and interdependencies that we have to manage in this process. It is also not a very quick system to navigate and it comes with a lot of unknowns (you can never say what a given first party might take issue with... requiring additional fixes... and another round of submissions). We do have a plan in place, if all goes perfectly to schedule, for when those submissions might occur. Beyond that, it is honestly a wild card as to how long it takes - a wild card with some reasonable boundaries, but still a wild card. Toss in the Holidays for everyone involved (e.g. at some point, the first party reviewers are gone for the year), and it gets even messier. With all of that said, we are realistically looking at a launch window for Terraria 1.4.5 that is between mid December and the end of January. It is impossible to predict at this point where things will fall in that window. There are far too many moving parts that could break either for us or against us to say at this time. However, we do feel good about the time window itself. Again, we are very aware that this update has taken far too long to reach completion - all we can do is share our apology for that time span and just know that we are doing our best to get it out as quickly as we can. We also cannot wait to share the plans for the future as well, once the update is out and all fixed up post launch. STEAM WORKSHOP NEWS Click the banner above to check out the Terraria Workshop! Countless Terraria texture packs and worlds await you in the Terraria Steam Workshop! You are missing out if you haven't taken the time to check out these amazing creations from the community. WHAT ELSE IS GOING ON? Hoping things go well with the whole testing and submissions process, while simultaneously planning for what comes next... TMODLOADER NEWS - TML TEAM Hello everyone! On November 1st the monthly update release of tModLoader will go live. As always we are grateful for the massive amount of community participation in developing and testing new features each month. This last month we hosted our third official mod jam on our Discord server. The theme was ""Anything Can Happen on Halloween!"" and we had several spooky mod submissions. We thank everyone who participated and hope it was fun and a great practice! We encourage players to check out the mod jam submissions on the workshop here! If you are interested in participating in the next mod jam, be sure to come to Discord to be notified. This month's release contains mostly bug fixes and smaller features. We've fixed several UI inconsistencies, fixed a major sound volume issue, and even fixed major issues with how liquids are drawn, especially around sloped tiles. We've also implemented changes to support launching the game on ARM processors, which should prove useful to those looking to host dedicated servers on ARM machines. For modders, this month's release contai...",1761852614,['workshop']
105600,Terraria 1.4.5 makes it easier than ever to keep your villagers happy,"<strong>Terraria 1.4.5</strong> gets a little bit closer every time I write about it, if only by the inevitable passage of the days. We've had such a stacked gaming calendar lately that I can't be too upset about the wait, but I'm still ready for a fresh excuse to return to one of the biggest-selling and <a href=""https://www.pcgamesn.com/the-15-best-indie-games-on-pc"">best indie games</a> ever made. As it delivers the Terraria State of the Game for September 2025, developer Re-Logic still isn't quite ready to lock an exact date in, but it does tease that it's ""truly at the final stages."" It also shows off an NPC change that is going to be fantastic news for first-timers, and a welcome addition for all. <a href=""https://www.pcgamesn.com/terraria/1-4-5-npc-housing"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/red-chaos/new-rts-classic-command-and-conquer"">New RTS Red Chaos is a promising throwback to old-school Command and Conquer</a> <a href=""https://www.pcgamesn.com/cloverpit/out-now"">Grimdark, Balatro-styled slots roguelike Cloverpit launches to a rave reception</a> <a href=""https://www.pcgamesn.com/project-zomboid/update-ranged-combat-chocolate-milk"">New Project Zomboid update improves ranged combat, shotguns, and chocolate milk</a> ",1758903302,
105600,Terraria State of the Game - September 2025,"{STEAM_CLAN_IMAGE}/3949769/bb6d68a64847c88e1763944db649c76d196ecea9.png Greetings Terrarians! We have one foot already into the Fall season - our favorite season of the year! - and we are drawing ever closer to the release of Terraria 1.4.5. More on that below. We are also getting really close to the release of the Terraria Board Game in November. The end of the year is setting up to be quite eventful indeed! We are also already setting the stage for what lies ahead in 2026 - Terraria's 15th Anniversary year. We hope we can bring some more cool stuff your way as a result of those plans, but that will have to wait for another day. For now, let's dive in to the latest and greatest news in the world of Terraria! What's in store this time... PC - RE-LOGIC TERRARIA 1.4.5 - THE FIX IS IN (PROGRESS)​ The team has been hard at work this month, aiming to reach the ""content complete"" (also known as the Release Candidate) stage within the next couple of weeks. What does that mean, exactly? Well, that means that - at that point - we will have officially added all of the new content/features/etc. that will make it into Terraria 1.4.5. After that, all that is left to do is testing, tweaking, and bug fixing. Of course, that testing/fixing process takes a good amount of time and is somewhat unpredictable (we had some pretty nasty tickets emerge just this past week, for example). Once we reach ""content complete"" and we have a bit of time to focus on fixing, we should have a much better sense of precisely when Terraria 1.4.5 will reach completion. We are working as closely as possible with our partners in parallel to try and shorten the time needed on the backend for first party submissions, localization, etc. - as, again, our goal for 1.4.5 is a global synchronized launch. All that said, reaching content complete is a major milestone and we are truly at the final stages now. We know this update has taken far too long to get out to you all, and we are sorry for that. We do hope that you enjoy it once it is out - and that you are excited for what else is in store for the future of Terraria. More on that in the months ahead. For now, we are all in on the push to get this update out to you as quickly as possible! This month's spoiler looks at some improvements to the way NPC Housing operates and is communicated to the player... {STEAM_CLAN_IMAGE}/3949769/e391dae59456ffd1ede440abc751e91d750d1d45.png Villagers no longer require a House in order to appear! (That said, if you haven't built them a House, they'll ask for one!) We've also added additional hints on how a house can be built, and, added visualization for how housing is scanned! Any Villagers that do not have a house assigned to them will leave for safety when night comes! STEAM WORKSHOP NEWS Click the banner above to check out the Terraria Workshop! Countless Terraria texture packs and worlds await you in the Terraria Steam Workshop! You are missing out if you haven't taken the time to check out these amazing creations from the community. WHAT ELSE IS GOING ON? Trying our very best to narrow in on that elusive launch window... TMODLOADER NEWS - TML TEAM Hello everyone! On October 1st the monthly update release of tModLoader will go live. As always we are grateful for the massive amount of community participation in developing and testing new features each month. This month's release contains the new ModAchievement feature. We are excited to see how mods use ModAchievement and how they'll give players long-term goals to work towards. We've seen many mod makers showcasing their new achievement art this last month and look forward to seeing them in-game. As usual, we'd like to encourage modders to test out new tModLoader features on the preview branch if they are relevant to your mod. Major features in preview are listed on our Discord. Modders and users should also keep an eye out for our monthly Steam announcement on the 1st where a complete listing of bug fixes and API changes for this month's release will be listed. The in-game news button on the main menu will direct you directly to the announcement once it is live. We look forward to seeing how mods make use of these new features. As always, if you are having issues of any sort, definitely don't hesitate to check out our FAQ on github or reach out to us at our Discord. TMODLOADER STEAM WORKSHOPThe TML Steam Workshop has over 10,000 mods for you to enjoy! Coupled with the in-game mod browser, the TML Steam Workshop is a great way to explore what modded Terraria has to offer - check it out today by clicking the banner above! WHAT'S NEXT FOR TML? More features, continuing to evolve and grow what TML can do... and getting ready for 1.4.5. As always, you can keep track the current progress and much more in real time at tModLoader/tModLoader (But note that the completion percentage doesn't mean anything, because issues and PRs don't have weights.) Developers who are willing to contribute may do so by doing PRs to the tModLo...",1758830717,['workshop']
105600,"After nearly three years, Terraria's 1.4.5 update is totally, definitely, indisputably almost finished: 'We are in the endgame now'","Terraria has been nearly finished for around half a decade now. Developer Re-Logic began the process of rounding out its 2D survival game<a href=""https://www.pcgamer.com/terraria-hits-all-time-highs-on-its-ninth-anniversary-and-final-update/""> way back in 2020</a>, and it's been<a href=""https://www.pcgamer.com/terraria-devs-still-had-unfinished-business-that-inspired-latest-update/""> almost three years</a> since the most recent update—1.4.4. Now though, it really does seem like the end is nigh. Re-Logic has assured players that it is in the final, closing, penultimate stages of development of what may well be the game's last update... <a href=""https://www.pcgamer.com/games/survival-crafting/after-nearly-three-years-terrarias-1-4-5-update-is-totally-definitely-indisputably-almost-finished-we-are-in-the-endgame-now/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1756656000,
105600,"Terraria 1.4.5 is ""in the endgame now,"" but crossplay will be a little longer","It's been almost three years since <strong>Terraria 1.4.5</strong> was first mentioned, and what could be the final update for one of the best-selling games ever is still in the works. Developer Re-Logic has been taking its time, adding more features and cooking everything to perfection, but there's naturally one question on everyone's minds: when we can actually play it? Now, in its Terraria State of the Game blog post for August 2025, the studio says it's ""in the endgame"" on the long-awaited overhaul. <a href=""https://www.pcgamesn.com/terraria/1-4-5-update-endgame"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/sworn/free-weekend"">Arthurian action roguelike Sworn goes briefly free, and it's a winner for me</a> <a href=""https://www.pcgamesn.com/hollow-knight-silksong/price-listing-gamestop"">The first Hollow Knight Silksong price listing suggests it might come in cheap</a> <a href=""https://www.pcgamesn.com/plan-b-terraform/1-0-release"">Gorgeous, 91% rated Plan B Terraform lets you revive and run an entire planet</a> ",1756469521,
105600,Terraria State of the Game - August 2025,"{STEAM_CLAN_IMAGE}/3949769/07bf0f78a39319613a7eb1d7c1a4787c09260a1a.png Greetings Terrarians! August was quite an eventful month for Team Terraria. We are well into the final push for Terraria 1.4.5 (for real, more on that below), and tickets are flying through the system. Several members of the team were also able to get together in person this month for the first time in many years - and for the first time ever with some folks. We have also been able to take care of a lot of planning for ""what comes next"" that will hopefully make for more consistency down the line. More on that in the future. With that said, we are all back home and ready to push this over the line. Let's get right into it, shall we? PC - RE-LOGIC TERRARIA 1.4.5 - WE ARE IN THE ENDGAME NOW​ The Re-Logic team sat down this past month for one last parsing of the list of items remaining. Some things were deferred and others prioritized - all in an effort to arrive at something we have been looking forward to for quite a while: an internal launch window. Up until this point, the timing has been somewhat fluid based on additional content needs and unexpected bugs and such. We are not quite ready to share that timeline publicly just yet, but we have informed all of our internal partners (DR Studios, etc) of the plan so that we can work together to make this happen. More than ever before with 1.4.5, this is truly the final push. Speaking of the release of Terraria 1.4.5, we are hoping for and planning on this being a global launch. What that means is that we are aiming to release on all platforms at or around the same time. That includes PC, Consoles, Mobile, China Mobile, etc. We are considering this somewhat of a ""dry run"" for the post-Crossplay world - which is something we hope to bring to fruition in very short order once 1.4.5 is out and all hotfixes are done. This requires a lot of coordination and planning for things like localization and submissions. As mentioned above, that process is well underway. Happy to answer questions from anyone as we can, but things are really coming into focus now... As for spoilers this month, the team thought it might be fun to look at some of the unsung work that goes into these updates. Bug fixes, tweaks, and changes that may not have a lot of visual flash and sizzle, but certainly impact the Terraria experience. We've shared an example below: Ticket TER-2230 - ""Better convey the existence of player defense multipliers in Expert/Master+ worlds"" The issue at play here is that Player Defense in Expert and Master+ worlds is subject to defense values being multiplied by 1.5 and 2.0 respectively, but this information is never conveyed to the player, resulting in players mistakenly believing defense becomes less and less valuable as the world difficulty increases. This leads to players making suboptimal build decisions. However, just increasing the defense number also can create confusion, so there needs to be some way to communicate both the increase effect and the fact that it is tied to a given difficulty level. Lots of ideas and discussions then occur - do you just increase the numbers, do you do a hover-over tooltip, maybe a graphic element, etc. - until we arrive at a final decision, shown below: {STEAM_CLAN_IMAGE}/3949769/f48b01876cf72e5fb4027efbb5385ccb366d7c46.gif In 1.4.5, the Defense Shield shape and colors change along with providing an explanation for how much damage is mitigated for that level of Defense on a given difficulty. There are countless little things like the above that go into each update - alongside the bugs that we all know and hate being squashed underfoot. Speaking of bugs, nearly 900 bugs have been closed during the development process of 1.4.5! Again, we are in the final push now. The content list is locked in, the bug and ticket list is locked in and the internal timeline is set. We are hopeful that we will be able to share something more publicly soon! RE-LOGIC x GAMESCOM Last week, a handful of the Re-Logic team met up at Gamescom in Cologne, Germany. What started as ""Loki needs to go to Gamescom to handle some meetings and business-y stuff"" turned into an opportunity for about half of our team to meet up with each other in person. This was the first time we have had even this many team members in one place since 2018 - and it was the first time for a lot of us to meet the wonderful @Kazzymodus ! Meetings were had, sights were seen, and the team reveled in the chance to connect with each other in a way that only being together in person can accomplish. We also had the chance to meet some of our favorite partners and developer friends for the first time. This was far, far overdue and we are already looking forward to the next time! We thought it might be fun to share a few pictures from our adventures. We hope you enjoy! {STEAM_CLAN_IMAGE}/3949769/b534a93de5ba0df7e085dded630e673ea488bfb5.jpg{STEAM_CLAN_IMAGE}/3949769/fb4a63e3f6928da6d352644d1088954d0fcce623.jpg{STEAM_CLAN_IMAGE}...",1756415590,"['workshop', 'mod_reviewed', 'ModAct_487176015_1756417874_0', 'mod_require_rereview']"
105600,Path of Terraria turns the indie game into an ARPG with a story and endgame maps,"As exciting as the looming <strong>Terraria</strong> 1.4.5 update is, my attention has just been stolen away by modder 'ScottieKnowz' and their imminent open beta launch for Path of Terraria. This hugely impressive full-conversion mod takes Re-Logic's beloved indie game and transforms it into an ARPG inspired by Path of Exile. There's no element spared; expect a full story progression, quests, classes, randomized loot drops with affixes, crafting currency, a passive skill tree, and a full endgame with PoE-style mapping. There are even online leaderboards and the option to trade. <a href=""https://www.pcgamesn.com/terraria/path-of-exile-arpg-mod"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/kill-the-shadow/release-date"">Supernatural detective RPG that was removed from Steam set for 2025 release</a> <a href=""https://www.pcgamesn.com/peak/cannibalism-update"">New Peak patch stops players from eating each other all the time, sad I know</a> <a href=""https://www.pcgamesn.com/a-game-about-digging-a-hole/one-million-sales"">Perfecting Minecraft's most satisfying bit, $5 sandbox game hits 1,000,000 sales</a> ",1754244928,
