appid,title,contents,date,tags
2074920,Compensation Notice for ETA-0 Shop Item Listing Issue,"Greetings, Descendants. From December 11, 2025 (Thu) at 23:00 PST to December 15, 2025 (Mon) at 22:59 PST, an issue was identified where items included in the PS Plus Play Pack were available for purchase in the ETA-0 Shop.These items are PS Plus subscriber-exclusive paints and cannot be used by Descendants accessing the game on other platforms. The purchased paints will be reclaimed, and the ETA Vouchers used for the purchases will be returned. We sincerely apologize for any inconvenience this issue may have caused.Please refer to the information below for details regarding the item reclamation and voucher return schedule, as well as the apology compensation provided in relation to this issue. ■ Recipients of Reclamation and Distribution- Descendants who purchased the Matte Jelly Blue or Metal Matte PeachFuzzy Paints from the ETA-0 Shop ■ Distribution Details- All Matte Jelly Blue and Metal Matte PeachFuzzy Paints currently owned or applied to customization items will be reclaimed.- The ETA Vouchers used to purchase the items will be returned via in-game mail.- As an apology for the confusion caused by the incorrect sale of items in the ETA-0 Shop, additional compensation will be provided to all affected Descendants.ㄴ Compensation: 3 Rainbow Paint Selection Boxes ■ Reclamation & Distribution Schedule- Reclamation and item distribution via in-game mail will begin on December 17, 2025 (Wed) at 22:00 PST.ㄴ During the reclamation process, some Descendants may experience a one-time disconnect.- In-game mail will be delivered within approximately 10 minutes after logging in. Please make sure to claim the items before the mail expires.- Once the reclamation and distribution process has been fully completed, an additional notice will be provided through this announcement. Thank you.",1765962031,
2074920,Discontinued Product Info,"Greetings, Descendants! The Bayonetta items will be discontinued with the patch on 12/17 (Wed).We recommend reviewing the details below before making any purchases. ■ End of Product Sale Schedule- 12.17.2025 (Wed) 22:59 (PST) ■ Products Being DiscontinuedBayonetta BundleBayonetta Emote BundleUmbra Witch Bayonetta Outfit SetAmnesiac WitchScarborough FairWant to touch me!?Bring it!It's mine!Let's dance!Umbran Portal Thank you.",1765868450,
2074920,Patch 1.3.14 Schedule for December 17 (Wed),"Greetings, Descendants! We would like to inform you about the schedule for this week’s 1.3.14 patch. ■ Patch Schedule- Scheduled for PST 2025.12.17(Wed) 23:00※ The schedule is subject to change, and details will be provided in a separate Patch Note. ■ Platforms- Steam, XBOX SERIES X|S, PS5 ■ Patch Preview- Content Improvements- Bug Fixes Thank you.",1765861244,
2074920,5/12 (Fri) – 11/12 (Thu) Results of the Crackdown on Abusive Users,"Greetings, Descendants.Here are the results of the crackdown on abusive users carried out between 5/12 (Fri) – 11/12 (Thu).We're inspecting abusive gaming behavior to ensure that all Descendants can enjoy the game in a pleasant environment.If you notice any abnormal or abusive behavior while playing, please report it through the in-game report feature. Please see below for the detailed outcome of the crackdown.■ Crackdown status- Crackdown period: 2025.12.5(Fri) – 2025.12.11(Thu) PST■ Creation, distribution, or use of unauthorized programs - Permanent game ban (15 users)- Actions have been taken for creating, distributing, or using unauthorized programs.拜托********31xi***********13Mr******34va*************97Th**********35他笑*********61Kr**********09一大*******26M9******53Ti*******35皇雪*****159S***75蒂雅***46乔木*******14当代******47■ Exploitation of all processes related to the Open Store – Permanent game ban (12 users)- Actions were taken because of unfair gains by exploitation on store payment process.Fi****************00Oh**********79Ri************10Si***************99ta**************45pl**********09Sk*************58Bo*********************48L3************18vv***********79Ce*********80Dr**************20■ Detection of Unusual Gameplay Activity- Unusual gameplay activity was detected, and actions have been taken in accordance with our operational policy.**30-day restriction on game access (7 users)Be***************14Ga******76少林*****************01张学****96Da***********34贤者*****15狼诱***83**3-day separate matchmaking penalty (719 users)it***********02Da*******20QM***37Y3*************40mr**************53Vi***************82Il*****************05BL****************38Cr**********07kr*************46Um**********84ea********21MI************39Sx*********94DE****************59Ex*******************30ro*************43To*************97HA********00mm*******52bi*********99Ad******37bl**************13ha*********73mu***************35Ka****************79星陨***53Da*********33UL**********99pl********72Hm****************06WW*******42曾经*****55Bl************34波波*****89Ba***************26Ma**********70Lu****************40Wr***************34IM***********00XB************18Sa*************93Da***************52Sr*********02K1****************92Lo************84An***********09St***********99Cr*************32Ki**********09Bl*********72Ak*******46Ea***************10IM***********06不I**********56Ba************20D4*********81Er*****29Ar********54Ja***********02Ry***************20gl***************85Ms****************47Bo***************37不要**********81NV*****************98Mo***********18Ol****************47Ni*************82OM*********41Ta**********50Ba**********96II*********79se*********81Ay***********93Ha**********21de*************82Ha***********21路人***50Im****************84Cr****************16Fr*************94Sp********29上班************27RA**********48ju************87Vo***********33Sw************23De**********84me*****************70de****************53Me*******72扁余***33Ja*******44Th************82沐雨*****09Ro***********03KO*****98Db********67In******************************21Fu*************16脚底*******60gr***************33ri*********57Em*************81si****************94Ma*************90Br***********42ov**************97Gn********52bu****************61Mr*********29No*****78to*********95Be*********99MS***********01zs********49Ab*******37Ra*****************12Tv*********45可爱********85An***********49xx************91Pu***************60Gr*************03Vu***********62x ****************55Jh**********73Ra***********08大笨********36it***************91sh******52回眸*************68An**************88Gr*********09×͜****88ni******46Dy***********25PG***********60Fr*******61po**********62Ex*********51Ca********31Ri****************84Dr********62In******************************93St*********56Ki*********25CR*************25Fl**********57裁决******73Te*************88Wh*************37Mr************33☠#**50记忆*****91sa*******23Ye************62ka*********44dl*******86羡十****87Le**********74月夜********42Sz***********01xD*********41Ka*************51ba*************19ка**********63To***************37Ce*********57ra*************98Su*******20Fa*******00Ch************32Ra*********66ja********92z-************26Go*************28Fi***********27夏利****82Mi**************66JJ******09Do********15de******************15St********80BO*********12Bo********06As****67바딸*****32La************67YG*******97Gu**********08mo***********42Ma*************14Lo*************63Jo***********70LU******31Il**************54丹尼******58Sa*************80BI*****55Lo*********92wi***************44Ai*************69ta***********93da***************82TR***********12be****************32Sa***********34BI***************61Tw***************61o4************97he**************58Th************06On***************78ch********96B_*********77sa************70lu********04Co**********10Sa*************63Ar********08In******************************09Vũ*********************20Le*****46to***************55Th****************26ST************92!O******55Fr*********79GA...",1765515655,
2074920,The First Descendant Hotfix 1.3.13b,"Greetings, Descendants. Here are the details for The First Descendant Hotfix 1.3.13b.Please reconnect to the game to ensure smoother gameplay. ■ Patch Date- PST 2025.12.11(Thu) 04:00 ■ Platforms- Steam, XBOX SERIES X│S, PS5 ■ Patch Details- Fixed an issue where items dropped from Field Box Objects could not be obtained when interacting with them. ㄴ As compensation for this issue, rewards will be distributed to all Descendants. Distribution DateCompensationPST 2025.12.11(Thu) 23:00 ~ 2025.12.17(Wed) 22:59※ The Mail Expiration Date is 12.24.2025 (Wed) 22:59 PST. Please make sure to claim your rewards before expiration.- 10 Decryption Key Selection Boxes\- 50 Ultrafine Particle Alloy- 50 Photon Quantum Crystal - 1 Growth Support Box III\30% Descendant EXP Boost (1-Hour), and 30% Weapon Proficiency Boost (1-Hour)]  Thank you.",1765455313,['patchnotes']
2074920,The First Descendant Patch 1.3.13,"# PST 2025.12.10 (Wed) 23:00 – The patch has been completed. For a smooth gameplay, please log in again after the patch.Greetings, Descendants! Here are the details on The First Descendant Patch 1.3.13. ■ Patch Date- 12.10.2025 (Wed) 23:00 PST※ The patch schedule and content are subject to change. We will update this notice once the patch will be completed. ■ Platforms- Steam, XBOX SERIES X│S, PS5 ■ Patch Details- The following patch details will be applied after Patch 1.3.13.Content Improvements(1) Content- Infiltration Operation ""Forbidden Sanctuary""ㄴ The HP of 2 Commanders, ""Alternate Hand of Nazeistra"" and ""Abandoned Fusion Form,"" will be reduced.ㄴ The eyes on the front shoulder and back that activate during Phase 2 of the Commander ""Abandoned Fusion Form"" will be added as Weak Points.ㄴ When playing 2-4 player Public Operations, the HP of Commanders will be adjusted based on squad size to ease combat difficulty. (2) Descendants- Ultimate Yujin's ""Battlefield Medic"" Modification Module will be improved to allow faster transition to other actions after using ""Bonding Amplification."" (3) Events- The Reward Requirements for some Daily Missions in Albion Winter Preparation will be eased.ㄴ Winter Battlefield I – Complete Sigma Sector (Any Difficulty) (4 times → 2 times)ㄴ Winter Battlefield II – Complete Infiltration Operations (Any Difficulty) (4 times → 2 times) (4) Miscellaneous- When using a selection box, the maximum number of uses per use will be increased. (10 → 30)- A Set Effect category will be added to the Detailed Filters for External Components.ㄴ Set filters to Set Effect to view a list of External Components.- Search and Detailed Filter functions will be added to Storage.ㄴ Search for Equipment in Storage or view it by setting the Detailed Filters.- Due to the Filter function improvements, the Filter settings in the Weapon Inventory will be reset to the defaults.ㄴ Please reconfigure the Weapon Inventory Filters.- When using Chat tabs, tabs will be modified to move from left to right.- When purchasing ""Ancestors Module Loot"" from the ETA-0 Shop, the required number of ""Quality Certified ETA Vouchers"" will be reduced. (300 → 150)- Doors leading to expandable Lounge spaces will display the space name. Bug Fixes(1) Descendants- Yujin/Ultimate Yujinㄴ The position of the summoned Drone when using ""Hyperreactive Healing Ground"" will be adjusted so that it doesn't touch the Descendant's head under normal conditions.ㄴ An issue where the ""Hyper Activity"" buff gained from the ""Efficient Treatment"" effect of the ""Proliferating Allergy"" Module would stack will be fixed.- Ultimate Yujinㄴ The Descendant details for ""Ultimate Yujin"" will be updated to reflect information about Yujin's Ultimate Equipment.ㄴ Line breaks will be applied to the item description of the ""Combat Protocol"" Module.ㄴ The ""5% HP consumption per second"" displayed in the Bio-link Drone tooltip for the ""Combat Protocol"" Module will no longer be reduced by the Skill Cost stat.ㆍ There is no change to Skill performance. HP consumption per second is not intended to be reduced by Skill Cost.- Bunny/Ultimate Bunnyㄴ An issue where switching to a Melee Weapon after using the ""Speed of Light"" Skill prevented passing through enemies will be fixed.- Ajax/Ultimate Ajaxㄴ An issue where changing Descendants after using the ""Hyper Cube"" Skill would apply a Weaken Attack debuff to allies inside the Hyper Cube will be fixed.ㄴ An issue where the effect name for the Void Overload effect in the tooltips of the ""Void Explosion: Focus"" and ""Barrier Charge: Explosion"" Modules was not displayed in certain languages will be fixed.ㄴ An issue where the explosion sound would not play during Void Explosion after using the ""Void Explosion: Focus"" or ""Barrier Charge: Explosion"" Modules will be fixed.ㄴ An issue where the effect range of the Barrier Charge Skill in the ""Barrier Charge: Explosion"" Module appeared to increase in both horizontal length and vertical height when using Skill Effect Range increase Modules will be fixed.ㄴ An issue where the ending effect would not appear on certain terrain when using the Barrier Charge Skill from the ""Barrier Charge: Explosion"" Module in midair will be fixed.ㄴ An issue where hit effects would only display on 1 enemy when hitting enemies with the Rotating Barrier Skill from the ""Mobile Fortress"" Module will be fixed.- Freyna/Ultimate Freynaㄴ An issue where the icon for the 2nd Skill, ""Defense Mechanism,"" in the ""Contagion"" Module was different between Normal Freyna and Ultimate Freyna will be fixed.- Nellㄴ An issue where Nell's Ecive mark would remain visible when monsters disappeared due to Stealth, Teleportation, etc. will be fixed. (2) Equipment & Modules- An issue where activating both the Truth effect of the ""Enlightened Mage"" External Component and the ""Battlesuit Efficiency Enhancement"" effect of Mutation Cells would remove the first activated effect will be fixed.- An issue where the Rounds per Magazine increase would not apply ...",1765360860,"['mod_reviewed', 'ModAct_1415716708_1765361870_0', 'mod_require_rereview']"
2074920,Official Discord Trade Channel Opening Notice,"https://dszw1qtcnsa5e.cloudfront.net/community/20251209/767ee9fe-ea2f-491b-baef-c4fa5b9ace47/09%EC%9D%BC%EB%B0%98%EA%B3%B5%EC%A7%80%EC%83%81%EB%8B%A8%EB%B0%B0%EB%84%88.png Greetings, Descendants! We apologize for the recent issues with the Web Trade Market’s search inconvenience and the impact on Ancestor Module trading. We are fully aware of the difficulties many Descendants are currently experiencing and we are working to improve the Web Trade Market to address these issues.  Before these improvements are implemented, we have temporarily opened trade channels in the official Discord server to provide a smoother trading experience in the meantime. Please refer to the instructions below for guidance on using the official Discord trade channels.  ■ How to Use the Discord Trade Channels 1) Join the official Discord server and navigate to the “―｜ TRADE MARKET ｜―” category. Please select at least one platform role to join the community.  2) Select one of the three channels depending on the type of module you want to trade. For Ancestor Modules, channel ‘ajax〜ines’ and ‘jayber〜yujin’ each contain different Descendant tags, sorted alphabetically. Please enter the channel that includes the Descendant tag relevant to your trade. For Trigger Modules, please use the ‘trigger-module-only’ channel.  3) Create a post following the Post Guideline. Post Guideline Title: Module Name / Price / For Sale  ■ Module Image Attach screenshot  ■ In-game ID Example: TFD_Janice#0000  ■ Desired Price Example: 700 Caliber (Negotiable)  ■ Available Platforms Example: ALL / PC / Xbox / PS  ■ Additional Info (Optional) - Negotiable or not - Option - Other notes ※ You can copy the guideline template directly by clicking https://dszw1qtcnsa5e.cloudfront.net/community/20251209/ad29c957-d8df-4b97-bb66-19813030eb1f/image202512091725561.png “New Post” → https://dszw1qtcnsa5e.cloudfront.net/community/20251209/08a717aa-9371-4fa5-ba8e-21d8b6e2e039/image202512091725562.png “Post Guideline” in the channel.  4) Coordinate the trade time with the other user and complete the trade in-game. ※ When trade is completed, please leave a comment indicating “Trade Complete” and close or lock your post once the trade is finished.  ■ Important Notes Account trading is not allowed. Posts that violate The First Descendant Discord rules may be deleted. Real-money transactions (RMT) are prohibited. (e.g., PayPal, prepaid cards, virtual or real currency, cryptocurrency, NFTs, etc.) Trading through external websites or linking to external trading sites is prohibited. Losses resulting from incorrect trades cannot be recovered. Please double-check the item and prices before completing a trade. If Cross-Platform Play is set to OFF on PS or Xbox, trading with other platforms will not be possible.  Thank you.  ",1765270808,
2074920,Patch 1.3.13 Schedule for December 10 (Wed),"Greetings, Descendants! We would like to inform you about the schedule for this week’s 1.3.13 patch. ■ Patch Schedule- Scheduled for PST 2025.12.10(Wed) 23:00※ The schedule is subject to change, and details will be provided in a separate Patch Note. ■ Platforms- Steam, XBOX SERIES X|S, PS5 ■ Patch Preview- Content Improvements- Bug Fixes Thank you.",1765267287,
2074920,The First Descendant Hotfix 1.3.12c,"Greetings, Descendants.  Here are the details for The First Descendant Hotfix 1.3.12c. Please reconnect to the game to ensure smoother gameplay.  ■ Patch Date - PST 2025.12.08(Mon) 00:30  ■ Platforms - Steam, XBOX, PS  ■ Patch Details - Fixed server instability issues.   Thank you. ",1765182854,['patchnotes']
2074920,(Completed) The First Descendant Hotfix 1.3.12b,"#PST 2025.12.05 (Fri) 16:00 – Xbox and PS patches have been completed. Please restart the game after the update for a smooth gameplay experience. Greetings, Descendants. Here are the details for The First Descendant Hotfix 1.3.12b.Please reconnect to the game to ensure smoother gameplay. ■ Patch Date- PST 2025.12.05(Fri) 05:35 ■ Platforms- Steam※ Xbox and PS platforms are currently preparing for release, and we will update this notice once the patch is complete. ■ Patch Details- Fixed an issue where crashes could occasionally occur after the 1.3.12 update.- Fixed server instability issues. Thank you.",1764941843,"['patchnotes', 'mod_reviewed', 'ModAct_487176015_1764944376_0', 'mod_require_rereview']"
