appid,title,contents,date,tags
2429640,Update 3.12.0,"Throne and Liberty Update 3.12.0 downtime will begin at 10:30 p.m. PT (6:30 a.m. UTC) on December 10 and last approximately 4 hours. It includes a new Christmas event, balance changes, and more. Find the full list of changes, alongside various fixes, below.Startree Solstice EventJoin us in spreading holiday cheer by participating in the Startree Solstice event! Running from December 11 - December 31, this event is filled with activities ranging from a new Amitoi Arena to holiday-themed contracts.Added a new Extra Codex Quest serving as an event guide.Join the Amitoi Snowball Fight Arena through the Special Events menu, granting Startree Coins after winning a set number of times.Use Golden Paste Bait to catch fish worth up to 10,000,000 Sollant each.Amitoi Expeditions will grant Startree Solstice Food Selection Chests equal to how many hours the Expedition ran for.Startree Solstice Helper Contract Scrolls are available as Attendance Event rewards, granting additional Startree Coins when completed.Additional Startree Coins are granted when receiving rewards from Co-op Dungeons and Trials.Startree Coins can be spent at the Startree Coin Exchange Merchant available in Kastleton, Vienta Village, and Herba Village to obtain new cosmetics, furniture, Noble Chaos Rune Selection Chests, Unlockstones, and more.Sword and ShieldMastery: Roar Amplifier now decreases the user's Defense by 7% instead of a flat 250.Mastery: Power Breach now decreases the user's Defense by 7% instead of a flat 200.Mastery: Devoted Strike now decreases the user's Defense by 9% instead of a flat 200.Mastery: Blade Momentum now decreases the user's Defense by 14% instead of a flat 300.Mastery: Increased the Skill Damage Resistance from by Unyielding Aegis from 100 to 150.Mastery: Further decreased the Melee Heavy Attack Chance from Unyielding Aegis from -200 to -350.Mastery: Increased the CC Resistance granted by Unshakeable Will from 150 to 200.Mastery: Increased the Damage Reduction granted by Unshakeable Will from 15 to 20.Mastery: Adjusted the decrease in Base Damage granted by Unshakeable Will to be -13% rather than a flat 25.Mastery: Adjusted the decrease in Base Damage granted by Life's Bargain to be -16% rather than a flat 33.Mastery: Life's Bargain will now decrease Base Damage for every 100 Health up to a cap of 40,000 Health rather than 30,000 Health.GreatswordGiant Cordy's Ascension Greatsword: Fixed an issue causing the Enraged Giant Cordy's Spore Poison weapon skill to deal 2.5% of the target's max health over 4s instead of each second for a 4s duration in PvP.Territory EventPvP: Doubled the amount of potential spawn points for Elites.PvP: Elites now spawn within a 7 minute window rather than a set time.PvP: The map icon showcasing the Elites location is now only shown while in close proximity to it.PvP: The red pillar of light shown at the upcoming Elite spawn location will now only display 1 minute before it spawns instead of 3 minutes.PvP: Added a notification when an Elite is defeated.Enemies will now respawn in Syleus's Abyss 6F after a Territory Event has taken place.GeneralBattlegrounds: The current Pre-Season will wrap up on 12/18.Battlegrounds: Added 2 new Titles available from the Combat Coin Merchant after achieving a Ranking of 1,500 or higher and 500 or higher.Housing: Fixed an issue blocking furniture from being placed on a specific wall in Kastleton 3-4.Housing: Added interactions to Chairs and Beds placed inside houses.DaVinci's Favor: Added notifications shown when DaVinci's Favor expires, or expired while offline.Minutrite / Gigantrite: Added an Event Information window displaying expected rewards when selecting the Minutrite or Gigantrite icon on the Map.Codex: Fixed an issue occasionally causing players to get stuck in a table during the Home, Sweet Home Extra Codex Quest.Pitons: Fixed a piton that could not be interacted with in Abandoned Stonemason Town.Crafting: Fixed an issue allowing only 1 item to be favorited at a time in the Crafting menu.Cosmetics: The Jolly Orb has been re-added to the Mirror Boutique.Archboss: Ascended Tevent and Queen Bellandir once again grant 8x Archboss Materials instead of 4x as Conquest Rewards.Material Transmutation: T3 gear can now be added to Material Transmutation and can be received as rewards from Tier 5 Transmutation.Controller: Fixed an issue preventing the Guardian list from being scrolled in the Combat Settings menu.Thanks for your support! We’ll see you in Solisium.",1765387097,
2429640,Update 3.11.0,"Throne and Liberty Update 3.11.0 downtime will begin at 10:30 p.m. PT (6:30 a.m. UTC) on December 3rd and last approximately 8.5 hours. It includes the Hyperboost Server Integration, Abyss Dungeon Events, new Tier 3 gear, Combat Meter, and more. Find the full list of changes, alongside various fixes, below.Hyperboost Server IntegrationWe're completing the integration of Hyperboost servers with Legacy servers.The ""Hyperboost"" tag on the Server Selection screen has been removed.Players in Legacy servers can now transfer to/from Hyperboost servers.All inter-server content will now match players in Hyperboost servers with players in legacy servers.The Hyperboost server Auction House has been merged with the Legacy server Auction House instance in each region.Any active posts on the Hyperboost server Auction House will be force-canceled and returned to Storage.Any unclaimed Lucent in the Hyperboost server Auction House will be added directly to your account balance.Any Guild items posted on the Hyperboost server Auction House will be canceled and returned to the Guild Storage Chest.Any undistributed Guild funds from items sold on the Hyperboost server Auction House will remain available in the Profit Distribution menu.Abyss Dungeon EventsAbyss Dungeon Events have been added, starting at 18:00 and 21:00 local server time daily and running for 1 hour.Two Abyss Dungeons will have the event preset during each timeslot.Abyss Dungeon events can either be Peace or War.During Peace events, defeat enemies within the Abyss Dungeon to obtain a buff. Once enough stacks of the buff have been received, a chest can be opened which spawns every 5 minutes to receive rewards. Only 1 chest can be opened each event.During War events, rewards will be received upon defeating an Elite enemy within the Abyss Dungeon which will spawn 3 times throughout the event.Enemies spawned during the event will be level 55 in all Abyss Dungeons.New Tier 3 EquipmentNew T3 equipment pieces have been added including:9x new Weapons, each with a new Weapon Skill.4x new Armor sets, each with new set effect bonuses.2x new Cloaks.4x new Necklaces, Bracelets, Earrings, and Belts.8x new rings.The new T3 gear is primarily obtained from Abyss Dungeon Events, but can also be obtained as drops from Archbosses and Nebula Island.Combat MeterA Combat Meter is now available, accessed through the Ring Menu.To enable the Combat Meter:Add the ""Turn On Combat Meter"" option to the Ring Menu in the Ring Menu Settings > Quick Menu section.Turn on the Combat Meter from within the Ring Menu.The Combat Meter can be moved from within the Edit HUD menu.Only stats for your personal damage dealt will be displayed, damage from other players will not be shown.The Combat Meter will only track combat against boss-type enemies within Solo Dungeons, Trials, Co-op Dungeons, and Raids, as well as Practice Dummies in Safe Zones.A detailed breakdown of skills used and stats related to them can be viewed in the Combat Analyzer, opened through the Ring Menu or by clicking on the Combat Meter on the HUD.A Detailed Combat Log file can be generated on PC which can be started/stopped through a separate Ring Menu option.Rune PresetsThe Equipment and Stats presets have been expanded to include Runes attached to equipment as well.The layout of the Rune Book menu has been adjusted so gear in the equipped loadout is more visible.Each Preset allows for different Runes to be equipped on the same item.Chaos Runes can be equipped to multiple items, so long as it isn't equipped to another item within the current preset.With the release of 3.11.0, Rune Slots on all gear pieces will be reset.Runes on all gear will be unequipped and returned to the Rune Book.Expect to see a drop in Combat Power upon logging in until Runes are re-equipped.As compensation, all players will receive 10,000,000 Sollant to cover the cost of setting up your first Rune Preset.Housing AdditionsAdded a Furniture Storage Chest, available upon achieving 7,800 Housing Power.The Furniture Storage Chest serves as a shared storage place, separate from your inventory.Furniture can be moved from your Inventory into the Storage Chest for free.Furniture can also be moved from the Storage Chest to any owned house for free.Furniture can be moved from a house into the Storage chest, however this will require Furniture Tickets.The Furniture Storage Chest can hold 50 items by default, which can be expanded to 140 slots with Sollant, then 340 slots with Lucent.Placed furniture can now be dyed.Gather new herbs found throughout Solisium to collect different color Dyeing Materials.Collected Dyeing Materials can be used to craft Dye Ampoules within the Furniture Workshop Crafting Table.A new Dyeing tab is available while in Arrange mode.Furniture can have up to 4 different sections that can be individually dyed.Applying a color to any section of a specific furniture piece will require 1x Dye Ampoule of the matching color.Dyes applied to furniture will be...",1764780883,
2429640,PvP Creator Roundtable,"Join Tico as he hosts a panel of PvP experts that will influence the future of combat in Solisium. Each of the five special guests represents a different area of expertise: Bikaru (tank), J0eitv (melee), DankRNG (magic), and ZachrielTV (healer). Featured discussion topics include PvP meta, class balance, the impact of the Orb, Battlegrounds, and Ranked Mode.Check out the full video, let us know your thoughts in the YouTube comments section, and then tune into your favorite streamer on Twitch throughout December for new Drop rewards.Twitch DropsDrop One: December 4 - 11Hang out with your streamer of choice or give an entirely new set of Creators a try for 2 to 10 hours of cumulative watch time to receive the following:Ornate Coins (x200) - 2 total hours watchedStar Crystals (x300) - 4 total hours watchedTrait Conversion Stones (x50) - 6 total hours watchedTrait Extraction Stones (x50) - 8 total hours watchedTrait Unlock Stones (x50) - 10 total hours watchedDrop Two: December 12 - 31The second wave of December Twitch Drops features additional Ornate Coin, plus event currency.Ornate Coin (x200) - 2 total hours watchedStartree Coin (x200) - 4 total hours watchedStartree Coin (x300) - 6 total hours watchedThanks for your support. We’ll see you in Solisium!",1764695584,"['mod_reviewed', 'ModAct_487176015_1764699216_0', 'mod_require_rereview']"
2429640,Hyperboost Auction House Merge,"The Hyperboost Auction House will merge with Regional Auction Houses during maintenance on December 3. Here’s everything you need to know about transitioning Auction House services, Lucent, and trade policies.Please note, all of this only applies to Hyperboost Servers:Any current Auction House listings will be forcefully expired and items will be returned to the original lister.Any pending Lucent that was not yet collected from sales will be expired and directly sent to the seller.Any items listed by a guild that were forcefully expired will return to the Guild.Any sales made by guilds will not be impacted and Lucent will remain in the guild's possession as normal.All inter-server content will be fully integrated with legacy servers. This includes Co-op Dungeons, Battlegrounds, Nebula, guild versus guild, and any other content that typically operates in inter-server play.Thanks for your support! We’ll see you in Solisium.",1764003248,
2429640,Black Friday Sale,"Score discounted in-game items like the new Coven Executioner Bundle, Anniversary Packs, and the Solisium Style Pack for a limited time during the Throne and Liberty Black Friday Sale. Check out the full selection of discounts below.Anniversary PacksAll Anniversary Packs are 30% off during the sale.Platinum Anniversary PackCelebrate Solisium and your own achievements with 9,375 Lucent and the complete Dominus Weapon Set.Gold Anniversary PackDress like a conqueror of Stonegard Castle with the Mystic of the Forgotten Tower Outfit, Infernal Caproth Glide Morph and Mask of Mystic Headpiece, plus 6,000 Lucent.Silver Anniversary PackThis pack contains 2,875 Lucent, plus a striking set of Morphs: Fire Hound Dash Morph and Lapis Drakan Swim Morph.Bronze Anniversary PackTreat yourself with 1,125 Lucent and the enchanting Witch Skelti Amitoi.Solisium Style PackContinue your adventure in style with new hairstyles, hats, helmets, plus Dye and Sewing Thread to further personalize your favorite outfit. Or create your own personally unique style with Illusion Scrolls! The Solisium Style Pack is 75% off as part of the Black Friday sale.In-Game Sale ItemsThe following items and high value bundles will be available starting on November 27 through December 3, 10:30PM PT.Battle Pass Boutiques VaultContains items sold from previous Battle Passes. Each Box can be purchased twice per account.Bonus Loyalty Points for anything that normally grants Loyalty Points.Prismatic Pulse HeadpieceRainbowmong (Loyalty Shop)This item will remain in the Loyalty Shop after the sale.Coven Executioner BundleContains a new outfit and weapon bundle.Thanks for your support and we’ll see you in Solisium!",1763743362,
2429640,Battle Pass: Covenant Star,"Glide to greater heights as the Midnight Owl Morph. The Covenant Star Battle Pass is available now until December 18, 1AM PT (9AM UTC). It features the Pose: Pondering Throne, Island Tobbit Polymorph, Harvest Moon Izzy Amitoi, and Motion: Drum Solo.Want even more unique rewards for completing seasonal challenges? The Battle Pass is an optional seasonal purchase that can turn your accomplishments into new cosmetics, crafting materials, items, and various in-game currency. Each Battle Pass features a free track and a premium track that can be unlocked with Lucent. Look forward to new spoils every season.Learn more about the Covenant Star rewards below and then explore answers to your most common questions.RewardsThere are desirable rewards at every level, but the most ambitious adventurers will strive to achieve max level (level 50) for the following loot.Level 1 (Premium Track): Pose: Pondering ThroneLevel 20 (Free Track): Island Torbbit PolymorphLevel 31 (Premium Track): Harvest Moon Izzy AmitoiLevel 41 (Free Track): 25x UnlockstonesLevel 46 (Premium Track): 2x Greater Nebula StoneLevel 50 (Free Track): Motion: Drum SoloLevel 50 (Premium Track): Midnight Owl Glide MorphDon’t forget to use your Star Crystals for valuable items in the Covenant Star Point Shop. As you progress your Battle Pass, you’ll earn Star Crystals as free rewards at levels 5, 10, 15, 25, 30, 35, and 45. Additional Battle Pass experience upon reaching level 50 will be converted into Star Crystals. Be advised, at the end of the Battle Pass season, your Star Crystals will turn into Quality Recovery Crystals. Here are some of the featured items from the Covenant Star Point Shop.Adventure Coin: FortitudeNoble Rune Category Selection ChestPrecious Blessing Pouch: ChaosSkill Core Engraving BookRare Rune Category Selection ChestPrecious Ore Selection ChestTrait Extraction & Conversion StonesNebula Charge StonesRare Artifact Chance ChestsWeapon Mastery ExperienceSkill Conversion BooksTrait Unlock StonesPrecious Parchmentand more!Want to learn more about how the Battle Pass works? Check out our FAQ.Thanks for your support and we’ll see you in Solisium!",1763741837,
2429640,Update 3.9.0,"Throne and Liberty Update 3.9.0 downtime will begin at 10:30 p.m. PT (6:30 a.m. UTC) on November 19 and last approximately 4 hours. It includes the new Rift Rebellion event, plus a variety of weapon balance tweaks. Find the full list of changes below.Rift Rebellion EventTemporal portals have appeared in Herba Village and Stonegard Castle where historical attacks against the cities are unfolding once again. Help protect the cities and their citizens to earn unique rewards including new Titles, an Amitoi, and Gathering Materials.The Rift Rebellion event will occur 3x per day on weekdays and 4x per day on weekends:Mon ~ Fri: 18:30, 20:30, and 22:30 local server time.Sat ~ Sun: 16:30, 18:30, 20:30, 22:30 local server time.Event locations will alternate between Stonegard Castle and Herba Village.CrossbowQuick Fire: Decreased damage from 150% of Base Damage +32 to 135% of Base Damage +32.Quick Fire: Added a +100% damage buff against monsters.Quick Fire: Removed the 30% additional damage buff against other players from the Damage Specialization.Quick Fire: Increased the damage boost granted by the Damage Specialization from 20% to 30%.Nimble Leap: Decreased the distance travelled from 5m to 4m.DaggersShadow Strike: Decreased the attack range from 12m to 9m.Shadow Strike: Decreased the additional range granted by the Skill Range Specialization from 40% to 20%.Camouflage Cloak: Decreased the stealth time from 7.5s to 6s.Camouflage Cloak: Decreased the additional stealth time granted by the Duration Increased Specialization from 1.5s to 1s.Cleaving Moonlight: Added a +50% damage buff against monsters.Umbral Spirit / Thunder Spirit: Added a +100% damage buff against monsters.Fatal Stigma: Increased damage from 405% of Base Damage +110 to 490% of Base Damage +140.Fatal Stigma: Increased the damage boost against monsters from 40% to 80%.Fatal Stigma: Increased the maximum damage boost granted by the Damage Specialization from 30% to 50%.GreatswordPrecision Dash: Decreased the attack range from 12.5m to 9m.Precision Dash: Decreased the additional range granted by the Skill Range Specialization from 20% to 10%.Stunning Blow: Decreased the stun duration from 3.2s to 2.7s. The stun duration from Heavy Attacks has decreased as well from 3.7s to 3.2s.Stunning Blow: Decreased the additional stun duration granted by the Effect Duration Increase Specialization from 1s to 0.8s.Devastating Smash: Decreased the stun duration from 2s to 1.5s.Mastery: Decreased the additional stun duration granted by the Stun Duration Augment Uncommon Tactics node from 0.5s to 0.4s at level 10.SpearGale Rush: Decreased the attack range from 16m to 12m.Rising Slash: Decreased the attack range from 12m to 9m.Abyssal Cleave: Decreased the stun duration from 2.9s to 2.28s.Sword and ShieldStrategic Rush: Decreased the attack range from 11.6m to 9m.Chain Hook / Controlling Rake: Decreased the attack range from 11.6m to 9m.Chain Hook / Controlling Rake: Decreased the additional range granted by the Skill Range Specialization from 3.75m to 3m.Sword and Shield: Fixed an issue allowing the cooldown of Piercing Strike to be immediately reset when combined with Counter Barrier and the Agile Strike Crossbow Mastery node.LongbowZephyr's Nock: Increased damage against monsters from 20% to 40%.Decisive Sniping / Decisive Bombardment: Increased damage against monsters from 110% to 140%.Strafing: Increased damage against monsters from 25% to 40%.Ensnaring Arrow: Decreased the bind duration from 5.5s to 4.2s.Ensnaring Arrow: Increased the oppress duration from 5.5s to 6.3s.Mastery: Decreased the additional bind duration granted by the Greater Bind Duration Augment Rare Tactics node from 1s to 0.8s at level 10.StaffIcebound Tomb: Decreased the movement speed debuff duration from 4s to 3s.Icebound Tomb: Decreased the freeze duration from 6.3s to 4.9s.Ice Spear: Decreased the movement speed debuff duration from 3s to 2.5s.WandCursed Nightmare: Decreased the sleep duration from 6s to 4.6s.OrbSummon Satellite: The effects applied when using Distortion Veil have been removed.Summon Satellite: The benefits from the Satellite Copy Specialization are now granted by default.Summon: Satellite: The Satellite Copy Specialization has been re-worked:This Specialization now grants additional effects when using Distortion Veil instead of Basic Attacks and Stellar Dash.The required number of Specialization Points has been reduced from 10 to 7.The name of the Specialization has changed to Summon Guardian Satellite.Supernova Collapse: Decreased the stun duration granted by the Enhanced Link Specialization from 3s to 2.5s.Interstellar Explosion: Decreased the stun duration granted by the Stun Specialization from 3s to 2.5s.EquipmentBrute Slayer: The 4-set effect now only stacks up to 4 times, down from 5.Tevent's Omniscient Eye / Tevent's Cinderdust Eye: Added a +200% damage buff against monsters to the Tevent's Corruption weapon skill.GeneralHousing: Added an ""All"" tab in the Furniture Cr...",1763575333,
2429640,Conquest of Guilds 2025,"Gather your guild, complete challenges, and stake your claim as one of the best guilds for more than just bragging rights. Conquest of Guilds is a two-week long event for guilds to slash their way into THRONE AND LIBERTY history. An exclusive in-game title, plus Archboss Fragments await those willing to conquer Solisium across almost every guild activity. The top 5 Guilds globally across Legacy Servers and the number one Guild across Hyperboost servers will receive an additional exclusive reward. How will your guild be remembered?Join players with shared interests, goals, or something else entirely for an even more enjoyable experience when Conquest of Guilds begins on November 20. With a variety of featured PvP and PvE challenges, this is the best chance to make a name for your guild. The top guilds will be crowned after the event ends on December 4.Check out your potential spoils, preview the guild challenges, and plan your team’s tactics.RewardsOutwit, outperform, and outplay other guilds for an exclusive title and valuable loot. Each week Guilds will be challenged to complete specific activities in order to earn points. The Guilds with the most points at the end of the event will win the exclusive Conquistador title, Archboss Soul Fragment Selection Chests, and Divine Beast Crystals. Winners will be chosen by Top Guild per region. For Legacy servers, the top 5 guilds per region will win. For Hyperboost, only the top 2 guilds per region will win.Top Guilds Globally:Exclusive title: Conquistador15 Archboss Soul Fragment Selection Chest25 Divine Beast CrystalsTop Guilds Per Region:First place:Exclusive title: Conquest MasterAccess to all 3 new exclusive guild emblemsSecond Place:Exclusive title: Conquest MasterAccess to 2 of the 3 new exclusive guild emblemsThird Place:Exclusive title: Conquest MasterAccess to 1 of the 3 new exclusive guild emblemsAll guilds active during the time of this event will automatically be entered into the contest. Players in the top placing guilds must have been a part of their guild for at least 96 hours to qualify for rewards. If a player is in more than one guild that finishes in a top placement, they will not receive additional prizes.Guild ChallengesConquest of Guilds requires effective coordination across guild activities to help players get the most out of their time in Solisium. Here’s an overview of each activity followed by their point breakdowns.BattlegroundsStorm the Battleground Ranking leaderboard to score points for your guild. The top 15 guilds per region will receive points. The average rank of the top 15 players in the guild will be will be used to establish the guild's rank for this category.Point breakdown per region:First: 100 pointsSecond: 95 pointsThird: 90 pointsFourth: 85 pointsFifth: 80 pointsSixth: 75 pointsSeventh: 70 pointsEighth: 65 pointsNinth: 60 pointsTenth: 55 pointsEleventh: 50 pointsTwelfth: 50 pointsThirteenth: 50 pointsFourteenth: 50 pointsFifteenth: 50 pointsHousingBuild Housing Power to help your guild win the competition. The average Housing Power of the top 15 players in the guild will be used to establish the guild's rank for this category.Point breakdown per region:First: 60 pointsSecond: 55 pointsThird: 50 pointsFourth: 40 pointsFifth: 38 pointsSixth: 36 pointsSeventh: 34 pointsEighth: 32 pointsNinth: 30 pointsTenth: 28 pointsConquest BattlesCapture either the Boonstone or Riftstone during Conquest battles to earn points for your guild. Each time a guild captures a new stone, they will receive 8 points. You only get points for a new stone, so guilds who want to maximize their rank should fight for a new stone at each opportunity.Dimensional TrialsTake on 10 tiers of increasing difficulty and choose from various bonus difficulty effects (affixes). Using the in-game leaderboard, we will award points for this category twice, following each week of the event. The top guilds per region will receive points based on the highest score on the score leaderboard. All 6 members of the party must be part of the same guild for the score to be considered. Only the highest score for every guild will be considered. For example, the same guild cannot claim both the first and second spot.Point breakdown per region:First: 60 pointsSecond: 55 pointsThird: 50 pointsFourth: 45 pointsFifth: 40 pointsSixth: 35 pointsSeventh: 30 pointsEighth: 25 pointsNinth: 25 pointsTenth: 25 pointsAchievement CompletionBecome one of the highest achievement scorers to earn points for your guild. The average achievement points of the top 15 players in the guild will be will be used to establish the guild's rank for this category.Point breakdown per region:First: 60 pointsSecond: 55 pointsThird: 50 pointsFourth: 40 pointsFifth: 38 pointsSixth: 36 pointsSeventh: 34 pointsEighth: 32 pointsNinth: 30 pointsTenth: 28 pointsDynamic Events: GuildThe guilds with the most top 3 finishes during these guild-only, open world events will receive points. Dynamic Events: Guild results will au...",1763398644,
2429640,Update 3.7.0,"Throne and Liberty Update 3.7.0 downtime will begin at 10:30 p.m. PT (5:30 a.m. UTC) on November 5 and last approximately 3 hours. It includes ranked Battlegrounds, the party and guild ping system, and bug fixes. Find the full list of changes below.BattlegroundsRanked mode is now available for Battlegrounds!The ranked pre-season is estimated to last 6 weeks.Initially, ranked mode will only be available 16:30 ~ 19:30 and 22:00 ~ 01:00 local server time daily.Ranked mode can only be queued for as an individual, entering with a pre-formed party is not permitted.Additional items are now available at the Combat Coin Merchant, locked behind a specific ranking requirement.If not enough players are available to start a 24 vs 24 Battlegrounds match, an 18 vs 18 match will be started instead.Once matched with 36 players, 12 additional players will be searched for before the match starts.If the remaining 12 players cannot be found, the match will commence as 18v18 with a new score limit of 80,000.Healing teammates now grants points within Battlegrounds matches.10 points, times by any active multipliers, will be granted for every 50,000 health healed.Score is only granted for effective healing, over-healing will not grant points.Equipped weapon combinations are now displayed on the Scoreboard.Party and Guild Ping SystemA new ping system is available to Parties and Guilds, allowing players to place down a temporary indicator.4 different ping types are available: Attack, Warning, Move, Support.Pings will be displayed for 5 seconds before disappearing.On Mouse and Keyboard, shortcuts to access this feature will be unbound by default.Key bindings to open the Ping menu can be adjusted in the Shortcuts and Features tabs of the Settings menu.With a Controller, pings can be accessed through a new tab in the Ring Menu.When viewing the Ping menu, a shortcut will be available to switch between Party/Guild pings.For Parties, new settings within the Party Management window are available controlling who can use pings.For Guilds, these settings can be found in the Guild Settings menu.LifeskillsMinutrite and Gigantrite lamps and bed furniture have been added.This furniture will require new Divine Beast Crystals obtained from either Gigantrite or Minutrite, alongside rare gathered materials, Vitalstones, and Additives.New floating islands can now be found around Solisium, only accessible by riding on Gigantrite or Minutrite.A mix of existing and new gatherable nodes will be available on each island granting all tiers of gathered materials with increased yield and higher chances to receive Rare materials.These islands will also have nodes available which can be collected to acquire Vitalstones and the new Divine Beast Crystals.Divine Beast Crystals obtained directly from Gigantrite and Minutrite will be untradeable, but will have a chance to be tradeable when obtained from the floating islands.This new furniture is Epic tier and will grant significantly higher Housing Power compared to Rare tier furniture.All newly available furniture has a small chance to grant a Great Success when crafted, resulting in a tradeable variant.Gathering now grants full XP regardless of your current gathering level.3x Common tier materials are now received when the respective Gathering lifeskill is level 15.Gathered materials can now be dissolved to receive a lower-tier material at a 1:1 ratio.The chance of a gatherable leather node dropping from an enemy has been decreased from 40% to 20%, however the quantity of materials received have been roughly doubled.A new processing queue slot is now available upon reaching level 8 in the respective Processing skill.A set of 5x Furniture Tickets can now be purchased from the Furniture Workshop Merchant with Sollant.Added tags indicating the type of furniture displayed displayed at the bottom of the item tooltip.Search bars in the Manage Storage and Arrange Housing menus can now be used to search for furniture tags.Players that own multiple houses can now teleport to each from the Manage My House menu.Interaction sounds have been added to various light fixtures within houses.The quantity of gatherable nodes on Minutrite will now scale with the tier reached during the Healing Touch for Divine Beasts Dynamic Event.Heroic ItemsSkill Core Imprint Scrolls can now be purchased from the Raid Goods Exchange Merchant with Sollant.The recipe to craft Skill Core Imprint Scrolls has been removed.Equipment Transferring is now available for Heroic Armor and Accessories of different types (i.e. transferring a Heroic Ring to a Heroic Bracelet, or a Heroic Helmet to a Heroic Cloak).Heroic gear can now be used within the Sync menu, allowing T3 gear and other Heroic items to by synced to it.Shield StackingShields of the same type cast by other players no longer stack including:Wand: Excavator's Mysterious Scepter, Spectral Defense, Invincible WallSword and Shield: Blessing of ImmortalityOrb: Distortion VeilSword and ShieldThe Unshakea...",1762361744,
2429640,Haunted Harvest Returns,"Sweet rewards, spooky decorations, and creepy cosmetics return in Haunted Harvest now through November 13. The Haunted Labyrinth event-only dungeon is also back. What tricks will your guild carry out alongside these treats?From finding familiar faces in costumes to fishing for gummies, Solisium takes Haunted Harvest very seriously. Candy Corn are even used as event currency. Exchange your delectable treasure for unique rewards, including special consumables, and have a spooktacular time. Exclusive Haunted Harvest cosmetics will be available for a limited time through the in-game Shop.Event-Only DungeonIn pursuit of a giant jack o’ lantern, you’ve unknowingly entered a perilous trap with seasonal surprises lurking around every corner. Navigate thrilling obstacles, defeat fiendish pumpkins, and devour a Candy Corn for the chance to receives rewards like cosmetics, food buffs, ornate coins, and more.You will also receive Dimension Pumpkins that can be exchanged for spoils like the Lord Embergourd Headpiece, Pumpkin Hound, and Gesture: Wave at event merchants in each village.Event VillagesTrick-or-treat at any village to get the most out of your Haunted Harvest experience. Beyond collecting Candy Corn from various activities, you’ll also receive them as a daily log-in bonus. Don’t eat, or spend, all of your candy at once.Greet familiar friends in unique costumes around each village to receive Candy Corn.Search for characters with hidden Haunted Harvest forms at night or morph into a playful ghost to identify them during the day for additional Candy Corn.Locate all three costumed characters to receive the Phantom’s Prank buffIncreased Sollant gainIncreased experience gainHaunted FestivitiesHaunted Harvest influences Solisium in fresh and unexpected ways. Scrumptious culinary creations are waiting to be crafted, while large bags of Candy Corn were accidentally lost amidst a few Conquest Battles. Rumor has it the candy ended up in the water and mutated some fish. Your favorite Amitoi can also enjoy the event through a limited-time Expedition bonus. Here’s an overview of the festivities.Use a Bait Pumpkin to catch Gummy Fish and Pumpkin Taffy throughout Solisium for various 30 minute buffs:Gummy FishIncreased movement speedIncreased attack speedIncreased max staminaIncreased stamina regenPumpkin TaffyIncreased damage reduction against bossesIncreased damage resistance against all speciesIncreased skill damage resistanceJoin your fellow adventurers and search for wandering Haunted Harvest Peddlers to purchase Dimension Pumpkins and other event-specific rewards.Lord Embergourd Headpiece (outfit)Pumpkin Hound (playful morph)Gesture: WaveGigantrite Pumpkin (playful morph)World Tree Pumpkin (playful morph)Calanthia Pumpkin (playful morph)Spectral Broken Mirror (furniture)Spectral Spider Plush (furniture)Spectral Pumpkin Plush (furniture)Lord Embergourd Trophy (furniture)Once you have the proper ingredients, you can cook these Haunted Harvest specialties for 30 minute buffs:Pumpkin Spook LatteIncreased Sollant gainIncreased Mastery experience gainIncreased Abyssal Contract Token EfficiencyPumpkin CakeIncreased all Species Damage BoostIncreased Boss Critical Hit ChanceIncreased Boss Heavy AttackSend your favorite Amitoi on Expeditions for a chance at additional event rewards.Amitoi have an icon on their head to indicate where they’ll receive a boost. This boost increases a chance to obtain special rewards from Amitoi Expedition.Halloween-themed Amitoi (Jack-o'-Lantern Izzy, Hexbound Figment, Floating Jolt, Night Dancer Glynt, and Candlelight Phantom Jolt) will receive an increased chance of obtaining special rewards enabled regardless of their Expedition.Take down your favorite dungeon bosses during the event for a chance to receive additional cosmetics.Store ShowcaseCapture the charm of Haunted Harvest with the Wicked Enchanter bundle, grab the Grin Reaper outfit to embody the mischievous nature of Haunted Harvest, collect the evil Haunted Harvester's Weapon Cosmetics, and more through this selection of limited-time Shop cosmetics. Preview a few and then see how your character looks wearing the entire collection in-game.Thanks for your support! We’ll see you in the shadows of Solisium.",1761326369,
