appid,title,contents,date,tags
230410,Operation: Blood of Perita,"{STEAM_CLAN_IMAGE}/4437469/001b3951e15cd526aea7871ae5ae40ff0c429272.png After the launch of our massive new narrative chapter, The Old Peace, battle-hardened Tenno have fresh opportunities to prove their mettle with a new in-game event. Live now, Operation: Blood of Perita runs until January 6 at 11:30 a.m. ET, offering new earnable Rewards in addition to returning items from previous Operations that you may have missed. What You Need To Know Operation: Blood of Perita requires a degree of battlefield expertise, and is only available to Tenno who have completed The Old Peace Quest. What You Need To Do Deploying into any Missions in The Perita Rebellion during the Operation will give you the chance to earn Marks of Valiance, awarded in recognition of valorous deeds both past and present. The Steel Path version of these Missions will reward even greater quantities. They can then be used to claim Rewards from Roathe in La Cathédrale. Operation Alerts Keep your eyes peeled for Void-only Alerts during the course of the Operation for a chance to earn bonus Marks of Valiance, as well. Rewards Great courage begets great Rewards. Upon visiting Roathe, your Marks of Valiance can can be exchanged for some tantalizing offerings including a new Honoria, Valdur's Syandana, Dax Lustratus Shoulder Armor and the Loiaus Chest Medallion. Additional Rewards include: Aspirus Ephemera Aspirus Emergent Ephemera Aspirus Apex Ephemera Low Guardian Chest Plate Phased Clan Sigil Glyphed Clan Sigil Gilded Clan Sigil Krios Signa Prominence Wisp Totem Teshin Statue Fluctus Rahk Skin Ceti Lacera Blueprint Basmu Blueprint Stance Forma Blueprint The Ballroom Simulacrum Star-Child Diadem Enlightened Hate Skin Cortege Supulchrax Skin Morgha Supulchrax Skin Greater Madurai Lens Greater Zenurik Lens Greater Unairu Lens Greater Naramon Lens Greater Vazarin Lens 6000 Kuva (limited weekly) Arcane Tempo Arcane Consequence Arcane Momentum Arcane Ice Arcane Nullifier Arcane Warmth Arcane Resistance Arcane Healing Arcane Deflection Arcane Victory Arcane Strike Arcane Awakening Arcane Guardian Arcane Phantasm Arcane Eruption Arcane Agility Arcane Acceleration Arcane Trickery Arcane Velocity Arcane Precision Arcane Pulse Arcane Ultimatum Arcane Aegis Arcane Arachne Arcane Rage Arcane Fury Arcane Avenger Arcane Energize Arcane Grace Arcane Barrier",1765903289,
230410,Prime Resurgence EoY Event 2025,"{STEAM_CLAN_IMAGE}/4437469/961b5fd740a2389dacbc65f27ff598e5c4ae1248.png It’s nearly that time again, Tenno — the Prime Resurgence End of Year Event 2025 begins on December 18 at 2 p.m. ET! Like in previous years, this event will include two separate rotations — each containing four pairs of Prime Warframes (that’s 16 Prime Warframes in total), along with their associated Prime Weapons, Accessories and signature Customizations! Additionally, Protea Prime and Caliban Prime will be available during the first rotation via Vanguard Relics. Rotation 1 December 18 at 2 p.m. ET to January 15 at 2 p.m. ET {STEAM_CLAN_IMAGE}/4437469/db88681a972c4029eb386a0391b3b75ee96e87ac.jpg Mesa Prime and Hydroid Prime Ash Prime and Inaros Prime Volt Prime and Loki Prime Ember Prime and Frost Prime Prime Vanguard: The Old Peace, our first rotation, will also honor six exceptional Warframes present during the Perita Rebellion and will feature exclusive Vanguard Relics that include parts for Mesa Prime, Ash Prime, Volt Prime, Ember Prime, Protea Prime and Caliban Prime. Vanguard Relics are available for Aya containing the Blueprints for the Warframes listed. These new Relics were created specifically for this event to offer players a chance to earn all six Prime Warframes. Given the unique nature of these Relics with their premium vaulted offerings, there will be a purchase limit of 100 per Vanguard Relic (400 total for all Relics) per player in order to maintain Prime economy balance. Note: Caliban Prime and Protea Prime were both recently available via Prime Access and have not yet been vaulted. To maintain the order of operations with Prime Resurgence and respect those who had purchased these packs through Prime Access, they are excluded from the Regal Aya packs. Rotation 2 January 15 at 2 p.m. ET to February 12 at 2 p.m. ET {STEAM_CLAN_IMAGE}/4437469/df7a1533c3148b58779045882168afa19a0669dd.png Harrow Prime and Nekros Prime Ivara Prime and Oberon Prime Valkyr Prime and Saryn Prime Garuda Prime and Khora Prime There will also be a Last Chance rotation running from February 12 at 2 p.m. ET to February 19 at 2 p.m. ET. So the initial 16 Prime Warframes, along with their Prime Weapons and Accessories, will be available again for a limited time! Please keep in mind that Protea Prime and Caliban Prime will not be part of the Last Chance offerings, as the Vanguard Relics will not return for this rotation.",1765814561,
230410,The true highlight of The Game Awards was Werner Herzog explaining Warframe,"s I write this, we're roughly two hours into tonight's Game Awards. There have been some major reveals: After two decades, there'll be <a href=""https://www.pcgamer.com/games/rpg/after-21-years-knights-of-the-old-republics-original-director-is-returning-to-the-series-for-fate-of-the-old-republic/"" target=""_blank"">a proper return to The Old Republic</a>. We now know that Larian was behind <a href=""https://www.pcgamer.com/games/rpg/larian-reveals-its-divinity-its-biggest-game-ever-even-larger-than-baldurs-gate-3/"" target=""_blank"">Keighley's special desert statue</a>. There will be <a href=""https://www.pcgamer.com/games/action/tomb-raider-comes-to-the-game-awards-with-not-just-one-but-two-new-games-a-re-imagining-and-an-all-new-adventure/"" target=""_blank"">two Tomb Raiders</a> in the next two years... <a href=""https://www.pcgamer.com/games/action/werner-herzog-explaining-warframe-is-the-highlight-of-the-game-awards/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1765510530,
230410,Gyre Prime Access Available Now,"Equal parts enchanting and electrifying, Gyre has pirouetted into Prime Access with a shocking, golden flourish. Leaping into the spotlight alongside The Old Peace, she takes the stage with her signature Prime Weapons and exclusive Prime Accessories. Take advantage of instant access while you can. Acquire only the Prime items you want by selecting from the Weapons, Prime, Complete and Accessories Packs, depending on your platform and preferences. You can also earn Gyre Prime and her signature Prime Weapons in-game by collecting and cracking Void Relics! Gyre Prime Access includes: Gyre Prime Gilded circuits spark and energize frenetic movements that echo through the ages. Dance into eternity with galvanizing grace. {STEAM_CLAN_IMAGE}/4437469/e564ddb5ef94a25d3f7425656f02568cca5bdf34.png Alternox Prime Orokin gold enhances the conductivity of Gyre Prime's signature rifle, enabling it to fire massive electrifying orbs. {STEAM_CLAN_IMAGE}/4437469/a46fc3b000e194f809d39276ad6e5783c8995267.png Kestrel Prime With its heightened agility and power the Kestrel Prime’s Heavy Attacks will easily knock down foes, ensuring none shall stand before it. Exclusive Gyre Prime Glyphs Gyre Prime Accessories Triodic Prime Syandana Vanda Prime Armor 90-Day Affinity Booster 90-Day Resource Booster {STEAM_CLAN_IMAGE}/4437469/4caedca4877d5c3e0ce080b03a9b927a6bee74c5.png -- Note: You'll find the best value in the Gyre Prime Access Complete pack, which includes the Gyre Prime Warframe, her Prime Weapons and Accessories, as well as Platinum!",1765388687,
230410,The Old Peace: Free Update Available Now,"The ancient battlefields of Tau await in our most ambitious update yet! Available now on all platforms, The Old Peace takes your Warframe journey to a whole new level, bringing you face to face with the Orokin and Sentients through memories of The Old War: a galaxy-spanning conflict that until now has only existed in whispers and echos across Warframe's ever-sprawling lore. {STEAM_CLAN_IMAGE}/4437469/1e37287ec754d3091730ca98cf8bdad331b4716f.png In addition to the latest chapter of our ongoing cinematic Quest, we've made numerous additions to Warframe's cast of characters, innovative game modes, expansions to existing systems, awesome new weaponry and more. And with two new upcoming events arriving shortly after launch, there's plenty to keep you busy over the holidays and beyond. The Old Peace further lays key groundwork for the future of Warframe in a new Tau-focused update to come later in 2026. Jump in-game today and experience Warframe like never before! NEW QUEST: THE OLD PEACE {STEAM_CLAN_IMAGE}/4437469/72a0723cea2f488518b05ab49c5d73f3de7450dd.png Utilizing Albrecht Entrati's Dark Refractory, you'll discover memories of The Old War both long-buried and rife with forgotten secrets. Enter a fragile period of peace between the Orokin and their Sentient creations during the devastating Old War and unravel the collapse of their failed treaty. Along the way, you'll explore your own role in this dark chapter of the Origin System's history — and what it might mean for the present. Introducing both new enemies and allies alike, including your Sentient friend named Adis, The Old Peace offers a glimpse at a past you've only imagined. Now you must uncover its grim entirety. Please Note: The Old Peace Quest requires main story progression up to and including The Lotus Eaters, which is accessible after finishing Whispers in the Walls. To track what you need to complete, check out our official Quest Guide. NEW FACES 63rd Warframe: Uriel {STEAM_CLAN_IMAGE}/4437469/3faa07a9f558d3a4a70d15ac35a23e8b518e458e.png To fight as the Heretic of Xata is to have demons at your back. Uriel incinerates foes with searing brimstone, and commands three fiendish summons to do his devil’s work. Ability 1: Infernalis Manifest an aura of flames inflicting Heat Damage and Status Effect on nearby enemies. Tap Dodge to take flight as a flaming meteor of destruction. Ability 2: Remedium Uriel heals himself and his demons. If his demons are dead, they are resurrected. Ability 3: Demonium Uriel rips out the souls of his demons, draining some of their health, and sends them in search of new victims. Souls explode on contact with an enemy, inflicting Damage Vulnerability. Ability 4: Brimstone Uriel and his demons create a growing ring of flaming brimstone. Damage inflicted increases with each consecutive hit. Passive Uriel commands, empowers, and protects three unique demons: CATENACH: Snares and slows enemies chaining them together. Damage dealt to the last enemy in the chain is inflicted on all snared enemies. (Unlocks with Infernalis) GULPHAGOR: Latches onto foes dealing damage over time. If killed, a circle of pain is spawned. (Unlocks with Remedium) VYTHELAS: Inscribes demonic runes upon fallen foes that add Fire Rate and Heat Damage when collected. (Unlocks with Demonium) The Devil's Triad {STEAM_CLAN_IMAGE}/4437469/369490e7f887e05c8b49bf6a49d760cb421fb0d8.png A trio of new figures — both divine and damned — have emerged to consecrate our latest update. Following in the footsteps of a familiar luminary on his path toward absolution, they burn brightly with righteous fire. The Devil's Triad, as they are known, arrive with The Old Peace with useful services and unique stories. Venture back to XX99 to visit them in La Cathédrale via the Sanctum Anatomica, where they serve both as Vendors for new content and potential new romance partners, depending on your predilections (and Quest progression). Marie Leroux Sister Marie Leroux, a nun determined to serve Sol by proving that even the most unrepentant devil can be redeemed, brings a human face to the Wisp Warframe. Lyon Allard Father Lyon Allard, a priest of Lua tormented by nightmarish visions, brings a human face to the Harrow Warframe. Roathe Grand Carnus Roathe, the Heretic of Xata, brings a human — though Orokin — face to the Uriel Warframe. Operator/Drifter Remaster {STEAM_CLAN_IMAGE}/4437469/f8b272e985cd893e68a6df9e698a5eba5ebb59ab.png Operators and Drifters have received significant visual improvements, and you'll have the option to customize yours once again once you download the update and log in. You'll find our reworked face blending much more aesthetically appealing, with updated eye and makeup customization options to boot, including color, transparency and Material Structures. Brows, beards and hairstyles are also overhauled! Voruna Medeina {STEAM_CLAN_IMAGE}/4437469/bea72f3332f0a219b3d6e1b0861539bc785e61e1.png Originally revealed to the community as a Reward during Quest to Conqu...",1765385673,"['vo_marketing_message', 'mod_reviewed', 'ModAct_1691520782_1765388039_0', 'ModAct_487176015_1765393751_4', 'ModAct_487176015_1765394172_4', 'mod_require_rereview']"
230410,"Warfame's The Old Peace update is here, capping off a colossal year in the best possible way: more smoochable characters","I've said it before and I'll say it again: <strong>Warframe</strong> is the most exciting live-service game around. Where the likes of Apex Legends, League of Legends, and Call of Duty have lost their way, Digital Extremes continues to double-down on the space <a href=""https://www.pcgamesn.com/10-best-pc-mmos"">MMO</a>'s unique DNA while simultaneously adding new, genuinely exciting features. While its latest update, The Old Peace, is a far cry from the grit and grime of Warframe 1999, there are lashings of Arthur and co.'s adventure in here, with the return of Protoframes and the romance system in The Devil's Triad. The Old Peace feels like an update where old and new collide, and now I can finally get my hands on it. <a href=""https://www.pcgamesn.com/warframe/old-peace-update-launch"">Read the rest of the story...</a> RELATED LINKS: <a href=""https://www.pcgamesn.com/warframe/new-content-skip-the-old-war-interview"">Warframe's The Old Peace skip is ""sh*tty"" for some, but it's Digital Extremes' ""survival strategy"" in a busy crowd</a> <a href=""https://www.pcgamesn.com/warframe/the-old-peace-release-date"">Warframe 1999 was the ""furthest stretch of the rubber band,"" but The Old Peace offers ""the most soulslike thing"" DE has ever done</a> <a href=""https://www.pcgamesn.com/warframe/codes"">Warframe codes December 2025 and how to redeem</a> ",1765376885,
230410,Prepare for The Old Peace with Our Interactive Prelude,"With the imminent arrival of The Old Peace, we have some important items that require your attention. THE OLD PEACE INTERACTIVE PRELUDE {STEAM_CLAN_IMAGE}/4437469/a00fddbedde21f91c4b198ad5623d7beb72c1b0e.png All Tenno are cordially invited to enter the Ecchymotic Historical Extract for an interactive Old War experience unlike anything you've seen to date. Based on firsthand accounts of Tau's ancient battlefields, this harrowing new simulation is the best way to get a taste of Tau before our next major update. Take a trip to the past and you'll return with the first-ever Honoria — our new player title system coming with The Old Peace. Once it's added to your account, you can brandish your newfound expertise for all to see. ENTER THE EXTRACT You'll also earn Focus Lenses to help you on your way through the Tenno Schools, just in time for the new Tauron Strikes coming in the update. There may even be other secrets waiting inside the simulation for you to uncover! {STEAM_CLAN_IMAGE}/4437469/bea908d23ce5b3f3922b34aaed3516728bff666b.png If you're indisposed at present, fear not! This Honoria will remain available to earn indefinitely, so you can nab it for your profile whenever you'd like.",1765298650,
230410,Devstream 191 Overview,"{STEAM_CLAN_IMAGE}/4437469/2ce6ca5ed8fe34c6b103471b2e1fce8a418ad266.png Setting the stage for the upcoming launch of The Old Peace on December 10, Devstream 191 showcased The Perita Rebellion game mode, as well as new Tauron Strike previews, Uriel's full suite of Abilities, the incoming Bayonet weapon class, Voruna Deluxe and much more. Whether you missed the stream, or just want to catch up and review all the exciting details, we've got you covered with our complete Devstream 191 Overview!",1764691863,
230410,Tennobaum 2025,"Tennobaum returns to spread holiday cheer throughout the Tauron Academy! Participate in the Holiday Card Contest and support Big Brothers Big Sisters London by helping us reach our goal of sending 100,000 in-game gifts to receive all-new, joyous Rewards. {STEAM_CLAN_IMAGE}/4437469/78bff2a84b893fe297a185a813ce9fe78c7ff64d.png",1764617074,
230410,"Warframe's next big, WWI-inspired story update happened because a developer wrote the words 'Trench Warframe' on a whiteboard","Warframe's next major update, The Old Peace, is a doozy. When it releases on Wednesday, December 10, it'll be the first time Warframe players get a firsthand look at the Tau system that's been mythologized by more than a decade of in-game storytelling, witnessed as their characters relive induced war flashbacks from a forgotten, failed ceasefire in the interstellar conflict that defined Warframe's past, present, and future... <a href=""https://www.pcgamer.com/games/third-person-shooter/warframes-next-big-wwi-inspired-story-update-happened-because-a-developer-wrote-the-words-trench-warframe-on-a-whiteboard/?utm_source=steam&utm_medium=referral"" target=""_blank"">Read more.</a>",1764361800,
