appid,title,contents,date,tags
3564740,"Where Winds Meet December's calendar is full of new content, including a new region and the mobile launch you've been waiting for","<a href=""https://www.vg247.com/games/where-winds-meet"">Where Winds Meet</a> already has a staggering amount of content, but that’s not the end of what we can expect. Developer Everstone Studio just revealed a host of new additions coming to the game this month. <a href=""https://www.vg247.com/where-winds-meet-new-december-content-mobile-launch"">Read more</a> ",1765196358,
3564740,Recent Updates and Optimizations,"Dear Wanderers:Since last weekend, you likely have explored the vibrant life of Kaifeng. Whether you stumbled upon exciting encounters or are still enjoying the main chapter, we hope your journey has been enjoyable. We understand that there may have been some bumps along the way, and we've gathered your feedback to address your concerns. Rest assured, we're actively working on improvements to enhance your experience!Audio IssuesBug Fixes:1. Fixed incorrect voice lines in the Jianghu Journey CG.2. Fixed the issue of missing music during the cutscene: Reforging Coins.3. Fixed audio-visual sync issues in some scenes.4. The issue of missing sound issue on Consoles will be addressed gradually this week.We've released a new batch of dubbing and are addressing audio-visual sync issues. Expect more dubbing and voice fixes to be available this week!Upcoming UI Optimizations:1. Dialogue: Subtitle optimization by fixing text overflow and adjusting the font size.2. Text in the open-world: optimizes text display to avoid too much text from appearing at once.3. Kaifeng Tour Map interface: Localizes into multiple languages.4. Healer interface: optimizes layout and display.5. Equipment Tuning interface: Fixes text overflow and optimizes the localization for the musical notes: Gong, Shang, Jue, Zhi, and Yu.The UI optimizations above are expected to be implemented on January 9 with the V1.2 update. In the meantime, we've received feedback about the menu being too complicated and difficult to navigate. We're also working on these improvements and hope to roll them out soon.Words from the DevsWe deeply appreciate the love and support from you wanderers around the world. Every piece of feedback matters and helps make our shared Jianghu better. Continue to engage with us through the online community, customer service, and other channels. We will always be here to address your concerns.If you encounter any issues during your journey, please don't hesitate to share your feedback through the following channels:· In-game Customer Service· Official community: Where Winds Meet official account· Customer service email: wherewindsmeet@global.netease.comFeedback format:Character ID (found in the lower left corner):Time of the issue:Scene:Details:Screenshot or video recording:",1764599940,['patchnotes']
3564740,Bug Fixed Announcement 11/28,"Dear Wanderers:Thank you for your support of Where Winds Meet. We truly value your feedback and enthusiasm for the game.Fixed the issue that the Healer's Chest was invisible in the wardrobe.Fixed the issue with the PS5 microphone not turning off properly.Fixed the issue that the PS5 ""Quick on the Uptake"" trophy could not be obtained correctly.Fixed issues with missed or misplaced dubbing in Campaigns and Jianghu Legacy quests.Fixed issues with tasks in Lumina Guide: Kaifeng.Fixed abnormal sound effects with the Lift.Fixed the issue that some NPCs where some NPCs disappeared and Anecdote quests cannot be completed.Fixed incorrect currency display for some gameplays.Fixed clipping issues with the Verdant Feathers shoes.Optimized the PS5 survey experience. You can now scan the QR code to access and complete the survey.Optimized the Acupoint Strike text display by increasing the font size and adding a floating effect.Optimized certain requirements for completing Exploration Manual.Added a DLSS4 Multi Frame Generation option. Enable it in settings if you're using an RTX 50 series graphics card.New item ""Mystic Skills Breakthrough Support Box"" now arrives in the Season Shop.The addition of a ""goose"" character indicates combat capability.We will continue to prioritize the issues you’ve reported and resolve them promptly to enhance your experience.",1764338808,['patchnotes']
3564740,Where Winds Meet devs plan improved Steam Deck support,Where Winds Meet continues to be a big hit on Steam and it works quite well on Desktop Linux but it needs a lot of improvements on Valve's Steam Deck. Read the full article here: https://www.gamingonlinux.com/2025/11/where-winds-meet-devs-plan-improved-steam-deck-support/ ,1764260461,
3564740,Vote to Nominate Where Winds Meet for the Steam Awards!,"Dear Wanderers,If you've followed the winds and embraced the vibrant life of Jianghu, now's your chance to share its amazing tales with the world! Cast your vote and let everyone know about Jianghu! Vote to Nominate Where Winds Meet for the Steam Awards:https://store.steampowered.com/steamawards/nominations/2025• GAME OF THE YEAR The immersive and one-of-a-kind Jianghu. Explore a vibrant, living wuxia open world, where every corner of the land holds surprises!• BEST GAME YOU SUCK AT Love beyond defeat. Mid blade and shadow, you may fall and rise again—yet that spark of chivalry in your heart never fades.• OUTSTANDING STORY-RICH GAMEChoices that resonate. Each decision ties your fate to the joys and sorrows of those who roam this vast Jianghu.• OUTSTANDING VISUAL STYLELiving Landscape and the art that breathes. Every frame is a living scroll of Chinese aesthetics, where mountains, water, and wind move with a life of their own. Your vote will help this seed of Where Winds Meet take root on a broader global stage, bringing the beauty of the wuxia open world to players everywhere. ",1764094947,"['steam_award_nomination_request', 'mod_hide_library_overview', 'workshop']"
3564740,Hearts unite as the winds meet,"It has always been thrilling for us to see you leave the bamboo abode and embark on your journey into the world of Jianghu in Where Winds Meet. Just like your first encounter with Jianghu, our initial attempt to connect with players around the globe has been both exciting and uncertain. But our passion and commitment to creating a living open world drive us forward, and your response and support to our efforts has been a tremendous encouragement, giving us the confidence to keep pushing ahead.Since launch, we have been listening closely. Your feedback, suggestions, frustrations, and encouragement have all been taken to heart, and we are actively addressing any areas where the experience has fallen short. While there is still much work to be done, we kindly ask for your patience as we continue to develop this world together with you.Actions speak louder than words. To address the current issues affecting your experience, our development team is working tirelessly to optimize these concerns. Here are the initial progress we have made: For network connectivity, we've fixed the routing issue that caused some players in Europe, the Middle East, and certain regions to be connected to non-local servers, resulting in high latency. We will continue to monitor post-fix data and player reports to ensure optimal performance.The issue of high network latency in Online mode has been resolved, and the issue in Solo mode is expected to be fixed in the mid-December update.Regarding text localization and voiceovers, we've revised many translations to make them more idiomatic and easier to understand. Additionally, we've optimized dubbing and subtitles in various story quests. We will continue to refine the localization of the game to make the Jianghu more immersive.In terms of the interface, we've improved the beginner tutorial, enhanced character customization, and refined English clues for puzzle-solving quests.These are just some examples of the key optimizations. For more details on fixes and improvements, please stay tuned for our official announcements.Looking ahead, we're committed to ongoing improvements in other key issues that concern you most including text localization, PS5 compatibility, and multi-character creation features.Optimizing multilingual localization is a continuous effort, and we’ve received many impressive translation suggestions through our open channels. We plan to launch co-creation events in the future, allowing your voice to shape the world of Where Winds Meet.For the PS5 platform, we’re working hard to enhance frame rates, stability, and visual quality. You can expect to see these gameplay improvements within the year.Regarding multi-character creation, we’re addressing platform restrictions and actively seeking solutions to meet your expectations.Over the next two months, we will gradually roll out several updates, including Steam Deck compatibility, optimized multi-timezone display, split outfit customization, PS5 Pro support for PSSR, enhanced audio experience, and more. Our goal is to create a Jianghu that everyone can enjoy, and we welcome any further suggestions you may have.Your support keeps us moving forward on this exciting journey that is just beginning. Thank you once again for supporting Where Winds Meet, we will not let you down!",1763902264,['patchnotes']
3564740,"Miles Apart, Close at Heart","Dear Wanderers,Miles apart, yet always close at heart.We want to make this promise to you, as we approach our one-week release milestone. You, our players, are at the center of everything we do, and we want to make sure that you always feel heard and valued. We can be miles apart, but we'll always be close at heart.The global release has brought us both excitement and challenges. We are listening closely and gathering feedback on all aspects of events and gameplay. Your voice matters to us, and we truly value your input.We value fairness above all else. Your experiences are at the heart of our design for all content and events. Our goal is simple: to make Jianghu a more welcoming place for everyone.We promise that every suggestion you make will be carefully considered. The team will continue to optimize this world of Jianghu that belongs to all of us.Regarding the Event: Swords Unseen, we will be adding additional rewards after today's patch update—you can go to the event page and claim them.As a small token of our gratitude, we have also prepared a special gift for you: Lingering Melody ×10.Meeting you has felt like greeting an old friend from across the winds. Our journey together is only beginning, and it is our honor to walk it with you.Thank you—each and every one of you—for giving life and meaning to this world.Where Winds Meet Team",1763725819,['patchnotes']
3564740,Where Winds Meet (PS5) Review,"<em>Where Winds Meet</em> definitely caught me by surprise. When I first saw its debut trailer at Gamescom ONL 2022, I assumed it was some kind of new kind of high-action Soulslike with a martial arts setting. And due to the nature of my job and how many games I need to keep track of on a daily basis, I kind of put it in the mind-vault and kind of forgot about it. So imagine my amazement when I finally got my hands on it and it turned out to be more of an action MMO. It’s the second time this year that I’ve played a game like this—the first being a brief <a href=""https://www.cgmagonline.com/articles/previews/chrono-odyssey-early-access/"">hands-on with <em>Chrono Odyssey</em></a>—and twice now that I’ve been amazed by how far the genre has come. <em>Where Winds Meet</em> isn’t exactly flawless, but it lays the groundwork for a truly engrossing experience that’s big on style. Set during China’s Five Dynasties and Ten Kingdoms period, <em>Where Winds Meet </em>places players in a high-fantasy version of the region of Qinghe. Players take on the role of a wandering swordsperson who embarks on... <a href=""https://www.cgmagonline.com/review/game/where-winds-meet-ps5/"">Read more</a> ",1763553116,
3564740,Bug Fixed Announcement 11/18,"Dear Wanderers:Thank you for your support of Where Winds Meet. We truly value your feedback and enthusiasm for the game.The Eastwind Pavilion has addressed several issues and optimized certain features:- Fixed the issue where outfits weren’t displaying correctly during cutscenes.- Fixed the issue of wrong red dot notifications in the Season feature.- Fixed the issue in Five Animal Frolics.- Fixed the stats error for Sword Morph.- Fixed the issue with the friend search function not working.- Fixed the issue with Signpost button display.- Fixed the issue with the recommended contacts list not refreshing.- Optimized some text translations.- Optimized some voiceovers.Scheduled Updates AheadWe're aware of reports of high ping issues.Our investigation found that parts of the EU and MENA regions were being incorrectly routed to the wrong server.We will deploy multiplayer network optimization on Nov 21 (UTC+8) to ensure affected players are reconnected to their proper regional servers.Additionally, the latency issues impacting single-player mode in these regions will be resolved in a mid-December patch.We’ll continue to monitor performance closely. Thank you for your patience and support.We will continue to prioritize the issues you’ve reported and resolve them promptly to enhance your experience.Eastwind Pavilion",1763482054,['patchnotes']
3564740,The big new RPG Where Winds Meet release works well on Linux,"Where Winds Meet is a new free to play game on Steam that's doing some big numbers right now, and thankfully it seems to work great on Linux with Proton. Read the full article here: https://www.gamingonlinux.com/2025/11/the-big-new-where-winds-meet-release-works-well-on-linux/ ",1763465923,
