appid,title,contents,date,tags
552990,Weekend Highlights | 14.11 #3,Explore Our New Map—Sunset Isles {STEAM_CLAN_IMAGE}/31013613/96b181f767d26831f38fd62baa23b68c060fc2c2.jpg A fresh video exploring the newly introduced battle map in World of Warships went live on our website this week. Hit the link below to take in the views and discover key tactical concepts built into its design. You may learn a crucial piece of intel that gives you an edge in battle! Watch Video View Your Personal Yearly Stats {STEAM_CLAN_IMAGE}/31013613/f66ac84dc7ddb5d91452f0bd56fcd0f4616cea1e.jpg Take a personalized look at your year in World of Warships by visiting the Annual Battle Digest. Be sure to dive through the link before it expires in early January—a little gift might even be waiting on the other side! See Your Record 2v2 Battles on Tier VII Ships {STEAM_CLAN_IMAGE}/31013613/d516d96b38dcf4a8d588255ea865f4a19ff8dd1d.png This week's Brawl session lets you squad up with a buddy to take on an equally small enemy team aboard any Tier VII ships. Only one caveat: a maximum of one battleship per team! Your Guide to Gifts and More This Holiday Season {STEAM_CLAN_IMAGE}/31013613/05dc94f8c78204e34dc4d54b6cbca4760a34b7e7.jpg The holiday season is just getting started in World of Warships. Check out our guide to all things festive and make sure you haven't missed out on any of the myriad in-game gifts and activities awaiting you! Learn More ,1765623626,
552990,Weekend Highlights | 14.11 #2,"Welcome to the Winter Wonderland! {STEAM_CLAN_IMAGE}/31013613/9d9fde6c4be39f9f86384a9f0a5fbc59cdfaba4e.jpg The holiday season has begun in earnest atop the waves of World of Warships! We've got so many gifts and fun, festive activities prepared for you that we've gone ahead and prepared an article summing it all up nicely in one spot. Give the link below a click to find out about... A free Tier IX ship for your first login of the season. The return of Snowflakes on all of your Tier V+ ships. Fight battles to knock them off and earn Coal, Steel, and even Santa's Gift containers! An Advent Calendar with special daily rewards. A two-chapter Event Pass granting nationless Commanders. And much more! More Info Community-Wide Secret Santa & More Festive Activities! {STEAM_CLAN_IMAGE}/31013613/ac9a06b36d3260f213363138591d2e9b2c5ef6ec.jpg The ship-giving season has taken to the World of Warships community like a torpedo to water! Participate in a range of holly-jolly activities with your fellow Captains and share in all the surprises, fun, and special presents we've prepared. Make someone's holiday unforgettable by choosing their dream ship in the Community Secret Santa, tune into our Shipmas Streams, unlock special Discord Drop content, and join daily challenges via our Discord Advent calendar! More Info Naval Legacy: Roma Aeterna {STEAM_CLAN_IMAGE}/31013613/9e39983d5301b96e810e6936086888e5445db6ca.jpg This year's Santa's Gift containers have a chance to drop a Golden Gift container, and this shiny box can bring you Italian battleship Roma Aeterna! Based on battleship Roma, this ship aims to recreate her historical namesake vessel's appearance in her final moments before sinking to the bottom in September 1943. Get a close look at the details of this remarkable model in a special article linked below! More Info 3v3 Brawls {STEAM_CLAN_IMAGE}/31013613/173a071e17462ecc4547c599166163f4a0cefd06.png The first Brawl session of Update 14.11 is live this weekend. Format: 3v3; Tier IX ships No more than 2 battleships per team Divisions of up to 3 players Public Test for Update 15.0 {STEAM_CLAN_IMAGE}/31013613/ead6990ac32e7576b6fd3d4330265e6ee3772bfa.jpg The first round of Public Testing for the game's next update is happening now! Click the link to find out how you can be a part of it and earn some extra rewards in the process: Learn More ",1765018841,
552990,Work in Progress: Update 15.0 Round 2,"{STEAM_CLAN_IMAGE}/31013613/78a791839080ac9f0be99eb37d219ebcddf53784.jpg This is a short overview of the planned features for Update 15.0. For more information, follow the relevant link: Learn More IMPORTANT! Because the update is still being tested, the information in this article is tentative and reflects the state of game development at the time of its publication. Some changes and new features may be removed entirely or implemented differently by the time the update goes live. Captains! The first update to go live when 2026 hits will bring a new branch of researchable ships, some interesting gameplay changes, and more. Here's a quick breakdown of some of the most notable new content coming in 15.0: Aviation Update: Jumping off our announced plans to tweak aircraft carrier mechanics, we're implementing a change to deployable fighter aircraft that removes their ability to spot enemy ships. This is in exchange for some improvements to their defensive use that will reward their tactical placement. Early Access to European battleships: Spanning Tiers IV–X, this new and international line features ships from Austria-Hungary, Türkiye, Greece, and Sweden. They stand out for their torpedo armament, use of a time-based Emergency Engine Power and Surveillance Radar consumables, and small-caliber main guns. {STEAM_CLAN_IMAGE}/31013613/228918d9833d599de78412823c609537c03a75a2.png {STEAM_CLAN_IMAGE}/31013613/0927822a99ae23cf0d7f955dd9000822b3f9f551.png Unique Commonwealth Commander: John Augustine Collins, representing the Royal Australian Navy, arrives in World of Warships via the ""Honor, Integrity, Virtue"" collection, which can be pieced together via special containers. {STEAM_CLAN_IMAGE}/31013613/e2100eac27590187ecf6827a55970b75c6504eb7.png New Leaderboard System: Update 15.0 brings a new type of leaderboard system designed to make competition more open and rewarding for everyone by introducing a new system that uses multiple smaller leaderboards instead of one massive one. If you want the full, detailed breakdown on these features and more, you'll have to check out our dedicated article on our website! Click through to it right here: Learn More ",1764862860,"['mod_reviewed', 'ModAct_487176015_1764863957_0', 'mod_require_rereview']"
552990,Steam-chan’s Holiday Hangout!,"{STEAM_CLAN_IMAGE}/31013613/093e234d9038e19f8119ff2361e0e585fee31770.jpg Greet December with a special streamed event hosted by Steam-chan Captains! December is sliding into World of Warships with a sleigh loaded with gifts in tow, and while our beloved mascot Steam-chan can be a bit camera shy, we’ve finally convinced her to host a holiday stream to showcase the incoming festive content! Catch the full stream right here on Steam and claim unique animated Steam cosmetics, available until December 8!",1764844196,
552990,Weekend Highlights | 14.11 #1,"Update 14.11 Now LIVE! {STEAM_CLAN_IMAGE}/31013613/53402ec475ede9c9bba06902bc330281b93ce9e4.jpg The biggest update of the year has splashed down in World of Warships this week, and the best is yet to come—starting December 1! Read the changelog article linked below, and get ready for over a month of magnificent gifts, festive cheer, and holly jolly naval battles! {STEAM_CLAN_IMAGE}/31013613/48c6bec76f9659745f748a66033aedb9a12b96ca.jpg Update 14.11 Changelog ALL Holiday Season Activities in One Place {STEAM_CLAN_IMAGE}/31013613/9d9fde6c4be39f9f86384a9f0a5fbc59cdfaba4e.jpg The gifting season in World of Warships is kicking off on December 1 with a hail of gifts and opportunities to unlock dazzling rewards: A free Tier IX researchable ship of your choice upon your first login. Steel, Coal, and Santa's Gift containers when you knock Snowflakes off ships in your Port. Presents from under the Christmas Tree when you decorate it in the festive Nordlyshavn Port. Two nationless Commanders, Santa's Gift containers, Coal, and Steel from the first progression line of the Event Pass. And so much more! Read all about it via the link: Holidays in WoWS Dockyard: Roussillon {STEAM_CLAN_IMAGE}/31013613/b481a580b8d8a2ee197479297fd323a9d64c1cb2.jpg The construction of new French Tier IX battleship Roussillon has started at the Dockyard! Get involved by completing combat missions and earn French Tier VI cruiser Montcalm for free as you work your way through the construction phases! {STEAM_CLAN_IMAGE}/31013613/1bb4f0661e07434f62aa02fce8f35aacf29b133f.jpg About the Dockyard Holiday Activities on Steam! {STEAM_CLAN_IMAGE}/31013613/266064d0b1b8778e6a7e3696f892707c46560049.png We've got a whole set of exclusive holiday activities available right here on Steam, including free DLC, and Steam-chan's first solo stream! Take the 14.11 Survey! Enjoying the new features introduced by Update 14.11? Let us know what you think via the survey link below! Take Survey ",1764414023,
552990,Gifts and Activities for the Holidays!,"{STEAM_CLAN_IMAGE}/31013613/266064d0b1b8778e6a7e3696f892707c46560049.png Free content, new DLC, Steam-chan’s stream, and more! December is upon us, Captains, and after 12 long months since the last gifting season, we’re all in the mood for a bit of that sweet, crinkly sound of wrapping paper. Take a look at all of our holiday activities below, and when you’re done browsing our Steam-exclusive holiday gifts and discounted DLC pack, whip up a cup of hot cocoa and settle down for Steam-chan’s festive broadcast! Holiday Present Unlock a free DLC pack dedicated to the 2025 holiday season to get your hands on the Steam flag, a “Christmas and New Year in the Navy” collection container, and a Steam permanent camouflage upon completing a combat mission. https://store.steampowered.com/app/4134400/World_of_Warships__Holiday_Present/?beta=1 Genova Pack | 40% Off! For 2 weeks only, you can grab this feisty, SAP-spitting Italian cruiser along with a Fields of Tuscany permanent camouflage at a holly jolly 40% discount! https://store.steampowered.com/app/3197530/World_of_Warships__Genova_Pack/?beta=1 Steam-сhan LIVE Our beloved, bubbly mascot Steam-chan will be hosting a special stream to celebrate the holidays! Tune in right here on Steam from December 1 to enjoy good times in good company! Stream starts: December 1 {STEAM_CLAN_IMAGE}/31013613/ab7df8047cd1f6d2d9a4aeb66a42a1271d9ae64e.png Visit the Holiday Hub! Get the full breakdown of all the activities happening in World of Warships’ holiday update, including all the festive treats you can grab, new ships you can earn, and challenges you can overcome, with the hub article on our website: DETAILS ",1764351031,"['mod_reviewed', 'ModAct_1691520782_1764351594_0', 'ModAct_1425979202_1764846882_4', 'mod_require_rereview']"
552990,"Update 14.11 | Holiday Cheer, Free Tier IX, Event Pass, Dockyard, & More!","{STEAM_CLAN_IMAGE}/31013613/53402ec475ede9c9bba06902bc330281b93ce9e4.jpg Here’s an overview of the major highlights introduced in Update 14.11. Be sure to check out the full details on our website: EU NA ASIA Free Ship on Log-in {STEAM_CLAN_IMAGE}/31013613/10c1d374a9c01b9966982d5abf0feae3bc52d16a.jpg Start the holiday season with a gift! Log in between Dec 1 and 31 to receive a free Tier IX ship from the following list: Lepanto, Izumo, Riga, Sejong, or Fletcher. If you already own your chosen ship, you’ll instead receive 225,000 Free XP to apply to any branch. Two Operations: Shattered Time (offensive) and Rift Watch (defensive). Also included: 2 × Santa’s Gift containers plus two new permanent camouflages: Emerald Snowflakes and Cozy Sweater. Nordlyshavn Port Returns! {STEAM_CLAN_IMAGE}/31013613/592c931fb093e4d4fe1888832df996206385af40.jpg Back and better than ever with seasonal flair! The festive Nordlyshavn Port returns with a refreshed layout and your ship now front and center! Decorate a Christmas Tree featuring 24 new ornaments across four themes. You’ll earn one ornament every two battles (no daily limits!). Hang 10 ornaments to unlock rewards; collect all 24 to unlock additional gifts and special Commander Aurora Di Natale. Advent Calendar {STEAM_CLAN_IMAGE}/31013613/07d01105493023828f52744dc091850d08349aba.jpg 24+ days of daily login surprises! From Dec 1 the standard daily login reward is replaced by an Advent Calendar running through the full month (not just 25 days). Open one door per day to claim unique prizes; if you miss a day you can open the previous day’s door, but earlier doors cannot be opened later. Festive Rewards (Snowflakes) Earn cumulative Base XP and deck your Port with rewards! For each Tier V and above ship in your Port, you can trigger a Snowflake reward after earning a set amount of Base XP in any battle type. After completing the mission, select which ship will claim the reward. While each ship can only activate its Snowflake once, you can use the same ship to help other ships in your Port. Reward tiers: Tier V – 700 Coal; Tier VI – 750 Coal; Tier VII – 800 Coal; Tier VIII – 70 Steel; Tier IX – 80 Steel; Tier X – 1 Festive Certificate; Supership – 200 Steel. ""Festive Certificates can be exchanged for Santa’s Gift , Santa’s Mega Gift containers, or Credits:  – 1x Santa’s Gift container = 1 Certificate  – 1x Santa’s Mega container = 5 Certificates  – 375,000 Credits = 1 Certificate"" Santa’s Containers & Golden Gift {STEAM_CLAN_IMAGE}/31013613/0c6b386ef59f158aebb78b7523583f43e02ae4df.jpg Collector’s items, upgraded for the holidays. Santa’s Gift and Santa’s Mega Gift containers return from Dec 1! The ship drop list has been updated: 16 have been removed and 14 new ones added (including La Pampa, Sibir, and Incheon). The total ship count is now 143 (down from 145). A brand-new container—Santa’s Ultra Gift—is now available: three reward slots, higher chance of ship drops, rare resources, and collector’s items. Purchasable only during December with real-world currency. The Golden Gift container is back with a new appearance and contents: rewards include Research Points, Steel, epic bonuses, and the new Naval Legacy ship—Italian Tier VIII battleship Roma Aeterna. Also new: Bremen, Hawaii, and Aki in both regular and golden versions. Owners of Roma Aeterna unlock a four-part collection. Completing it rewards Italian Commander Carlo Bergamini, the Roma Aeterna flag, and a special achievement. Event Pass: Stig Lundgren’s Holiday Voyage {STEAM_CLAN_IMAGE}/31013613/9d9fde6c4be39f9f86384a9f0a5fbc59cdfaba4e.jpg Two chapters, 3½ weeks each, full of rewards and seasonal flair! Chapter 1 – Distant Shores: First progression line rewards include 8x Santa’s Gift containers, Westbound permanent camouflage, new Icebreaker enemy destruction effect, and Commander Stig Lundgren (nationless) as the final reward. Second progression line (for 3,500 Doubloons) further rewards: Distant Shores flag (bonus), 15x Santa’s Gift containers, Emerald Snowflakes camouflage, German Tier VII cruiser Nürnberg ’44, Christmas Spirit camouflage for her, and 1x Santa’s Mega Gift container as the final reward. Chapter 2 – Safe Harbor: First line: 8x Santa’s Gift containers, Eastbound permanent camouflage, Aurora enemy destruction effect, and nationless Commander Sailor Paws as the final reward. Second line (for 3,500 Doubloons): Safe Harbor flag (bonus), 15x Santa’s Gift containers, Cozy Sweater permanent camouflage, new Pan-Asian Tier VII cruiser Lanzhou, Dreadfin permanent camouflage for her, and 1x Santa’s Mega Gift container as the final reward. Extra level rewards: 1x Santa’s Gift container for each progression line in both chapters. Dockyard: Roussillon {STEAM_CLAN_IMAGE}/31013613/b481a580b8d8a2ee197479297fd323a9d64c1cb2.jpg France’s newest battleship arrives in Update 14.11. The Dockyard opens for French Tier IX battleship Roussillon, featuring high accuracy, excellent ballistics, and a long reload time. She's equip...",1764174058,
552990,Nominate World of Warships for the Steam Awards!,"Captains, it’s time to cast your votes!The player-voted Steam Awards 2025 are underway — and World of Warships is once again in the running for a nomination in the “Labor of Love” category. This award celebrates games that continue to evolve and thrive thanks to ongoing development, updates, and an ever-dedicated community. We’d love to have your nomination! Simply tick the checkbox above and choose World of Warships under the “Labor of Love” category. By nominating your favorite titles, you’ll earn a Steam Trading Card for each category you vote in. Action Stations!",1764007307,"['steam_award_nomination_request', 'mod_hide_library_overview']"
552990,Weekend Highlights | 14.10 #4,"Countdown to the Holiday Season! {STEAM_CLAN_IMAGE}/31013613/592c931fb093e4d4fe1888832df996206385af40.jpg Update 14.11 begins as soon as next week, but it's only on December 1 that the New Year festivities will truly kick into gear with the arrival of Santa's Gifts, a free Tier IX ship on login, Advent Calendar rewards, and more! To keep track of the countdown, follow our special holiday hub page that has everything you need to know in the runup to the most wonderful time of the year in World of Warships! Holiday Season Hub King of the Sea XVIII International Finals {STEAM_CLAN_IMAGE}/31013613/62d570cdb4ca3b728a7b16cd2d138361ffc227c0.jpg After three weekends of intense battles, the King of the Sea XVIII tournament will come to a spectacular close this weekend with the finals of the International phase. Which team—and region!—will reign supreme in World of Warships? Tune in to our official stream on Saturday and Sunday to see it all unfold with your own eyes and be sure to pick up the special Twitch Drops we've lined up for the occasion—the mission marathon for Cristoforo Colombo's new Salt & Stone permanent camouflage awaits! KOTS XVIII | Info Weekly Brawl {STEAM_CLAN_IMAGE}/31013613/d516d96b38dcf4a8d588255ea865f4a19ff8dd1d.png This update's final Brawl session is open for business! Activate this battle type in your Port to enjoy 2v2 battles aboard Tier IX ships! ",1763809204,
552990,Weekend Highlights | 14.10 #3,"King of the Sea XVIII Internationals Begin This Weekend! {STEAM_CLAN_IMAGE}/31013613/cf7d3bedf29581d02d69e6b7fd1294f71a312020.png The KotS tournament is ramping up in intensity—and in potential viewer rewards—as we approach the International phase. Brace yourself for some quality World of Warships and heaps of King Tokens available via Twitch Drops. Check out our article linked below for the full rundown: EU Enter the Temporal Rift! {STEAM_CLAN_IMAGE}/31013613/c912f35fbf036d775101558e171a6e1c3bd42e8a.jpg Missiles ahoy! Update 14.10's newly introduced Temporal Rift temporary battle type continues ripping through Update 14.10. If you've not yet had the pleasure of contesting its massive battlefields, swarming enemy bots with missiles, and enjoying the soothing comfort of the respawn mechanic, then you had best get out there and experience it! While you're enjoying the fruits of futuristic naval technology, you can progress through stages of the different Operations to get sweet rewards, including four nationless Commanders—a new Commander type that you can assign to the nation of your choice! {STEAM_CLAN_IMAGE}/31013613/fa5f012f60ba7102a890447205099fe2305e4874.png Click Here Small-Scale Battles, Large-Scale Fun! {STEAM_CLAN_IMAGE}/31013613/728c8cf5d21079756b7e14dfb8660dbbd2f9e223.jpg A new session of Brawls is available this weekend, with Tier VIII ships taking center stage for some 3v3 action. No more than 2 battleships, 2 cruisers, and 2 destroyers per team No aircraft carriers or submarines Divisions of up to 3 players allowed ",1763204432,
