appid,title,contents,date,tags
1449850,New Selection Packs available: Aerial Superiority!,"Unleash hidden power and awaken the ultimate being! Enjoy this brand-new story, revolving around ""Artmage"" cards that actively fight their battles with Fusion Summoning! In addition to the mighty ""Dracotail"" that focuses on highly efficient Fusion strategies using Spellcaster and Dragon monsters, ""Divine Serpent Apophis"" also makes an appearance, luring those who defile the ""Temple of the Kings"" into a Trap nightmare! Become a top Duelist by using techniques that draw out your cards' power! ",1764922889,
1449850,New Selection Packs available: The End of Guilt!,"With the weight of the world on its shoulders, this crimson dragon seeks to complete its journey of atonement! ""Snake-Eyes Vengeance Dragon"" also makes an appearance, as the story surrounding the ""Sinful Spoils"" archetype nears its exciting conclusion! Additionally, the Psychic ultimate weapon, ""Psychic Blaster Mk-II"", is making its long-awaited return! Don't forget to check out additional cards such as ""Fallen Angel of the Golden Land"" that serves the ""Eldlich"" archetype, and ""Trap Holic"", which can enhance your Trap Card strategies! Use these new cards to devise new strategies and seize victory! ",1764057337,
1449850,Let’s nominate for the Steam Awards 2025 “LABOR OF LOVE”!,"The nomination period for the Steam Awards 2025 has begun! Thanks to all of you, ""Yu-Gi-Oh! MASTER DUEL"", which you can enjoy for free, has been played by an incredible number of people, and we are truly grateful from the bottom of our hearts. With stunning 4K graphics, powerful sound, and a game experience enriched by over 12,000 cards—creating unparalleled depth—we promise to continue delivering the ultimate play experience to Duelists around the world. Please cast your vote for ""Yu-Gi-Oh! MASTER DUEL"" in the Steam Awards 2025 category “LABOR OF LOVE”!",1764007328,"['steam_award_nomination_request', 'mod_hide_library_overview']"
1449850,New Selection Packs available: Future Begins Zero!,"Forge the way for a new future with the power of the amassed bonds! ""Number F0: Utopic Future Zexal"" is here, alongside its powered-up allies! ""Sky Striker Ace = Zero"" serves as a new trump card for the ""Sky Striker Ace"" archetype after awakening its true strength! Furthermore, the ""Lunalight"", ""Monarch"", and ""Primite"" archetypes also get a new ace! And be sure to check out ""Eclipse Twins"", which uses Xyz Summoning to birth new strategies! You also won't want to miss the return of the alternate art UR ""Reinforcement of the Army"" featuring a ""Sky Striker Ace"" illustration! Master this newfound source of power and emerge on top in all of your Duels! ",1762503873,
1449850,v2.5.0,"The following updates have been made. - Added new duel animations. - Introduced new features related to the Collector's file. - Enabled Quiz gameplay during large downloads. - Added a feature to spectate duels of ""follow"" and ""followers."" - Improved the shop UI. - Improved the duel UI. - Enhanced the UI/UX across various features. - Fixed other bugs. ",1762236110,['patchnotes']
1449850,New Selection Packs available: Beat the Boss Rush!,"You're up, ""Vic Viper Type-L""! Destroy them all! New boss cards like ""Super B.E.S. Metal Slave"" and other powerful support cards for ""B.E.S."" are here! As well as new cards being added for ""Super Quant"", ""Cyber Dragon"", and ""Morganite"", there's also new support to help you harness the mighty power of ""Dragonmaid"", or have ""Nouvelles"" use your opponent's monsters as material for legendary delicacies! Don't miss out on powerful Trap Cards like ""Songs of the Dominators"" either! Make your way through swarms of enemies and head to the next stage! ",1761641823,
1449850,New Selection Packs available: Ruler's Providence!,"The sovereign spirits of storms descend, scattering the rampant evil! The brand-new ""Mitsurugi"" faction enters the battlefield, wielding cutting-edge Ritual strategies. A powered-up ""Ancient Fairy Life Dragon"" charges in with its comrades, while formidable new cards bolster the once-era-defining ""Dragon Ruler"" and the tragedy-tempered ""Orcust"". Don't miss the debut of ""Dark Magician Girl the Magician's Apprentice"" either! Make this immense might your own and reign supreme in this new era of Dueling! ",1759909925,
1449850,v2.4.1,The following updates have been made. - Bugs have been fixed.,1759909687,['patchnotes']
1449850,New Selection Packs available: Regeneration of Stars!,"New possibilities emerge from their connection! The united forces of ""Code Talker"" and ""@Ignister"" have a new ace: ""Allied Code Talker @Ignister""! The world-reshaping ""Regenesis"" archetype makes its debut as well! On top of that, there's powerful new support for well-established archetypes like ""Heraldic Beast"", ""Magistus"", ""Gem-Knight"", ""Nekroz""! Call upon these groundbreaking strategies to reach unknown worlds!",1757492992,
1449850,WCS 2025 Finals Celebration!,Duelists from across the world have gathered to decide who will be the next Champion! Watch as history is made at the Yu-Gi-Oh! World Championship 2025!,1756245645,
1449850,Celebrating the WCS!,"A special bundle to commemorate the WCS is here! Get 1 alternate art UR ""Breaker the Magical Warrior"" (Royal Finish), 20 ""Fires of Infinity"" Secret Packs (1 UR guaranteed), and exclusive accessories! ",1756108896,
1449850,New Selection Packs available: Detonate to the Top Speed!,"The supersonic ""Crystal Clear Wing Over Synchro Dragon"" hurtles onto the field, while the all-new ""Ryzeal"" join the fray! Existing archetypes like ""Six Samurai"" gain potent new support cards you won't want to miss either!",1754298060,
1449850,v2.4.0,"The following updates have been made.- The UI for duels has been improved.- Improved ""My Deck"" and ""Deck Edit"" UI.- Other bugs have been fixed.",1753853001,['patchnotes']
1449850,New Selection Packs available: Synchro Starlight!,"Gather strength and Synchro Summon! UR alternate art Synchro Monsters have arrived: ""Black Rose Dragon"" and ""Clear Wing Synchro Dragon""! There's also UR ""Medallion of the Ice Barrier"" with alternate art! On top of that, other powerful Synchro Monsters like ""Trishula, Dragon of the Ice Barrier"" and ""Crimson Dragon"" return! Guide the shining stars, push past the very limits of Dueling, and seize victory!",1753430374,
1449850,"New Selection Pack ""Struggle in Wonderland"" is here!","Prepare to dive into even deeper Duels! The new Cyberse archetype ""Maliss"" excels at banishing, while the revolutionary ""Battlewasp"" receive reinforcement to give them incredible strength in numbers! The strength of ""Tenyi"" enters another dimension thanks to their new ace ""Tenyi Spirit - Mula Adhara"", while other must-have cards like the Duel-flipping ""Liberator Eto"" also arrive! Situations can change in the blink of an eye in the wonderland of Dueling, but keep a level head and you'll come out on top!",1751615036,
1449850,"New Selection Pack ""Battle of Destiny"" is here!","Destiny shows the way to victory! ""Arcana Force EX - The Chaos Ruler"" is the new ace of ""Arcana Force"" and the ""Gladiator Beast"" battalion is strengthened by ""Gladiator Beast Claudius"" and other dominant cards! From another dimension come new cards for the ""D/D"" fiends, and from the annals of legendary cards arrive ""Time Seal"" and ""Glow-Up Bulb""! Rebel against your chaotic fate and fight until the last!",1750749785,
1449850,KONAMI PRESS START Title Showcase,Survey underway {STEAM_CLAN_IMAGE}/45494155/6999f083b0c954a406bf6983ca6284502b841517.png Featured titles！ https://store.steampowered.com/app/3013550/ KONAMI PRESS START SALE is also underway! JUNE 12 -JUNE 19 at 6:30am (PT) Don't miss out on this opportunity to enjoy KONAMI games! https://store.steampowered.com/sub/886312/ https://store.steampowered.com/sub/886313/ https://store.steampowered.com/sub/886315/ https://store.steampowered.com/app/2124490/ {STEAM_CLAN_IMAGE}/45494155/30746c5258e2dc319dd599534d093413ee067f51.png,1749735028,
1449850,Road to Worlds! Campaign,"Road to Worlds! Campaign The prequel to the Yu-Gi-Oh! MASTER DUEL World Championship, the ""WCS2025 Qualifier"" event will be held on June 4 . To commemorate this event, participate in a Limited-Time Login Bonus! Earn a Royal Finish UR ""Red Supernova Dragon, "" 1000 Gems, and a commemorative Icon to challenge the world! ",1748330579,
1449850,A new Selection Pack is here! Wrath of the Tyrants,"Evil will be brought to heel by even greater evil! The new ace of ""Evil HERO"" is making a triumphant return! ""Atlantean"" now have immense strength in depth thanks to a hidden treasure unleashing the evolved ""Poseidra Abyss, the Atlantean Dragon Lord"" ! And while the new ""Argostars"" archetype tear across the field, support cards for ""P.U.N.K. "" and ""Fiendsmith"" put them in contention to reach the top! Unleash your righteous fury and let none dispute your might!",1746778259,
1449850,v2.3.0,The following updates have been made - The UI for duels has been improved. - The matching screen has been improved. - The UI for solo mode has been improved. - The UI for editing accessories has been improved. - Other bugs have been fixed.,1746599480,['patchnotes']
