iter	R2	RMSE
0	0.09095447617	1.964507674
1	0.1783859172	1.867647241
2	0.236556782	1.80031825
3	0.2944238373	1.730744114
4	0.3412630666	1.672310514
5	0.3834824214	1.617832834
6	0.4181394683	1.571702569
7	0.4480112154	1.530826742
8	0.4753686809	1.492409552
9	0.4978511987	1.460081601
10	0.5326871675	1.408525672
11	0.561882772	1.363816935
12	0.5864758252	1.324986231
13	0.6073541984	1.291104493
14	0.6213384297	1.267904459
15	0.6403707566	1.235629911
16	0.6527993248	1.214090872
17	0.6629346102	1.196239101
18	0.6740485047	1.17635229
19	0.6830542501	1.159987687
20	0.6910666776	1.145231515
21	0.6969843159	1.134209988
22	0.7047959321	1.119494804
23	0.7092784835	1.110962759
24	0.7152177646	1.09955602
25	0.7193797703	1.091491608
26	0.7231117649	1.084209391
27	0.7265141312	1.07752749
28	0.7307813789	1.069088015
29	0.7334134487	1.063849102
30	0.7370152832	1.056637862
31	0.7403342384	1.04994913
32	0.7424141638	1.045735624
33	0.745111236	1.04024649
34	0.7475988305	1.035157885
35	0.7489572499	1.032368525
36	0.7510997601	1.02795374
37	0.7527364624	1.024568389
38	0.7555567374	1.018708545
39	0.7585232132	1.012508336
40	0.7604021345	1.0085615
41	0.7618581626	1.005492333
42	0.7633426035	1.0023536
43	0.7654748199	0.9978279215
44	0.766819031	0.994964223
45	0.7678282058	0.992808855
46	0.7695272784	0.9891694125
47	0.7706694804	0.986715251
48	0.7719044186	0.9840549482
49	0.7732998009	0.9810403361
50	0.7743396661	0.9787877527
51	0.7751654736	0.9769951666
52	0.7776164891	0.9716552565
53	0.778749706	0.969176425
54	0.7795299749	0.9674659502
55	0.7807829914	0.964712791
56	0.7816365083	0.9628329147
57	0.7833202384	0.9591136851
58	0.7843540447	0.9568229238
59	0.7853757806	0.954553507
60	0.7861669754	0.9527924403
61	0.7869459049	0.9510554889
62	0.7883012497	0.9480255902
63	0.788966025	0.9465359273
64	0.7899594392	0.9443054537
65	0.7910407139	0.9418717069
66	0.7922772897	0.9390806751
67	0.7931690259	0.9370628098
68	0.7939014693	0.9354021442
69	0.7951386585	0.9325903546
70	0.7961694785	0.9302410945
71	0.7968197755	0.9287559974
72	0.7995458482	0.9225043892
73	0.8006188714	0.9200320112
74	0.8018167382	0.9172641062
75	0.8041775542	0.9117843813
76	0.8048989444	0.9101033707
77	0.8056495673	0.9083509385
78	0.807556467	0.9038837401
79	0.8082301004	0.9023003663
80	0.8089148852	0.9006879283
81	0.8094648485	0.8993908565
82	0.8106691352	0.8965440292
83	0.8125492992	0.8920813242
84	0.8135335011	0.8897363247
85	0.8143387867	0.887813011
86	0.8147891849	0.886735478
87	0.8162116547	0.8833237289
88	0.8172128694	0.8809144235
89	0.8184133728	0.8780168374
90	0.8189838676	0.8766365099
91	0.8197149131	0.874864542
92	0.820491519	0.8729782012
93	0.8212777969	0.8710642059
94	0.8219073304	0.8695287284
95	0.8227285083	0.8675217319
96	0.8234396066	0.8657800159
97	0.8242697461	0.8637422856
98	0.8258871811	0.8597581209
99	0.8278458031	0.8549086682
100	0.8287421912	0.8526800556
101	0.8296085926	0.8505204461
102	0.8304329479	0.8484605386
103	0.8312935519	0.846304703
104	0.8322548815	0.8438900351
105	0.8335179712	0.8407068638
106	0.8341438779	0.8391250126
107	0.8347838596	0.8375045004
108	0.8353443751	0.8360826266
109	0.8364790359	0.8331968757
110	0.8372953743	0.8311145077
111	0.8380191383	0.8292639112
112	0.8389223635	0.8269486405
113	0.839845317	0.8245760841
114	0.8402694149	0.8234836002
115	0.8409962577	0.8216078617
116	0.8419062427	0.8192534404
117	0.8429036832	0.8166649462
118	0.8436126571	0.8148200625
119	0.844454456	0.8126241042
120	0.8449014274	0.8114556972
121	0.8457123723	0.8093315376
122	0.8465625274	0.8070986697
123	0.8471607965	0.8055236508
124	0.8476540253	0.8042228442
125	0.8480353962	0.8032155994
126	0.8483182291	0.8024677884
127	0.8489739672	0.8007313284
128	0.8494573284	0.7994489248
129	0.8499555313	0.7981249884
130	0.8504407714	0.796833385
131	0.8519765233	0.7927316785
132	0.8525356719	0.791233017
133	0.8534868726	0.7886770126
134	0.8543160281	0.786442183
135	0.8548347052	0.7850409538
136	0.8554306955	0.783427765
137	0.8559807739	0.7819358945
138	0.8564254032	0.7807279296
139	0.8567558619	0.7798289299
140	0.8571533817	0.7787461185
141	0.8575445908	0.7776790248
142	0.8581116424	0.7761296844
143	0.8588071001	0.7742252702
144	0.8593430716	0.7727543845
145	0.8597193845	0.7717199804
146	0.8601720914	0.7704737452
147	0.8611249496	0.7678440585
148	0.8617119579	0.7662195473
149	0.862481729	0.7640840164
150	0.8628633542	0.7630230799
151	0.8631968575	0.7620947155
152	0.8635883453	0.7610034957
153	0.8642069894	0.7592759114
154	0.8646004555	0.758175096
155	0.8650047304	0.7570423731
156	0.8652479069	0.7563602089
157	0.8656196725	0.7553161326
158	0.8662911194	0.7534267573
159	0.8666283038	0.7524761693
