iter	Passed	Remaining
0	63	31693
1	125	31298
2	181	30063
3	235	29150
4	289	28614
5	344	28383
6	395	27861
7	446	27439
8	500	27306
9	551	27029
10	604	26852
11	654	26597
12	704	26377
13	755	26239
14	806	26070
15	856	25905
16	906	25741
17	959	25690
18	1010	25572
19	1061	25482
20	1110	25321
21	1159	25201
22	1213	25160
23	1264	25081
24	1319	25067
25	1412	25747
26	1492	26140
27	1544	26029
28	1598	25963
29	1647	25812
30	1697	25677
31	1748	25576
32	1801	25488
33	1853	25398
34	1904	25301
35	1961	25286
36	2017	25245
37	2072	25202
38	2142	25327
39	2211	25432
40	2276	25483
41	2342	25546
42	2400	25517
43	2464	25537
44	2525	25538
45	2591	25573
46	2651	25554
47	2709	25510
48	2766	25467
49	2828	25457
50	2893	25470
51	2964	25539
52	3023	25500
53	3077	25418
54	3134	25364
55	3196	25340
56	3255	25304
57	3309	25220
58	3360	25117
59	3412	25021
60	3467	24957
61	3526	24914
62	3584	24862
63	3646	24839
64	3707	24810
65	3764	24753
66	3819	24684
67	3869	24582
68	3921	24492
69	3971	24395
70	4021	24301
71	4071	24205
72	4123	24121
73	4171	24016
74	4225	23943
75	4276	23859
76	4330	23791
77	4390	23755
78	4544	24216
79	4606	24181
80	4664	24130
81	4728	24104
82	4790	24069
83	4847	24008
84	4902	23937
85	4952	23839
86	5003	23752
87	5062	23700
88	5122	23655
89	5179	23593
90	5230	23509
91	5282	23424
92	5339	23368
93	5395	23302
94	5451	23241
95	5505	23170
96	5565	23121
97	5623	23066
98	5680	23008
99	5732	22930
100	5788	22867
101	5843	22801
102	5899	22740
103	5952	22664
104	6045	22744
105	6105	22695
106	6162	22634
107	6218	22569
108	6270	22492
109	6332	22452
110	6386	22379
111	6437	22301
112	6490	22227
113	6542	22154
114	6592	22069
115	6649	22013
116	6747	22086
117	6797	22005
118	6851	21937
119	6906	21871
120	6963	21811
121	7017	21742
122	7079	21699
123	7132	21627
124	7186	21558
125	7240	21490
126	7295	21428
127	7348	21357
128	7401	21286
129	7499	21345
130	7600	21409
131	7679	21410
132	7767	21434
133	7844	21424
134	7916	21403
135	7973	21340
136	8031	21281
137	8088	21218
138	8191	21275
139	8265	21253
140	8333	21219
141	8400	21179
142	8459	21120
143	8516	21053
144	8566	20973
145	8618	20895
146	8672	20826
147	8725	20752
148	8784	20694
149	8839	20624
150	8893	20554
151	8948	20487
152	9004	20422
153	9062	20361
154	9117	20293
155	9171	20225
156	9225	20156
157	9280	20087
158	9335	20021
159	9394	19963
160	9449	19896
161	9503	19828
162	9557	19759
163	9613	19696
164	9669	19632
165	9723	19563
166	9777	19497
167	9831	19429
168	9882	19356
169	9947	19309
170	10000	19240
171	10053	19172
172	10106	19102
173	10152	19021
174	10205	18953
175	10260	18888
176	10315	18824
177	10370	18760
178	10428	18701
179	10490	18650
180	10543	18581
181	10596	18514
182	10648	18445
183	10696	18369
184	10749	18303
185	10800	18232
186	10848	18158
187	10904	18096
188	10959	18034
189	11013	17970
190	11066	17903
191	11119	17836
192	11173	17773
193	11225	17705
194	11278	17640
195	11333	17577
196	11385	17511
197	11438	17446
198	11492	17382
199	11549	17324
200	11608	17268
201	11662	17205
202	11716	17141
203	11767	17074
204	11819	17009
205	11872	16944
206	11925	16879
207	11978	16815
208	12034	16756
209	12088	16693
210	12143	16632
211	12195	16567
212	12248	16503
213	12300	16438
214	12353	16375
215	12407	16314
216	12461	16251
217	12516	16191
218	12572	16132
219	12627	16070
220	12682	16011
221	12738	15951
222	12792	15889
223	12841	15823
224	12892	15758
225	12945	15695
226	13000	15635
227	13058	15578
228	13111	15515
229	13163	15453
230	13214	15388
231	13265	15324
232	13317	15260
233	13369	15197
234	13420	15133
235	13475	15073
236	13526	15010
237	13575	14944
238	13625	14880
239	13674	14814
240	13729	14754
241	13779	14690
242	13830	14627
243	13883	14566
244	13939	14508
245	13989	14444
246	14045	14386
247	14098	14325
248	14149	14263
249	14202	14202
250	14258	14144
251	14311	14084
252	14369	14028
253	14426	13972
254	14481	13913
255	14537	13855
256	14597	13801
257	14653	13744
258	14706	13684
259	14765	13629
260	14822	13573
261	14875	13513
262	14930	13454
263	14982	13393
264	15033	13331
265	15085	13270
266	15139	13211
267	15195	13154
268	15246	13093
269	15297	13030
270	15348	12969
271	15397	12906
272	15447	12844
273	15498	12783
274	15549	12722
275	15602	12662
276	15652	12600
277	15701	12538
278	15757	12481
279	15817	12428
280	15878	12375
281	15938	12321
282	16002	12270
283	16065	12219
284	16124	12164
285	16178	12105
286	16232	12047
287	16284	11987
288	16338	11928
289	16406	11880
290	16464	11824
291	16516	11764
292	16573	11709
293	16631	11653
294	16695	11602
295	16754	11547
296	16810	11490
297	16864	11431
298	16922	11376
299	16979	11319
300	17034	11261
301	17090	11205
302	17147	11148
303	17202	11091
304	17258	11034
305	17315	10977
306	17372	10921
307	17429	10864
308	17493	10813
309	17551	10757
310	17606	10699
311	17658	10640
312	17716	10584
313	17768	10525
314	17819	10465
315	17871	10405
316	17921	10346
317	17970	10285
318	18021	10225
319	18071	10165
320	18120	10104
321	18172	10045
322	18229	9989
323	18280	9930
324	18330	9870
325	18380	9810
326	18428	9749
327	18480	9690
328	18533	9632
329	18584	9573
330	18633	9513
331	18683	9454
332	18737	9396
333	18788	9338
334	18839	9279
335	18890	9220
336	18942	9161
337	18994	9104
338	19056	9050
339	19109	8992
340	19162	8934
341	19217	8878
342	19275	8822
343	19326	8764
344	19377	8705
345	19429	8647
346	19482	8590
347	19540	8535
348	19596	8478
349	19652	8422
350	19706	8365
351	19759	8307
352	19810	8249
353	19861	8191
354	19917	8135
355	19972	8078
356	20027	8022
357	20087	7967
358	20147	7912
359	20202	7856
360	20260	7800
361	20318	7745
362	20375	7689
363	20425	7631
364	20475	7573
365	20527	7515
366	20578	7457
367	20630	7400
368	20681	7342
369	20733	7284
370	20786	7227
371	20841	7171
372	20895	7114
373	20950	7058
374	21007	7002
375	21066	6947
376	21121	6891
377	21177	6835
378	21234	6779
379	21289	6723
380	21345	6666
381	21398	6610
382	21452	6553
383	21507	6497
384	21560	6440
385	21615	6383
386	21672	6328
387	21722	6270
388	21776	6213
389	21828	6156
390	21879	6099
391	21931	6042
392	21982	5985
393	22037	5928
394	22088	5871
395	22141	5814
396	22192	5757
397	22240	5699
398	22295	5643
399	22344	5586
400	22396	5529
401	22446	5471
402	22497	5414
403	22549	5358
404	22601	5301
405	22651	5244
406	22702	5187
407	22751	5130
408	22805	5074
409	22854	5016
410	22907	4960
411	22956	4903
412	23008	4846
413	23060	4790
414	23114	4734
415	23169	4678
416	23224	4622
417	23278	4566
418	23334	4510
419	23389	4455
420	23444	4399
421	23498	4343
422	23550	4287
423	23602	4230
424	23655	4174
425	23706	4118
426	23759	4061
427	23812	4005
428	23863	3949
429	23915	3893
430	23972	3837
431	24031	3782
432	24088	3727
433	24147	3672
434	24220	3619
435	24271	3562
436	24325	3506
437	24381	3451
438	24433	3395
439	24487	3339
440	24541	3283
441	24592	3227
442	24644	3171
443	24704	3115
444	24759	3060
445	24814	3004
446	24869	2948
447	24925	2893
448	24982	2837
449	25035	2781
450	25090	2726
451	25142	2670
452	25199	2614
453	25257	2559
454	25311	2503
455	25364	2447
456	25415	2391
457	25465	2335
458	25516	2279
459	25565	2223
460	25615	2167
461	25668	2111
462	25718	2055
463	25769	1999
464	25824	1943
465	25881	1888
466	25933	1832
467	25985	1776
468	26036	1720
469	26098	1665
470	26151	1610
471	26204	1554
472	26262	1499
473	26325	1443
474	26382	1388
475	26433	1332
476	26491	1277
477	26544	1221
478	26603	1166
479	26660	1110
480	26719	1055
481	26777	999
482	26830	944
483	26881	888
484	26944	833
485	26997	777
486	27056	722
487	27109	666
488	27162	611
489	27222	555
490	27273	499
491	27322	444
492	27379	388
493	27431	333
494	27490	277
495	27540	222
496	27591	166
497	27642	111
498	27696	55
499	27752	0
